"ABBREVIATE_CHART_LABELS";"Forkort diagrampunkter"
"gd_freetype";"PHP server er miskonfigureret : Der kræves Freetype library for at kunne bruge TrueType fonts."
"gd_library";"GD library ikke fundet på PHP server : Billedfunktionerne kan ikke bruges."
"ged_config";"Gedcom-filindstillinger"
"ged_download";"Download"
"ged_gedcom";"Gedcom-fil"
"ged_import";"Importer Gedcom"
"ged_privacy";"Fortroligheds-fil"
"ged_search";"SearchLog-filer"
"ged_title";"Gedcom-titel"
"gedcom_adm_head";"Gedcom Administration"
"gedcom_block";"Gedcomvelkomst blok"
"gedcom_conf";"Gedcom grundlæggende"
"gedcom_created_on";"Denne Gedcom-fil blev lavet den <b>#DATE#</b>."
"gedcom_created_on2";"den <b>#DATE#</b>"
"gedcom_created_using";"Denne Gedcom-fil blev lavet med <b>#SOFTWARE# #VERSION#</b>."
"gedcom_deleted";"Gedcom [#GED#] blev slettet."
"gedcom_descr";"<b>Gedcomvelkomst</b>-blokken virker på samme måde som <b>Brugervelkomst</b>-blokken, ved at byde den besøgende velkommen og vise titlen på den aktive Gedcom, samt aktuel dato og tid."
"gedcom_downloadable";"Denne Gedcom-fil kan downloades direkte fra internet!<br />Se venligst SIKKERHED-sektionen i <a href="readme.txt"><b>readme.txt</b></a> og korriger dette problem."
"gedcom_editing_disabled";"Systemadministrator har blokeret for redigering af denne Gedcom."
"gedcom_favorites";"Denne Gedcom-fils favoritter"
"gedcom_favorites_block";"Gedcomfavoritter blok"
"gedcom_favorites_descr";"<b>Gedcomfavoritter</b>-blokken lader webstedets administrator vælge sine foretrukne personer fra Gedcom-filen, så besøgende let kan finde frem til disse personer. På denne måde kan vigtige personer i slægtshistorien fremhæves."
"gedcom_file";"Gedcom-fil:"
"gedcom_form_info";"(Gedcom)"
"gedcom_news";"Nyheder"
"gedcom_news_block";"Gedcomnyheder blok"
"gedcom_news_descr";"<b>Gedcomnyheder</b>-blokken viser nyheder eller artikler fra administrator.<br /><br /> Denne blok er velegnet til annoncering af en opdateret database eller et familietræf."
"gedcom_not_imported";"Gedcom-filen er endnu ikke importeret"
"gedcom_path";"Gedcom-sti og navn"
"gedcom_stats";"Gedcom statistik:"
"gedcom_stats_block";"Gedcomstatistik blok"
"gedcom_stats_descr";"<b>Gedcomstatistik</b>-blokken viser de besøgende nogle informationer om Gedcom-filen, såsom hvem der har lavet den og hvor mange personer den indeholder.<br /><br />Blokken indeholder også en liste over hyppigste efternavne. Du kan indstille blokken til ikke at vise listen med hyppige efternavne eller til at tilføje eller udelade visse navne. Du kan også sætte en hyppighedsgrænse for hvornår et efternavn skal optræde på listen."
"gedcom_title";"Indtast en titel, der beskriver data i denne Gedcom-fil:"
"gedcomid";"Bruger-ID i slægtsdatabasen"
"gedconf_head";"Gedcom-indstillinger"
"gedrec_deleted";"Gedcom post blev slettet."
"gen_ancestry_chart";"#PEDIGREE_GENERATIONS# generationers anetræ"
"gen_fan_chart";"#PEDIGREE_GENERATIONS# generationers anehjul"
"gen_ped_chart";"Anetræ #PEDIGREE_GENERATIONS# generationer"
"gen_thumb";"Lav billedikon"
"genealogy_contact";"For slægtforskning, kontakt"
"general_privacy";"Almene fortrolighedsindstillinger"
"generate_thumbnail";"Lav automatisk et billedikon fra"
"generated_by";"Genereret af"
"generations";"Generationer"
"given_name";"Fornavne:"
"global_facts";"Almene fortrolighedsindstillinger"
"gm_config_write_error";"FEJL!! Kan ikke skrive til Genmod-indstillingsfilen. Kontroller venligst skrivetilladelserne for filer og mapper og prøv igen."
"gm_registry";"Kig på andre websteder, der bruger Genmod"
"godfather";"Gudfar"
"godmother";"Gudmor"
"godparent";"Gudforældre"
"gregorian";"Gregoriansk"
"halfbrother";"Halvbror"
"halfsister";"Halvsøster"
"hashcode";"Kontrolkode"
"header";"Overskrift"
"hebrew_and_gregorian";"Hebraisk og Geregoriansk"
"help_contents";"Indhold i hjælp"
"help_for_this_page";"Hjælp med denne side"
"help_info";"Du kan få hjælp til hvert element ved at klikke på det røde &quot;?&quot; ud for hvert felt."
"help_not_exist";"<b>Der findes desværre ikke en hjælpe tekst for denne side eller dette emne endnu</b>"
"hidden";"Skjulte"
"hide";"Skjul"
"hide_changes";"Klik her for at skjule ændringer."
"hide_details";"Skjul detaljer"
"hide_translated";"Skjul oversættelse"
"highlighted";"Fremhævet billede"
"hijri";"Hijri"
"hit_count";"Besøgstæller"
"hourglass_chart";"Timeglasdiagram"
"html_block_descr";"Dette er en simpel HTML-blok som du kan placere på din side, så du kan vise noget i HTML-format."
"html_block_name";"HTML"
"html_reports";"HTML rapporter"
"husband";"Ægtemand"
"id";"ID"
"illegal_chars";"Ugyldige tegn i navn"
"image_size";"Billedstørrelse--"
"imageview";"Billedfremviser"
"import_complete";"Import færdig"
"import_gedcom";"Importer denne Gedcom-fil"
"import_marr_names";"Importer giftenavne"
"import_multiple";"Importe og arbejde med forskellige Gedcom-filer"
"import_progress";"Importforløb..."
"import_sql";"Der findes SQL-filer i din indexmappe. Da disse kan være fremkommet ved brug af brugeroverflytningsredskabet, har du mulighed for at importere informationen til din database. Ønsker du at prøve dette nu? Al eksisterende brugerdefineret information (brugere, nyheder, favoritter, block layouts, og beskeder) i databasen vil blive slettet.<br /><br />Hvis du vælger at fortsætte, vil Genmod prøve at importere data. Skulle det mislykkes vil du skulle lave en administratorkonto som det næste.<br /><br />"
"importing_places";"Importer stedposter"
"importing_records";"Importerer poster til database"
"in_this_month";"I denne måned i din slægtshistorie"
"in_this_year";"I dette år i din slægtshistorie…"
"inc_languages";"Sprog"
"index_complete";"Indeksering færdig."
"index_header";"Anetræ"
"indi_complete";"Opdatering af personindeksfil er færdig."
"indi_downloaded_from";"Denne person blev downloaded fra:"
"indi_info";"Personoplysninger"
"indis_charts";"Indstilling for person"
"indis_with_surname";"Personer med efternavnet #surname#"
"individual_list";"Personliste"
"individual_list_report";"Personliste rapport"
"individual_report";"Personrapport"
"individuals";"Personer"
"informant";"Oplyser"
"inject_media_tool";"Tilføj medie til Gedcom-fil"
"int";"fortolket"
"invalid_dates";"Ugyldige datoformater. Ved oprydning vil formatet blive ændret til DD MMM ÅÅÅÅ (f.eks. 1 JAN 2004)."
"invalid_email";"Indtast venligst en gyldig e-mail adresse."
"invalid_gedformat";"Ukorrekt GEDCOM 5.5 format"
"invalid_header";"Der er konstateret tomme linjer før Gedcomheaderen (0 HEAD). Under oprydningen fjernes disse linjer."
"invalid_id";"Dette ID-nummer findes ikke i denne Gedcom-fil"
"invalid_search_input";"Indtast et fornavn, efternavn eller stednavn \n\t udover årstallet"
"invalid_username";"Brugernavn indeholder ugyldige tegn"
"is_alive_in";"Lever i året #YEAR#"
"item_with_id";"Objekt med ID"
"jan";"januar"
"jewish";"Jødisk"
"jewish_and_gregorian";"Jødisk og Gregoriansk"
"jul";"juli"
"julian";"Juliansk"
"jun";"juni"
"just_family";"Tilføj kun denne familiepost."
"just_person";"Tilføj kun denne person."
"landscape";"Landskab"
"lang_back";"Gå til Hoved-menuen for at justere indstillinger for sprogfiler."
"lang_back_admin";"Gå til Administrator-menuen"
"lang_back_manage_gedcoms";"Gå til Gedcom-administrationsmenuen"
"lang_config_write_error";"Fejl ved skrivning af sprogindstillinger til filen <b>lang_settings.php</b>. Kontroller skriverettighederne og prøv igen."
"lang_edit";"Rediger"
"lang_file_write_error";"F E J L!<br /><br />Ændringer kunne ikke skrives i den valgte sprogfil. Kontroller venligst skriverettighederne for <b>#lang_filename#</b>"
"lang_filenames";"Sprogfiler"
"lang_langcode";"Sproggenkendelseskoder"
"lang_language";"Sprog"
"lang_name_arabic";"arabisk"
"lang_name_chinese";"kinesisk"
"lang_name_czech";"tjekkisk"
"lang_name_danish";"dansk"
"lang_name_dutch";"hollandsk"
"lang_name_english";"engelsk"
"lang_name_finnish";"finsk"
"lang_name_french";"fransk"
"lang_name_german";"tysk"
"lang_name_greek";"græsk"
"lang_name_hebrew";"hebraisk"
"lang_name_hungarian";"ungarsk"
"lang_name_italian";"italiensk"
"lang_name_norwegian";"norsk"
"lang_name_polish";"polsk"
"lang_name_portuguese";"portugisisk"
"lang_name_portuguese_br";"brasiliansk portugisisk"
"lang_name_russian";"russisk"
"lang_name_spanish";"spansk"
"lang_name_spanish_ar";"sydamerikansk spansk"
"lang_name_swedish";"svensk"
"lang_name_turkish";"tyrkisk"
"lang_new_language";"Nyt sprog"
"lang_save";"Gem"
"lang_set_file_read_error";"F E J L: <b>language_settings.php</b> kunne ikke læses!"
"lang_shortcut";"Sprogfilers kortnavne"
"language_to_edit";"Sprog som skal redigeres"
"language_to_export";"Sprog der skal eksporteres"
"last_login";"Seneste logon"
"lastname_search";"Efternavn"
"launch_media_tool";"Tilføj medie til Gedcom-fil"
"lds_sealing";"LDS-besegling:"
"leave_blank";"Lad adgangskodefeltet være tomt hvis du vil beholde din nuværende adgangskode."
"line_up_generations";"Vis samme generationer på samme linie"
"link_media";"Tilknyt medier"
"link_media_records";"Link Medie til personer"
"list_children";"Sorter børn efter alder."
"listing";"Liste"
"lists";"Lister"
"living";"Lever"
"living_only";"Nulevende personer"
"locked";"Lav ikke ændring"
"lodger";"Lejer"
"logfile_content";"Logfilens indhold"
"logged_in_as";"Logget på som"
"logged_in_users_block";"Brugere online blok"
"logged_in_users_descr";"I <b>Brugere online</b>-blokken vises en liste med brugere der aktuelt er logget ind."
"login_aut";"Rediger bruger"
"login_block";"Log ind blok"
"login_descr";"I <b>Log ind</b>-blokken vises en boks, hvor brugere kan indtaste brugernavn og adgangskode."
"login_head";"Genmod brugerlogin"
"logout";"Log af"
"lost_password";"Har du glemt din adgangskode?"
"lost_pw_reset";"Adgangskodeanmodning"
"ltr";"venstre til højre"
"macfile_detected";"Macintosh filtype genkendt. Ved oprydning bliver filen konverteret til en DOS filtype."
"magnify";"Forstør"
"mail01_line01";"Hallo #user_fullname# ..."
"mail01_line02";"( #SERVER_NAME# ) blev anmodet om login med din e-mailadresse ( #user_email# )."
"mail01_line03";"Flg. data blev brugt."
"mail01_line04";"Klik venligst på linket herunder og udfyld felterne for at aktivere din konto og e-mailadresse."
"mail01_line05";"hvis du ikke har anmodet om en brugerkonto, bedes du blot slette denne mail."
"mail01_line06";"Du vil ikke få tilsendt yderligere e-mails herfra, idet kontoen i mangel på din aktivering vil blive slettet indenfor syv dage."
"mail01_subject";"Din registrering hos #SERVER_NAME#"
"mail02_line01";"Hej administrator ..."
"mail02_line02";"En ny bruger har registreret sig hos ( #SERVER_NAME# )."
"mail02_line03";"Brugeren har fået tilsendt en e-mail med de nødvendige oplysninger for at aktivere sin konto."
"mail02_line04";"Så snart brugeren har foretaget denne aktivering, får du besked pr. mail om at give denne bruger tilladelse til login på dit websted."
"mail02_line04a";"Så snart brugeren har foretaget denne aktivering, får du besked pr. mail om at brugeren kan foretage login på dit websted."
"mail02_subject";"Ny registrering hos #SERVER_NAME#"
"mail03_line01";"Hej administrator ..."
"mail03_line02";"#newuser[username]# ( #newuser[fullname]# ) har bekræftet registreringsdata."
"mail03_line03";"Klik venligst på linket herunder for at logge ind på dit websted og give vedkommende tilladelse til login på dit websted."
"mail03_line03a";"Du behøver ikke foretage dig noget, brugeren kan nu logge ind."
"mail03_subject";"Ny bekræftelse hos #SERVER_NAME#"
"mail04_line01";"Hej #user_fullname# …"
"mail04_line02";"Der er bedt om en nyt adgangskode til dit brugernavn!"
"mail04_line03";"Anbefaling:"
"mail04_line04";"Klik venligst på linket herunder, login med den nye adgangskode og brugernavn."
"mail04_subject";"Data anmodning fra #SERVER_NAME#"
"mailto";"Mailto link"
"main_section";"Hovedsektionsblokke"
"make_slklist";"Opret EXCEL (SLK) fil"
"male";"Mand"
"manage_gedcoms";"Administrer Gedcom-filer og fortrolighed"
"manage_media";"Håndter medier"
"manage_media_files";"Rediger Medie"
"mar";"marts"
"marr_name_import_instr";"Klik <b>kun</b> på knappen forneden, hvis du ønsker at Genmod skal tilføje giftenavne for kvinderne i denne Gedcom-fil. Det vil gøre det muligt at søge på kvinder efter deres mands navn."
"marriage";"Bryllup:"
"marriage_license";"Ægteskabsattest:"
"max_generation";"Det maksimale antal generationer er #PEDIGREE_GENERATIONS#."
"max_upload_size";"Max upload størrelse:"
"may";"maj"
"maybe";"Måske"
"media";"Medier"
"media_conf";"Multimedier"
"media_drive_letter";"En medie-sti skal ikke indeholde en drevbetegnelse, mediet vil muligvis ikke blive vist."
"media_file";"Mediefil"
"media_files";"Mediefiler der er reference til i denne Gedcom"
"media_found";"Medieobjekter fundet"
"media_id";"Medie ID"
"media_list";"Multimedieliste"
"media_object";"Multimedieobjekt:"
"media_table_created";"Opdatering af <i>medie</i>-tabel lykkedes."
"medialist_show";"Vis"
"menu";"Menu"
"merge_facts_same";"Følgende fakta var nøjagtig ens i begge poster og vil automatisk blive sammenlagt"
"merge_from";"Sammenflet fra ID:"
"merge_more";"Sammenflet flere poster."
"merge_records";"Sammenflet poster"
"merge_same";"Posterne er ikke af samme type. Poster af forskellig type kan ikke sammenflettes."
"merge_step1";"Sammenflet trin 1 af 3"
"merge_step2";"Sammenflet trin 2 af 3"
"merge_step3";"Sammenflet trin 3 af 3"
"merge_to";"Sammenflet til ID:"
"message";"Send besked"
"message_body";"Besked:"
"message_deleted";"Besked slettet"
"message_email1";"Følgende besked blev sendt til din Genmod brugerkonto:"
"message_email2";"Du sendte følgende besked til en Genmod brugerkonto:"
"message_email3";"Du sendte følgende besked til en Genmod administrator:"
"message_empty_warning";"-> Advarsel!!! Dette felt er tomt i #LANGUAGE_FILE# <-"
"message_from";"Besked fra:"
"message_from_name";"Dit navn:"
"message_instructions";"<b>Bemærk:</b> Private data på nulevende personer kan ikke fås af andre end slægtninge og nære venner. Du vil blive afkrævet bevis for dit slægtskab før du får udleveret fortrolige data. Sommetider kan en afdøds data også være skjult; dette kan skyldes, der ikke er nok oplysninger tilstede til at kunne afgøre om vedkommende er nulevende eller ej, eller at der ikke finderes yderligere oplysninger om vedkommende.<br /><br />Før du beder om oplysninger, bedes du sikre, der er tale om den rette person, ved tjek af datoer, stednavne og nærmeste slægtninge. Hvis du bidrager med oplysninger, så angiv venligst de kilder du har oplysningerne fra.<br /><br />"
"message_sent";"Besked afsendt"
"message_subject";"Emne:"
"message_to";"Besked til:"
"message_to_edit";"Tekst der skal redigeres"
"messaging";"Genmod interne beskeder"
"messaging2";"Interne beskeder via email"
"messaging3";"Genmod sender emails uden at gemme"
"meta_conf";"Websted og META tag indstillinger"
"mgv";"Min Side"
"min_generation";"Det minimale antal generationer er 3."
"monday";"mandag"
"month";"Måned:"
"month_before_day";"Måned før dag (MM DD ÅÅÅÅ)"
"monthly";"Månedlig"
"more_information";"For yderligere information kontakt"
"mother";"Mor"
"mothers_family_with";"Mors familie med"
"mousedown";"Når musen holdes nede"
"mouseover";"Når musen holdes over"
"move_down";"Flyt ned"
"move_left";"Flyt til venstre"
"move_right";"Flyt til højre"
"move_to";"Flyt til --&gt;"
"move_up";"Flyt op"
"multi_title";"MultiMedie-objektliste"
"must_provide";"Du må oplyse en"
"my_favorites";"Mine Favoritter"
"my_indi";"Mig selv"
"my_journal";"Mine notater"
"my_messages";"Mine beskeder"
"my_pedigree";"Mit Anetræ"
"mygedview";"Min Portal"
"mygedview_desc";"<b>Min side</b> gør det muligt for dig at markere dine personlige favoritter, se kommende begivenheder, og samarbejde med andre Genmod brugere."
"mysql";"MySQL"
"myuserdata";"Min konto"
"name";"Navn"
"name_contains";"Navn indeholder:"
"name_description";"Navn / Beskrivelse"
"name_of_fact";"Informationstype"
"name_reverse";"Efternavn først"
"never";"Aldrig"
"new_gedcom_title";"Slægtsoplysninger fra [#GEDCOMFILE#]"
"new_language";"Sprogkilde"
"new_repo_created";"Nyt arkivsted oprettet"
"new_source_created";"Oprettelse af ny kilde lykkedes."
"news_saved";"Det lykkedes at gemme Nyheds/dagbogsartiklen."
"next";"Næste &gt;"
"next_path";"Find næste forbindelse"
"no";"Nej"
"no_account_yet";"Har du endnu ikke en konto?"
"no_additions";"Ingen tilføjelser"
"no_changes";"Der er for nærværende ingen ændringer som behøver at vurderes."
"no_children";"Ingen kendte børn"
"no_content";"Intet indhold"
"no_favorites";"Du har ikke valgt nogen favoritter. For at tilføje en person til dine favoritter, kan du enten finde vedkommende persons detailler og derefter klikke på linket <b>Føj til mine favoritter</b> eller bruge ID-boksen herunder for at tilføje en person ved hjælp af hans ID-nummer."
"no_gedcom_favorites";"Der er ikke valgt nogen favoritter. Administrator kan vælge favoritter, som vises ved opstart."
"no_journal";"Du har endnu ikke skrevet nogen notater."
"no_link_found";"Der kan ikke findes nogen forbindelse mellem de to personer."
"no_login";"Bruger kan ikke godkendes."
"no_logs";"Slå logging fra"
"no_matches_found";"Der blev ikke fundet matchende fakta"
"no_messages";"Der er ingen besked til dig."
"no_messaging";"Kan ikke kontaktes"
"no_news";"Der eksisterer ingen nyhedsartikler."
"no_open";"F E J L !!!<br /><br />Kan ikke åbne filen <b>#lang_filename#</b>"
"no_results";"Intet fundet."
"no_subtractions";"Ingen udeladelser"
"no_tab1";"Der er ingen fakta for denne person."
"no_tab2";"Der er ingen noter for denne person."
"no_tab3";"Der er ingen kildehenvisninger for denne person."
"no_tab4";"Der er ingen medieobjekter for denne person."
"no_tab5";"Der er ingen nære slægtninge for denne person."
"no_tab6";"Denne person har ikke nogen forskningslog tilknyttet."
"no_temple";"Ingen Temple - Living ritual"
"no_thumb_dir";"Billedikonmappen findes ikke og kunne ikke oprettes"
"no_to_user";"Ingen modtager oplyst. Kan ikke fortsætte."
"no_upload";"Det er ikke tilladt at uploade multimedier, da denne funktion er deaktiveret eller multimediemappen ikke er skrivbar."
"none";"Ingen"
"not_an_array";"Ikke en tabel"
"not_writable";"Din indstillingsfil ser ud til at være skrivebeskyttet. Du kan bruge <b>#gm_lang[download_file]#</b> knappen til at gemme dine indstillinger i en fil som du manuelt kan placere på serveren."
"note";"Note:"
"notes";"Noter"
"notes_sources_media";"Noter, kilder, og medier"
"nov";"november"
"now_import";"Nu skal du importere Gedcom-filens indhold ind i Genmod ved at klikke på import linket herunder."
"num_to_show";"Antal ting som skal vises"
"nurse";"Sygeplejer"
"object_note";"Objekt Notat:"
"oct";"oktober"
"of";"af"
"old_language";"Gammelt sprog"
"oldest_top";"Vis ældste øverst"
"on_this_day";"På denne dag i din slægtshistorie…"
"optional";"Valgfrie redskaber"
"optional_tools";"Du kan også vælge at bruge disse valgfrie redskaber inden import."
"options";"Valgmuligheder:"
"order";"Rækkefølge"
"original_lang_name";"Oprindelig sprognavn for #D_LANGNAME#"
"original_message";"Original tekst"
"other";"Andet"
"other_records";"Poster tilknyttet denne kilde:"
"other_repo_records";"Poster tilknyttet dette arkivsted"
"other_theme";"Andet, skriv venligst"
"page";"Side"
"parents";"Forældre:"
"parents_and_child";"Tilføj forældre og børn til denne familiepost."
"parents_and_family";"Tilføj forældrene til denne familiepost."
"parents_desc";"Tilføj forældre og alle efterkommere til denne familiepost."
"parents_timeline";"Vis par  på en tidslinje"
"password";"Adgangskode"
"password_mismatch";"Adgangskoder er forskellige."
"passwordlength";"Adgangskoden skal være på mindst 6 tegn."
"paste_id_into_field";"Tilføj det følgende kilde-ID i skrivbare felter for at referere til denne kilde"
"paste_person";"Indsæt person"
"paste_rid_into_field";"Tilføj det følgende arkivsteds-ID i skrivbare felter for at referere til dette arkivsted"
"path_to_gedcom";"Indtast stien til din Gedcom-fil:"
"patriarch_list";"Stamfædre"
"pdf_reports";"PDF rapporter"
"pedigree_chart";"Anetræ"
"people";"Personer"
"per_page";"medieobjekter pr. side"
"performing_update";"Opdaterer."
"performing_validation";"Udfører Gedcom validering, vælg de nødvendige funktioner og klik på <b>Ryd op</b>"
"person1";"Person 1"
"person2";"Person 2"
"person_ancestor_fams";"Tilføj denne person, og dennes aner i direkte linje samt deres familier."
"person_ancestors";"Tilføj denne person, samt dennes aner i direkte linje."
"person_desc";"Tilføj denne person, ægtefælle, og alle efterkommere."
"person_facts";"Persondata-fortrolighedsindstillinger"
"person_links";"Link til diagrammer (ane/efterkommertræer), familier, og nære slægtninge til denne person."
"person_list";"Personliste:"
"person_living";"Denne person lever stadig. Personlige data er derfor ikke medtaget."
"person_parents_sibs";"Tilføj denne person, samt forældre og søskende."
"person_privacy";"Person-fortrolighedsindstillinger"
"person_private";"Denne persons data er private. Personlige data er derfor ikke medtaget."
"person_spouse";"Tilføj denne person, samt ægtefælle og børn."
"personal_facts";"Personlige facts og detaljer"
"phone";"Tlf:"
"photo_replace";"Ønsker du at erstate et ældre billede med dette?"
"phpinfo";"PHP Information"
"place_cleanup_detected";"Der er konstateret ugyldige stednavnsangivelser. Disse fejl bør rettes. Det følgende eksempel viser en ugyldig stednavnsangivelse der blev konstateret:"
"place_contains";"Stednavn indholder:"
"place_description";"Sted / Beskrivelse"
"place_list";"Stednavneniveauer"
"place_list2";"Stednavneliste"
"place_list_aft";"Stednavneniveau efter"
"please_be_patient";"Udvis venligst tålmodighed…"
"please_wait";"Vent venligst mens Indeksfilerne genopbygges."
"pls_note06";"Du vil nu få tilsendt en bekræftende e-mail til adressen ( #user_email# ). For at aktivere din konto skal du følge instrukserne i denne e-mail. Hvis du ikke aktiverer din konto inden syv dage, vil den blive slettet. I så fald vil du være nødt til at registrere dig igen.<br /><br />Efter din aktivering af kontoen skal den godkendes endeligt af administratoren før den kan bruges.<br /><br />For at kunne logge ind på dette websted, skal du bruge både brugernavn og adgangskode.<br /><br />"
"pls_note06a";"Du vil nu få tilsendt en bekræftende e-mail til adressen ( #user_email# ). For at aktivere din konto skal du følge instrukserne i denne e-mail. Hvis du ikke aktiverer din konto inden syv dage, vil den blive slettet. I så fald vil du være nødt til at registrere dig igen.<br /><br />Efter din aktivering af kontoen kan den umiddelbart bruges.<br /><br />For at kunne logge ind på dette websted, skal du bruge både brugernavn og adgangskode.<br /><br />"
"pls_note07";"Indtast venligst dit brugernavn, din adgangskode og den kontrolkode du fik tilsendt pr. e-mail."
"pls_note08";"Data for brugeren #user_name# blev kontrolleret."
"pls_note09";"Du har bekræftet dit ønske om at blive en registreret bruger."
"pls_note10";"Administrator har nu fået besked.<br />Såsnart vedkommende har givet sin tilladelse, kan du logge ind med dit brugernavn og adgangskode."
"pls_note10a";"Du kan nu logge ind med dit brugernavn og adgangskode."
"pls_note11";"For at få din adgangskode nulstillet, skal du oplyse dit Genmod brugernavn og e-mailadresse for brugerkontoen<br /><br />Du vil via e-mail få tilsendt et weblink med en kontrolkode for din konto. Ved at benytte dette link, får du mulighed for at ændre din adgangskode og login til dette websted. Af sikkerhedsmæssige årsager skal du ikke oplyse denne kontrolkode til nogen, og heller ikke dette websteds administratorer (vi vil ikke bede om det).<br /><br />Hvis du behøver assistance fra webstedets administrator kan du bruge linket herunder."
"pls_note12";"Brug venligst disse felter til at beskrive hvorfor du gerne vil have en brugerkonto på denne hjemmeside og hvilken tilknytning du måtte have."
"portal_config_intructions";"Du kan tilpasse siden ved at placere sidens blokke på den måde du foretrækker det.<br /><br /> Siden er inddelt i Hovedsektionen og Højresektionen. Hovedsektionens blokke er større og er anbragt under sidetitlen. Højresektionen starter til højre for titlen og går ned langs siden.<br /><br />Hver sektion har sin egen liste af blokke, der vil blive placeret på siden i samme orden som i listen. Du kan tilføje, fjerne, og omordne blokkene som du ønsker det.<br /><br />Er en af bloklisterne tomme, vil den anden liste udfylde hele sidebredden."
"portrait";"Portræt"
"preferred_lang";"Denne bruger foretrækker at modtage beskeder på #USERLANG#"
"prev";"&lt; Forrige"
"priest";"Præst"
"print";"Udskriv"
"print_preview";"Udskriftsvenlig udgave"
"privacy";"Fortrolighed"
"privacy_error";"Detaljer om denne person er private.<br />"
"privacy_header";"Rediger fortrolighedsindstillinger"
"privacy_indi";"Person"
"privacy_indi_id";"Person - ID"
"privacy_indi_source";"Person / Kilde"
"privacy_list_fam_error";"Een eller flere familier er skjult pga. fortrolighedsregler."
"privacy_not_granted";"Du har ikke adgang til"
"privacy_prevented_editing";"Fortrolighedsindstillingerne forhindrer dig i at redigere denne post."
"privacy_source";"Kilde"
"privacy_source_id";"Kilde - ID"
"private";"Privat"
"privileges";"Privilegier"
"processed_for";"Behandlede fil for"
"provide_email";"Oplys venligst din e-mailadresse, så vi kan kontakte dig med svar på din henvendelse. Hvis du ikke oplyser din e-mailadresse, er vi ikke i stand til at besvare denne forespørgsel. Din e-mailadresse vil ikke blive brugt til andet end at besvare denne forespørgsel."
"publication";"Publikation:"
"pwreqinfo";"Hallo...<br /><br />En e-mail med den nye adgangskode blev sendt til e-mailadressen.<br /><br />Tjekvenligst  din e-mail; denne e-mail gerne skulle være fremme snart.<br /><br />Anbefaling:<br /><br />Efter du har modtaget denne e-mail, bør du logge på webstedet med dit nye adgangskode og ændre den, for at opretholde din datasikkerhed."
"qm";"?"
"qm_ah";"?"
"quick_update_instructions";"Denne side tillader dig hurtigt at opdatere informationerne for en person. Du behøver kun at udfylde de informationer der skal tilføjes eller som skal ændres i databsen. Efter at dine ændringer er foretaget, skal de godkendes af en administrator før de ville kunne ses af alle."
"quick_update_title";"Hurtig opdatering"
"rabbi";"Rabbiner"
"random_media_block";"Tilfældigt medie blok"
"random_media_descr";"I <b>Tilfældigt medie<b>-blok vælges et tilfældigt billede eller et andet medie emne fra den aktive Gedcom-fil, som derefter fremvises for brugeren"
"random_picture";"Tilfældigt billede"
"reading_file";"Indlæser Gedcom-fil"
"readme_documentation";"README dokumentation"
"rebuild_indexes";"Genopbyg indeksfiler"
"recent_changes";"Nylige ændringer"
"recent_changes_block";"Nylige blokændringer"
"recent_changes_descr";"<b>Nylige ændringer</b>-blokken viser alle ændringer i databasen den sidste måned. Denne blok kan hjælpe dig med at overskue foretagne ændringer. Ændringerne registreres automatisk ved hjælp af CHAN-tags i Gedcom-filen."
"recent_events";"Nylige begivenheder (< 100 år)"
"record";"Post"
"record_copied";"Post kopieret til udklipsmappen"
"register_info_01";"Oplysninger i denne database kan i henhold til gældende regler om beskyttelse af privatlivets fred være tilgængelige i begrænset omfang. Mange ønsker ikke at se deres personlige data offentligt på internettet, da disse data evt. kan misbruges i forbindelse med spam eller opbygning af en falsk identitet.<br /><br />For at få adgang til private data, skal du have en brugerkonto på dette websted. For at få en konto må du registrere dig selv og give de ønskede oplysninger om dig selv. Når administratoren har vurderet dine oplysninger og godkendt dig, vil du kunne logge ind på webstedet og se nogle af de private data.<br /><br />Hvis der stilles krav om slægtsrelation, vil du kun kunne få adgang til dine egne nære slægtninges private data efter login. Administratoren har mulighed for at give dig adgang til at redigere i databasen, således du kan ændre eller tilføje oplysninger.<br /><br />BEMÆRK: Du vil kun få adgang til private data hvis du kan sandsynliggøre du er en nær slægtning til en person i databasen.<br /><br />Hvis du ikke er en nær slægtning vil du formentlig ikke få oprettet en konto, hvorfor du lige så godt kan spare dig selv for ulejligheden med at bede om det.<br />Ønskes yderligere hjælp, kan du - såfremt den mulighed er aktiveret - bruge linket herunder til at kontakte webmaster.<br /><br />"
"registernew";"Bekræftelse af ny konto."
"registry_officer";"Registerfører"
"rela_husb";"Slægtskab til ægtemand"
"rela_wife";"Slægtskab til hustru"
"relationship_chart";"Slægtskabsdiagram"
"relationship_to_me";"Slægtskab til mig"
"relatives";"Nære slægtninge"
"relatives_report";"Slægtningsrapport"
"remember_me";"Husk mig på denne computer?"
"remove";"Fjern"
"remove_custom_tags";"Fjern nonstandard GM tags? (Eks. _GMU,_THUM)"
"remove_person";"Fjern person"
"reorder_children";"Sorter børn"
"reorder_families";"Sorter familier"
"replace";"Udskift post"
"reply";"Svar"
"repo_info";"Arkivstedinformation"
"repo_list";"Arkivstedliste"
"repo_name";"Arkivsted navn:"
"reports";"Rapporter"
"repos_found";"Arkivsteder fundet"
