"ABBREVIATE_CHART_LABELS";"Abbreviate chart labels"
"embedvar_not_found";"<b>embedded variable not found</b>"
"emergency_log_exists";"GM encountered database problems. Checkout the messages in your System Log."
"emergency_log_noprocess";"Cannot process the Emergency Logfile. Check permissions on emergency_syslog.txt in your index directory."
"empty_cart";"Empty Cart"
"empty_dataset";"Do you want to erase the old data and replace it with this new data?"
"empty_lines_detected";"Empty lines were detected in your GEDCOM file.	On cleanup, these empty lines will be removed."
"emptyserverurl";"Server URL must correspond with actual URL. Please read below."
"enable_disable_lang";"Configure supported languages"
"english_loaded";"English language file has been loaded successfully"
"english_not_loaded";"English language file has not been loaded successfully"
"enter_body";"Please enter some message text before sending."
"enter_captcha";"You must enter the correct Captcha code."
"enter_comments";"Please enter your relationship to the data in the Comments field."
"enter_db_pass";"For security, you must enter the #gm_lang[DBUSER]# and #gm_lang[DBPASS]# before changing configuration values."
"enter_email";"You must enter an email address."
"enter_famid";"Enter Family ID"
"enter_filename";"You must enter a file name."
"enter_fullname";"You must enter a first and last name."
"enter_gedcomid";"You must enter a GEDCOM ID."
"enter_password";"You must enter a password."
"enter_pid";"Enter Individual ID"
"enter_report_values";"Enter report values"
"enter_subject";"Please enter a message subject."
"enter_terms";"Enter Search terms"
"enter_text";"Please enter some text for this News or Journal entry."
"enter_title";"Please enter a title."
"enter_username";"You must enter a user name."
"error";"Error message"
"error_already";"is already in your clippings cart."
"error_header";"The GEDCOM file, <b>#GEDCOM#</b>, does not exist at the specified location."
"error_header_write";"The GEDCOM file, <b>#GEDCOM#</b>, is not writable. Please check attributes and access rights."
"error_title";"ERROR: Cannot open GEDCOM file"
"est";"estimated"
"example_date";"Example of invalid date from your file:"
"example_place";"Example of invalid place from your file:"
"excel_create";"will be created on file:"
"excel_list";"Output in EXCEL (SLK) format on the following files (first use Patriarch list):"
"excel_tab";"tabblad:"
"exec_time";"Execution time:"
"exhusband";"Ex-Husband"
"exp_no_thum";"Don't export the thumbnails"
"exp_thumb";"Export files and thumbnails"
"explain_options";"If you choose to drop the tables <u>all</u> of the data will be replaced with information from this GEDCOM file.<br /><br />If you choose to import and work with multiple GEDCOMs, Genmod will erase any data that was imported using a GEDCOM with the same file name.  This option allows you to store multiple genealogical data sets in the same tables and switch between them easily.<br /><br /><b>Please note that file names are case sensitive.</b>  This means that <b>Test.GED</b> is <u>not</u> the same as <b>test.ged</b>."
"export";"Export"
"export_filename";"Output file name:"
"export_lang_utility";"Language File Export Utility"
"export_lang_utility_desc";"You can create documentation for administrators.<br /><br />This utility will produce an HTML version of the Configuration Help file in the selected language.  You can use your browser to look at this file, which is formatted for printing."
"export_log";"Export logrecords"
"export_ok";"Help messages were exported"
"export_results";"Export results"
"export_warn";"The following languages have new translations. Export them to preserve the changes:"
"ext_not_allowed";"Files with this extension are not allowed"
"extension";"Extension"
"external_media";"External media links"
"external_search";"External Search"
"exwife";"Ex-Wife"
"fact_details";"Show fact details"
"fact_show";"Show fact"
"facts";"Facts and Details"
"fam_evt_report";"Event (Family) Date and Place Report"
"fam_id_no_exists";"This family ID does not exist, please enter a valid one!"
"fam_linking";"Links from Families"
"fam_spouse";"Family with spouse"
"famevtdate1";"Family Event Date range start"
"famevtdate2";"Family Event Date range end"
"famevtplace";"Family Event Place contains"
"families";"Families"
"family";"Family"
"family_complete";"Family Index file update complete."
"family_downloaded_from";"This Family was downloaded from:"
"family_exists";"This familiy already exists."
"family_group_info";"Family Group Information"
"family_group_report";"Family Group Report"
"family_info";"Family Information"
"family_list";"Family List"
"family_not_found";"Family record not found"
"family_of";"Family of"
"family_private";"Details about this family are private. Family details will not be included."
"family_role";"Role"
"family_timeline";"Show family on timeline chart"
"family_with";"Family with"
"familybook_chart";"Family Book Chart"
"fams_charts";"Options for family"
"fams_with_fistname_letter";"Families with firstname with letter #letter#"
"fams_with_surname";"Families with surname #surname#"
"fams_with_surname_letter";"Families with surnames with letter #letter#"
"fan_chart";"Fan Chart"
"fan_width";"Width"
"fanchart_IE";"This Fanchart image cannot be printed directly by your browser. Use right-click then save and print."
"faq_back";"Return to FAQ menu"
"faq_list";"FAQ List"
"faq_page";"Frequently Asked Questions"
"father";"Father"
"fathers_family_with";"Father's Family with "
"favorite_not_stored";"The favorite could not be saved into the database."
"fdetails";"File details"
"feb";"February"
"female";"Female"
"femalecousin";"Female cousin"
"file_absent";"This file is not present:"
"file_contains";"Filename contains:"
"file_does_not_exist";"ERROR! The file does not exist..."
"file_empty";"File name is empty."
"file_exists";"There is already a file with that file name. Please choose a different file name or delete the old file."
"file_management";"Manage files"
"file_missing";"No file was received. Please upload again."
"file_not_exists";"The filename entered does not exist."
"file_not_found";"File not found."
"file_not_present";"The file does not exist."
"file_partial";"File was only partially uploaded, please try again"
"file_read_error";"E R R O R !!! Could not read privacy file!"
"file_status";"File status"
"file_success";"File successfully uploaded"
"file_to_db";"Import DB mediafiles from filesystem"
"file_to_edit";"Language file type to edit"
"file_too_big";"Uploaded file exceeds the allowed size"
"filename";"Filename:"
"files_found";"Files found:"
"filter";"Filter"
"filter_address";"Show addresses that contain:"
"find_add_mmlink";"Find the ID to link to"
"find_fam_list";"Find Family List"
"find_family";"Find Family"
"find_familyid";"Find Family ID"
"find_id";"Find ID"
"find_individual";"Find Individual ID"
"find_media";"Find Media"
"find_mfile";"Find Media File"
"find_note";"Find General Note"
"find_noteid";"Find Note ID"
"find_place";"Find Place"
"find_repository";"Find Repository"
"find_source";"Find Source"
"find_sourceid";"Find Source ID"
"find_specialchar";"Find Special Characters"
"first_last_same";"Firstname and lastname must not be the same"
"first_letter_fam_fname";"Choose a letter to show families whose first name starts with that letter."
"first_letter_fam_sname";"Choose a letter to show families whose surname starts with that letter."
"first_letter_fname";"Choose a letter to show individuals whose first name starts with that letter."
"first_letter_sname";"Choose a letter to show individuals whose surname starts with that letter."
"firstcousin";"First cousin"
"firstname";"First Name"
"firstname_alpha_index";"Firstname Alphabetical Index"
"firstname_search";"Given name"
"flagsfile";"Flag file"
"flushing";"Flushing contents"
"folder";"Folder"
"follow_spouse";"Check relationships by marriage."
"fontfile_error";"Font file not found on PHP server"
"for";"For"
"for_all_contact";"For technical support or genealogy questions, please contact"
"for_contact";"For help with genealogy questions contact"
"for_support";"For technical support and information contact"
"form";"Places are encoded in the form: "
"foster";"Foster"
"foster_brother";"Foster brother"
"foster_child";"Foster child"
"foster_daughter";"Foster daughter"
"foster_father";"Foster father"
"foster_mother";"Foster mother"
"foster_parents";"with foster parents"
"foster_sister";"Foster sister"
"foster_son";"Foster son"
"found_record";"Found record"
"friday";"Friday"
"friday_1st";"F"
"friend";"Friend"
"from";"from"
"full_name";"Full Name"
"gd_freetype";"PHP server misconfiguration: FreeType library required to use TrueType fonts."
"gd_helplink";"http://www.php.net/gd"
"gd_library";"PHP server misconfiguration: GD 2.x library required to use image functions."
"ged_change";"ChangeLog files"
"ged_config";"Configuration file"
"ged_download";"Download"
"ged_gedcom";"Data file"
"ged_import";"Import"
"ged_noshow";"This page has been disabled by the site administrator."
"ged_privacy";"Privacy file"
"ged_reupload";"Re-upload and import"
"ged_search";"SearchLog files"
"ged_title";"Title"
"gedadmin";"GEDCOM administrator"
"gedcom_adm_head";"File Administration"
"gedcom_block";"GEDCOM Welcome"
"gedcom_conf";"File Basics"
"gedcom_created_on";"This file was created on <b>#DATE# #TIME#</b>"
"gedcom_created_on2";"on <b>#DATE# #TIME#</b>"
"gedcom_created_using";"This GEDCOM was created using <b>#SOFTWARE# #VERSION#</b>"
"gedcom_deleted";"File [#GED#] successfully deleted."
"gedcom_descr";"The file Welcome block works the same as the User Welcome block.  It welcomes the visitor to the site and displays the title of the currently active database as well as the current date and time."
"gedcom_downloadable";"This file is downloadable over the internet!<br />Please see the SECURITY section of the <a href="readme.txt"><b>readme.txt</b></a> file to fix this problem"
"gedcom_editing_disabled";"Editing this GEDCOM has been disabled by the administrator."
"gedcom_exists";"A GEDCOM-file with this name is already in the database"
"gedcom_favorites";"This GEDCOM's Favorites"
"gedcom_favorites_block";"GEDCOM Favorites"
"gedcom_favorites_descr";"The file Favorites block gives the administrator the ability to designate individuals from the database so that their information is easily accessible to all.  This is a way to highlight people who are important in your family history."
"gedcom_file";"File:"
"gedcom_form_info";"(GEDCOM)"
"gedcom_news";"News"
"gedcom_news_block";"GEDCOM News"
"gedcom_news_descr";"The file News block shows the visitor news releases or articles posted by an admin user.<br /><br />The News block is a good place to announce a significant database update, a family reunion, or the birth of a child."
"gedcom_not_exist";"Gedcom does not exist."
"gedcom_not_imported";"This GEDCOM has not yet been imported."
"gedcom_path";"Path and name of GEDCOM on server"
"gedcom_stats";"GEDCOM Statistics"
"gedcom_stats_block";"GEDCOM Statistics"
"gedcom_stats_descr";"The file Statistics block shows the visitor some basic information about the database, such as when it was created and how many people are in it.<br /><br />It also has a list of the most frequent surnames.  You can configure this block to not show the Frequent Surnames list, and you can also configure the GEDCOM to remove or add names to this list.  You can set the occurrence threshold for this list in the GEDCOM configuration."
"gedcom_stats_show_surnames";"Show common surnames?"
"gedcom_title";"#gm_lang[ged_title]#"
"gedcomid";"GEDCOM INDI record ID"
"gedconf_head";"GEDCOM Configuration"
"gedrec_deleted";"Record successfully deleted."
"gen_ancestry_chart";"#PEDIGREE_GENERATIONS# Generation Ancestry Chart"
"gen_fan_chart";"#PEDIGREE_GENERATIONS# Generation Circle Diagram"
"gen_ped_chart";"#PEDIGREE_GENERATIONS# Generation Pedigree Chart"
"gen_thumb";"Create thumbnail"
"genealogy_contact";"Genealogy contact"
"general_privacy";"General Privacy settings"
"generate_report_title";"Generate report titles"
"generate_thumbnail";"Generate thumbnail automatically from "
"generated_by";"Generated by"
"generations";"Generations"
"genmod_lang";"Automatic"
"genmodnews";"Genmod News"
"given_name";"Given Name:"
"global_facts";"Global Fact Level Privacy settings"
"gm_config_write_error";"Error!!! Cannot write to the Genmod configuration file.<br />Please check file and directory permissions and try again."
"gm_registry";"View other sites using Genmod"
"gm_username";"Genmod username:"
"go";"Go"
"godfather";"Godfather"
"godmother";"Godmother"
"godparent";"Godparent"
"grandchild";"Grandchild"
"granddaughter";"Granddaughter"
"grandson";"Grandson"
"gregorian";"Gregorian"
"halfbrother";"Half-Brother"
"halfsibling";"Half-Sibling"
"halfsister";"Half-Sister"
"hashcode";"Verification code:"
"head";"Header"
"header";"Header"
"hebrew_and_gregorian";"Hebrew and Gregorian"
"help_ahnentafel.xml";"~#gm_lang[ahnentafel_report]#~<br />This is a report of the selected person and his ancestors, printed in booklet format.  It starts with the first person and then continues with his or her parents, grand-parents, etc.<br /><br />Note that the ahnentafel report is only available in English at this time.<br /><br />"
"help_ancestry.php";"~#gm_lang[ancestry_chart]# page~<br /><br />The Ancestry page is very similar to the <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, but with more details and alternate <a href="?help=chart_style_help">#gm_lang[chart_style]#</a> displays.<br /><br />Each ancestry is shown with a unique number, calculated according to the <i>Sosa-Stradonitz</i> system:<ul><b>Even</b> numbers for men (child*2)<br /><b>Odd</b> numbers for women (husband+1) except for <b>1</b></ul><br />Example:<br /><ul>The root person is <b>1</b>, regardless of sex.<br /><b>1</b>'s father is <b>2</b> (<b>1</b> * 2), mother is <b>3</b> (<b>2</b> + 1).<br /><b>2</b>'s father is <b>4</b> (<b>2</b> * 2), mother is <b>5</b> (<b>4</b> + 1).<br /><b>3</b>'s father is <b>6</b> (<b>3</b> * 2), mother is <b>7</b> (<b>6</b> + 1).<br /><b>7</b>'s father is <b>14</b> (<b>7</b> * 2), mother is <b>15</b> (<b>14</b> +1).<br />etc.</ul><br />"
"help_birthlist.xml";"~#gm_lang[birth_report]#~<br />With this report you can list all of the people who were born at a certain time or place.<br /><br />"
"help_calendar.php";"~#gm_lang[anniversary_calendar]#~<br /><br /><ul><li><a href="#calendar_general"><b>General information</b></a><li><a href="#calendar_day"><b>#gm_lang[day]#</b></a><li><a href="#calendar_month"><b>#gm_lang[month]#</b></a><li><a href="#calendar_year"><b>#gm_lang[year]#</b></a><li><a href="#calendar_show"><b>#gm_lang[show]# / #gm_lang[showcal]#</b></a><li><a href="#calendar_sex"><b>#gm_lang[sex]#</b></a><li><a href="#calendar_event"><b>Event</b></a><li><a href="#calendar_button"><b>View Day / View Month / View Year buttons</b></a><li><a href="#calendar_tip"><b>Tip</b></a></ul><br /><a name="calendar_general"></a>The #gm_lang[anniversary_calendar]# shows the persons and families who are linked to an event at a certain day or month or during a certain period of time. It has an advanced filtering system to select the right date, period, and events for you.<dl><dt><b>View <a href="#calendar_day">Day</a></b></dt><dd>This shows the events on a certain day, independent of the selected year. Output will be either a single list with the names of individuals or families, or a two-column list with individuals on one side and families on the other.</dd><br /><dt><b>View <a href="#calendar_month">Month</a></b></dt><dd>In this calendar the names of individuals and families are shown inside the Day boxes. The calendar is shown as it was in the year you entered into the Year box. All events that happened in the past up to that year are shown.<br /><br />In combination with the option <a href="#calendar_show"><b>#gm_lang[recent_events]#</b></a>, it will give a realistic view of what a calendar of your ancestors looked like.</dd><br /><dt><b>View <a href="#calendar_year">Year</a></b></dt><dd>This shows the events in a certain year or during a number of years. Output will be a list with the names of individuals or families, or a two-column list with individuals on one side and families on the other.</dd></dl>The currently shown day and month are highlighted in the calendar menu.<br /><br />All names and dates are clickable.  When you click on a name you will be taken to the relevant Details page. Clicking on a date will jump to "Today" or "Year" mode, which will display all events for the day and month in the clicked date.<br /><br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_day"> </a>#gm_lang[annivers_date_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_month"> </a>#gm_lang[annivers_month_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_year"> </a>#gm_lang[annivers_year_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_show"> </a>#gm_lang[annivers_show_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_sex"> </a>#gm_lang[annivers_sex_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_event"> </a>#gm_lang[annivers_event_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_button"> </a>#gm_lang[day_month_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_tip"> </a>#gm_lang[annivers_tip_help]#"
"help_clippings.php";"~THE FAMILY TREE CLIPPINGS CART~<br />The #gm_lang[clip_cart]# allows you to take extracts ("clippings") from this family tree and bundle them up into a single file for downloading and subsequent importing into your own genealogy program.  The downloadable file is recorded in GEDCOM format.<br /><ul><li>How to take clippings?<br />This is really simple. Whenever you see a clickable name (individual, family, or source) you can go to the Details page of that name. There you will see the <b>#gm_lang[add_to_cart]#</b> option.  When you click that link you will be offered several options to download.</li><br /><li>How to download?<br />Once you have items in your cart, you can download them just by clicking the <b>Download Now</b> link.  Follow the instructions and links.</li></ul><br />"
"help_config";"Configuration help"
"help_contents";"Help Contents"
"help_contents_gedcom_info";"GEDCOM info"
"help_contents_gedcom_places";"Places in the GEDCOM"
"help_descendancy.php";"~THE DESCENDANCY PAGE~<br /><br />This page will show the descendants of a person.<br /><br />You can choose a starting (root) person for this Descendancy chart or you can be linked to this page by clicking the <b>#gm_lang[descend_chart]#</b> link on another page.  Click on Arrow icons to navigate this tree in the direction of the arrow.  Click on the Chart icon in any Person box to change the root of the tree to that person.<br /><br />"
"help_edit_merge.php";"~#gm_lang[merge_records]#~<br /><br />This page will allow you to merge two GEDCOM records from the same GEDCOM file.<br /><br />This is useful for people who have merged GEDCOMs and now have many people, families, and sources that are the same.<br /><br />The page consists of three steps.<br /><ol><li>You enter two GEDCOM IDs.  The IDs <u>must</u> be of the same type.  You cannot merge an individual and a family or family and source, for example.<br />In the <b>#gm_lang[merge_to]#</b> field enter the ID of the record you want to be the new record after the merge is complete.<br />In the <b>#gm_lang[merge_from]#</b> field enter the ID of the record whose information will be merged into the #gm_lang[merge_to]# record.  This record will be deleted after the Merge.</li><br /><li>You select what facts you want to keep from the two records when they are merged.  Just click the checkboxes next to the ones you want to keep.</li><br /><li>You inspect the results of the merge, just like with all other changes made online.</li></ol>Someone with Accept rights will have to authorize your changes to make them permanent.</li></ul><br />"
"help_editconfig.php";"~CONFIGURE Genmod~<br /><br />On this page you configure the global settings for Genmod.  You have to do this after you have installed Genmod and are running it for the first time.<br /><br />#gm_lang[review_readme]#As these settings are <b>global</b>, they are for the whole program and for all genealogical databases you use with Genmod.<br /><br />Each genealogical database also has additional configuration options that you set after clicking the <b>#gm_lang[admin_gedcoms]#</b> link on this page.<br /><br />You can also access the #gm_lang[gedcom_adm_head]# function from the main Admin page, whose link is found under the #gm_lang[mgv]# icon or in the header of most pages.  On the Admin page, the relevant link is called <b>#gm_lang[manage_gedcoms]#.</b><br /><br />"
"help_family.php";"~FAMILY DETAILS PAGE~<br /><br />This page will show you an overview of the family that you chose on a previous page.<br /><br />From top to bottom you will see the Personal Details boxes of the husband and his parents, the wife and her parents, and the children.<br /><br />The layout and contents of the Person Boxes are the same as the boxes that you already know from the Pedigree and Descendancy pages.<br /><br />To the right of the Parent boxes you may see an arrow if more ancestors exist in the file. When you click that arrow, you will move up a generation to show you a new family page with the previous parents now listed as the husband and wife.<br /><br />At the right side within the name box you may see a Zoom (magnifying glass) icon which you can click to reveal more details about the individual. When you click the name you will be taken to the #gm_lang[indi_info]# page of that person.<br /><br />Also at the right side you will find a small menu to take you to pages with charts or more information.  Some of these menu items also have sub-menus which will appear when your mouse pointer approaches the parent menu item.<br /><br />The Family Group Information box shows all known facts and information about this family, such as marriage, multimedia objects, and notes. In the Fact Information box, clicking a place will take you to the Place list, where all other families and individuals who are connected to that place are shown. Clicking a date will jump to the Day calendar, which will show all events that happened on that day and month in history. Multi-media objects can be clicked; this will open a new window in which the object is viewed. When you click on the picture caption, you will see the picture on the #gm_lang[media_list]# page. If you click on a Source link, the details of that source will be displayed on the Source page.<br /><br />Below the name boxes of the children you find the <b>Add a child to this Family</b> link.  Next to the name boxes of the children you see the <b>Family Group Information</b> link.  If you have enough rights, you can edit, delete, and add data and facts here.<br /><br />As with the #gm_lang[indi_info]# page, you will see a menu at the top right of the page.  Entries in this menu take you to other pages where you can get information about this family or perform other tasks related to this family.#gm_lang[more_help]#"
"help_famlist.php";"~FAMILY LIST PAGE~<br /><br />On this page you can display a list of families.  The names will be displayed with surnames first and sorted into alphabetical order.<br /><br />The output of the Name list depends on:<ol><li>The letter you clicked in the Alphabetical index.</li><li>Whether you clicked "Skip" or "Show" Surname List.</li></ol>You can search on the husband's or the wife's surname;  both are included in the list.<br /><br />#gm_lang[context_help]#<br /><br />"
"help_fanchart.php";"~#gm_lang[fan_chart]# page~<br /><br />The Circle Diagram is very similar to the <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, but in a more graphical way.<br /><br />The Root person is shown in the center, his parents on the first ring, grandparents on the second ring, and so on.<br /><br />Years of birth and death are printed under the name when known.<br /><br />Clicking on a name on the chart will open a links menu specific to that person.  From this menu you can choose to center the diagram on that person or on one of that person's close relatives, or you can jump to that person's #gm_lang[indi_info]# page or a different chart for that person.<br /><br />"
"help_faq.php";"~Frequently Asked Questions~<br />#gm_lang[text_faq_help]#<br />"
"help_for_this_page";"Help with this page"
"help_header";"Information about:"
"help_hourglass.php";"~#gm_lang[hourglass_chart]#~<br /><br />The Hourglass chart will show the ancestors and descendants of the selected root person on the same chart.  This chart is a mix between the Descendancy chart and the Pedigree chart.<br /><br />The root person is centered in the middle of the page with his descendants listed to the left and his ancestors listed to the right.  In this view, each generation is lined up across the page starting with the earliest generation and ending with the latest.<br /><br />If there is a downwards arrow on the screen under the root person, clicking on it will display a list of the root person's close family members that you can use the navigate down the chart.  Selecting a name from this list will reload the chart with the selected person as the new root person."
"help_indilist.php";"~INDIVIDUALS LIST PAGE~<br /><br />On this page you can display a list of individuals.  The names will be displayed with surnames first and sorted into alphabetical order.<br /><br />The output of the Name list depends on:<ol><li>The letter you clicked in the Alphabetical index.</li><li>Whether you clicked "Skip" or "Show" Surname List.</li></ol>#gm_lang[context_help]#<br /><br />"
"help_individual.php";"~#gm_lang[indi_info]# PAGE~<br /><br />All details of a person are displayed on this page.<br /><br />If there is a picture available, you will see it at the top left side.  You will see the names of the person next to the picture.<br /><br />Names can have notes and sources attached to them. If any of the names have notes or sources, you will see them listed under the names they relate to.<br /><br />A person might have an AKA (maybe he's known under another name). If that is the case, it will be displayed.<br /><br />If you have Edit rights to this person, you will also see <b>Edit</b>, <b>Copy</b> and <b>Delete</b> links next to the items that you can edit. The copy option works as a clipboard. When you choose copy, the fact is copied to the clipboard and can be used to create a new fact. Choosing to add a new fact after you have chosen to copy the old fact, you will see clipboard in the dropdown menu of facts you can add. The maximum number of items on the clipboard is 5. If the clipboard is full and you add a new fact to the clipboard, the first one is removed and the new one added as the last one.<br /><br />On this page you see tab sheets for <b>#gm_lang[personal_facts]#</b>, <b>#gm_lang[notes]#</b>, <b>#gm_lang[ssourcess]#</b>, <b>#gm_lang[media]#</b>, and <b>#gm_lang[relatives]#</b>.  These tab sheets show you all the information about this individual that is stored in the database.<br /><ul><li>The <b>#gm_lang[personal_facts]#</b> tab will show you the facts and details about this person and any fact from their marriages. Clicking on any date on this tab will take you to the #gm_lang[anniversary_calendar]# for that date, so that you can see other events that happened on the same day. Clicking on a place will take you to the Place Hierarchy where you can view other people who had events in the same place. For marriage and other family related facts, the name of the person's spouse is available so that you can view the spouse and a link to the family record is also provided.</li><br /><li>The <b>#gm_lang[notes]#</b> tab will show you any general notes relating to this person.</li><br /><li>The <b>#gm_lang[ssourcess]#</b> tab will show you all of the <u>general</u> sources for this person. These sources are <u>not</u> linked to individual facts, not even the person's name; they are associated with the individual himself.  Clicking on the title of a source will take you to a more detailed Source Information page that will display other people who are also linked to the same source.</li><br /><li>The <b>#gm_lang[media]#</b> tab will list all of the pictures and other media items that are attached to this individual. Clicking on a thumbnail of the picture will open up a larger view of the image. Clicking on the picture caption will show you the picture on the #gm_lang[media_list]# page.</li><br /><li>The <b>#gm_lang[relatives]#</b> tab lists this person's parents and siblings as well as all of the spouses and children that this person has had. These persons will be listed in boxes similar to the charts that you may have already seen.</li></ul>On the right of the screen you will find a box with links.  Many of the links in the box are the same as the links in the menus. For example, clicking on the <b>#gm_lang[pedigree_chart]#</b> link on the side links will take you to the Pedigree chart for this person. This is different from the menu links, because clicking on the <b>#gm_lang[pedigree_chart]#</b> link in the menu will take you back to the default Pedigree chart for this database.<br /><br />One of the links that might appear in this list if it has been enabled by the admin, is the <b>#gm_lang[view_gedcom]#</b> link. This link will show you the raw GEDCOM record of this individual.<br /><br />If the #gm_lang[clip_cart]# has been enabled by the site admin, you will also have a link that will allow you to add this person to your #gm_lang[clip_cart]#.<br /><br />The <b>#gm_lang[relationship_to_me]#</b> link will only appear if you are logged in and have been assigned an ID in the GEDCOM. This link will take you to the Pedigree chart and show you how you are related to this person.<br /><br />#gm_lang[context_help]#<br /><br />"
"help_info";"You can get help for each item by clicking on the red &quot;?&quot; beside the label for each cell."
"help_medialist.php";"~MULTIMEDIA OBJECT LIST~<br /><br />This page lists all of the Multimedia Objects (MMO) that can be found in this database.<br /><br />For each of the media items you see the title or filename of the item, names of the individuals or families connected to the item, and notes about the item.<br /><br />Clicking the title or filename of the item has the same effect as clicking its thumbnail.  The item will be opened in the image viewer built into Genmod or in the viewer specified in your browser's configuration.<br /><br />When you click on the "View" link next to the person or family, you will be taken to the relevant Details page.<br /><br />"
"help_not_exist";"Help text for this page or item is not yet available."
"help_page";"Help"
"help_pedigree.php";"~THE PEDIGREE PAGE~<br />A pedigree is an enumeration of all ancestors of the starting person.  Users who are not logged in see the pedigree of the starting (root) person chosen by the site administrator.  Logged in users can select their own starting (root) person.<br /><br />In this context, "All ancestors" means the father and mother, their parents, and so on.  The pedigree is displayed graphically; you don't have to struggle through pages of text to determine your ancestors.<br /><br />All individuals are displayed in Name boxes on the screen.<br /><ul><li><b>Name boxes on the pedigree</b><br />If the Pedigree page is set to show details, you will see the person's name and birth and death dates.  You can click on a person's name to take you directly to the #gm_lang[indi_info]# page of that person.<br /><br />When <b>Show details</b> is on there are two icons inside the name box.</li><br /><li><b>Pedigree icon inside the Name box</b><br />When the option <b>Show Details</b> is on, you see a Pedigree icon in the Name box. Depending on the site settings, you have to hover over the icon or click on it.  When you click on or hover over this icon, a small sub-menu appears.<br /><br />The items <b>#gm_lang[index_header]#</b> and <b>#gm_lang[descend_chart]#</b> are similar to those items in the main menu, but the difference is that the starting person is now the individual of mentioned in the Name box.  You also see <b>#gm_lang[as_spouse]#</b>. Underneath that you see the name of the spouse followed by the names of the children.  All names are clickable.</li><br /><li><b>Magnifying glass inside the Name box</b><br />Depending on the site settings, you have to hover over the icon or click on it.  This magnifies the Name box so that more details will be displayed.  You will see more dates and events. Names are clickable.</li><br /><li><b>Arrows</b><br />On the left or right of the leftmost or rightmost Name boxes you may see arrows.  When you click on these arrows the screen display will shift in the direction of the arrow.</li></ul><br />#gm_lang[context_help]#<br/ ><br />"
"help_placelist.php";"~PLACE HIERARCHY~<br />(or Persons Per Place)<br /><br />This page will show you a hierarchy of the places in the GEDCOM and which individuals or families are connected to a location.<br /><br />If there is any connection between an individual or family and an event at a certain location, Genmod will find it.<br /><br />The results are displayed in a two-column list, one column for individuals and one for families.<br /><br />#gm_lang[more_help]#"
"help_relationship.php";"~RELATIONSHIP PAGE~<br /><br />On this page you can display the relationship between any two people.  These people do not have to be directly related by blood line;  any relation will be found.<br /><br />"
"help_relativelist.xml";"~#gm_lang[relatives_report]#~<br />This report will list all of the relatives of the selected individual.  You can choose which of the person's relatives to show on the report.<ul><li><b>#gm_lang[child-family]#</b> will show the selected person, his parents, and his brothers and sisters.</li><li><b>#gm_lang[spouse-family]#</b> will list the person with his or her spouses and their children.</li><li><b>#gm_lang[direct-ancestors]#</b> will list the person, his parents, grand-parents, great-grand-parents, and continue up the tree listing all of the people who are parents in the person's lineage.</li><li><b>#gm_lang[ancestors]#</b> will list all of the people from the #gm_lang[direct-ancestors]# list but also include aunts and uncles and great-aunts and great-uncles, so it will include the siblings of all of the ancestors in this person's family tree.  It will not list the children of the siblings (cousins).</li><li><b>#gm_lang[descendants]#</b> will list all of this person's descendants (children, grand-children, great-grand children, etc).</li><li><b>#gm_lang[all]#</b> this option is a combination of the #gm_lang[descendants]# and the #gm_lang[ancestors]# in a single report.</li></ul><br /><br />"
"help_repo.php";"~#gm_lang[repo_info]#~<br /><br />The details of the Repository are displayed here. Together with Sources, Repositories are very important to genealogical researchers.  With accurate Source and Repository information, you can follow the trail another researcher used to find the information.  You should be able to find that same information again.<br /><br />On this page you may see information about the Repository's title, address, email and webpage.<br /><br />After the repository details, will be a list of all sources that are linked to this repository. This allows you to see all of the information that was obtained from a particular repository.<br /><br />If enabled by the site admin, you will have one or two more menu icons on this page:<br /><b>#gm_lang[view_gedcom]#</b>, which shows the information in GEDCOM format.<br /><b>#gm_lang[add_to_cart]#</b>, which enables you to store this information in your #gm_lang[clip_cart]#. From there you can download the information in GEDCOM file format and import it into your own genealogy program.<br /><br />#gm_lang[context_help]#<br /><br />"
"help_repolist.php";"~#gm_lang[repo_list]#~<br /><br />A list of repositories is displayed on this page.<br /><br />The names of the repositories are sorted into alphabetical order.<br /><br /><b>REPOSITORIES</b><br />Without repositories we cannot build our database. There is a source for all information stored in the database, and that source is kept in a repository. Repositories can be the personal archive of a person, an institution, a public database, a government or church records office, an Internet resource, etc. To get access to a source we will want to know where and in what place it is. All necessary information to find a source should be stored in the Repository record.<br /><br />A repository can be linked to many sources.<br /><br />"
