"stat_sources";"Källor, "
"show_surnames";"Visa efternamnslistan"
"all";"Alla"
"hidden";"Dold"
"confidential";"Konfidentiellt"
"alpha_index";"Alfabetiskt index"
"name_list";"Namnlista"
"firstname_alpha_index";"Alfabetisktindex för förnamn"
"age";"Ålder"
"days";"Dagar"
"months";"månader"
"years";"år"
"day1";"dag"
"month1";"månad"
"year1";"år"
"timeline_title";"Genmod tidslinje"
"remove_person";"Ta bort person"
"show_age";"Visa åldersmarkering"
"add_another";"Lägg till en ny person till diagrammet:<br />Person ID:"
"find_id";"Sök ID"
"show";"Visa"
"year";"År:"
"timeline_instructions";"I de flesta nyare webläsare kan man klicka och dra runt boxarna i diagrammet."
"zoom_in";"Zooma in"
"zoom_out";"Zooma ut"
"select_an_option";"Välj alternativ nedan:"
"readme_documentation";"README-dokumentation"
"view_readme";"Visa readme.txt-fil"
"configuration";"Konfiguration"
"rebuild_indexes";"Återskapa indexfilerna"
"user_admin";"Användaradministration"
"inc_languages";"Språk"
"user_created";"Ny användare skapad."
"user_create_error";"Går inte att skapa användare.  Var snäll gå tillbaka och försök igen."
"password_mismatch";"Lösenorden stämmer inte överens."
"enter_username";"Du måste mata in ett användarnamn."
"enter_fullname";"Du måste ange användarens fullständiga namn."
"enter_password";"Du måste ange ett lösenord."
"confirm_password";"Du måste bekräfta lösenordet."
"update_user";"Uppdatera användarkonto"
"update_myaccount";"Uppdatera mitt konto"
"save";"Spara"
"delete";"Radera"
"edit";"Ändra"
"full_name";"Fullständigt namn"
"visibleonline";"Synlig för andra användare när du är online"
"comment";"Administratörens kommentarer om användaren"
"comment_exp";"Adminstratörvarning utfärdad den"
"editaccount";"Tillåt användaren att redigera sin kontoinformation"
"admin_gedcom";"Administrera GEDCOM"
"confirm_user_delete";"Är det säkert att du vill ta bort denna användare"
"create_user";"Skapa ny användare"
"no_login";"Kan inte logga in användaren."
"import_gedcom";"Importera denna GEDCOM-fil"
"duplicate_username";"Användarnamn upptaget.  En användare med det användarnamnet finns redan.  Gå tillbaka och välj ett annat namn och försök igen."
"gedcomid";"GEDCOM personpostID"
"enter_gedcomid";"Du måste ange ett GEDCOM-ID."
"user_info";"'Min användare' information"
"rootid";"Startperson för antavla"
"download_gedcom";"Ladda ner GEDCOM-fil"
"upload_gedcom";"Ladda upp GEDCOM-fil"
"add_new_gedcom";"Skapa ny GEDCOM-fil"
"gedcom_file";"GEDCOM-fil:"
"enter_filename";"Du måste skriva in ett filnamn för GEDCOM-filen"
"file_not_exists";"Filnamnet du skrev finns inte."
"file_not_present";"Filen existerar inte."
"file_exists";"Det finns redan en GEDCOM-fil med det filnamnet. Välj ett annat namn eller radera den gamla filen."
"new_gedcom_title";"Genealogi från [#GEDCOMFILE#]"
"upload_error";"Det uppstod ett fel vid uppladdningen av din fil."
"add_gedcom_instructions";"Skriv in ett filnamn för den nya GEDCOM-filen. Den nya GEDCOM-filen kommer att skapas i Indexmappen:"
"file_success";"Filen laddades upp utan problem"
"file_too_big";"Uppladdad fil överskrider max tillåtna storlek"
"file_partial";"Filen blev endast delvis uppladdad, var god försök igen"
"file_missing";"Ingen fil mottogs. Ladda upp filen igen."
"manage_gedcoms";"Administrera GEDCOM-filer och integritetsinställningar"
"research_log";"Forskningslog"
"administration";"Administration"
"ansi_to_utf8";"Konvertera denna ANSI(iso-8859-1) kodade GEDCOM till UTF-8?"
"utf8_to_ansi";"Vill du konvertera från UTF-8 till ANSI(ISO-8859-1)?"
"visitor";"Besökare"
"user";"Inloggade användare"
"gedadmin";"GEDCOM-administratör"
"siteadmin";"Sajt-administratör"
"apply_privacy";"Tillämpa integritetsinställningar?"
"choose_priv";"Välj integritetsnivå:"
"user_manual";"Genmod användarmanual"
"upgrade";"Uppgradera Genmod"
"view_logs";"Visa loggfiler"
"logfile_content";"Innehåll i loggfil"
"step1";"Steg 1 av 4:"
"step2";"Steg 2 av 4:"
"step3";"Steg 3 av 4:"
"step4";"Steg 4 av 4:"
"validate_gedcom";"Validera GEDCOM-filen"
"img_admin_settings";"Ändra bildmanipuleringskonfigurationen"
"download_note";"NOTERING: Stora GEDCOM kan ta lång tid att processa innan nerladdning. Om PHP-tidsinställningen är för kort är det inte säkert att din nerladdning blir komplett.<br /><br />Du kan kontrollera din nerladdad GEDCOM-fil efter <b>0 TRLR</b> raden i slutet av filen för att försäkra dig om att filen är komplett. GEDCOM-filen är text, du kan använda en texteditor, men var försiktig så att du <u>inte</u> sparar GEDCOM-filen efter du kontrollerat den.<br /><br />Vanligtvis kan det ta lika lång tid att ladda ner som det tog att importera din GEDCOM."
"gm_registry";"Visa andra Genmod-sajter"
"verify_upload_instructions";"Om du väljer att fortsätta kommer den gamla GEDCOM-filen att ersättas med filen du har laddat upp och importprocessen kommer att börja igen. Om du väljer att avbryta kommer den gamla GEDCOM-filen att förbli oförändrad."
"cancel_upload";"Avbryt uppladdning"
"add_media_records";"Lägg till mediaposter"
"manage_media_files";"Hantera mediafiler"
"link_media_records";"Länka media till individ"
"add_media_button";"Lägg till media"
"media_linked";"Detta mediaobjekt länkat till följande:"
"media_not_linked";"Detta mediaobjekt är inte länkat till någon GEDCOM-post."
"phpinfo";"PHP Info"
"admin_info";"Information"
"admin_geds";"Data och GEDCOM-administration"
"admin_site";"Sajtadministration"
"person1";"Person 1"
"person2";"Person 2"
"no_link_found";"Ingen (annan) koppling mellan de två personerna kunde hittas."
"sibling";"Syskon"
"follow_spouse";"Kontrollera förhållanden via giftermål."
"timeout_error";"Skriptet tog för lång tid innan någon relation kunde hittas."
"son";"Son"
"daughter";"Dotter"
"son-in-law";"Svärson"
"daughter-in-law";"Svärdotter"
"grandchild";"barnbarn"
"grandson";"sonson"
"granddaughter";"dotterdotter"
"brother";"Bror"
"sister";"Syster"
"brother-in-law";"Svåger"
"sister-in-law";"Svägerska"
"aunt";"Faster/moster"
"uncle";"Farbror/morbror"
"firstcousin";"Kusin"
"femalecousin";"Kvinnlig kusin"
"malecousin";"Manlig kusin"
"relationship_to_me";"Förhållande till mig"
"rela_husb";"Relation till make"
"rela_wife";"Relation till maka"
"next_path";"Hitta nästa sökväg"
"show_path";"Visa sökväg"
"line_up_generations";"Rada upp samma generationer"
"oldest_top";"Visa den äldsta överst"
"check_delete";"Är du säker på att du vill ta bort denna GEDCOM-fakta?"
"access_denied";"<b>Åtkomst nekad</b><br />Du saknar behörighet till denna resurs."
"gedrec_deleted";"GEDCOM-post raderad."
"gedcom_deleted";"Radering av GEDCOM [#GED#] lyckades."
"changes_exist";"Förändringar har gjorts på denna GEDCOM-fil."
"accept_changes";"Acceptera / Förkasta ändringar"
"edit_raw";"Redigera rå GEDCOM-post"
"show_changes";"Denna post har uppdaterats. Klicka här för att se ändringarna."
"hide_changes";"Klicka här för att dölja ändringar."
"review_changes";"Granska ändringar i GEDCOM-fil"
"undo";"Ångra"
"view_change_diff";"Visa förändringar"
"changes_occurred";"Följande ändringar har gjorts för denna person:"
"find_place";"Sök ort"
"refresh";"Ladda om"
"close_window";"Stäng fönster"
"close_window_without_refresh";"Stäng fönster utan att ladda om"
"place_contains";"Orten består av:"
"accept_gedcom";"Bestäm för varje ändring att antingen godkänna eller underkänna den.<br /><br />För att godkänna alla ändringar på en gång, klicka <b>"Accpetera alla ändringar"</b> i boxen nedan.<br />För att få mer information om ändringar, <br />Klicka på <b>"Visa Ändringar"</b> för att se skillnaderna mellan den gamla och den nya posten, <br />eller klicka <b>"Visa GEDCOM-post"</b> för att se den nya datan i GEDCOM-format."
"ged_import";"Importera"
"now_import";"Nu bör du importera GEDCOM-posterna in i Genmod genom att klicka på import länken nedan."
"add_fact";"Lägg till ny fakta tag"
"add";"Lägg till"
"custom_event";"Specialhändelse"
"update_successful";"Uppdatering genomförd"
"add_child";"Lägg till barn"
"add_child_to_family";"Lägg till barn till denna familj"
"add_sibling";"Lägg till en bror eller syster"
"add_son_daughter";"Lägg till en son eller dotter"
"must_provide";"Du måste tillhandahålla"
"delete_person";"Radera denna person"
"confirm_delete_person";"Är du säker på att du vill ta bort denna person från GEDCOM-filen?"
"find_media";"Hitta media"
"set_link";"Sätt länk"
"add_source_lbl";"Lägg till källcitat"
"add_source";"Lägg till nytt källcitat"
"add_note_lbl";"Lägg till en anteckning"
"add_note";"Lägg till ny anteckning"
"add_media_lbl";"Lägg till media"
"add_media";"Lägg till ny mediaartikel"
"delete_source";"Radera källa"
"confirm_delete_source";"Är du säker på att du vill radera denna källa från GEDCOM-filen?"
"add_husb";"Lägg till make"
"add_husb_to_family";"Lägg till en make till denna familj"
"add_wife";"Lägg till maka"
"add_wife_to_family";"Lägg till en maka till denna familj"
"find_family";"Hitta familj"
"find_fam_list";"Hitta familjelista"
"add_new_wife";"Lägg till en ny maka"
"add_new_husb";"Lägg till en ny make"
"edit_name";"Ändra namn"
"delete_name";"Radera namn"
"no_temple";"Inget tempel - Living Ordinance"
"replace";"Ersätt post"
"append";"Lägg till post"
"add_father";"Lägg till en ny fader"
"add_mother";"Lägg till en ny moder"
"add_obje";"Lägg till ett nytt multimediaobjekt"
"no_changes";"Det finns för närvarande inga ändringar som behöver granskas."
"accept";"Godkänn"
"accept_all";"Godkänn alla ändringar"
"accept_successful";"Godkända ändringar införda i databasen"
"select_date";"Välj ett datum"
"create_source";"Skapa en ny källa"
"new_source_created";"Ny källa skapades korrekt."
"paste_id_into_field";"Klistra in följande källid in i ditt redigeringsfält för att referera till denna källa  "
"add_name";"Lägg till nytt namn"
"privacy_not_granted";"Du har inte access till"
"user_cannot_edit";"Detta användarnamn kan inte redigera denna GEDCOM-fil."
"gedcom_editing_disabled";"Redigering av denna GEDCOM har stängta av av administratören."
"privacy_prevented_editing";"Integritetsinställningarna hindrar dig från att redigera denna post."
"add_asso";"Lägg till ny bekant"
"edit_sex";"Redigera kön"
"ged_noshow";"Denna sida har spärrats av sajtadminstratören."
"bdm";"Födda, döda, vigda"
"on_this_day";"Historiska händelser denna dag..."
"in_this_month";"I denna månad, i din historia..."
"in_this_year";"Historiska händelser detta år..."
"year_anniversary";"#year_var# årsdag"
"today";"Idag"
"day";"Dag:"
"month";"Månad:"
"showcal";"Visa händelser för:"
"sunday";"Söndag"
"monday";"Måndag"
"tuesday";"Tisdag"
"wednesday";"Onsdag"
"thursday";"Torsdag"
"friday";"Fredag"
"saturday";"Lördag"
"all_people";"Alla personer"
"living_only";"Levande Personer"
"recent_events";"Senare år(< 100 år)"
"day_not_set";"Dag inte satt"
"year_error";"Ursäkta, men datum före 1970 stöds inte."
"lost_password";"Förlorat ditt lösenord?"
"requestpassword";"Begär nytt lösenord"
"no_account_yet";"Inget konto än?"
"requestaccount";"Begär nytt användarkonto"
"emailadress";"E-postadress"
"mandatory";"Fält markerat med * är obligatoriska."
"mail01_line01";"Hej #user_fullname# ..."
"mail01_line02";"En begäran mottogs från (#SERVER_#NAME) om att skapa ett konto med din e-postadress (#user_email#)."
"mail01_line03";"Informationen om förfrågan visas under länken nedan."
"mail01_line04";"Klicka på länken nedan och fyll i den begärda datan för att verifiera ditt konto och e-postadress."
"mail01_line05";"Om du inte begärde ett konto kan du radera meddelandet."
"mail01_line06";"Du kommer inte få några fler mail från detta systemet efterom kontot kommer att raderas inom sju dagar om ingen verifiering görs."
"mail01_subject";"Din registrering på #SERVER_NAME#"
"mail02_line01";"Hej administratör..."
"mail02_line02";"En ny användare gjorde en ny användarregistrering på (#SERVER_NAME#)"
"mail02_line03";"Användaren fick ett e-postmeddelande med den nödvändiga datan för att kunna verifiera sitt konto."
"mail02_line04";"Så snart användaren har gjort sin verifiering kommer du att informeras via e-post. Du kan nu slutföra processen genom att aktivera användarnamnet. Den nya användaren kan inte logga in förrän du har aktiverat kontot."
"mail02_line04a";"Du kommer att bli informerad via epost när den användaren som ansökt om kontot har verifierat sig själv. Efter verifikation kommer användaren att kunna logga in utan att du behöver göra något."
"mail02_subject";"Ny registrering på #SERVER_NAME#"
"hashcode";"Verifieringskod:"
"thankyou";"Hej #user_fullname#...<br />Tack för din registrering"
"pls_note06";"Ni kommer att få en bekräftelse via e-post till e-postadressen(#user_email#). Använd bekräftelsen för att aktivera ditt konto, om du misslyckas att aktiver ditt konto inom sju dagar kommer det att raderas (du kan då registrera kontot igen).<br /><br />Efter du har följt instruktionerna i bekräftelse-eposten, måste administratören fortfarande godkänna din begäran innan du kan använda ditt konto.<br /><br />För att logga in på sajten måste du veta ditt användarnamn och lösenord."
"pls_note06a";"Vi kommer nu att skicka ett konfirmationsepost till adressen (#user_email#). Du måste verifiera ditt kontobegäran genom att följa instruktionerna i bekräftelse eposten. Om du inte verifierar ditt kontobegrän inom 7 dagar kommer din begäran att avslås automatiskt. Du för ansöka igen.<br /><br />Efter du följt instruktionerna i konfirmationsbegäran så kan du logga in. För att logga in på denna sajt måste du veta ditt användarnamn och lösenord."
"registernew";"Bekräftelse av ett nytt konto"
"user_verify";"Användarverifiering"
"send";"Skicka"
"pls_note07";"Skriv in ditt användarnamn, lösenord och verifieringskoden som du fick via e-post från systemet för att aktivera ditt konto."
"pls_note08";"Datan för användaren #user_name# är kontrollerad."
"mail03_line01";"Hej administratör"
"mail03_line02";"#newuser[username]# (#newuser[fullname]#) har verifierat registreringsdatan."
"mail03_line03";"Vänligen klicka på länken nedan för att logga in till din sajt för att redigera användaren och ge honom rättigheter att logga in på din sajt"
"mail03_line03a";"Du behöver inte göra något, användaren kan nu logga in."
"mail03_subject";"Ny verifiering på #SERVER_NAME#"
"pls_note09";"Du har konfirmerat din förfrågan att bli en registrerad användare."
"pls_note10";"Adminstratören har blivit informerad. Så snart han har gett dig rättigheter att logga in kan du logga in med ditt användarnamn och lösenord."
"pls_note10a";"Du kan nu logga in med ditt användarnamn och lösenord."
"data_incorrect";"Datan var inte korrekt, försök igen"
"user_not_found";"Kunde inte verifiera informationen du skrev in. Gå tillbaka och försök igen."
"lost_pw_reset";"Begär återställning av bortglömt lösenord."
"pls_note11";"För att få lösenordet återställt, ange ditt användarnamn och din e-postadress för ditt användarkonto.<br /><br />Vi kommer att skicka en speciell länk (URL) via e-post. Länken innehåller en bekräftelse-hash för ditt konto. Genom att besöka den sända URLn kommer du att få rättigheter att ändra lösenord och användarnamn för sajten. För att öka säkerheten skall du inte ge bekräftelse hashen till någon, inklusive administratörerna av denna sajt (vi kommer inte att fråga efter den).<br /><br />Om du behöver hjälp, kontakta då sajtens administratör."
"enter_email";"Du måste skriva in en e-postadress."
"mail04_line01";"Hej #user_fullname#..."
"mail04_line02";"Ett nytt lösenord efterfrågas för ditt användarnamn."
"mail04_line03";"Rekommendation:"
"mail04_line04";"Klicka på länken nedan, logga in med ditt nya lösenord. Ändra sedan lösenordet så att säkerheten bibehålls för din data."
"mail04_line05";"Efter att du logat in, välj '#gm_lang[myuserdata]#'-länken under '#gm_lang[mygedview]#'-menyn, fyll i lösenordsfälten för att ändra dit lösenord."
"mail04_subject";"Dataförfrågan på #SERVER_NAME#"
"pwreqinfo";"Hej...<br /><br />Ett e-post med det nya lösenordet sändes till e-postadressen.<br /><br />Kontrollera din e-postlåda om en liten stund.<br /><br />Rekommendation:<br /><br />Efter du fått ditt e-postmeddelande bör du logga in och ändra ditt lösenord för att öka säkerheten."
"editowndata";"Mitt konto"
"savedata";"Spara ändrade data"
"datachanged";"Användardata har ändrats"
"datachanged_name";"Du kommer kanske att behöva logga in igen med ditt nya användarnamn."
"myuserdata";"Mitt konto"
"verified";"Användaren verifierade sig själv"
"verified_by_admin";"Användare godkänd av admin"
"user_theme";"Mitt tema"
"mgv";"Min GedView"
"passwordlength";"Lösenordet måste innehålla minst 6 tecken."
"admin_approved";"Ditt konto på #SERVER_NAME# har blivit godkänt."
"you_may_login";"av sajt administratören. Du kan nu logga in på Genmod sajten genom att följa länken nedan:"
"welcome_text_auth_mode_1";"<center><b>Välkommen till denna genealogiska websajt</b></center><br />Access är tillåten för alla besökare som har ett användarkonto på denna sajt.<br /><br />Om du redan har ett konto kan du logga in på denna sida. Om du inte har ett konto ännu, kan du ansöka om ett genom att klicka på länken på denna sida.<br /><br />Efter att vi verifierat din information, kommer administratören att aktivera ditt konto. Du kommer att få ett e-postmeddelande när kontot aktiveras."
"welcome_text_auth_mode_2";"<center><b>Välkommen till denna genealogiska websajt</b></center><br />Access är tillåten endast för <u>auktoriserade</u> användare.<br /><br />Om du redan har ett konto kan du logga in på denna sida. Om du inte har ett konto ännu, kan du ansöka om ett genom att klicka på länken på denna sida.<br /><br />Efter att vi verifierat din information, kommer administratören att gogkänna eller avslå din begäran. Du kommer att få ett e-postmeddelande om din begäran godkänns."
"welcome_text_auth_mode_3";"<center><b>Välkommen till denna genealogiska websajt</b></center><br />Access är tillåten <u>endast för familjemedlemmar</u>. Om du redan har ett konto kan du logga in på denna sida. Om du inte har ett konto ännu, kan du ansöka om ett genom att klicka på länken på denna sida.<br /><br />Efter att vi verifierat din information, kommer administratören antingen godkänna eller avslå din begäran. Du kommer att få ett e-postmeddelande när kontot godkänns."
"welcome_text_cust_head";"<center><b>Välkommen till denna genealogiska websajt</b></center><br />Access är tillåten för användare som har ett användarkonto och lösenord för denna websajt.<br />"
"welcome";"Välkommen"
"upcoming_events";"Kommande händelser"
"living_or_all";"Visa händelser enbart för levande personer?"
"basic_or_all";"Visa endast födda, döda och vigda?"
"no_events_living";"Inga händelser för levande personer existerar för de närmaste #gm_lang[global_num1]# dagarna."
"no_events_living1";"Inga händelser för levande personer existerar för imorgon."
"no_events_all";"Inga händelser existerar de närmaste #gm_lang[global_num1]# dagarna."
"no_events_all1";"Inga händelser existerar för imorgon."
"no_events_privacy";"Händelser finns för de närmaste  #gm_lang[global_num1]# dagarna, men integritetsrestriktioner hindrar dig från att se dem."
"no_events_privacy1";"Händelser finns för imorgon, men integritetsrestriktioner hindrar dig från att se dem."
"more_events_privacy";"<br />Fler händelser existerar för de följande #gm_lang[global_num1]# dagarna, men integritetsrestriktioner förhindrar dig att se dem."
"more_events_privacy1";"<br />Fler händelser existerar för imorgon, men integritetsrestriktioner förhindrar dig att se dem."
"none_today_living";"Inga händelser för levande personer finns för imorgon."
"none_today_all";"Inga händelser finns för imorgon."
"none_today_privacy";"Händelser finns för idag, men integritetsrestriktioner hindrar dig från att se dem."
"more_today_privacy";"<br />Fler händelser existerar för idag, men integritetsrestriktioner förhindrar dig att se dem."
"chat";"Chat"
"users_logged_in";"Användare inloggad"
"anon_user";"1 anonym användare inloggad"
"anon_users";"#gm_lang[global_num1]# anonyma användare inloggade"
"login_user";"1 inloggad användare"
"login_users";"#gm_lang[global_num1]# inloggade användare"
"no_login_users";"Inga inloggade eller anonyma användare"
"message";"Meddelande"
"my_messages";"Mina meddelande"
"date_created";"Datum skickat:"
"message_from";"E-post adress:"
"message_from_name";"Ditt namn:"
"message_to";"Till:"
"message_subject";"Ärende:"
"message_body";"Meddelande:"
"no_to_user";"Ingen mottagare har angivits. Kan inte fortsätta."
"provide_email";"Ange din e-postadress så att vi kan kontakta dig för att svara på ditt meddelande. Om du inte anger din e-postadress kommer vi inte att kunna besvara din förfrågan. Din e-postadress kommer inte att användas på något annat sätt än för att besvara din förfrågan."
"reply";"Svara"
"message_deleted";"Medelande raderat"
"message_sent";"Meddelandet är skickat"
"reset";"Återställ"
"site_default";"Sajt-standard"
"mygedview_desc";"Din MyGedView sida tillåter dig att ha bokmärken över dina favorit-personer, spåra kommande händelser och samarbeta med andra användare av Genmod."
"no_messages";"Du har inga väntande meddelanden."
"clicking_ok";"Klickar du OK kommer det öppnas ett annat fönster där du kan kontakta #user[fullname]#"
"my_favorites";"Mina favoriter"
"no_favorites";"Du har inte angett några favoriter. För att lägga till personer till dina favoriter, sök reda på personens detaljer och klicka på 'Lägg till mina favoriter' eller använd ID fältet för att lägga till en person genom att ange dess ID nummer."
"add_to_my_favorites";"Lägg till i mina favoriter"
"no_gedcom_favorites";"För tillfället finns det inga valda favoriter. Administratören kan lägga till favoriter som visas vid starten."
"confirm_fav_remove";"Är du säker på att du vill radera denna post från dina favoriter?"
"invalid_email";"Obs! Skriv in en giltig e-postadress."
"enter_subject";"Obs! Skriv ett ärende för meddelandet."
"enter_body";"Obs! Skriv någon text i meddelandet innan du skickar det."
"confirm_message_delete";"Är du säker på att du vill radera detta meddelandet? Det kan inte återfås senare."
"message_email1";"Foljande meddelande har skickats till ditt Genmod användarkonto från"
"message_email2";"Du skickade följande meddelande till ett Genmod användarkonto:"
"message_email3";"Du skickade följande meddelande till en Genmod administratör:"
"viewing_url";"Detta meddelande sändes medan följande url visades:"
"random_picture";"Slumpvist vald bild"
"message_instructions";"<b>Observera:</b> Privat information om levande personer kommer endast ges till släktingar och nära vänner. Du kommer att ombedas att verifiera ditt släktskap innan du kommer att erhålla någon information. Ibland är även information om döda personer privat. Om detta är fallet så beror det på att det inte finns tillräckligt med information för att avgöra om personen är död eller fortfarande lever och vi har antagligen inte mer information om denna person.<br /><br />Före du ställer några frågor så kontrollera att det är rätt person genom att kontrollera datum, orter och nära släktingar. Om du skickar ändringar av den genealogiska datan så inkludera källan var du fått uppgifterna ifrån.<br /><br />"
"sending_to";"Detta meddelande kommer att sändas till #TO_USER#"
"preferred_lang";"Användaren föredrar att motta meddelande på #USERLANG#"
"gedcom_created_on";"Denna GEDCOM skapades den <b>#DATE#</b>."
"customize_page";"Skräddarsy MyGedView-portalen"
"customize_gedcom_page";"Skräddarsy denna GEDCOMs välkomstsida"
"upcoming_events_descr";"Kommande händelser-blocket visar en lista av händelser som kommer att inträffa de närmaste 30 dagarna i den aktiva GEDCOM-filen. För en användares MyGedView-sidan visar området en lista endast levande personer. För en GEDCOM välkomstsida visar den en lista på alla personer."
"todays_events_descr";"På denna dag i din historia... området visar en lista på händelser i den aktiva GEDCOM-filen som hände idag. Om inga händelser hittas visas inte området. För en användares MinGedviewsida visar området endast levande personer. För en GEDCOM välkomstsida kommer området visa alla personer."
"logged_in_users_descr";"Inloggade användarområdet visar en lista på användare som är inloggade för tillfället."
"user_messages_descr";"Meddelandeområdet för användare visar en lista på meddelande som har sänts till den aktiva användaren."
"user_favorites_descr";"Användarområdet för favoriter visar en lista över användarens favoritkompisar i systemet så att man enkelt kan länka till dem."
"welcome_descr";"Välkomstområdet för användaren visar den aktuella datumen och tiden. snabblänkar för att ändra inställningar eller att hoppa till sin egen antavla och en länk att modifiera portalen."
"random_media_descr";"Det slumpmässiga mediaområdet väljer ett foto eller annat mediaartikel in de aktiva GEDCOM-filen och visar den för användaren."
"gedcom_descr";"Välkomstområdet för GEDCOM-filen fungerar på samma sätt som välkomstområdet för användare genom att välkomna besökaren till sajten och visa titeln på den aktiva GEDCOM-filen och den nuvarande tiden och datumen."
"gedcom_favorites_descr";"Favoriterområde för GEDCOM-filerna tillåter adminstratören möjligheten att välja deras favoritpersoneri GEDCOM-filen så att besökarna kan hitta dem enkelt. Detta är ett sätt att markera personer som är betydelsefulla in din familjehistoria."
"gedcom_stats_descr";"Statistikområdet för GEDCOM-filer visar lite grundläggande information om databasen som när den skapades och hur många personer som är med i GEDCOM-filen.<br /><br />Den har också en lista för de vanligaste efternamnen. Du kan konfigurera detta område att inte visa vanligaste efternamnslistan och du kan också konfigurera GEDCOM-filen så att det läggs till eller tas bort namn från listan. Du kan ange tröskelvärdet för listan i konfiguration för GEDCOM-filen."
"gedcom_stats_show_surnames";"Visa vanliga efternamn?"
"portal_config_intructions";"På denna sida kan du skräddarsy sida genom att positionera områdena på sidan som du vill ha dem.<br /><br />Portalen är delad i två områden, <b>Huvuddelen</b> och <b>högerdelen</b>. <b>Huvuddelens</b> område visas  större och under MyGedViewPortalens titel. <b>Högerdelens</b> område börjar till höger om titeln och fortsätter ner längs höger sida.<br /><br />Varje sektion har sin egen lista av områden som kommer att visas i portalen i den ordningen de är listade. Du kan lägga till, ta bort och ändra ordningen som du vill.<br /><br />Om ett område är tomt kommer de kvarvarande områdena att ta upp hela bredden av sidan.<br /><br />"
"login_descr";"Inloggningsområdet skriver ut användarnamn och lösenord så att användaren kan logga in."
"theme_select_descr";"Tema-väljarområdet visar tema-väljaren även om temaväljaren är avstängd."
"block_top10_title";"De 10 vanligaste efternamnen"
"block_top10_descr";"Detta område visar en tabell över de 10 vanligaste efternamnen i databasen"
"gedcom_news_descr";"GEDCOM-nyhetsområdet visar besökaren nyheter, nya publiceringar eller artiklar som postats av administratören.<br /><br />Nyhetersområdet är ett bra ställe att annonsera en uppdaterad GEDCOM-fil eller en släktträff."
"user_news_descr";"Användarens dagboksområde låter användaren att ha anteckningar eller en dagbok online."
"my_journal";"Min dagbok"
"no_journal";"Du har inte skapat några dagboksartiklar."
"confirm_journal_delete";"Är du säker på att du vill ta bort denna dagboksnotering?"
"add_journal";"Lägg till en ny dagboksnotering"
"confirm_news_delete";"Är du säker på att du vill ta bort denna nyhetsnotering?"
"add_news";"Lägg till en nyhetsartikel"
"no_news";"Det finns inga nyhetsartiklar."
"edit_news";"Lägg till/ändra dagboks/nyhets notering"
"enter_title";"Skriv en titel."
"enter_text";"Var vänlig och skriv någon text till denna nyhets eller dagboksnotering."
"news_saved";"Nyhet/dagboksnotering sparades korrekt."
"article_text";"Noteringstext:"
"main_section";"Huvudsektionens områden"
"right_section";"Högersektionens område"
"available_blocks";"Tillgängliga områden"
"move_up";"Flytta upp"
"move_down";"Flytta ner"
"move_right";"Flytta åt höger"
"move_left";"Flytta åt vänster"
"broadcast_all";"Skicka till alla användare"
"hit_count";"Träffar:"
"Genmod_message";"Genmod meddelande"
"common_surnames";"De vanligaste efternamnen"
"default_news_title";"Välkommen till din släkt"
"default_news_text";"Genealogiska informationen på denna sida drivs av <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a>. Denna sida tillhandahåller en introduktion och en översikt för denna genealogi. För att börja arbeta med datan, välj en av diagrammen från diagrammenyn, gå till personlistan eller sök efter ett namn eller en ort.<br /><br />Om du har problem att använda sajten klicka på hjälpmenyn så får du hjälp om om hur du ska använda sidan du just nu är på.<br /><br />Tack för att du besöker denna sida."
"reset_default_blocks";"Återställ till standardområden"
"recent_changes";"Senaste ändringar"
"recent_changes_descr";"Nyligen ändrade området kommer att lista alla ändringar som har gjorts i GEDCOM-filen den senaste månaden. Detta område kan hjälpa dig att förbli uppdaterad om vilka ändringar som gjorts. Ändringarna upptäcks genom att kontrollera CHAN-taggen."
"recent_changes_none";"<b>Det har inte blivit några ändringar de senaste #gm_lang[global_num1]# dagarna.</b><br />"
"recent_changes_some";"<b>Ändringar har gjorts de senaste #gm_lang[global_num1]# dagarna</b><br />"
"show_empty_block";"Ska detta område döljas när det är tomt?"
"hide_block_warn";"Om du döljer ett tomt område, kan du inte längre ändra konfigurationen tills det blir synligt igen genom att inte längre vara tomt."
"delete_selected_messages";"Radera markerade meddelande"
"use_blocks_for_default";"Använd dessa block som standard blockkonfiguration för alla användare?"
"block_not_configure";"Detta område kan inte konfigureras."
"performing_validation";"Genomför GEDCOM-validering, välj de nödvändiga valen tryck sedan på knappen <b>Städa</b>"
"changed_mac";"Macintosh radavslutningar upptäckta. Ändrar radslut från endast returntecken till retur och radmatningstecken. Detta ändrar det interna filformatet från Macintosh till DOS så som Genmod kräver."
"changed_places";"Ogiltig ortskodning upptäckt. Städar upp ortsposterna så att de övernsstämmer med GEDCOM-standarden version 5.5. Ett exempel från din GEDCOM-fil är:"
"invalid_dates";"Upptäckte ogiltigt datumformat, vid upprensning kommer formatet att ändras till DD MMM ÅÅÅÅ(t.ex. 1 JAN 2004)."
"valid_gedcom";"Godkänd GEDCOM-fil upptäckt. Ingen rensning behövs."
"optional_tools";"Du kan också välja att köra några av följande verktyg före import."
"optional";"Frivilliga verktyg"
"day_before_month";"Dag före månad (DD MM ÅÅÅÅ)"
"month_before_day";"Månad före dag (MM DD ÅÅÅÅ)"
