"stat_sources";"Fontes, "
"welcome_text_auth_mode_2";"<b>WELCOME TO THIS GENEALOGY WEBSITE</b><br /><br />Access to this site is permitted to <b>authorized</b> users only.<br />If you already have a user account you can login on this page.<br /><br />If you don't have a user account yet, you can apply for one by clicking on the appropriate link on this page.<br />After verifying your information, the site administrator will either accept or decline your request.<br/>You will receive an e-mail message upon acceptance of your request."
"welcome_text_auth_mode_3";"<b>WELCOME TO THIS GENEALOGY WEBSITE</b><br /><br />Access to this site is permitted <b>to familymembers only</b>.<br />If you already have a user account you can login on this page.<br /><br />If you don't have a user account yet, you can apply for one by clicking on the appropriate link on this page.<br />After verifying your information, the site administrator will either accept or decline your request.<br />You will receive an email when your request is accepted."
"welcome_text_cust_head";"<b>WELCOME TO THIS GENEALOGY WEBSITE</b><br /><br />Access is permitted to users who have a useraccount and a password for this website.<br />"
"welcome";"Bem-Vindo"
"upcoming_events";"Próximos Eventos"
"chat";"Bate-papo"
"users_logged_in";"Usuários Conectados"
"message";"Enviar Mensagem"
"my_messages";"Minhas Mensagens"
"date_created";"Data"
"message_from";"E-mail"
"message_from_name";"Seu Nome"
"message_to";"Para"
"message_subject";"Assunto"
"message_body";"Corpo"
"no_to_user";"Nenhum recipiente de usuário foi fornecido.  Impossível continuar."
"provide_email";"Favor fornecer seu endereço de e-mail de forma que possamos responder essa mensagem.  Se você não fornecer seu endereço de e-mail nós não poderemos responder sua mensagem.  Seu endereço de e-mail <b>não</b> será usado para outros fins a não ser para responder sua mensagem."
"reply";"Responder"
"message_deleted";"Mensagem Excluida"
"message_sent";"Mensagem Enviada"
"reset";"Reset"
"site_default";"Padrão do Site"
"mygedview_desc";"A página <b>"Meu Portal"</b> permite que você faça 'Bookmarks' de suas pessoas favoritas, veja os próximos eventos e colabore com outros usuários."
"no_messages";"Você não tem novas mensagens."
"clicking_ok";"Clicando OK, será aberta uma outra janela onde você poderaá contatar "
"my_favorites";"Meus Favoritos"
"no_favorites";"Você não selecionou nenhuma Pessoa. Para adicionar uma Pessoa ao <b>Meus Favoritos</b>, procure os detalhes da Pessoa que você deseja adicionar e clique em "Adicione aos Meus Favoritos" ou use a caixa abaixo para adicioná-lo pelo seu número."
"add_to_my_favorites";"Adicione aos Meus Favoritos"
"no_gedcom_favorites";"Até este momento não existe nenhum Favorito selecionado.  O Administrador pode adicionar Favoritos que serão exibidos na inicialização."
"confirm_fav_remove";"Tem certeza que deseja remover este item de Meus Favoritos?"
"invalid_email";"Por favor informe um e-mail válido."
"enter_subject";"Por favor informe o Assunto da mensagem."
"enter_body";"Por favor, informe algum texto antes de enviar."
"confirm_message_delete";"Confirma a exclusão destas mensagens? Isto não poderá ser desfeito."
"message_email1";"Esta mensagem foi enviada para você por "
"message_email2";"Você enviou esta mensagem para:"
"message_email3";"Você enviou esta mensagem para o Administrador:"
"viewing_url";"Esta mensagem foi enviada quando navegava pelo seguinte endereço: "
"random_picture";"Imagem Aleatória"
"message_instructions";"<b>Importante:</b> Informações privadas de pessoas vivas somente serão fornecidas aos parentes e amigos próximos.  Será solicitado confirmação de seu parentesco antes de você receber qualquer dado privado.  Ocasionalmente informações de pessoas já falecidas podem ser privadas.  Se esse for o caso, é porquê não há informação suficiente a respeito da pessoa que permita determinar se a mesma está viva ou não e nós provavelmente não temos mais informações sobre essa pessoa.<br /><br />Antecipadamente, por favor, verifique se o que está pesquisando sobre a pessoa está correto, verificando datas, locais e parentesco.  Se você está enviando alterações sobre dados de genealogia, por favor informe as fontes de onde obteve os dados.<br /><br />"
"sending_to";"Esta mensagem será enviada para #TO_USER#"
"preferred_lang";"Este usuário prefere receber mensagens em #USERLANG#"
"gedcom_created_on";"Este arquivo de Árvore Genealógica foi criado em <b>#DATE#</b>."
"customize_page";"Configurar Meu Portal"
"customize_gedcom_page";"Configurar esta Página Inicial"
"upcoming_events_descr";"o bloco 'Próximos Eventos' mostra uma lista dos eventos deste banco de dados que ocorrerão dentro dos próximos 30 dias.  Em <b>Meu Portal</b> o bloco somente exibirá a lista das pessoas vivas.  Na <b>Página Inicial</b> exibirá a lista de todas as pessoas."
"todays_events_descr";"o bloco 'Este dia em nossa História' mostra uma lista de eventos deste banco de dados que ocorram hoje.  Se não for encontrado nenhum evento, este bloco não será exibido.  Em <b>Meu Portal</b> o bloco somente exibirá a lista das pessoas vivas.  Na <b>Página Inicial</b> exibirá a lista de todas as pessoas."
"logged_in_users_descr";"O bloco 'Usuários Conectados' exibe a lista dos usuários que estão conectados."
"user_messages_descr";"O bloco 'Minhas Mensagens' exibe a lista das mensagens que foram enviadas ao usuário."
"user_favorites_descr";"O bloco 'Meus Favoritos' exibe a lista de favoritos do usuário no sistema. Isto permite um fácil acesso aos mesmos."
"welcome_descr";"O bloco 'Bem-Vindo - Usuário' exibe o nome do usuário, data e hora corrente, bem como links que permitem acessar rapidamente a sua conta, seus dados, sua árvore genealógica e link para customizar a página <b>Meu Portal<b/>."
"random_media_descr";"O bloco 'Imagem Aleatória' seleciona aleatoriamente uma foto ou outro objeto multimídia do banco de dados e exibe ao usuário."
"gedcom_descr";"O bloco 'Bem-Vindo - Site' funciona da mesma forma que o o bloco 'Bem-Vindo - Usuário'. Exibe o titulo do arquivo de genealogia, bem como a data e hora corrente."
"gedcom_favorites_descr";"O bloco 'Favoritos - Site' permite ao administrador a  capacidade de selecionar suas pessoas favoritas do banco de dados de forma que os visitantes possam facilmente encontrá-los. Esta é uma forma de evidenciar as pessoas que são importantes em sua história."
"gedcom_stats_descr";"O bloco 'Dados Estatísticos' exibe ao visitante algumas informações básicas sobre do banco de dados como por exemplo quando foi criado e quantas pessoas estão cadastradas no mesmo e sobrenomes mais comuns."
"portal_config_intructions";"Aqui você pode customizar a página <b>Meu Portal</b>  posicionando os blocos na página da maneira que quiser.  A página é dividida em duas seções: A seção  'Principal' e a seção 'Auxiliar'.  Os blocos da seção 'Principal' são mostrados em maior tamanho e abaixo do título da página.  A seção 'Auxiliar' ocupa o lado direito da página.  Cada seção tem a sua própria lista de blocos que serão mostrados na página na ordem que foram relacionados.  Você pode adicionar, remover e reordenar de acordo com sua preferência."
"login_descr";"O bloco 'Conectar' solicita Nome e Senha para os usuários conectaram-se ao site."
"theme_select_descr";"O bloco Seleção de Temas permite selecionar outro tema para o site."
"block_top10_title";"Sobrenomes mais Populares"
"block_top10_descr";"Este bloco mostra uma tabela com os 10 sobrenomes mais populares do banco de dados."
"gedcom_news_descr";"O bloco 'Notícias' mostrará aos visitantes notícias ou artigos publicados pelo usuário Administrador.  'Notícias' é um bom local para anunciar alterações no banco de dados ou uma reunião familiar."
"user_news_descr";"O bloco 'Meu Jornal' permite ao usuário a manutenção de notícias ou um Jornal on-line."
"my_journal";"Meu Jornal"
"no_journal";"Você ainda não criou nenhuma entrada no Jornal."
"confirm_journal_delete";"Você tem certeza que quer excluir essa entrada?"
"add_journal";"Adicionar nova entrada ao Jornal"
"confirm_news_delete";"Você tem certeza que quer excluir essa notícia?"
"add_news";"Adicionar Notícia"
"no_news";"No News Articles have been submitted."
"edit_news";"Adicionar/Editar Jornal/Notícias"
"enter_title";"Favor informar um título."
"enter_text";"Favor informar algum texto para essa Notícia ou Jornal."
"news_saved";"Notícia/Jornal salvo com sucesso."
"article_text";"Texto"
"main_section";"Blocos da seção Principal"
"right_section";"Blocos da seção Auxiliar"
"move_up";"Mover Cima"
"move_down";"Mover Baixo"
"move_right";"Mover Direita"
"move_left";"Mover Esquerda"
"broadcast_all";"Enviar para todos os usuários"
"hit_count";"Nº de Visitas:"
"Genmod_message";"Mensagem Genmod"
"common_surnames";"Sobrenomes Mais Comuns"
"default_news_title";"Bem-vindo à sua Árvore Genealógica "
"default_news_text";"As informações de genealogia deste website são produzidas  por <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a>.  Esta página fornece uma introdução e visão geral desta genealogia.<br /><br />Para explorar as informações do site você pode escolher um dos gráficos a partir do menu de <b>Gráficos</b>, mostrar <b>Listas</b> de pessoas, famílias, locais, objetos multimídia ou também <b>Pesquisar</b> um nome ou local.<br /><br />Se tiver dúvida ao usar o site, clicando no menu de <b>Ajuda</b> você receberá informações de como usar a página que está sendo visualizada no momento.<br /><br />Obrigado por visitar este site !!!"
"reset_default_blocks";"Restaurar padrão de Blocos"
"recent_changes";"Últimas Atualizações"
"recent_changes_descr";"O bloco 'Últimas Alterações' mostrará uma lista das últimas atualizações que foram efetuadas no banco de dados no último mês.  Este bloco pode ajudá-lo a ficar em dia com as mudanças do site.  As mudanças se baseiam na expressão CHAN."
"delete_selected_messages";"Excluir Mensagens Selecionadas"
"use_blocks_for_default";"Usar esses blocos como padrão de configuração para todos os usuários?"
"performing_validation";"Executando validação GEDCOM, selecione as opções desejadas e clique em 'Limpeza'"
"changed_mac";"Detectado 'Macintosh line endings'. Alterado 'lines ending' com somente 'return' e no final com um 'return' e um 'linefeed'."
"changed_places";"Detectado codificação inválida de Local. Colocado em ordem registros para adequar às especificações GEDCOM 5.5.  Um exemplo de seu GEDCOM é:"
"invalid_dates";"Detectado formato inválido de datas, na 'Limpeza' esses dados serão modificados para o formato DD MMM YYYY (ex. 1 JAN 2004)."
"valid_gedcom";"Detectado GEDCOM válido.  Limpeza não requerida."
"optional_tools";"Você pode também executar 'Ferramentas Opcionais' antes da importação."
"optional";"Ferramentas Opcionais"
"day_before_month";"Dia antes do Mês (DD MM YYYY)"
"month_before_day";"Mês antes do Dia (MM DD YYYY)"
"do_not_change";"Não alterar"
"change_id";"Alterar ID Pessoa para"
"example_date";"Exemplo de data inválida do seu GEDCOM:"
"add_media_tool";"Ferramenta Adicionar Mídia"
"launch_media_tool";"Clique aqui para executar Ferramenta Adicionar Mídia."
"add_media_descr";"Esta ferramenta irá adicionar 'OBJE tags' ao GEDCOM.  Fechar essa janela quando você finalizar a adição da mídia."
"highlighted";"Imagem realçada"
"extension";"Extensão"
"order";"Ordem"
"media_table_created";"Atualizada tabela <i>media</i> com sucesso."
"click_to_add_media";"Clique aqui para Adicionar Mídia informada acima ao GEDCOM #GEDCOM#"
"adds_completed";"Mídia adiconada com sucesso ao arquivo GEDCOM."
"ansi_encoding_detected";"Detectado arquivo com configuração ANSI.  Genmod trabalha melhor com arquivos configurados em UTF-8."
"invalid_header";"Detectado linhas antes do cabeçalho do GEDCOM (0 HEAD).  Na 'Limpeza' essas linhas serão removidas."
"macfile_detected";"Detectado arquivo Macintosh.  Na 'Limpeza' seu arquivo será convertido para um arquivo DOS."
"place_cleanup_detected";"Detectado codificação inválida de Local.  Esses erros precisariam ser corrigidos.  O exemplo seguinte mostra o local inválido que foi detectado: "
"cleanup_places";"Limpeza de Locais"
"empty_lines_detected";"Detectado linhas vazias em seu arquivo GEDCOM.  Na 'Limpeza' essas linhas vazias serão removidas."
"choose_report";"Escolha o Relatório a executar"
"enter_report_values";"Informe os dados do Relatório"
"selected_report";"Relatório selecionado"
"run_report";"Ver Relatório"
"select_report";"Selecione Relatório"
"download_report";"Salvar Relatório"
"pdf_reports";"Relatórios PDF"
"html_reports";"Relatórios HTML"
"family_group_report";"Relatório de Grupo Familiar"
"page";"Página"
"of";"de"
"enter_famid";"Informe ID da Família"
"show_notes";"Mostrar notas?"
"show_basic";"Imprimir eventos quando em branco?"
"show_photos";"Mostrar fotos?"
"individual_report";"Relatório de Pessoa"
"enter_pid";"Informe ID Pessoa"
"individual_list_report";"Individual List Report"
"generated_by";"Gerado por"
"list_children";"Lista em ordem de nascimento."
"birth_report";"Relatório Data e Local de Nascimento"
"birthplace";"Local de Nascimento contém"
"birthdate1";"Data de Nascimento inicial"
"birthdate2";"Data de Nascimento final"
"sort_by";"Classificado por"
"cleanup";"Limpeza"
"skip_cleanup";"Não executar Limpeza"
"dynasty_list";"Visão geral de famílias"
"make_slklist";"Criar lista EXCEL (SLK)"
"excel_list";"Saída em formato EXCEL (SLK) dos subsequentes arquivos (primeiro uso patriarchlist):"
"excel_tab";"tabblad:"
"excel_create";"será criado no seguinte arquivo:"
"slk_list";"Lista EXCEL SLK"
"statistics";"Estatísticas"
"merge_records";"Consolidar Registros"
"merge_same";"Registros não são do mesmo tipo.  Não é possível consolidar registros que não sejam do mesmo tipo."
"merge_step1";"Consolidação Passo 1 de 3"
"merge_step2";"Consolidação Passo 2 de 3"
"merge_step3";"Consolidação Passo 3 de 3"
"select_gedcom_records";"Selecionar 2 registros GEDCOM para consolidação.  Registros devem ser do mesmo tipo."
"merge_to";"Consolidar para ID:"
"merge_from";"Consolidar de ID:"
"merge_facts_same";"Os fatos seguintes são exatamente os mesmos em ambos registros e serão automaticamente consolidados"
"no_matches_found";"Não encontrada nenhuma combinação de fatos"
"unmatching_facts";"Os fatos seguintes não combinam.	Selecione a informação que você deseja manter."
"record";"Registro"
"adding";"Adicionando"
"updating_linked";"Atualizando registro combinado"
"merge_more";"Consolidar mais registros."
"same_ids";"Você informou os mesmos IDs.  Você não pode consolidar os mesmos registros."
"gen_ancestry_chart";"#PEDIGREE_GENERATIONS# Gerações de Ancestrais"
"chart_style";"Tipo de gráfico"
"sosa_2";"Pai"
"sosa_3";"Mãe"
"sosa_4";"Avô"
"sosa_5";"Avó"
"sosa_6";"Avô"
"sosa_7";"Avó"
"sosa_8";"Bisavô"
"sosa_9";"Bisavó"
"sosa_10";"Bisavô"
"sosa_11";"Bisavó"
"sosa_12";"Bisavô"
"sosa_13";"Bisavó"
"sosa_14";"Bisavô"
"sosa_15";"Bisavó"
"sosa_16";"Trisavô"
"sosa_17";"Trisavó"
"sosa_18";"Trisavô"
"sosa_19";"Trisavó"
"sosa_20";"Trisavô"
"sosa_21";"Trisavó"
"sosa_22";"Trisavô"
"sosa_23";"Trisavó"
"sosa_24";"Trisavô"
"sosa_25";"Trisavó"
"sosa_26";"Trisavô"
"sosa_27";"Trisavó"
"sosa_28";"Trisavô"
"sosa_29";"Trisavó"
"sosa_30";"Trisavô"
"sosa_31";"Trisavó"
"sosa_32";"Tataravó"
"sosa_33";"Tataravô"
"sosa_34";"Tataravó"
"sosa_35";"Tataravô"
"sosa_36";"Tataravó"
"sosa_37";"Tataravô"
"sosa_38";"Tataravó"
"sosa_39";"Tataravô"
"sosa_40";"Tataravó"
"sosa_41";"Tataravô"
"sosa_42";"Tataravó"
"sosa_43";"Tataravô"
"sosa_44";"Tataravó"
"sosa_45";"Tataravô"
"sosa_46";"Tataravó"
"sosa_47";"Tataravô"
"sosa_48";"Tataravó"
"sosa_49";"Tataravô"
"sosa_50";"Tataravó"
"sosa_51";"Tataravô"
"sosa_52";"Tataravó"
"sosa_53";"Tataravô"
"sosa_54";"Tataravó"
"sosa_55";"Tataravô"
"sosa_56";"Tataravó"
"sosa_57";"Tataravô"
"sosa_58";"Tataravó"
"sosa_59";"Tataravô"
"sosa_60";"Tataravó"
"sosa_61";"Tataravô"
"sosa_62";"Tataravó"
"sosa_63";"Tataravô"
"gen_fan_chart";"#PEDIGREE_GENERATIONS# Gerações no Gráfico de Ascendência"
"fan_width";"Largura"
"gd_library";"Servidor PHP desconfigurado: Biblioteca GD requirida para uso de funções de imagem."
"gd_freetype";"Servidor PHP desconfigurado: Biblioteca Freetype requirida para fontes TrueType."
"fontfile_error";"Arquivo de Fonte não encontrada no servidor PHP"
"rss_descr";"Notícias e links do site #GEDCOM_TITLE#"
"rss_logo_descr";"Feed criado por Genmod"
"options";"Opções:"
"register_info_01";"A quantidade de dados publicada e exibida neste website podem ser limitadas devido à aplicação de regras relacionadas à proteção de privacidade. A maioria das pessoas não querem seus dados pessoais publicados e disponíveis na Internet. Estes podem ser usados para Spam ou invasão de privacidade.<br /><br />Para ter acesso aos dados privados, você deve ter uma conta neste website. Para obter uma conta você mesmo pode se registrar fornecendo as informações requeridas. Depois da verificação e aprovação de seu registro pelo Administrador, você estará apto a conectar e visualizar dados privados.<br /><br />Dependendo da configuração você somente terá acesso aos dados de parentes próximos. O Administrador pode também permitir acesso à edição das informações do banco de dados, permitindo inclusive alterações e adições de novas informações.<br /><br />ATENÇÃO: Você somente receberá acesso aos dados privados se você demonstrar que pertence a essa família !!!<br /><br />Se você não tiver parentesco com alguém da família provavelmente não obterá uma conta de acesso.<br />Se você necessitar de alguma outra informação, por favor use o link abaixo para entrar em contato com o webmaster.<br /><br />"
"SHOW_SOURCES";"Mostrar fontes?"
"configure";"Configurar Genmod"
"standard_conf";"Opções das Configurações Padrão"
"advanced_conf";"Opções das Configurações Avançadas"
"configure_head";"Configuração Genmod"
"gedconf_head";"Configuração GEDCOM"
"default_user";"Create the default administrative user."
"about_user";"You must first create your main administrative user.  This user will have privileges to update the configuration files, view private data, and create other users."
"can_admin";"Pode Administrar"
"can_edit";"Nível de Acesso"
"access";"Acessar"
"add_user";"Adicionar um novo Usuário"
"current_users";"Usuários Cadastrados"
"leave_blank";"Deixe a senha em branco para manter a senha inalterada."
"other_theme";"Other, please type in"
"performing_update";"Executando atualização."
"config_file_read";"Config file read."
"does_not_exist";"não existe"
"media_drive_letter";"Media path should not contain a drive letter, media may not be displayed."
"db_setup_bad";"Your current database configuration is bad.  Please check your database connection parameters and configure again."
"bad_host_user_pass";"Genmod was unable to make a connection to your MySQL database host.  Check the host, username, and password to make sure they are correct."
"bad_database_name";"Genmod made a connection to your MySQL database host, but was unable to use the database with the name you entered.  Check that the database exists and that the usename you entered has the appropriate permissions on that database."
"click_here_to_continue";"Clique aqui para continuar."
"mysql";"MySQL"
"admin_gedcoms";"Clique aqui para Administrar os GEDCOMs."
"current_gedcoms";"GEDCOMs Cadastrados"
"gedcom_adm_head";"GEDCOM Administration"
"ged_download";"Download"
"ged_gedcom";"Arquivo GEDCOM"
"ged_title";"Título GEDCOM"
"ged_config";"Arquivo de Configuração"
"ged_privacy";"Arquivo de Privacidade"
"show_phpinfo";"Mostrar a página PHPInfo"
"confirm_gedcom_delete";"Você tem certeza que deseja excluir este GEDCOM"
"gregorian";"Gregoriano"
"julian";"Juliano"
"config_french";"Francês"
"jewish";"Judeu"
"config_hebrew";"Hebreu"
"jewish_and_gregorian";"Judeu e Gregoriano"
"hebrew_and_gregorian";"Hebreu e Gregoriano"
"disabled";"Desativado"
"mouseover";"On Mouse Over"
"mousedown";"On Mouse Down"
"click";"On Mouse Click"
"mailto";"Somente E-Mail Externo"
"messaging";"Somente E-Mail Interno"
"messaging2";"E-Mail Interno e Externo"
"messaging3";"Genmod envia E-mails sem armazenamento"
"no_messaging";"Nenhum método de contato"
"no_logs";"Disable Logging"
"daily";"Diariamente"
"weekly";"Semanalmente"
"monthly";"Mensalmente"
"yearly";"Anualmente"
"enter_db_pass";"For security, you must enter the Database Username and Database Password before changing configuration values."
"config_still_writable";"Your config.php file is still writeable.  If you are done configuring your site you should set the permissions of this file back to read-only for security."
"admin_verification_waiting";"Useraccount(s) awaiting verification by admin"
"DEFAULT_GEDCOM";"Default GEDCOM"
"privileges";"Privilégios"
"date_registered";"Data de Registro"
"last_login";"Último acesso"
"DBHOST";"MySQL Database Host"
"DBUSER";"MySQL Database Username"
"DBPASS";"MySQL Database Password"
"DBNAME";"Database Name"
"TBLPREFIX";"Database Table Prefix"
"ALLOW_CHANGE_GEDCOM";"Allow GEDCOM Switching"
"CHARACTER_SET";"Character Set Encoding"
"LANGUAGE";"Linguagem"
"ENABLE_MULTI_LANGUAGE";"Allow user to change language"
"CALENDAR_FORMAT";"Calendar Format"
"DISPLAY_JEWISH_THOUSANDS";"Display Hebrew Thousands"
"DISPLAY_JEWISH_GERESHAYIM";"Display Hebrew Gershayim"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Jewish Ashkenaz Pronunciation"
"DEFAULT_PEDIGREE_GENERATIONS";"Pedigree Generations"
"MAX_PEDIGREE_GENERATIONS";"Maximum Pedigree Generations"
"MAX_DESCENDANCY_GENERATIONS";"Maximum Descendancy Generations"
"USE_RIN";"Use RIN# instead of GEDCOM ID"
"PEDIGREE_ROOT_ID";"Default person for pedigree and descendency charts"
"GEDCOM_ID_PREFIX";"GEDCOM ID Prefix"
"PEDIGREE_FULL_DETAILS";"Show Birth and Death Details on Pedigree and descendency charts"
"PEDIGREE_LAYOUT";"Default Pedigree Chart Layout"
"SHOW_EMPTY_BOXES";"Show empty boxes on pedigree charts"
"ZOOM_BOXES";"Zoom Boxes on Charts"
"LINK_ICONS";"PopUp Links on Charts"
"HIDE_LIVE_PEOPLE";"Enable Privacy"
"REQUIRE_AUTHENTICATION";"Require Visitor Authentication"
"WELCOME_TEXT_AUTH_MODE";"Welcome text on login page in Authentication mode"
"WELCOME_TEXT_AUTH_MODE_OPT1";"Predefined text that states all users can apply for a user account"
"WELCOME_TEXT_AUTH_MODE_OPT2";"Predefined text that states admin will decide if applied for a user account"
"WELCOME_TEXT_AUTH_MODE_OPT3";"Predefined text that states only family members can apply for a user account"
"WELCOME_TEXT_AUTH_MODE_OPT4";"Choose user defined welcome text typed below"
"WELCOME_TEXT_AUTH_MODE_CUST";"Custom welcome text for authentication mode"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD";"Standard header for custom welcome text"
"CHECK_CHILD_DATES";"Check child dates"
"MAX_ALIVE_AGE";"Age at which to assume a person is dead"
"SHOW_GEDCOM_RECORD";"Allow users to see raw GEDCOM records"
"ALLOW_EDIT_GEDCOM";"Enable online Editing"
"INDEX_DIRECTORY";"Index file directory"
"ALPHA_INDEX_LISTS";"Break up long lists by the first letter"
"SHOW_ID_NUMBERS";"Show ID numbers next to names"
"SHOW_PEDIGREE_PLACES";"Place levels to show in person boxes"
"MULTI_MEDIA";"Enable multimedia features"
"MEDIA_DIRECTORY";"MultiMedia directory"
"MEDIA_DIRECTORY_LEVELS";"Multi-Media Directory Levels to Keep"
"SHOW_HIGHLIGHT_IMAGES";"Show highlight images in people boxes"
"ENABLE_CLIPPINGS_CART";"Enable Clippings Cart"
"HIDE_GEDCOM_ERRORS";"Hide GEDCOM errors"
"WORD_WRAPPED_NOTES";"Add spaces where notes were wrapped"
"COMMON_NAMES_THRESHOLD";"Min. number of surnames before occuring in Common Surnames"
"COMMON_NAMES_ADD";"Names to add to Common Surnames (comma separated)"
"COMMON_NAMES_REMOVE";"Names to remove from Common Surnames (comma separated)"
"HOME_SITE_URL";"Main WebSite URL"
"HOME_SITE_TEXT";"Main WebSite Text"
"CONTACT_EMAIL";"Genealogy Contact User"
"CONTACT_METHOD";"Contact Method"
"WEBMASTER_EMAIL";"Support Contact User"
"SUPPORT_METHOD";"Support Method"
"FAVICON";"Favorites Icon"
"THEME_DIR";"Theme directory"
"GM_SESSION_SAVE_PATH";"Session Save Path"
"SERVER_URL";"Genmod URL"
"GM_SESSION_TIME";"Session Timeout"
"SHOW_STATS";"Show Execution Statistics"
"SHOW_COUNTER";"Show Hit Counters"
"USE_REGISTRATION_MODULE";"Allow visitors to request account registration"
"ALLOW_USER_THEMES";"Allow users to select their own theme"
"GM_SIMPLE_MAIL";"Use simple mailheaders in external mails"
"gedcom_title";"Informe o título que descreve os dados deste arquivo GEDCOM:"
"LOGFILE_CREATE";"Archive Log Files"
"GM_MEMORY_LIMIT";"Max Memory Limit"
"GM_STORE_MESSAGES";"Allow messages to be stored online"
"ALLOW_THEME_DROPDOWN";"Display Theme Dropdown selector for theme changes"
"welcome_new";"Welcome to your new Genmod website.  Since you are seeing this page you have successfully installed Genmod on your webserver and are ready to begin configuring it the way you want it.<br />"
"review_readme";"You should first review the <a href="readme.txt" target="_blank">readme.txt</a> file before continuing to configure Genmod.<br /><br />"
"return_editconfig";"You may return to this configuration at any time by pointing your browser to the editconfig.php file, or by clicking the link for <b>Configuration</b> on the <b>Adminstration</b> Page.<br />"
"return_editconfig_gedcom";"You may return to this configuration at any time, by clicking the link: <b>Edit</b> in the <b>Current GEDCOMs</b> table, on the <b>GEDCOM Adminstration</b> Page, or by pointing your browser to the editconfig_gedcom.php file.<br />"
"save_config";"Salvar Configuração"
"download_here";"Click here to download file."
"download_gedconf";"Download GEDCOM configuration."
"not_writable";"We have detected that you configuration file is not writable by PHP.  You can use the download button to save your settings to a file that you can upload manually."
"download_file";"Download File"
"upload_to_index";"Upload the file to your index directory: "
"edit_privacy";"Edit Privacy"
"edit_privacy_title";"Edit GEDCOM Privacy Settings"
"PRIV_PUBLIC";"Show to public"
"PRIV_USER";"Show only to authenticated users"
"PRIV_NONE";"Show only to admin users"
"PRIV_HIDE";"Hide even from admin users"
"save_changed_settings";"Save changes"
"add_new_pp_setting";"Add new setting for Person Privacy"
"add_new_up_setting";"Add new setting for User Privacy"
"add_new_gf_setting";"Add new setting for Global Fact Privacy"
"add_new_pf_setting";"Add new setting for Person Facts Privacy"
"add_new_pf_setting_indi";"Add new setting for Person Facts Privacy for individuals"
"add_new_pf_setting_source";"Add new setting for Person Facts Privacy for sources"
"privacy_indi_id";"Individual - ID"
"privacy_source_id";"Source - ID"
"privacy_indi_source";"Individual / Source"
"privacy_indi";"Individual"
"privacy_source";"Source"
"file_read_error";"E R R O R !!! Could not read privacy-file!"
"edit_exist_person_privacy_settings";"Edit existing settings for Person Privacy "
"edit_exist_user_privacy_settings";"Edit existing settings for User Privacy"
"edit_exist_global_facts_settings";"Edit existing settings for Global Fact Privacy"
"edit_exist_person_facts_settings";"Edit existing settings for Person Facts Privacy"
"accessible_by";"Show to?"
"hide";"Hide"
"show_question";"Show?"
"user_name";"Username"
"name_of_fact";"Name of fact"
"choice";"Choice"
"fact_show";"Show fact"
"fact_details";"Show fact details"
"privacy_header";"Edit privacy settings inside"
"unable_to_find_privacy_indi";"Unable to find individual with id"
"save_and_import";"After you save this GEDCOM configuration you will need to import the GEDCOM by clicking the <b>Import GEDCOM</b> button or by going to <b>Admin->Manage GEDCOMs->Import</b>"
"help_info";"You can get help for each item by clicking on the red &quot;?&quot; by the label for each cell."
"SHOW_LIVING_NAMES";"Show living names"
"SHOW_RESEARCH_LOG";"Show research log"
"USE_RELATIONSHIP_PRIVACY";"Use relationship privacy"
"MAX_RELATION_PATH_LENGTH";"Max. relation path length"
"CHECK_MARRIAGE_RELATIONS";"Check marriage relations"
"SHOW_DEAD_PEOPLE";"Show dead people"
"select_privacyfile_button";"Select privacy file"
"edit_langdiff";"Edit and configure language files"
"edit_lang_utility";"Language File Edit Utility"
"language_to_edit";"Language to edit"
"file_to_edit";"Language file type to edit"
"lang_save";"Save"
"contents";"Contents"
"listing";"Listing"
"no_content";"No Content"
"original_message";"Original message"
"message_to_edit";"Message to edit"
"changed_message";"Changed content"
"message_empty_warning";"-> Warning!!! This message is empty inside [#LANGUAGE_FILE#] <-"
"language_to_export";"Linguagem a exportar"
"export_lang_utility";"Language File Export Utility"
"export";"Export"
"export_ok";"Help messages were exported"
"compare_lang_utility";"Language File Comparison Utility"
"new_language";"Source language"
"old_language";"Secondary language"
"compare";"Compare"
"comparing";"Language files that are compared"
"additions";"Additions"
"no_additions";"No Additions"
"subtractions";"Subtractions"
"no_subtractions";"No Subtractions"
"config_lang_utility";"Configuration of supported languages"
"active";"Active"
"edit_settings";"Edit settings"
"lang_edit";"Edit"
"lang_language";"Linguagem"
"export_filename";"Name of the file including the exported data:"
"lang_back";"Go back to the main menu to edit and configure language files"
"lang_back_admin";"Retornar ao menu do Administrador"
"lang_back_manage_gedcoms";"Go back to the GEDCOM management menu"
"lang_name_czech";"Tcheco"
"lang_name_chinese";"Chinês"
"lang_name_danish";"Dinamarquês"
"lang_name_dutch";"Holandês"
"lang_name_english";"Inglês"
"lang_name_finnish";"Finlandês"
"lang_name_french";"Francês"
"lang_name_german";"Alemão"
"lang_name_hebrew";"Hebraico"
"lang_name_hungarian";"Húngaro"
"lang_name_italian";"Italiano"
"lang_name_norwegian";"Norueguês"
"lang_name_polish";"Polonês"
"lang_name_portuguese";"Português"
"lang_name_portuguese_br";"Português (Brasil)"
