"stat_sources";"Fuentes"
"click_here_to_go_to_pedigree_tree";"Pulse aquí para ir al árbol de antepasados."
"updating_is_dead";"La actualizaci&oacute;n está detenida para el INDI "
"import_complete";"Importaci&oacute;n completa"
"updating_family_names";"Actualizando los nombres de las familias para el FAM "
"processed_for";"Archivo procesado para "
"run_tools";"Quiere utilizar alguna de estas herramientas con su GEDCOM antes de importarlo:"
"addmedia";"A&ntilde;adir Multimedia"
"dateconvert";"Conversi&oacute;n de Fechas"
"xreftorin";"Convertir los IDs XREF a número RIN"
"tools_readme";"Ver la Secci&oacute; de Herramientas del archivo #README.TXT# para más informaci&oacute;n."
"sec";"sec."
"bytes_read";"Bytes leidos:"
"created_indis";"Hemos creado tabla de <i>Individuos</i>."
"created_indis_fail";"No pudimos crear tabla para <i>Individuos</i>."
"created_fams";"Hemos creado tabla de <i>Familia</i>."
"created_fams_fail";"No pudimos crear tabla de <i>Familias</i>."
"created_sources";"Hemos creado tabla de <i>Fuentes (Sources)</i>."
"created_sources_fail";"No pudimos crear tabla de <i>Fuentes (Sources)</i>."
"created_other";"Hemos creado tabla de <i>Others (Otros)</i>."
"created_other_fail";"No pudimos crear tabla de <i>Other</i>."
"created_places";"Hemos creado tabla de <i>Places (Lugares)</i>."
"created_places_fail";"No pudimos crear tabla de <i>Places</i>."
"created_placelinks";"Hemos creado tabla de <i>Place links (Enlaces de Lugares)</i>."
"created_placelinks_fail";"No pudimos crear tabla de <i>Place links</i>."
"created_media_fail";"No pudimos crear tabla de <i>Media</i>."
"created_media_mapping_fail";"No pudimos crear tabla de <i>Media mappings</i>."
"import_progress";"Procesando Informaci&oacute;n..."
"total_fams";"Familias encontradas"
"total_indis";"Personas encontradas"
"starts_with";"Comienza con Letra:"
"person_list";"Lista de Personas:"
"paste_person";"Pegar Persona"
"notes_sources_media";"Notas, Fuentes, y Multimedia"
"notes";"Notas"
"ssourcess";"Fuentes"
"media";"Media"
"name_contains";"Nombre Contiene:"
"filter";"Filtro"
"find_individual";"Encontar persona con ID"
"find_familyid";"Encontrar Family ID"
"find_sourceid";"Buscar ID de la Fuente"
"find_specialchar";"Encontrar Caracteres Especiales"
"magnify";"Ver mas de cerca"
"skip_surnames";"Ocultar listas de apellidos"
"show_surnames";"Mostrar listas de apellidos"
"all";"Todas"
"hidden";"Ocultos"
"confidential";"Confidencial"
"alpha_index";"Indice Alfabetico"
"name_list";"Lista de Nombre"
"firstname_alpha_index";"Indice Alfabetico - Primer Nombre"
"husband_added";"Hemos agregado esposo."
"wife_added";"Hemos agregado esposa."
"link_exists";"Ya existe una referencia."
"delete_indi";"Borrar individuo"
"age";"Edad"
"days";"dias"
"months";"meses"
"years";"a�os"
"day1";"dia"
"month1";"mes"
"year1";"a�o"
"timeline_title";"Gráfico de edades"
"remove_person";"Borrar Persona"
"show_age";"Ver Edad"
"add_another";"Agregar otra persona al gráfico:<br />Id Persona:"
"find_id";"Buscar ID"
"show";"Ver"
"year";"Año:"
"timeline_instructions";"En los navegadores actuales puede hacer clic en las cajas y arrastrarlas a lo largo de la lía."
"zoom_in";"Acercar"
"zoom_out";"Alejar"
"select_an_option";"Seleccione una opci&oacute;n:"
"readme_documentation";"Lea la documentaci&oacute;n"
"view_readme";"View readme.txt file"
"configuration";"Configuraci&oacute;n"
"rebuild_indexes";"Reconstruir los índices"
"user_admin";"Administrador"
"user_created";"Usuario creado correctamente."
"user_create_error";"No es posible agregar el usuario.  Por favor vuelva atrás y comienze de nuevo."
"password_mismatch";"Las contrase&ntilde;as no coinciden."
"enter_username";"Escriba un nombre de usuario."
"enter_fullname";"Escriba su nombre completo."
"enter_password";"Escriba una contrase&ntilde;a."
"confirm_password";"Confirme la contrase&ntilde;a."
"update_user";"Actualizar usuario"
"update_myaccount";"Actualizar Mi Cuenta"
"save";"Guardar"
"delete";"Borrar"
"edit";"Editar"
"full_name";"Nombre Completo"
"visibleonline";"Visible to other users when online"
"comment";"Comentario del Administrador acerca de usuario"
"comment_exp";"Advertir al Administrador en la siguiente fecha"
"editaccount";"Permitirle a usuario editar la informaci&oacute;n relacionada con esta cuenta"
"admin_gedcom";"Administrador GEDCOM"
"confirm_user_delete";"Seguro que quiere borrar el usuario"
"create_user";"Crear Usuario"
"no_login";"No es posible autentificar al usuario."
"import_gedcom";"Importar este archivo GEDCOM"
"duplicate_username";"Nombre de usuario duplicado.  Ya existe un usuario con ese nombre.  Por favor regrese y cree un usuario con otro nombre."
"gedcomid";"ID personal"
"enter_gedcomid";"Debe escribir una ID del GEDCOM."
"user_info";"Mi informaci&oacute;n de Usuario"
"rootid";"Persona Inicial de Antepasados"
"download_gedcom";"Descargar GEDCOM"
"upload_gedcom";"Subir GEDCOM"
"add_new_gedcom";"Crear un nuevo GEDCOM"
"gedcom_file";"Archivo GEDCOM:"
"enter_filename";"Debe introducir el nombre del GEDCOM."
"file_not_exists";"The filename entered does not exist."
"file_not_present";"The file does not exist."
"file_exists";"Ya existe un GEDCOM con ese nombre. Por favor escoja un nombre diferente o borre el archivo existente."
"new_gedcom_title";"Genealogía desde [#GEDCOMFILE#]"
"upload_error";"Hubo un error subiendo su archivo GEDCOM."
"add_gedcom_instructions";"Introduzca un nombre para este nuevo GEDCOM. El archivo GEDCOM nuevo será creado en el directorio Index: "
"file_success";"Archivo correctamente subido"
"file_too_big";"El archivo a subir excede el tamaño permitido"
"file_partial";"Archivo parcialmente subido, por favor int&eacute;ntelo de nuevo"
"file_missing";"Archivo no recibido. Envíelo de nuevo."
"manage_gedcoms";"Administrar GEDCOMs"
"research_log";"Panel de Investigaci&oacute;n"
"administration";"Administraci&oacute;n"
"ansi_to_utf8";"¿Quiere convertir este GEDCOM desde ANSI (ISO-8859-1) a UTF-8?"
"utf8_to_ansi";"¿Quiere convertir este GEDCOM desde UTF-8 a ANSI (ISO-8859-1)?"
"visitor";"Visitor"
"user";"Usuario Autentizado"
"gedadmin";"Administrador GEDCOM"
"siteadmin";"Administrador de Sitio"
"apply_privacy";"Aplicar settings de privacidad?"
"choose_priv";"Escoga nivel de privacidad:"
"user_manual";"Manual de Usuario del Genmod"
"upgrade";"Actualizar Genmod/Panel de Investigaci&oacute;n"
"view_logs";"Ver archivos log"
"logfile_content";"Contenido de archivo log"
"step1";"Paso 1 de 4:"
"step2";"Paso 2 of 4:"
"step3";"Paso 3 of 4:"
"step4";"Paso 4 of 4:"
"validate_gedcom";"Validar GEDCOM"
"img_admin_settings";"Editar Imagen (Manipulaci&oacute;n de Configuraci&oacute;n)"
"download_note";"NOTA: GEDCOMs muy grandes pueden tomar un largo tiempo antes de descargar.  Si PHP se cuelga antes de descargar completamente, es posible que usted no logre una descarga completa.<br /><br />Para asegurarse de que su archivo GEDCOM fue descargado correctament, revise que su ultima linea contiene <b>0&nbsp;TRLR</b>.  Los archivos GEDCOM tienen formato texto; usted puede usar cualquier editor de texto, pero asegurese de <u>no salvar</u> el archivo  GEDCOM</u> despues de haberle revisado.<br /><br /> In lineas generales, podria tomar tanto tiempo descargarle como cargarle."
"gm_registry";"Ver otros sitios que usan Genmod"
"verify_upload_instructions";"Un archivo GEDCOM con el mismo nombre ha sido encontrado. Si usted continua, el archivo GEDCOM viejo/anterior sera reemplazado con el archivo que usted ha cargado y el proceso de importaci&oacute;n de datos comenzara nuevamente.  Si selecciona Cancel, el archivo anterior permanecera intacto."
"cancel_upload";"Cancelar carga"
"add_media_records";"Agregar records de Media"
"manage_media_files";"Trabajar con archivos de Media"
"link_media_records";"Enlace de Media"
"add_media_button";"Agregar Media"
"media_linked";"Esta media esta enlanzada con lo siguiente:"
"media_not_linked";"Esta media No esta enlazada con ningun otro record GEDCOM."
"phpinfo";"PHP informaci&oacute;n"
"admin_info";"Informaci&oacute;nal"
"admin_geds";"Datos y administraci&oacute;n de GEDCOM"
"admin_site";"Administraci&oacute;n de Sitio"
"person1";"Persona 1"
"person2";"Persona 2"
"no_link_found";"No se encontr&oacute; ninguna relacci&oacute;n entre estas dos personas."
"sibling";"Hermano"
"follow_spouse";"Verificar parentesco por matrimonio."
"timeout_error";"Fuera de tiempo antes de que se encontrase un parentesco."
"son";"Hijo"
"daughter";"Hija"
"son-in-law";"Nuero"
"daughter-in-law";"Nuera"
"grandchild";"Nieto"
"grandson";"Nieto"
"granddaughter";"Nieta"
"brother";"Hermano"
"sister";"Hermana"
"brother-in-law";"Cu�ado"
"sister-in-law";"Cu�ada"
"aunt";"Tia"
"uncle";"Tio"
"firstcousin";"Primo"
"femalecousin";"Prima"
"malecousin";"Primo"
"cousin-in-law";"Primo politico"
"relationship_to_me";"Parentesco conmigo"
"rela_husb";"Relaci&oacute;n a esposo"
"rela_wife";"Relaci&oacute;n a esposa"
"next_path";"Buscar otro camino"
"show_path";"Ver camino"
"line_up_generations";"Alinear las mismas generaciones"
"oldest_top";"Mostrar los records mas viejos en la parte posterior/arriba"
"check_delete";"¿Está seguro que desea eliminar este acontecimiento?"
"access_denied";"<b>Acceso denegado</b><br />No tiene permiso para acceder a este recurso."
"gedrec_deleted";"Registro GEDCOM correctamente eliminado."
"gedcom_deleted";"GEDCOM [#GED#] eliminado correctamente."
"changes_exist";"Los cambios han sido aplicados a este GEDCOM."
"accept_changes";"Aceptar / Rechazar Cambios"
"reject";"Rechazado"
"change_type";"Tipo de Cambio"
"edit_raw";"Editar record GEDCOM"
"edit_gender";"Editar sexo"
"show_changes";"Este record ha sido actualizado. Pulse aqui para ver cambios."
"hide_changes";"Pulse aqui para esconder cambios."
"review_changes";"Reseña de los cambios en el GEDCOM"
"undo";"Deshacer"
"view_change_diff";"Ver modificaciones"
"changes_occurred";"Esta persona tuvo los cambios siguientes:"
"find_place";"Encontrar Lugar"
"refresh";"Refrescar"
"close_window";"Cerrar Ventana"
"close_window_without_refresh";"Cerrar ventana sin actualizar"
"place_contains";"Los Lugares tienen:"
"accept_gedcom";"Para rechazar un cambio, seleccione el enlace Deshacer.  Para aceptar todos los cambios de un Geedcom, reimportar el archivo de nuevo."
"ged_import";"Importar GEDCOM"
"now_import";"Ahora debería importar los registros GEDCOM al Genmod seleccionando en el enlace de importaci&oacute;n siguiente."
"add_fact";"A&ntilde;adir nuevo acontecimiento"
"add";"A&ntilde;adir"
"custom_event";"Denominar Evento"
"update_successful";"Actualizado correctamente"
"add_child";"Agregar hijo"
"add_child_to_family";"Agregar un hijo a esta familia"
"add_sibling";"Add a brother or sister"
"add_son_daughter";"Add a son or daughter"
"must_provide";"Debe suministrar un "
"delete_person";"Borrar esta persona"
"confirm_delete_person";"Seguro que quiere borrar esta persona del archivo GEDCOM?"
"find_media";"Buscar Multimedia"
"set_link";"Crear Enlace"
"add_source_lbl";"Add Source Citation"
"add_source";"A&ntilde;adir Fuente al Acontecimiento"
"add_note_lbl";"Add Note"
"add_note";"A&ntilde;adir Nota al Acontecimiento"
"add_media_lbl";"Agregar Media"
"add_media";"Agregar Media"
"delete_source";"Borrar fuente"
"confirm_delete_source";"Esta seguro que quiere borrar esta fuente?"
"add_husb";"Agregar esposo"
"add_husb_to_family";"Agregar esposo a esta familia"
"add_wife";"Agregar esposa"
"add_wife_to_family";"Agregar esposa a esta familia"
"find_family";"Buscar Familia"
"find_fam_list";"Encontrar Lista de Familia"
"add_new_wife";"Agregar una nueva esposa"
"add_new_husb";"Agregar un nuevo esposo"
"edit_name";"Editar Nombre"
"delete_name";"Borrar Nombre"
"no_temple";"No Templo"
"replace";"Reemplazar record"
"append";"Agregar a record"
"add_father";"Agregar un padre"
"add_mother";"Agregar una madre"
"add_obje";"Agregar un objecto Multimedia"
"no_changes";"No hay cambios por revisar."
"accept";"Aceptar"
"accept_all";"Aceptar todos los cambios"
"accept_successful";"Cambios han sido almacenados en la base de datos"
"select_date";"Seleccione fecha"
"create_source";"Crear una nueva fuente"
"new_source_created";"Nueva fuente ha sido creada."
"paste_id_into_field";"Pegue la siguiente ID de fuente en sus campos (editar) como referencia a esta fuente "
"add_name";"Agregar nuevo nombre"
"privacy_not_granted";"Usted no tiene accesso a"
"user_cannot_edit";"Este usuario no puede realizar cambios a este GEDCOM."
"gedcom_editing_disabled";"El administrador no permite cambios a este GEDCOM."
"privacy_prevented_editing";"Los settings de Privacidad no permiten editar este record."
"add_asso";"Agregar un nuevo asociado"
"edit_sex";"Editar Sexo"
"ged_noshow";"Acceso a esta p&aacute;gina ha sido restringido por el administrador de este sitio."
"bdm";"Nacimiento, Muertes, Matrimonios"
"on_this_day";"En un día como este..."
"in_this_month";"En un mes como este..."
"in_this_year";"En este a�o, en Su Historia..."
"year_anniversary";"año del aniversario"
"today";"Hoy"
"day";"Día:"
"month";"Mes:"
"showcal";"Muestre eventos de:"
"sunday";"Domingo"
"monday";"Lunes"
"tuesday";"Martes"
"wednesday";"Mi&eacute;rcoles"
"thursday";"Jueves"
"friday";"Viernes"
"saturday";"Sábado"
"all_people";"Todas las personas"
"living_only";"Personas vivas"
"recent_events";"Eventos recientes (&lt; 100 años)"
"day_not_set";"Dia no ha sido seleccionado"
"year_error";"Lo sentimos, fechas antes de 1970 no funcionan."
"lost_password";"Perdio su clave/contrase&ntilde;a?"
"requestpassword";"Solicitar una nueva contrase&ntilde;a"
"no_account_yet";"No tiene cuenta?"
"requestaccount";"Solicitar una nueva cuenta de usuario"
"emailadress";"Correo Eleectr&oacute;nico:"
"mandatory";"Campos marcados con un * son obligatorios."
"mail01_line01";"Hola #user_fullname# ..."
"mail01_line02";"Se ha hecho una petici&oacute;n a ( #SERVER_NAME# ) para acceder con su direcci&oacute;n de correo ( #user_email# )."
"mail01_line03";"Fueron utilizados los siguientes datos."
"mail01_line04";"Selecione el enlace inferior y rellene los datos requeridos para verificar su Cuenta y su Direcci&oacute;n de correo ."
"mail01_line05";"Si no est conforme con los datos puede eliminar este mensaje."
"mail01_line06";"No recibirá más mensajes desde este sistema, y se eliminará la cuenta sino la verifica antes de siete días."
"mail01_subject";"Su registro en #SERVER_NAME#"
"mail02_line01";"Hola Administrador ..."
"mail02_line02";"Nuevo usuario registrado en ( #SERVER_NAME# )."
"mail02_line03";"Se le ha enviado un correo con los datos necesarios para verificar su cuenta."
"mail02_line04";"Tan pronto como el usuario haga esta verificaci&oacute;n será informado por correo, entonces podrá autorizar a este usuario para entrar en el sitio."
"mail02_line04a";"You will be informed by email when this prospective user has verified himself.  After verification, the user will be able to login without any action on your part."
"mail02_subject";"Nuevo registro en #SERVER_NAME#"
"hashcode";"C&oacute;digo de verificaci&oacute;n:"
"thankyou";"Hola #user_fullname# ...<br />Gracias por registrarse"
"pls_note06";"Ahora recibirá un correo para  confirmar su direcci&oacute;n de correo:( #user_email# ). Utilizando el correo de confirmaci&oacute;n, activará su cuenta; sino la activa antes de siete dís, &eacute;sta se borrará (en ese momento podrí registrar su cuenta de nuevo). Para acceder a este sitio, necesitará saber su nombre de usuario y su contrase&ntilde;a."
"pls_note06a";"Le enviaremos un correo electronico de confirmaci&oacute;n a su direcci&oacute;n( #user_email# ). Usted debe verificar su pedido de cuenta siguiendo las instrucciones en el mismo. Si usted no verifica/confirma su nueva cuentra en 7 dias, su aplicaci&oacute;n sera rechazada automaticamente. Tendra que aplicaci&oacute;n nuevamente.<br /><br />Despues de seguir estas instrucciones, usted podra entrar a nuestro sitio. Para entrar, tendra que usar su nombre de usuario y clave/contrase&ntilde;a.<br /><br />"
"registernew";"Nueva confirmaci&oacute;n de Cuenta"
"user_verify";"Verificaci&oacute;n de usuario"
"send";"Enviar"
"pls_note07";"Por favor, escriba su nombre de usuario, su contrase&ntilde;a, y el c&oacute;digo de verificaci&oacute;n que ha recibido por correo desde este sistema para verificar su petici&oacute;n de una cuenta."
"pls_note08";"Se han chequeado los datos del usuario #user_name#."
"mail03_line01";"Hola Administrador ..."
"mail03_line02";"#newuser[username]# ( #newuser[fullname]# ) ha verificado los datos de registro."
"mail03_line03";"Por favor, seleccione el enlace siguiente para editar los datos del usuario, y darle el permiso para acceder a su sitio web."
"mail03_line03a";"No tiene que tomar ninguna acci&oacute;n, el usuario puede entrar al sitio."
"mail03_subject";"Nueva verificaci&oacute;n en #SERVER_NAME#"
"pls_note09";"Ha sido identificado como un usuario registrado."
"pls_note10";"El Administrador ha sido informado.<br />Tan pronto como le d&eacute; el permiso para acceder, puede entrar con su nombre de usuario y su contrase&ntilde;a."
"pls_note10a";"Usted puede entrar usando su nombre de usuario y clave/contrase&ntilde;a."
"data_incorrect";"Los datos no son correctos!<br />Por favor, int&eacute;ntelo de nuevo!"
"user_not_found";"No se pudo verificar la informaci&oacute;n que ha enviado.  Por favor, regrese e int&eacute;ntelo de nuevo."
"lost_pw_reset";"Solicitud de nueva contrase&ntilde;a por p&eacute;rdida"
"pls_note11";"Para obtener su contrase&ntilde;a, enví el nombre de usuario y la direcci&oacute;n de correo de su cuenta. <br /><br />Le enviaremos una URL especial por email, con una confirmaci&oacute;n para su cuenta. Visitando la direcci&oacute; URL suministrada, podrá cambiar su contrase&ntilde;a y acceder a este sitio. Por razones de seguridad, no suministre esta confirmaci&oacute;n a nadie, administradores de este sitio incluidos (nosotros no se lo pedimos).<br /><br />Si necesita asistencia del administrador del sitio, por favor, contacte con &eacute;l directamente."
"enter_email";"Escriba una direcci&oacute;n de correo electr&oacute;nico."
"mail04_line01";"Hola #user_fullname# ..."
"mail04_line02";"Ha sido solicitada una nueva contrase&ntilde;a para su nombre de usuario!"
"mail04_line03";"Recomendaci&oacute;n:"
"mail04_line04";"Ahora, por favor, seleccione el siguiente enlace, entre con la nueva contrase&ntilde;a y cámbiela para preservar la seguridad de sus datos."
"mail04_line05";"After you have logged in, select the '#gm_lang[myuserdata]#' link under the '#gm_lang[mygedview]#' menu and fill in the password fields to change your password."
"mail04_subject";"Solicitud de datos en #SERVER_NAME#"
"pwreqinfo";"Hola...<br /><br />Se ha enviado un correo a la direcci&oacute;n incluyendo la nueva contrase&ntilde;a.<br /><br />Por favor, revise su cuenta de correo porque el mensaje debería de llegarle en los pr&oacute;ximos minutos.<br /><br />Recommendaci&oacute;n:<br /><br />Despu&eacute;s de recibir el mensaje, debería acceder a este sitio con su nueva contrase&ntilde;a y cambiarla preservar la seguridad de sus datos."
"editowndata";"Mi Cuenta"
"savedata";"Guardar cambios"
"datachanged";"Los datos de usuario han sido modificados!"
"datachanged_name";"Necesita autentificarse con su nuevo nombre de usuario."
"myuserdata";"Mi Cuenta"
"verified";"Usuario autoverificado:"
"verified_by_admin";"Usuario aprobado Admin.:"
"user_theme";"Mi Tema"
"mgv";"MiGedView"
"passwordlength";"La contrase&ntilde;a debe tener al menos 6 caracteres ."
"admin_approved";"Su cuenta en #SERVER_NAME# fue aprobada"
"you_may_login";"por el administrador del sitio. Ahora puede entrar en el sitio, seleccionando el enlace siguiente:"
"welcome_text_auth_mode_1";"<center><b>Bienvenido a nuestro sitio de Genealog�a</b></center><br />Acceso a este sitio es permitido a los usuarios que tengan una cuenta en el mismo.<br /><br />Si tiene una cuenta, puede entrar. Si no tiene, puede aplicar para obtener una pulsando en link abajo.<br /><br />Despues de verificar su aplicaci&oacute;n, el administrador activara su cuenta. Usted recibira un email indicandole que su cuenta ha sido aprobada."
"welcome_text_auth_mode_2";"<center><b>Bienvenido a nuestro sitio de Genealog�a</b></center><br />Acceso a este sitio es permitido a los <u>usarios autorizados</u> solamente.<br /><br />Si tiene una cuenta, puede entrar. Si no tiene, puede aplicar para obtener una pulsando en link abajo.<br /><br />Despues de verificar su aplicaci&oacute;n, el administrador decidira si aprobar o rechazar su peticion. En caso positivo, activara su cuenta. Usted recibira un email indicandole que su cuenta ha sido aprobada."
"welcome_text_auth_mode_3";"<center><b>Bienvenido a nuestro sitio de Genealog�a</b></center><br />Acceso a este sitio es permitido a <u>familiares autorizados</u> solamente.<br /><br />Si tiene una cuenta, puede entrar. Si no tiene, puede aplicar para obtener una pulsando en link abajo.<br /><br />Despues de verificar su aplicaci&oacute;n, el administrador decidira si aprobar o rechazar su petici&oacute;n. En caso positivo, activara su cuenta. Usted recibira un email indicandole que su cuenta ha sido aprobada."
"welcome_text_cust_head";"<center><b>Bienvenido a nuestro sitio de Genealog�a</b></center><br />Acceso es permitido a usuarios que tiene una cuenta y clave/contrase�a en este sitio.<br />"
"welcome";"Bienvenido a su nueva web de Genmod. Desde el momento que está viendo esta página ha instalado satisfactoriamente Genmod en su servidor y está listo para configurarlo en la forma que desee.<br />"
"upcoming_events";"Pr&oacute;ximos Acontecimientos"
"living_or_all";"Mostrar solo eventos de parientes vivientes(vivos)?"
"basic_or_all";"Mostrar solo Nacimientos, Muertes, y Matrimonios?"
"no_events_living";"No existen eventos para personas vivientes(vivos) en los proximos #gm_lang[global_num1]# dias."
"no_events_living1";"No existen eventos para personas vivientes(vivos) el dia de ma�ana."
"no_events_all";"No existen eventos en los proximos #gm_lang[global_num1]# dias."
"no_events_all1";"No existen eventos en el dia de ma�ana."
"no_events_privacy";"Eventos existen en los proximos #gm_lang[global_num1]# dias; pero restricciones de privacidad no le permiten verles."
"no_events_privacy1";"Eventos existen en el dia de ma�ana; pero restricciones de privacidad no le permiten verles."
"more_events_privacy";"<br />Mas eventos existen en los proximos #gm_lang[global_num1]# dias; pero restricciones de privacidad no le permiten verles."
"more_events_privacy1";"<br />Mas eventos existen en el dia de ma�ana; pero restricciones de privacidad no le permiten verles."
"none_today_living";"No hay eventos hoy dia para personas vivientes(vivos)."
"none_today_all";"No hay eventos en el dia de hoy."
"none_today_privacy";"Hay eventos en el dia de hoy; pero restricciones de privacidad no le permiten verle."
"more_today_privacy";"<br />Hay mas eventos en el dia de hoy; pero restriccions de privacidad no le permiten verle."
"chat";"Chat"
"users_logged_in";"Usuarios registrados"
"anon_user";"1 usuario anonimo conectado"
"anon_users";"#gm_lang[global_num1]# usuarios anonimos conectados"
"login_user";"1 usuario conectado"
"login_users";"#gm_lang[global_num1]# usuarios conectados"
"no_login_users";"No hay usuarios conectados"
"message";"Enviar Mensaje"
"my_messages";"Mensajes"
"date_created";"Enviado el:"
"message_from";"Email:"
"message_from_name";"De:"
"message_to";"Para:"
"message_subject";"Asunto:"
"message_body";"Mensaje:"
"no_to_user";"No es posible enviar el mensaje.  Debe de especificar el destinatario."
"provide_email";"Recuerde especificar su direcci&oacute;n de correo para que nosotros podamos responder a su mensaje.  Su direcci&oacute;n de correo electr&oacute;nico no será utilizada en ningún caso para nada diferente que no sea responder a su mensaje."
"reply";"Responder"
"message_deleted";"Mensaje eliminado"
"message_sent";"Mensaje enviado"
"reset";"Restaurar"
"site_default";"Sitio predeterminado"
"mygedview_desc";"Su p&aacute;gina MiGedView le permite agregar Favoritos de sus personas preferidas, ver los pr&oacute;ximos Acontecimientos , y contactar con otros Usuarios del sitio."
"no_messages";"No tiene mensajes pendientes."
"clicking_ok";"Seleccionando OK, se abrirá otra ventana donde contactar con #user[fullname]#"
"my_favorites";"Favoritos"
"no_favorites";"No tiene a nadie seleccionado en Favoritos.  Para agregar una persona a Favoritos, busque en la p&aacute;gina de la persona que le gustaría agregar y seleccione "Agregar a Favoritos"  o bien utilice la caja del ID inferior para agregar una persona por su número de ID."
"add_to_my_favorites";"Agregar a Favoritos"
"no_gedcom_favorites";"At this moment there are no selected Favorites.  The admin can add Favorites to display at startup."
"confirm_fav_remove";"Seguro que quiere eliminar este enlace de sus favoritos?"
"invalid_email";"Por favor introduzca una direcci&oacute;n de correo válida."
"enter_subject";"Por favor introduzca el Asunto."
"enter_body";"Por favor escriba el texto del mensaje antes de enviarlo."
"confirm_message_delete";"Realmente desea eliminar definitivamente este mensaje?"
"message_email1";"Mensaje recibido de "
"message_email2";"Mensaje enviado a un usuario:"
"message_email3";"Mensaje enviado a un administrador:"
"viewing_url";"Este mensaje fue enviado desde la p&aacute;gina url: "
"random_picture";"Imagen al azar"
"message_instructions";"<b>AVISO:</b> La informaci&oacute;n privada de las personas vivas solamente se facilitará a familiares cercanos y amigos íntimos.  Se le solicitará su relacci&oacute;n de parentesco para poder recibir datos privados.  En ocasiones la informaci&oacute;n sobre personas ya fallecidas tambi&eacute;n puede ser privada.  Esto es así cuando no hay informaci&oacute;n suficiente para determinar con seguridad si estas persanas están vivas o no, por otra parte probablemente no dispongamos de más informaci&oacute;n sobre ellas.<br /><br />Antes de hacer una solicitud, revise todos los datos de la persona, fechas, lugares y detalles personales para asegurarse de que efectivamente sea la persona de su inter&eacute;s.  Si está enviando modificaciones sobre los datos geneal&oacute;gicos, no se olvide de incluir las fuentes de donde obtuvo la informaci&oacute;n.<br /><br />"
"sending_to";"Este mensaje sera enviado a #TO_USER#"
"preferred_lang";"Este usuario prefiere recibir mensajes en #USERLANG#"
"gedcom_created_on";"Este GEDCOM fue creado el <b>#DATE#</b>"
"customize_page";"Modificar Portal GedView"
"customize_gedcom_page";"Modificar P&aacute;gina de Bienvenida GEDCOM"
"upcoming_events_descr";"El bloque de eventos proximos muestra aniversario de eventos que ocurriran en el futuro cercano. Usted puede configurarle, el administrador puede configurar el tama&ntilde;o de este bloque."
"todays_events_descr";"El bloque de <i>En este dia en tu Historia</i>... muestra aniversarios de eventos para el dia de hoy. Usted puede configurar la cantidad de detalles que quiere mostrar."
"logged_in_users_descr";"El bloque de <i>Usuarios conectados</i> muestra una lista de usuarios que estan actualmente conectados."
"user_messages_descr";"El bloque de <i>Mensajes de usuarios</i> muestra una lista de los mensajes que han sido enviados a un usuario activo."
"user_favorites_descr";"El bloque de <i>Usuario Favoritos</i> muestra a el usuario una lista de sus personas favoritas en la base de datos para facilitar crear enlaces a estos."
"welcome_descr";"El bloque de <i>Bienvenida a Usuario</i> muestra a el usuario la fecha y hora, links para modificar su cuenta rapidaaacute;pidamente o visitar su propia ficha estilo Pedigr&iacute;, y un link para modificar su p&aacute;gina portal MyGedView."
"random_media_descr";"El bloque de <i>Media Al Azar</i> selecciona al azar una foto u otro tipo de media en la base de datos (activa), mostrandosela al usuario."
"gedcom_descr";"El bloque de <i>Bienvenida a GEDCOM</i> trabaja de igual manera como la <Bienvenida a Usuario</i>. Le da la bienvenida al visitante a nuestro sitio y muestra el titulo de la base de datos activa como tambien as well as la fecha y hora actual."
"gedcom_favorites_descr";"El bloque de <i>Favoritos GEDCOM</i> le da al administrador la capacidad para designar individuos en la base de datos y asi hacer su informaci&oacute;n accesible facilmente a todos. Esta es una forma de resaltar personas quienes son importantes en su historial familiar."
"gedcom_stats_descr";"El bloque de <i>Estadisticas GEDCOM</i> muestra a el visitante alguna informaci&oacute;n basica acerca de la base de datos, tales como cuan fue creado y cuantas personas estan en ella.<br /><br />Tambien tiene una lista de los apellidos usados mas frecuentemente. Puede configurar este bloque para que no muestre la lista de los apellidos usados mas frecuentemente, y pueden tambien configurar GEDCOM para borrar or agregar nombres a esta lista. Usted puede colocar el numero de ocurrencias en esta lista en la configuracion GEDCOM."
"gedcom_stats_show_surnames";"Mostrar apellidos comunes?"
"portal_config_intructions";"~#gm_lang[customize_page]# <br /> #gm_lang[customize_gedcom_page]#~<br /><br />Usted puede configurar la p&aacute;gina colocando los bloques en la p&aacute;gina en la manera que usted desea.<br /><br />Esta p&aacute;gina esta compuesta de secciones <b>Principal(Main)</b> y <b>Derecha(Right)</b>. La secci&oacute;n <b>Principal(Main)</b> aparece en formato grande y debajo del titulo de la p&aacute;gina. La secci&oacute;n <b>Derecha (Right)</b> comienza a la derecha del titulo y sigue por la parte derecha de la p&aacute;gina.<br /><br />Cada secci&oacute;n tiene su propia lista de bloques que seran imprimidos en la p&aacute;gina en el orden en el que aparecen. Usted puede agregar, borrar, y re-organizar los bloques como usted desee.<br /><br />Cuando uno de los bloques estan vacios, los otros bloques tomaran, se mostrara en, toda la pantalla.<br /><br />"
"login_descr";"El bloque de <i>Entrada(Login)</i> acepta un nombre de usuario y clave/contrase&ntilde;a y asi le permite entrar."
