"ABBREVIATE_CHART_LABELS";"Afgekorte veldtitels"
"change";"Wijzig"
"change_family_instr";"Op deze pagina kunt u gezinsleden wijzigen en verwijderen.<br /><br />Voor ieder gezinslid kunt u de koppeling "Wijzig" gebruiken om en ander persoon de desbetreffende rol binnen het gezin te geven. U kunt ook de koppeling "Verwijderen"gebruiken om de persoon uit het gezin te verwijderen.<br /><br />Als u klaar bent met aanpassen van de gezinsleden, kunt u de wijzigingen opslaan met de "Opslaan"-knop.<br />"
"change_family_members";"Wijzig gezinsleden"
"change_id";"Wijzig persoons-ID in:"
"change_lang";"Wijzig taal"
"change_theme";"Wijzig site-opmaak"
"change_type";"Wijzigingstype"
"changed_mac";"Regeleinden in Macintosh-formaat gevonden. Regeleinden met alleen een 'CR' zijn gewijzigd in 'CR' en 'LF'."
"changed_message";"Gewijzigde inhoud"
"changed_places";"Ongeldige plaatscoderingen gevonden. Plaatsgegevens zijn opgeschoond zodat deze voldoen aan de GEDCOM 5.5 specificaties."
"changedate1";"Eind wijzigingsdatum"
"changedate2";"Start wijzigingsdatum"
"changelog";"Versie #VERSION# aanpassingen"
"changes_accepted_tot";"Totaal geaccepteerde wijzigingen:"
"changes_exist";"Dit GEDCOM-bestand is gewijzigd."
"changes_occurred";"De volgende wijzigingen zijn voorgekomen voor deze persoon:"
"changes_pending_tot";"Totaal te beoordelen wijzigingen:"
"changes_present";"Er zijn nog niet goedgekeurde wijzigingen aanwezig. Als u doorgaat met importeren, worden deze automatisch in het bestand doorgevoerd."
"changes_report";"Wijzigingen"
"chart_booklet";"Boek"
"chart_list";"Lijst"
"chart_style";"Indeling overzicht"
"charts";"Overzichten"
"chat";"Chatten"
"check";"Controleer"
"check_delete";"Weet u zeker dat u dit GEDCOM-feit wilt verwijderen?"
"check_md5";"Controleer bestandsversies van deze installatie"
"child";"Kind"
"child-family";"Ouders, broers en zusters"
"child_present";"Deze persoon is al lid van dit gezin"
"children";"Kinderen"
"children_timeline";"Toon kinderen op de tijdlijn"
"choice";"Keuze"
"choose";"Kies:"
"choose_gedcom";"Kies een GEDCOM-bestand"
"choose_priv";"Kies privacy-niveau:"
"choose_relatives";"Kies verwanten"
"choose_report";"Kies een rapport"
"cir";"circa"
"circumciser";"Besnijder"
"citation";"Aanhaling:"
"civil_registrar";"Ambtenaar Burgerlijke Stand"
"cleanup";"Opschonen"
"cleanup_failed";"Opschonen mislukt"
"cleanup_messages";"Gebruikersmail beheren"
"cleanup_older";"Opschonen ouder dan"
"cleanup_places";"Opschonen locaties"
"cleanup_success";"Opschonen met succes uitgevoerd"
"cleanup_users";"Opschonen gebruikers"
"clear_clipboard";"Klembord leegmaken"
"click";"Door muisklik"
"click_details";"Klik voor bestandsdetails"
"click_for";"Klik voor:"
"click_here";"Klik hier om door te gaan"
"click_here_to_continue";"Klik hier om door te gaan."
"click_here_to_go_to_pedigree_tree";"Klik hier om naar de kwartierstaat te gaan."
"click_mm_links";"Klik voor multimediakoppelingen"
"click_to_add_media";"Klik hier om de bovenstaande media-items toe te voegen aan het GEDCOM-bestand #GEDCOM#"
"clicking_ok";"Als u op OK klikt, wordt een venster geopend om contact op te nemen met #user[fullname]#"
"clip_cart";"Knipselbak"
"clip_explaination";"De Stamboom knipselbak geeft u de mogelijkheid om "knipsels" van deze stamboom te nemen en deze samen te bundelen in één GEDCOM-bestand om te kunnen downloaden.<br /><br />"
"clippings_cart";"Knipsels"
"clippings_download";"Download knipselbestanden"
"close_window";"Sluit venster"
"close_window_without_refresh";"Sluit venster zonder herladen"
"comment";"Commentaar beheerder"
"comment_exp";"Waarschuw beheerder op datum"
"comments";"Commentaar"
"common_surnames";"Meest voorkomende achternamen"
"common_upload_errors";"Deze foutboodschap betekent waarschijnlijk dat het bestand dat u probeert te uploaden, groter is dan het maximum dat de beheerder van de webserver heeft ingesteld. Standaard is de maximum grootte 2Mb. U kunt contact opnemen met de beheerder van de webserver om hem de limiet te laten verhogen, of u kunt het bestand met behulp van een FTP-programma uploaden.<br />Gebruik de functie <a href="uploadgedcom.php?action=add_form">GEDCOM-bestand toevoegen</a> om een bestand in Genmod toe te voegen, dat u met zo'n programma heeft ge-upload.<br />"
"compare";"Vergelijk"
"compare_lang_utility";"Hulpprogramma vergelijking taalbestanden"
"compare_lang_utility_desc";"Deze module vergelijkt twee taalbestanden en maakt een lijst van verschillen. Aangegeven wordt, welke variabelen ten opzichte van het eerste bestand niet meer voorkomen of er juist zijn bijgekomen.<br /><br />In het bestand [<a href="languages/LANG_CHANGELOG.txt" target="_blank">LANG_CHANGELOG.txt</a>] in de languages-map staan nog andere wijzigingen vermeld. Hierin kunt u vinden welke variabelen qua inhoud zijn gewijzigd.<br /><br />"
"comparing";"Vergeleken taalbestanden"
"comparing_facts";"Feiten"
"comparing_helptext";"Helpteksten"
"comparing_main";"Hoofdteksten"
"confidential";"vertrouwelijk"
"config_block";"Vak instellen"
"config_file_read";"Lezen instellingenbestand."
"config_french";"Frans"
"config_hebrew";"Hebreeuws"
"config_lang_utility";"Configuratie ondersteunde talen"
"config_still_writable";"<br />Uw config.php bestand heeft schrijftoegang.<br />Als u klaar bent met het configureren van uw site, dient u de rechten om beveiligingsredenen te wijzigen in "alleen lezen"."
"config_update_ok";"Instellingen succesvol bijgewerkt"
"configuration";"Instellingen"
"configure";"Instellen Genmod"
"configure_head";"Genmod instellingen"
"configured_languages";"Gebruikte talen"
"confirm";"Geef wachtwoord opnieuw"
"confirm_delete_file";"Bestand verwijderen?"
"confirm_delete_media";"Weet u zeker dat u dit multimedia object wilt verwijderen?"
"confirm_delete_note";"Weet u zeker dat u deze gedeelde notitie wilt verwijderen?"
"confirm_delete_person";"Weet u zeker dat u deze persoon uit het GEDCOM-bestand wilt verwijderen?"
"confirm_delete_repo";"Weet u zeker dat u de bewaarplaats uit uw genealogie wilt verwijderen?"
"confirm_delete_source";"Weet u zeker dat u deze bron uit het GEDCOM-bestand wilt verwijderen?"
"confirm_faq_delete";"Weet u zeker dat u deze VGV wilt verwijderen?"
"confirm_fav_remove";"Weet u zeker dat u deze persoon uit uw favorieten wilt verwijderen?"
"confirm_folder_delete";"Map verwijderen?"
"confirm_gedcom_delete";"Weet u zeker dat u dit GEDCOM-bestand wilt verwijderen?"
"confirm_journal_delete";"Weet u zeker dat u deze notitie wilt verwijderen?"
"confirm_message_delete";"Wilt u dit bericht echt verwijderen? Herstellen is niet mogelijk."
"confirm_news_delete";"Weet u zeker dat u dit artikel wilt verwijderen?"
"confirm_page_delete";"Weet u zeker dat u deze pagina wilt verwijderen?"
"confirm_password";"U moet het wachtwoord twee keer invullen."
"confirm_remove";"Weet u zeker dat u deze persoon uit het gezin wilt verwijderen?"
"confirm_sure";"Weet u zeker dat u dit wilt doen?"
"confirm_user_delete";"Weet u zeker dat u deze gebruiker wilt verwijderen?"
"connections";"Locatieverbindingen gevonden"
"contact_conf";"Contactinformatie"
"content";"Inhoud"
"contents";"Inhoud"
"continue";"Doorgaan met toevoegen"
"continue_import";"Doorgaan met importeren locaties"
"copy";"Kopiëren"
"counters";"Bezoektellers"
"cousin-in-law";"Aangetrouwde neef/nicht"
"create_dir";"Map maken"
"create_general_note";"Nieuwe gedeelde notitie"
"create_repository";"Maak nieuwe bewaarplaats"
"create_source";"Nieuwe bron"
"create_user";"Gebruiker maken"
"created_fams";"Maken van tabel <i>Families</i> geslaagd."
"created_fams_fail";"De tabel <i>Families</i> kan niet worden aangemaakt."
"created_indis";"Maken van tabel <i>Individuals</i> geslaagd."
"created_indis_fail";"De tabel <i>Individuals</i> kan niet worden aangemaakt."
"created_media";"Tabel <b>Media</b> succesvol gecreëerd."
"created_media_fail";"De tabel <i>media</i> kan niet worden aangemaakt."
"created_media_mapping_fail";"De tabel <i>media mappings</i> kan niet worden aangemaakt."
"created_other";"Maken van tabel <i>Other</i> geslaagd."
"created_other_fail";"De tabel <i>Other</i> kan niet worden aangemaakt."
"created_placelinks";"Maken van tabel <i>Placelinks</i> geslaagd."
"created_placelinks_fail";"De tabel <i>placelinks</i> kan niet worden aangemaakt."
"created_places";"Maken van tabel <i>Places</i> geslaagd."
"created_places_fail";"De tabel <i>Places</i> kan niet worden aangemaakt."
"created_sources";"Maken van tabel <i>Sources</i> geslaagd."
"created_sources_fail";"De tabel <i>Sources</i> kan niet worden aangemaakt."
"current_dir";"Huidige map: "
"current_gedcoms";"Huidige GEDCOM-bestanden"
"current_users";"Lijst gebruikers"
"custom_event";"Vrij te kiezen gebeurtenis"
"custom_page_add";"Pagina toevoegen"
"custom_page_edit";"Pagina wijzigen"
"customize_gedcom_page";"Welkomstpagina indelen"
"customize_page";"MyGenmod indelen"
"cut";"Knippen"
"daily";"Dagelijks"
"data_incorrect";"Gegevens niet correct!<br />Probeer opnieuw!"
"datachanged";"Gebruikersgegevens zijn gewijzigd!"
"datachanged_name";"Opnieuw aanmelden met nieuwe gebruikersnaam a.u.b."
"dataset_exists";"Een GEDCOM-bestand met deze naam staat reeds in de database."
"date";"Datum"
"date_created";"Datum verzonden:"
"date_format";"Datumformaat:"
"date_registered";"Geregistreerd"
"date_time";"Datum en tijd"
"dateconvert";"Programma datumconversie"
"daughter";"Dochter"
"daughter-in-law";"Schoondochter"
"day";"Dag:"
"day1";"dag"
"day_before_month";"Dag voor maand (DD MM YYYY)"
"day_not_set";"Dag niet bekend"
"days";"dagen"
"days_to_show";"Aantal te tonen dagen"
"db";"Database"
"db_setup_bad";"De huidige databaseconfiguratie is corrupt. Controleer de database-verbindingsparameters en configureer opnieuw."
"db_to_file";"Exporteer Multimediabestanden uit de database naar het bestandssysteem"
"dead";"Overleden "
"death";"Overleden:"
"death_report";"Overlijdensplaatsen en -data"
"deathdate1";"Vroegste overlijdensdatum"
"deathdate2";"Laatste overlijdensdatum"
"deathplac";"Overlijdensplaats"
"deathplace";"Overlijdensplaats bevat"
"deathyear";"Overlijdensjaar"
"dec";"december"
"deceased";"Overleden"
"default";"Standaard"
"default_form";"Plaats, Gemeente, Provincie/Staat, Land"
"default_form_info";"(Standaard)"
"default_news_text";"De informatie op deze website wordt beschikbaar gemaakt met behulp van <a href="http://sourceforge.net/projects/genmod/" target="_blank">Genmod  #VERSION#</a>. Deze pagina geeft een introductie in en overzicht over deze genealogie. U kunt een van de overzichten kiezen uit het menu, de details van personen bekijken, of op naam of plaats zoeken.<br /><br />Als u problemen heeft met het gebruik van Genmod, kijk dan in het helpmenu voor meer informatie over de pagina waarop u zich bevindt.<br /><br />Dank voor uw bezoek!"
"default_news_title";"Welkom bij uw genealogie"
"default_user";"Aanmaken van de beheerder."
"definitions";"Definities"
"del_exist_db";"Bestaande bestanden in de database overschrijven"
"del_exist_files";"Overschrijf in het bestandssysteem reeds bestaande bestanden "
"del_exp_files";"Verwijder geëxporteerde bestanden uit de database"
"del_gedrights";"GEDCOM niet langer actief, verwijder verwijzingen van gebruikers."
"del_imp_files";"Verwijder geïmporteerde bestanden van het fysieke bestandssysteem"
"del_mail";"Geselecteerde mailboxen legen"
"del_proceed";"Doorgaan"
"del_unvera";"Gebruiker niet geverifieerd door de beheerder."
"del_unveru";"Gebruiker heeft zijn gegevens niet binnen 7 dagen geverifieerd."
"del_upl_files";"Bestaand bestand overschrijven"
"delete";"Verwijder"
"delete_dir_success";"Map voor miniatuurweergaves succesvol verwijderd"
"delete_directory";"Verwijder map"
"delete_fact";"Gebeurtenis verwijderen"
"delete_family";"Verwijder gezin"
"delete_family_confirm";"Door het verwijderen van het gezin verbreekt u het verband tussen de personen. De gegevens van de personen zelf worden niet verwijderd. Weet u zeker dat u dit gezin wilt verwijderen?"
"delete_file";"Verwijder bestand"
"delete_indi";"Verwijder persoon"
"delete_media";"Verwijder dit multimedia object"
"delete_name";"Verwijder naam"
"delete_note";"Verwijder gedeelde notitie"
"delete_ok";"Bestand(en) succesvol verwijderd."
"delete_person";"Verwijder deze persoon"
"delete_repo";"Verwijder bewaarplaats"
"delete_sel_configs";"Verwijder geselecteerde instellingen"
"delete_selected";"Verwijder geselecteerde blokkeringen"
"delete_selected_messages";"Verwijder geselecteerde berichten"
"delete_source";"Verwijder deze bron"
"delete_user_nok";"Gebruiker verwijderen is niet geslaagd."
"delete_user_ok";"Gebruiker is succesvol verwijderd."
"descend_chart";"Nakomelingen"
"descend_report";"Nakomelingen"
"descendancy_header";"Nakomelingen van"
"descendants";"Nakomelingen"
"description";"Omschrijving"
"deselect_all";"Alle de-selecteren"
"detected_change";"Genmod heeft een verandering gevonden in het GEDCOM-bestand #GEDCOM#. Index bestanden moeten eerst opnieuw worden gemaakt voordat u kunt doorgaan."
"differences";"Verschillen"
"dir_created";"Map succesvol aangemaakt"
"dir_exists";"Map bestaat al"
"dir_not_created";"Map niet aangemaakt"
"dirdel_ok";"Map succesvul verwijderd"
"direct-ancestors";"Directe voorouders"
"directories";"Mappen"
"directory_not_empty";"Map is niet leeg"
"directory_not_exist";"Map bestaat niet"
"disabled";"Uitgeschakeld"
"disp_db_settings";"Database instellingen"
"displ_comsurn_conf";"Meest voorkomende achternamen"
"displ_conf";"Tonen en opmaak"
"displ_hide_conf";"Tonen en verbergen"
"displ_layout_conf";"Opmaak"
"displ_names_conf";"Namen"
"display_all";"Alles tonen"
"disproved";"Weerlegd"
"do_not_change";"Niet wijzigen"
"does_not_exist";"bestaat niet"
"download";"Klik met uw rechter muisknop op de onderstaande koppelingen en selecteer "Bewaar doel als" om de bestanden te downloaden."
"download_file";"Download bestand."
"download_gedcom";"Download GEDCOM-bestand"
"download_gedconf";"Download de GEDCOM-configuratie."
"download_here";"Klik hier om het bestand te downloaden."
"download_note";"LET OP: Bij grote GEDCOM-bestanden kan het lang duren voordat de download gereed is.<br />De toegestane limiet voor de uitvoeringstijd van een PHP-pagina kan hierdoor worden overschreden.<br />Controleer daarom altijd of het gedownloade GEDCOM-bestand als laatste regel '0 TRLR' bevat."
"download_now";"Nu downloaden"
"download_report";"Rapport downloaden"
"download_zipped";"Download GEDCOM-bestand als ZIP-bestand?"
"drop_tables";"De huidige tabellen verwijderen"
"duplicate_username";"Een gebruiker met die naam is reeds aanwezig. Kies een andere naam."
"dynasty_list";"Overzicht van stamouders"
"edit";"Wijzig"
"edit_exist_global_facts_settings";"Wijzig bestaande algemene instellingen voor gegevens op feit/gebeurtenisniveau"
"edit_exist_person_facts_settings";"Wijzig bestaande specifieke instellingen voor gegevens op feit/gebeurtenisniveau, van een specifiek record"
"edit_exist_person_privacy_settings";"Wijzig bestaande privacy instellingen op record-niveau"
"edit_exist_user_privacy_settings";"Wijzig bestaande privacy instellingen voor een gebruiker"
"edit_fact";"Wijzig gebeurtenis"
"edit_fam";"Wijzig gezin"
"edit_gender";"Wijzig geslacht"
"edit_indi";"Wijzig persoon"
"edit_lang_utility";"Bewerkingsprogramma taalbestand"
"edit_langdiff";"Bewerk en configureer de taalbestanden"
"edit_media";"Wijzig multimedia"
"edit_name";"Wijzig naam"
"edit_news";"Wijzigen/toevoegen artikel/notitie"
"edit_note";"Bewerk notitie"
"edit_pages";"Wijzig pagina's"
"edit_privacy";"Wijzig privacy"
"edit_privacy_title";"Wijzig GEDCOM privacy-instellingen"
"edit_quickupdate";"Snel toevoegen/wijzigen"
"edit_raw";"Wijzig GEDCOM-gegevens"
"edit_repo";"Wijzig bewaarplaats"
"edit_rights";"Wijzigrechten"
"edit_settings";"Wijzig instellingen"
"edit_sex";"Wijzig geslacht"
"edit_sour";"Bewerk bron"
"edit_source";"Bewerk bron"
"editaccount";"Sta gebruiker toe om gebruikersgegevens te wijzigen"
"editlang";"Wijzigen"
"editlang_lang_export_no_success";"Fout bij export taalbestand"
"editopt_conf";"Opties voor wijzigen"
"editowndata";"Mijn gegevens"
"emailadress";"E-mail adres"
"embedmm";"Converteer multimediarecords naar embedded records"
"emergency_log_exists";"Er zijn databaseproblemen opgetreden. Controleer uw systeemlog."
"empty_cart";"Maak bak leeg"
"empty_dataset";"Wilt u de oude gegevens verwijderen en de gegevens uit het nieuwe GEDCOM-bestand toevoegen?"
"empty_lines_detected";"Lege regels ontdekt in uw GEDCOM-bestand. Bij het opschonen worden deze verwijderd."
"enable_disable_lang";"In- en uitschakelen talen"
"enter_body";"Voer tekst in voor het verzenden a.u.b."
"enter_comments";"Geef uw relatie tot de genealogie aan in het commentaarvak."
"enter_db_pass";"Om beveiligingsredenen moet u de database gebruikersnaam en het database wachtwoord opnieuw invoeren bij het wijzigen van de configuratie."
"enter_email";"U moet een e-mailadres opgeven."
"enter_famid";"Type gezins-ID"
"enter_filename";"Voer een GEDCOM-bestandsnaam in."
"enter_fullname";"U moet de volledige naam invullen."
"enter_gedcomid";"U moet een GEDCOM-ID invoeren."
"enter_password";"U moet het wachtwoord invullen."
"enter_pid";"Type persoons-ID"
"enter_report_values";"Voer waarden voor het rapport in"
"enter_subject";"Voer onderwerp van het bericht in"
"enter_terms";"Geef zoekcriteria op:"
"enter_text";"Typ de tekst voor het artikel of de notitie:"
"enter_title";"Geef a.u.b. een titel:"
"enter_username";"U moet de gebruikersnaam invullen."
"error";"Foutbericht"
"error_already";"zit al in uw knipselbak."
"error_header";"Het GEDCOM-bestand, [#GEDCOM#], kan niet worden gevonden op de aangegeven plaats."
"error_header_write";"Schrijfrechten benodigd op het GEDCOM-bestand [#GEDCOM#], controleer attributen en toegangsrechten."
"error_title";"FOUT: kan GEDCOM-bestand niet openen"
"est";"geschat"
"example_date";"Voorbeeld van een ongeldige datum in uw GEDCOM-bestand:"
"example_place";"Voorbeeld van een foutieve locatieaanduiding in uw GEDCOM-bestand:"
"excel_create";"wordt aangemakt in het bestand: "
"excel_list";"Uitvoer in Excel (SLK formaat) naar de volgende bestanden (gebruik eerst lijst stamouders):"
"excel_tab";"tabblad:"
"exec_time";"Uitvoeringstijd:"
"exhusband";"Ex-echtgenoot"
"exp_no_thum";"Miniweergaves niet exporteren"
"exp_thumb";"Export bestanden en miniweergaves"
"explain_options";"Als u ervoor kiest om de bestaande tabellen te verwijderen dan wordt alle informatie vervangen door die in dit GEDCOM-bestand.<br />Als u ervoor kiest om met meerdere GEDCOM-bestanden te werken dan zal Genmod alle gegevens verwijderen die dezelfde GEDCOM-bestandsnaam hebben. Deze optie maakt het mogelijk om meerdere GEDCOM-bestanden in dezelfde tabellen op te slaan en eenvoudig te wisselen."
"export";"Export"
"export_filename";"Naam van het bestand met de geëxporteerde gegevens:"
"export_lang_utility";"Hulpprogramma export taalbestand"
"export_lang_utility_desc";"Kies een taal om de helpinformatie uit het gekozen configuration_help taalbestand te exporteren naar een documentatiebestand.<br /><br />"
"export_log";"Exporteren loggegevens"
"export_ok";"Helpinformatie is geëxporteerd."
"export_results";"Exporteer resultaten"
"export_warn";"Onderstaande talen hebben nieuwe vertalingen. Exporteer de taalbestanden om de wijzigingen te behouden:"
"extension";"Bestandstype"
"external_media";"Externe multimediakoppelingen"
"external_search";"Extern zoeken"
"exwife";"Ex-echtgenote"
"fact_details";"Details gegeven zichtbaar"
"fact_show";"Gegeven zichtbaar"
"facts";"Feiten en details"
"fam_evt_report";"Gezinsgebeurtenissen (datum en locatie)"
"fam_id_no_exists";"Dit gezins-ID bestaat niet, voer een geldige in!"
"fam_linking";"Links van gezinnen"
"fam_spouse";"Gezin met partner"
"famevtdate1";"Startdatum gebeurtenissen"
"famevtdate2";"Einddatum gebeurtenissen"
"famevtplace";"Locatie bevat"
"families";"Gezinnen"
"family";"Gezin"
"family_complete";"Gezinsindex voltooid"
"family_downloaded_from";"Dit gezin is gedownload van:"
"family_exists";"Dit gezin bestaat al."
"family_group_info";"Gezinsinformatie"
"family_group_report";"Gezin"
"family_info";"Gezinsinformatie"
"family_list";"Gezinnen"
"family_not_found";"Gezinsgegevens niet gevonden"
"family_of";"Familie van"
"family_private";"Details van dit gezin zijn privé. Details van dit gezin worden niet toegevoegd."
"family_role";"Rol in gezin"
"family_timeline";"Toon gezin op de tijdlijn"
"family_with";"Gezin met"
"familybook_chart";"Familieboek"
"fams_charts";"Opties voor gezin"
"fams_with_fistname_letter";"Gezinnen met voornaam beginnend met #letter#"
"fams_with_surname";"Gezinnen met achternaam #surname#"
"fams_with_surname_letter";"Gezinnen met achternaam beginnend met #letter#"
"fan_chart";"Cirkeldiagram"
"fan_width";"Cirkelomvang"
"fanchart_IE";"Dit cirkeldiagram kan niet direct vanuit uw Windows Verkenner worden afgedrukt. Gebruik rechts-klik op uw muis, kies opslaan en druk daarna de afbeelding af."
"faq_back";"Terug naar menu VGV"
"faq_list";"Veel Gestelde Vragen"
"faq_page";"Veel gestelde vragen"
"father";"Vader"
"fathers_family_with";"Vaders gezin met "
"fdetails";"Bestandsdetails"
"feb";"februari"
"female";"Vrouw"
"femalecousin";"Nicht"
"file_absent";"Dit bestand is niet aanwezig:"
"file_contains";"Bestandsnaam bevat:"
"file_does_not_exist";"FOUT! Het bestand bestaat niet!..."
"file_empty";"Bestandsnaam is leeg."
"file_exists";"Er bestaat al een bestand met die naam. Kies een andere naam, of verwijder het oude bestand."
"file_management";"Bestandsbeheer"
"file_missing";"Geen bestand ontvangen. Verstuur het bestand opnieuw."
"file_not_exists";"Er bestaat geen bestand met de opgegeven naam."
"file_not_found";"Bestand niet gevonden."
"file_not_present";"Het bestand bestaat niet."
"file_partial";"Het bestand is slechts gedeeltelijk overgestuurd. Probeer het opnieuw."
"file_read_error";"F O U T !!! Kan het Privacybestand niet lezen!"
"file_status";"Bestandsstatus"
"file_success";"Het bestand is goed verstuurd"
"file_to_db";"Importeer multimediabestanden van het bestandssysteem in de database"
"file_to_edit";"Taalbestandstype"
"file_too_big";"Het bestand is te groot."
"filename";"Bestandsnaam:"
"files_found";"Bestanden gevonden:"
"filter";"Filter"
"filter_address";"Toon adressen die bevatten:"
"find_add_mmlink";"Zoek te koppelen ID "
"find_fam_list";"Lijst gezinnen zoeken"
"find_family";"Zoek gezin"
"find_familyid";"Zoek gezins-ID"
"find_id";"Zoek ID"
"find_individual";"Zoek persoons-ID"
"find_media";"Zoek multimedia"
"find_mfile";"Zoek multimediabestand"
"find_note";"Zoek gedeelde notitie"
"find_noteid";"Zoek ID van notitie"
"find_place";"Zoek locatie"
"find_repository";"Zoek bewaarplaats"
"find_source";"Zoek bron"
"find_sourceid";"Zoek bron-ID"
"find_specialchar";"Speciale letters"
"first_last_same";"Voor- en achternaam moeten verschillend zijn."
"first_letter_fam_fname";"Kies een letter om gezinnen te tonen waarvan een voornaam begint met die letter"
"first_letter_fam_sname";"Kies een letter om gezinnen te tonen waarvan een achternaam begint met die letter"
"first_letter_fname";"Kies een letter om personen te tonen wiens voornaam begint met die letter."
"first_letter_sname";"Kies een letter om personen te tonen wiens achternaam begint met die letter."
"firstcousin";"Neef/nicht"
"firstname";"Voornaam"
"firstname_alpha_index";"Alfabetische index op voornaam"
"firstname_search";"Voornaam"
"flagsfile";"Vlagbestand:"
"flushing";"Inhoud verwijderen"
"folder";"Map"
"follow_spouse";"Controleer verwantschap via partners."
"fontfile_error";"Fontbestand niet gevonden op de webserver."
"for";"Voor"
"for_all_contact";"Neem voor genealogische vragen en vragen over de site contact op met"
"for_contact";"Neem voor genealogische vragen contact op met"
"for_support";"Voor ondersteuning en informatie neem contact op met"
"form";"Locaties staan geordend in deze volgorde: "
"foster";"Pleeg"
"foster_brother";"Pleegbroer"
"foster_child";"Pleegkind"
"foster_daughter";"Pleegdochter"
"foster_father";"Pleegvader"
"foster_mother";"Pleegmoeder"
"foster_parents";"met pleegouders"
"foster_sister";"Pleegzuster"
"foster_son";"Pleegzoon"
"found_record";"Record gevonden"
"friday";"Vrijdag"
"friday_1st";"Vrij"
"friend";"Vriend(in)"
"from";"van"
"full_name";"Volledige naam"
"gd_freetype";"De PHP-server is foutief geconfigureerd: De Freetype bibliotheek is benodigd voor True Type fonts."
"gd_helplink";"http://www.php.net/gd"
"gd_library";"De PHP-server is foutief geconfigureerd: De GD-bibliotheek is niet gevonden op de webserver. U kunt de grafische functies niet gebruiken."
"ged_change";"Changelog bestanden"
"ged_config";"Instellingenbestand"
"ged_download";"Download"
"ged_gedcom";"GEDCOM-bestand"
"ged_import";"Importeer"
"ged_noshow";"Deze functie is door de beheerder uitgeschakeld."
"ged_privacy";"Privacybestand"
"ged_reupload";"Her-uploaden en importeren"
"ged_search";"Logbestand Zoeken"
"ged_title";"GEDCOM-titel"
"gedadmin";"GEDCOM-beheerder"
"gedcom_adm_head";"GEDCOM-beheer"
"gedcom_block";"GEDCOM welkom"
"gedcom_conf";"Basisinstellingen"
"gedcom_created_on";"Dit genealogiebestand is vervaardigd op <b>#DATE# #TIME#</b>."
"gedcom_created_on2";"op <b>#DATE# #TIME#</b>"
"gedcom_created_using";"Dit genealogiebestand is vervaardigd met <b>#SOFTWARE# #VERSION#</b>."
"gedcom_deleted";"GEDCOM [#GED#] verwijderd."
"gedcom_descr";"In het "GEDCOM welkom" vak wordt de gebruiker welkom geheten en wordt de naam van de actieve genealogie getoond, evenals de datum en tijd."
"gedcom_downloadable";"Dit GEDCOM-bestand kan worden gedownload vanaf het Internet!<br />Lees de SECURITY-sectie in het <a href="readme.txt">readme.txt</a>-bestand om dit probleem te verhelpen."
"gedcom_editing_disabled";"De beheerder staat het wijzigen van deze genealogie niet toe."
"gedcom_exists";"Een GEDCOM-bestand met deze naam bestaat al in de database"
"gedcom_favorites";"Favorieten in deze genealogie"
"gedcom_favorites_block";"GEDCOM-favorieten"
"gedcom_favorites_descr";"In het vak "GEDCOM-favorieten" kan de site-beheerder personen uit de genealogie plaatsen, zodat gebruikers deze makkelijk kunnen vinden.<br />Op die manier worden personen, die in de genealogie belangrijk zijn, gemakkelijk toegankelijk gemaakt."
"gedcom_file";"GEDCOM-bestand"
"gedcom_form_info";"(vlgs. GEDCOM)"
"gedcom_news";"Genealogie prikbord"
"gedcom_news_block";"Genealogie prikbord"
"gedcom_news_descr";"Op het Genealogie prikbord kan de gebruiker nieuws en berichten lezen die er door de beheerder op zijn geplaatst. Het prikbord is een goed middel om bijeenkomsten, nieuws met betrekking tot de site of de genealogie, etc. op te publiceren."
"gedcom_not_exist";"Gedcom-bestand bestaat niet"
"gedcom_not_imported";"Dit GEDCOM-bestand is nog niet geïmporteerd."
"gedcom_path";"Map en naam GEDCOM-bestand"
"gedcom_stats";"Statistieken van deze genealogie"
"gedcom_stats_block";"GEDCOM-statistieken"
"gedcom_stats_descr";"Het vak "GEDCOM-statistieken toont enkele gegevens over het GEDCOM-bestand, zoals het aantal erin aanwezige personen en de datum waarop het is aangemaakt."
"gedcom_stats_show_surnames";"Toon veel voorkomende achternamen?"
"gedcom_title";"Geef een omschrijving van het GEDCOM-bestand"
"gedcomid";"Uw ID in de genealogie"
"gedconf_head";"GEDCOM-instellingen"
"gedrec_deleted";"GEDCOM-record verwijderd."
"gen_ancestry_chart";"Lijst voorouders, #PEDIGREE_GENERATIONS# generaties"
"gen_fan_chart";"Cirkeldiagram #PEDIGREE_GENERATIONS# generaties "
"gen_ped_chart";"Kwartierstaat (#PEDIGREE_GENERATIONS# Generaties)"
"gen_thumb";"Genereren miniweergave"
"genealogy_contact";"Contactpersoon genealogie"
"general_privacy";"Algemene privacy-instellingen"
"generate_report_title";"Genereer rapporttitels"
"generate_thumbnail";"Genereer automatisch miniweergave van "
"generated_by";"Vervaardigd met"
"generations";"Generaties "
"genmod_lang";"Automatisch"
"genmodnews";"Genmod nieuws"
"given_name";"Voornaam:"
"global_facts";"Algemene instellingen voor gegevens op feit/gebeurtenisniveau"
"gm_config_write_error";"Fout! Kan niet schrijven naar het Genmod-configuratiebestand.<br />Controleer de toegangsrechten voor het bestand en de map en probeer opnieuw."
"gm_registry";"Andere websites met Genmod"
"gm_username";"Genmod gebruikersnaam:"
"go";"Uitvoeren"
"godfather";"Peter"
