"stat_sources";"Πηγές, "
"accept_successful";"Επιτυχής ενημέρωση αλλαγών στη βάση δεδομένων"
"select_date";"Επιλογή ημερομηνίας"
"create_source";"Δημιουργία νέας πηγής"
"new_source_created";"New source created successfully."
"paste_id_into_field";"Paste the following source ID into your editing fields to reference this source "
"add_name";"Προσθήκη Νέου Ονόματος"
"privacy_not_granted";"You have no access to"
"user_cannot_edit";"Το ψευδώνυμο αυτό δεν μπορεί να διαμορφώση αυτό το GEDCOM."
"gedcom_editing_disabled";"Editing this GEDCOM has been disabled by the system administrator."
"privacy_prevented_editing";"The privacy settings prevent you from editing this record."
"on_this_day";"Σαν σήμερα, στην Ιστορία μας..."
"in_this_month";"Στο μήνα αυτό, στην Ιστορία μας..."
"in_this_year";"In This Year, in Your History..."
"year_anniversary";"#year_var# Επέτειος"
"today";"Σήμερα"
"day";"Ημέρα:"
"month";"Μήνας:"
"showcal";"Εμφάνιση Γεγονότων της:"
"sunday";"Κυριακή"
"monday";"Δευτέρα"
"tuesday";"Τριτη"
"wednesday";"Τετάρτη"
"thursday";"Πέμπτη"
"friday";"Παρασκευή"
"saturday";"Σάββατο"
"all_people";"All People"
"living_only";"Living People"
"recent_events";"Recent Years (&lt; 100 yrs)"
"day_not_set";"Day not set"
"year_error";"Sorry, dates before 1970 are not supported."
"lost_password";"Χάσατε τον κωδικό σας;"
"requestpassword";"Αίτηση νέου κωδικού"
"no_account_yet";"Δεν έχετε ακόμη λογαριασμό;"
"requestaccount";"Αίτηση νέου λογαριασμού χρήστη"
"emailadress";"Διεύθυνση Ηλεκτρονικού Ταχυδρομείου"
"mail01_line01";"Γειά σου #user_fullname# ..."
"mail01_line02";"A request was made at ( #SERVER_NAME# ) to login with your Email address ( #user_email# )."
"mail01_line03";"The following data was used."
"mail01_line04";"Please click on the link below and fill in the requested data to verify your Account and Email address."
"mail01_line05";"If you didn't request this data you can just delete this message."
"mail01_line06";"You won't get any mail again from this system, because the account will be deleted without verification within seven days."
"mail01_subject";"Your registration at #SERVER_NAME#"
"mail02_line01";"Γειά σου Διαχειριστή ..."
"mail02_line02";"A new user made a new user-registration at ( #SERVER_NAME# )."
"mail02_line03";"The user received an email with the necessary data to verify their account."
"mail02_line04";"As soon as the user has done this verification you will be informed by mail to give this user the permission to login to your site."
"mail02_subject";"New registration at #SERVER_NAME#"
"hashcode";"Verfification code:"
"thankyou";"Γειά σου #user_fullname# ...<br />Ευχαριστώ για την αίτηση εγγραφής"
"pls_note06";"Now you will receive a confirmation email to the email address ( #user_email# ). Using the confirmation email, you will activate your account; if you fail to activate your account within seven days, it will be purged (you can register the account again at that point). To login to this site, you will need to know your login name and password."
"registernew";"Επιβεβαίωση νέου χρήστη"
"user_verify";"Επιβεβαίωση Χρήστη"
"send";"Αποστολή μηνύματος"
"pls_note07";"Please type in your username, your password and the verification code you received by email from this system to verify your account request."
"pls_note08";"The data for the user #user_name# was checked."
"mail03_line01";"Γειά σου Διαχειριστή ..."
"mail03_line02";"#newuser[username]# ( #newuser[fullname]# ) has verified the registration data."
"mail03_line03";"Please click on the link below to login to your site edit the user and give him the permission to login to your site."
"mail03_subject";"New verification at #SERVER_NAME#"
"pls_note09";"You were identified as a registered user."
"pls_note10";"The Administrator has been informed.<br />As soon as he gives you the permission to login you can login with your username and password."
"data_incorrect";"Data was not correct!<br />Please try again!"
"user_not_found";"Could not verify the information you entered.  Please go back and try again."
"lost_pw_reset";"Lost password request"
"pls_note11";"To have your password reset, supply the username and email address for your user account. <br /><br />We will send you a special URL via email, which contains a confirmation hash for your account. By visiting the provided URL, you will be permitted to change your password and login to this site. For reasons of security, you should not provide this confirmation hash to anyone, including the administrators of this site (we won't ask for it).<br /><br />If you require assistance from the administrator of this site, please contact the site administrator."
"enter_email";"You must enter an email address."
"mail04_line01";"Hello #user_fullname# ..."
"mail04_line02";"A new password was requested for your username!"
"mail04_line03";"Recommendation:"
"mail04_line04";"Now please click on the link below, login with the new Password and change it to keep the integrity of your data secure."
"mail04_subject";"Data request at #SERVER_NAME#"
"pwreqinfo";"Hello...<br /><br />A mail was sent to the email address known to Genmod including the new password.<br /><br />Please check your mail account because the mail should be received in the next few minutes.<br /><br />Recommendation:<br /><br />After you have requested the mail you should login to this site with your new password and change it to keep the integrity of your data sequrity."
"editowndata";"Ο Λογαριασμός μου"
"savedata";"Save changed data"
"datachanged";"User data was changed!"
"datachanged_name";"You may need to relogin with your new username."
"myuserdata";"Ο Λογαριασμός μου"
"verified";"User verified himself"
"verified_by_admin";"User Approved by Admin"
"user_theme";"My Theme"
"mgv";"MyGedView"
"passwordlength";"Password must contain at least 6 characters."
"admin_approved";"Your account at #SERVER_NAME# has been approved"
"you_may_login";"by the site administrator.  You may now login to the Genmod Site by going to the link below:"
"welcome_text_auth_mode_1";"<b>WELCOME TO THIS GENEALOGY WEBSITE</b><br /><br />Access to this site is permitted to every visitor who has a user account on this website.<br />If you already have a user account you can login on this page.<br /><br />If you don't have a user account yet, you can apply for one by clicking on the appropriate link on this page.<br />After verifying your information, the site administrator will activate your account.<br />You will receive an email on activation."
"welcome_text_auth_mode_2";"<b>WELCOME TO THIS GENEALOGY WEBSITE</b><br /><br />Access to this site is permitted to <b>authorized</b> users only.<br />If you already have a user account you can login on this page.<br /><br />If you don't have a user account yet, you can apply for one by clicking on the appropriate link on this page.<br />After verifying your information, the site administrator will either accept or decline your request.<br />You will receive an e-mail message upon acceptance of your request."
"welcome_text_auth_mode_3";"<b>WELCOME TO THIS GENEALOGY WEBSITE</b><br /><br />Access to this site is permitted <b>to familymembers only</b>.<br />If you already have a user account you can login on this page.<br /><br />If you don't have a user account yet, you can apply for one by clicking on the appropriate link on this page.<br />After verifying your information, the site administrator will either accept or decline your request.<br />You will receive an email when your request is accepted."
"welcome_text_cust_head";"<b>WELCOME TO THIS GENEALOGY WEBSITE</b><br /><br />Access is permitted to users who have a useraccount and a password for this website.<br />"
"welcome";"Καλωσόρισες"
"upcoming_events";"Upcoming Events"
"chat";"Chat"
"users_logged_in";"Users Logged In"
"message";"Αποστολή Μηνύματος"
"my_messages";"Τα μηνύματά μου"
"date_created";"Date Sent:"
"message_from";"Διεύθυνση Ηλεκτρονικού Ταχυδρομείου:"
"message_from_name";"Your Name:"
"message_to";"Message To:"
"message_subject";"Θέμα:"
"message_body";"Body:"
"no_to_user";"No recipient user was provided.  Cannot continue."
"provide_email";"Please provide your email address so that we may contact you in response to this message.   If you do not provide your email address we will not be able to respond to your inquiry.  You email address will not be used in any other way besides responding to this inquiry."
"reply";"Απάντηση"
"message_deleted";"Το Μήνυμα Διαγράφτηκε"
"message_sent";"Το μήνυμα έχει σταλεί"
"reset";"Reset"
"site_default";"Site Default"
"mygedview_desc";"Your MyGedView page allows you to keep bookmarks of your favorite people, track upcoming events, and collaborate with other Genmod users."
"no_messages";"You have no pending messages."
"clicking_ok";"Clicking OK, will open another window where you may contact #user[fullname]#"
"my_favorites";"My Favorites"
"no_favorites";"You have not selected any favorites.  To add an Individual to your favorites, find the details of the individual you want to add and then click on the "Add to My Favorites" link or use the ID box below to add an Individual by their ID number."
"add_to_my_favorites";"Add to My Favorites"
"no_gedcom_favorites";"At this moment there are no selected Favorites.   The admin can add Favorites to display at startup."
"confirm_fav_remove";"Are you sure you want to remove this item from your favorites?"
"invalid_email";"Please enter a valid email address."
"enter_subject";"Please enter a message subject."
"enter_body";"Please enter some message text before sending."
"confirm_message_delete";"Are you sure you want to delete this message?  It cannot be retrieved later."
"message_email1";"The following message has been sent to your Genmod User account from "
"message_email2";"You sent the following message to a Genmod User account:"
"message_email3";"You sent the following message to a Genmod administrator:"
"viewing_url";"This message was sent while viewing the following url: "
"random_picture";"Τυχαία Εικόνα"
"message_instructions";"<b>Please Note:</b> Private information of living individuals will only be given to family relatives and close friends.  You will be asked to verify your relationship before you will receive any private data.  Sometimes information of dead persons may also be private.  If this is the case, it is because there is not enough information known about the person to determine if they are alive or not and we probaby do not have more information on this person.<br /><br />Before asking a question, please verify that you are inquiring about the correct person by checking dates, places, and close relatives.  If you are submitting changes to the genealogical data, please include the sources where you obtained the data.<br /><br />"
"sending_to";"This message will be sent to #TO_USER#"
"preferred_lang";"This user prefers to receive messages in #USERLANG#"
"gedcom_created_on";"This GEDCOM was created on <b>#DATE#</b>"
"customize_page";"Customize MyGedView Portal"
"customize_gedcom_page";"Customize this GEDCOM Welcome Page"
"upcoming_events_descr";"The Upcoming Events Block shows a list of the events in the currently active GEDCOM that occured within the next 30 days.   For a user MyGedView page the block will only list living people.  For a GEDCOM Welcome Page it will list all people."
"todays_events_descr";"The On This Day, in Your History... Block shows a list of the events in the currently active GEDCOM that occured today.   If no events are found then the block is not shown.  For a user MyGedView page the block will only list living people.   For a GEDCOM Welcome Page it will list all people."
"logged_in_users_descr";"The Logged In Users Block shows a list of the users who are currently logged in."
"user_messages_descr";"The User Messages Block shows a list of the messages that have been sent to the active user."
"user_favorites_descr";"The User Favorites Block shows the user a list of their favorite people in the system so that they can easily link to them."
"welcome_descr";"The User Welcome Block shows the user the current date and time, quick links to modify their account or go to their own pedigree chart, and a link to customize their MyGedView page."
"random_media_descr";"The Random Media Block randomly selects a photo or other media item in the currently active GEDCOM and displays it to the user."
"gedcom_descr";"The GEDCOM Welcome Block works the same as the User Welcome Block by welcoming the visitor to the site and displaying the title of the currently active GEDCOM and the current date and time."
"gedcom_favorites_descr";"The GEDCOM Favorites Block allows the site administrator the ability to select their favorite people in the GEDCOM so that their visitors can easily find them.  This is a way to hilight those people who are important in your family history."
"gedcom_stats_descr";"The GEDCOM Statistics Block shows the visitor some basic information about the GEDCOM such as when it was created and how many people are in the GEDCOM."
"portal_config_intructions";"Here you can customize the page by positioning the blocks on the page the way that you want them.   The page is divided into two sections, the 'Main' section and the 'Right' section.   The 'Main' section blocks appear larger and under the page title.  The 'Right' section starts to the right of the title and goes down the right hand side of the page.   Each section has its own list of blocks that will be printed on the page in the order they are listed.   You can add, remove, and reorder the blocks however you like."
"login_descr";"The Login Block prints a Username and Password for users to login."
"theme_select_descr";"The theme select block displays the theme selector even when the change theme is disabled."
"block_top10_title";"Δημοφιλή Επώνυμα"
"block_top10_descr";"This block show a table of the 10 most used names in the database"
"gedcom_news_descr";"The GEDCOM News Block shows the visitor news releases or articles posted by an admin user.  The News is a good place to announce an updated GEDCOM file or a family reunion."
"user_news_descr";"The User Journal Block lets the user keep notes or a journal online."
"my_journal";"My Journal"
"no_journal";"You have not created any journal items."
"confirm_journal_delete";"Are you sure you want to delete this journal entry?"
"add_journal";"Add a new journal entry"
"confirm_news_delete";"Are you sure you want to delete this news entry?"
"add_news";"Add a News article"
"no_news";"No News Articles have been submitted."
"edit_news";"Add/Edit Journal/News Entry"
"enter_title";"Please enter a title."
"enter_text";"Please enter some text for this news or journal entry."
"news_saved";"News/Journal Entry Successfully Saved."
"article_text";"Entry Text:"
"main_section";"Main Section Blocks"
"right_section";"Right Section Blocks"
"move_up";"Move Up"
"move_down";"Move Down"
"move_right";"Move Right"
"move_left";"Move Left"
"broadcast_all";"Broadcast to All Users"
"hit_count";"Hit Count:"
"Genmod_message";"Genmod Message"
"common_surnames";"Most Common Surnames"
"default_news_title";"Welcome to Your Genealogy"
"default_news_text";"The genealogy information on this website is powered by <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a>.  This page provides an introduction and overview to this genealogy.  To begin working with the data, choose one of the charts from the charts menu, go to the individual list, or search for a name or place.<br /><br />If you have trouble using the site clicking on the help menu will give you information on how to use the page that you are currently viewing.<br /><br />Thank you for visiting this site."
"reset_default_blocks";"Reset to Default Blocks"
"recent_changes";"Πρόσφατες Αλλαγές"
"recent_changes_descr";"The Recent Change Block will list all of the changes that have been made to the GEDCOM in the last month.  This block can help you stay up to date with the changes that have been made.  The changes are detected based on the CHAN tag."
"delete_selected_messages";"Delete Selected Messages"
"use_blocks_for_default";"Use these blocks as the default block configuration for all users?"
"performing_validation";"Performing GEDCOM validation, select the necessary options then click 'Cleanup'"
"changed_mac";"Macintosh line endings detected. Changed lines ending with only return to end with a return and a linefeed."
"changed_places";"Invalid Place encodings detected. Cleaned up place records to match proper GEDCOM 5.5 specifications.  An example from your GEDCOM is:"
"invalid_dates";"Detected invalid date formats, on cleanup these will be changed to format of DD MMM YYYY (ie. 1 JAN 2004)."
"valid_gedcom";"Valid GEDCOM Detected.   No cleanup required."
"optional_tools";"You may also choose to run the following optional tools before importing."
"optional";"Optional Tools"
"day_before_month";"Ημέρα πριν από Μήνα (ΗΗ ΜΜ ΕΕΕΕ)"
"month_before_day";"Μήνας πριν από Ημέρα (ΜΜ ΗΗ ΕΕΕΕ)"
"do_not_change";"Do not change"
"change_id";"Change Individual ID to:"
"example_date";"Example of invalid date from your GEDCOM:"
"add_media_tool";"Add Media Tool"
"launch_media_tool";"Click here to launch the Add Media Tool."
"add_media_descr";"This tool will add media OBJE tags to the GEDCOM.  Close this window when you are finished adding media."
"highlighted";"Highlited Image"
"extension";"Extension"
"order";"Order"
"media_table_created";"Successfully updated <i>media</i> table."
"click_to_add_media";"Click here to Add the Media listed above to GEDCOM #GEDCOM#"
"adds_completed";"Media successfully added to GEDCOM file."
"ansi_encoding_detected";"ANSI File Encoding detected.   Genmod works best with files encoded in UTF-8."
"invalid_header";"Detected lines before the GEDCOM header (0 HEAD).  On cleanup these lines will be removed."
"macfile_detected";"Macintosh file detected.  On cleanup your file will be converted to a DOS file."
"place_cleanup_detected";"Invalid place encodings were detected.  These errors should be fixed.  The following sample shows the invalid place that was detected: "
"cleanup_places";"Cleanup Places"
"empty_lines_detected";"Empty lines were detected in your GEDCOM file.   On cleanup, these empty lines will be removed."
"choose_report";"Επιλογή αναφοράς"
"enter_report_values";"Enter report values"
"selected_report";"Επιλεγμένη Αναφορά"
"run_report";"Εμφάνιση Αναφοράς"
"select_report";"Select Report"
"download_report";"Download Report"
"pdf_reports";"PDF Αναφορές"
"html_reports";"HTML Αναφορές"
"family_group_report";"Family Group Report"
"page";"Σελίδα"
"of";"από"
"enter_famid";"Enter Family ID"
"show_notes";"Εμφάνιση σημειώσεων;?"
"show_basic";"Print basic events when blank?"
"show_photos";"Εμφάνιση Φωτογραφιών;"
"individual_report";"Αναφορά Ατόμου"
"enter_pid";"Enter Individual ID"
"individual_list_report";"Individual List Report"
"generated_by";"Generated by"
"list_children";"List each child in order of birth."
"birth_report";"Birth Date and Place Report"
"birthplace";"Birth Place contains"
"birthdate1";"Birth Date range start"
"birthdate2";"Birth Date range end"
"sort_by";"Ταξινόμιση ως προς"
"cleanup";"Καθαρισμός"
"skip_cleanup";"Skip Cleanup"
"dynasty_list";"Ανασκόπιση Οικογενειών"
"make_slklist";"Create EXCEL (SLK) list"
"excel_list";"Output in EXCEL (slk) format on the following files (first use patriarchlist):"
"excel_tab";"tabblad:"
"excel_create";"will be created on file:"
"slk_list";"EXCEL SLK list"
"statistics";"Στατιστικά"
"merge_records";"Merge Records"
"merge_same";"Records are not the same type.  Cannot merge records that are not the same type."
"merge_step1";"Merge Step 1 of 3"
"merge_step2";"Merge Step 2 of 3"
"merge_step3";"Merge Step 3 of 3"
"select_gedcom_records";"Select 2 GEDCOM records to merge.   Records must be of the same type."
"merge_to";"Merge To ID:"
"merge_from";"Merge From ID:"
"merge_facts_same";"The following facts were exactly the same in both records and will automatically be merged"
"no_matches_found";"No matching facts found"
"unmatching_facts";"The following facts did not match.   Select the information you would like to keep."
"record";"Record"
"adding";"Adding"
"updating_linked";"Updating linked record"
"merge_more";"Merge more records."
"same_ids";"You entered the same IDs.  You cannot merge the same records."
"gen_ancestry_chart";"#PEDIGREE_GENERATIONS# Generation Ancestry Chart"
"chart_style";"Chart style"
"sosa_2";"Πατέρας"
"sosa_3";"Μητέρα"
"sosa_4";"Παππούς"
"sosa_5";"Γιαγιά"
"sosa_6";"Παππούς"
"sosa_7";"Γιαγιά"
"sosa_8";"Προ-Πάππους"
"sosa_9";"Προ-Γιαγιά"
"sosa_10";"Προ-Πάππους"
"sosa_11";"Προ-Γιαγιά"
"sosa_12";"Προ-Πάππους"
"sosa_13";"Προ-Γιαγιά"
"sosa_14";"Προ-Πάππους"
"sosa_15";"Προ-Γιαγιά"
"sosa_16";"Προ-Προ-Πάππους"
"sosa_17";"Προ-Προ-Γιαγιά"
"sosa_18";"Προ-Προ-Πάππους"
"sosa_19";"Προ-Προ-Γιαγιά"
"sosa_20";"Προ-Προ-Πάππους"
"sosa_21";"Προ-Προ-Γιαγιά"
"sosa_22";"Προ-Προ-Πάππους"
"sosa_23";"Προ-Προ-Γιαγιά"
"sosa_24";"Προ-Προ-Πάππους"
"sosa_25";"Προ-Προ-Γιαγιά"
"sosa_26";"Προ-Προ-Πάππους"
"sosa_27";"Προ-Προ-Γιαγιά"
"sosa_28";"Προ-Προ-Πάππους"
"sosa_29";"Προ-Προ-Γιαγιά"
"sosa_30";"Προ-Προ-Πάππους"
"sosa_31";"Προ-Προ-Γιαγιά"
"sosa_32";"Προ-Προ-Προ-Πάππους"
"sosa_33";"Προ-Προ-Προ-Γιαγιά"
"sosa_34";"Προ-Προ-Προ-Πάππους"
"sosa_35";"Προ-Προ-Προ-Γιαγιά"
"sosa_36";"Προ-Προ-Προ-Πάππους"
"sosa_37";"Προ-Προ-Προ-Γιαγιά"
"sosa_38";"Προ-Προ-Προ-Πάππους"
"sosa_39";"Προ-Προ-Προ-Γιαγιά"
"sosa_40";"Προ-Προ-Προ-Πάππους"
"sosa_41";"Προ-Προ-Προ-Γιαγιά"
"sosa_42";"Προ-Προ-Προ-Πάππους"
"sosa_43";"Προ-Προ-Προ-Γιαγιά"
"sosa_44";"Προ-Προ-Προ-Πάππους"
"sosa_45";"Προ-Προ-Προ-Γιαγιά"
"sosa_46";"Προ-Προ-Προ-Πάππους"
"sosa_47";"Προ-Προ-Προ-Γιαγιά"
"sosa_48";"Προ-Προ-Προ-Πάππους"
"sosa_49";"Προ-Προ-Προ-Γιαγιά"
"sosa_50";"Προ-Προ-Προ-Πάππους"
"sosa_51";"Προ-Προ-Προ-Γιαγιά"
"sosa_52";"Προ-Προ-Προ-Πάππους"
"sosa_53";"Προ-Προ-Προ-Γιαγιά"
"sosa_54";"Προ-Προ-Προ-Πάππους"
"sosa_55";"Προ-Προ-Προ-Γιαγιά"
"sosa_56";"Προ-Προ-Προ-Πάππους"
"sosa_57";"Προ-Προ-Προ-Γιαγιά"
"sosa_58";"Προ-Προ-Προ-Πάππους"
"sosa_59";"Προ-Προ-Προ-Γιαγιά"
"sosa_60";"Προ-Προ-Προ-Πάππους"
"sosa_61";"Προ-Προ-Προ-Γιαγιά"
"sosa_62";"Προ-Προ-Προ-Πάππους"
"sosa_63";"Προ-Προ-Προ-Γιαγιά"
"gen_fan_chart";"Διάγραμμα Βεντάλια #PEDIGREE_GENERATIONS# Γενεών"
"fan_width";"Μήκος Βεντάλιας"
"gd_library";"PHP server misconfiguration : GD library required to use image functions."
"gd_freetype";"PHP server misconfiguration : Freetype library required to use TrueType fonts."
"fontfile_error";"Font file not found on PHP server"
"rss_descr";"Νέα και σύνδεσμοι από το #GEDCOM_TITLE# site"
"rss_logo_descr";"Feed created by Genmod"
"options";"Options:"
"help_header";"Πληροφορίες για:"
"help_pedigree.php";"~THE PEDIGREE PAGE.~<br /><br />Most users and visitors will know what a Pedigree is, but still a little information about our Pedigree:<br />The Pedigree is, in fact, an enumeration of all ancestors of the starting person.<br />When you entered this site, the starting person is the person in the box at the left (when you log in, you can choose your own starting person).<br /><br />So, "All the ancestors" means father and mother, and their parents and so on.<br />On this site you see the Pedigree in the graphical way.<br />You don't have to struggle through pages of text, to find out where your ancestors are.<br />All individuals are displayed in the name boxes on the screen.<br /><br />* THE NAME BOXES ON THE PEDIGREE<br />If the pedigree page is set to show details, you will see the persons name, and the dates of birth and death.<br />You can click on a persons name, and that will bring you directly to the Individual Details page.<br />When "Show details" is on there are two icons inside the name box.<br /><br />* PEDIGREE ICON INSIDE THE NAME BOX<br />When the option "Show Details" is on, you see a Pedigree Icon at the inside of the Name Box. Depending on the site-settings you have to hover over the Icon, or to click on it.<br />So, when you click on, or hover over, this icon, a small sub menu appears.<br />The item "Pedigree Tree" and "Descendancy Chart" are similar to those items in the main menu, but the difference is that the starting person is now the individual of the name box.<br />Further you see the "Family with spouse". You see the name of the spouse, followed by the name(s) of the children.<br />All names are clickable.<br /><br />* MAGNIFYING GLASS INSIDE THE NAME BOX<br />Also depending of the site-settings, you have to hover over it, or to click on it.<br />This magnifies the name box, so that some more details will be displayed.<br />You see more dates and events. Names are clickable.<br /><br />* THE ARROWS<br />On the left or right of the utmost left or utmost right name box(es) you may see Arrows.<br />Clicking on these arrow will "shift" the screen in the direction of the arrow.<br /><br />More help is available by clicking the <b>?</b> behind the boxes or links, on the page."
"register_info_01";"The amount of data that can be publicly viewed on this website may be limited due to applicable law concerning privacy protection. Most people do not want their personal data publicly available on the Internet. It could be misused for spam or identity theft.<br /><br />To gain access to the private data, you must have an account on this website. To gain an account you may register yourself by providing the requested information. After the administrator has checked your registration and approved it, you will be able to login and view the private data.<br /><br />If the relationship privacy is activated you will only be able to access your own close relative's private information after logging in. The administrator can also provide access to database editing, so you can change or add information.<br /><br />NOTE: You only will receive access to the private data if you can prove that you are a close relative of a person in the database.<br /><br />If you are not a close relative you will probably not be given an account, so you should save yourself the trouble.<br />If you need any further support, please use the link below to contact the webmaster.<br /><br />"
"help_descendancy.php";"~Η ΣΕΛΙΔΑ ΑΠΟΓΟΝΩΝ~<br /><br />This page will show the Descendants of a person.<br />You can choose a root person for this descendancy chart on this page, or you can be linked to this page by clicking the link "Descendancy Chart" on another page<br />Click on an up arrow to navigate up the tree.  Click on the chart icon in a person box to root the tree at that person."
"help_timeline.php";"~TIME LINE PAGE~<br /><br />On this page you can display one, or more, persons along a time-line.<br />In that way you can (for example) visualize the status of two, or more, persons at a certain moment.<br /><br />If you click the Time Line link, on another page, you already see one person on the Time Line.<br />If you clicked the menu item in the header, then you have to type the "ID" of a person in the box, to start with."
"help_relationship.php";"~RELATIONSHIP PAGE~<br /><br />On this page you can display the relationship between two people.<br />It does not mean that those two people have to be directly related by blood line.<br />Any relation will be found."
"help_ancestry.php";"~#gm_lang[ancestry_chart]# page~<br /><br />The Ancestry page is very similar to the <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, but with more details and alternate <a href="?help=chart_style_help">#gm_lang[chart_style]#</a> displays.<br /><br />Each ancestry is shown with a unique number, calculated from the <i>Sosa-Stradonitz</i> system :<br /> - even numbers for men (child*2)<br /> - odd numbers for women (husband+1) except for <big>1</big><br /><br />Ex: <big>7</big> is the wife of <big>6</big>, the mother of <big>3</big>, and the daughter of <big>14</big> and <big>15</big>."
"help_fanchart.php";"~#gm_lang[fan_chart]# page~<br /><br />The Fan Chart is very similar to the <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, on a more graphical way.<br /><br />The Root Person is shown in the center, his parents on the first ring, grandparents on the second ring, and so on...<br /><br />Year of birth and death are printed under the name when known.<br /><br />Clicking on a name on the chart will place that person in the center.  Near the center person is an arrow that will open a box that will allow you to navigate the chart to one of the Root Person's children (or brothers or sisters) as you can with the <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>."
"help_indilist.php";"~INDIVIDUALS LIST PAGE~<br /><br />On this page you can display a list of individuals.<br /><br />The names will be displayed, Surnames first and sorted in alphabetical order.<br />The output of the name list depends of:<br /><b>1.</b> The letter you clicked in the alphabet-index.<br /><b>2.</b> You clicked "Skip" or "Show" Surname List.<br /><br />If you need more help about this, please click the ? behind the items."
"help_famlist.php";"~FAMILY LIST PAGE~<br /><br />On this page you can display a list of families.<br /><br />The names will be displayed Surnames first and sorted in alphabetical order.<br />The output of the name list depends of:<br /><b>1.</b> The letter you clicked in the alphabet-index.<br /><b>2.</b> You clicked "Skip" or "Show" Surname List.<br /><br />You can search on the husbands surname as well as on the wifes surname. Both are included in the list.<br /><br />If you need more help about this, please click the ? behind the items."
"help_family.php";"~FAMILY DETAILS PAGE~<br /><br />This page will show you an overview of the family that you chose on a previous page.<br />From top to bottom you will see the personal details boxes of:<br />The husband and his parents, the wife and her parents, and the children.<br /><br />The layout and contents of the person boxes is the same as the boxes that you already know from the Pedigree page and Descendancy page.<br />To the right of the parent boxes you may see an arrow if more ancestors exist in the file. Clicking that arrow will move you up a generation bringing you to a new family page with the parents listed as the husband and wife.<br />At the right side <i>in</i> the name box you may see a magnifying glass to reveal some more information on details of the individual. Clicking the name will forward you to the individual page of the person.<br />Also at the right side you will find a small menu, that can take to pages with more information or charts.<br /><br />The Family Group Information shows all known facts and information about this family, like marriage, multimedia objects and notes. In the fact information, clicking a place will bring you to the placelist, where all other families and individuals, connected to that place are shown. Clicking a date will jump to the day-calendar, which will show all events, that happened on that day and month in history. Also multimedia objects can be clicked, this will open a new window in which the object is viewed. If you click on a source link, the details of that source will be displayed on the source page.<br /><br />Below the name boxes of the child(ren) you find the link to "Add a child to this Family".<br />Next to the name boxes of the children you see the "Family Group Information".<br />If you have enough rights, you can edit, delete, and add data and facts here.<br /><br />At the right side at the screen you see, if enabled by the admin, the icons and links for:<br /><b>View GEDCOM Record</b>, which shows the information in GEDCOM format.<br /><b>Add to Clipping Cart</b>, which enables you to store this information in your clippings cart. From there you can download the information and import it in your own genealogy program.<br /><b>Show couple on timeline chart</b>, which will jump to the Timeline Chart and display all facts of the couple on a timeline scale.<br /><br />#gm_lang[more_help]#"
"help_sourcelist.php";"~SOURCES LIST PAGE~<br /><br />On this page a list of sources is displayed.<br />Unlike the Individual Page and the Family Page there is no alphabetical index on top. This is because sources can be individuals with, of course, given name and surname, or it can be public databases or institute, etc.<br />That means that it is difficult to find a sortorder. The names of the sources are sorted in alphabetical order, as stored in the GEDCOM.<br /><br /><b>SOURCES</b><br />Without sources we can not build our database. For all information stored in the database is a source. It can be a relative of a person an institute, public database, etc.<br />A source can be linked to many persons. On the other hand, one person can be linked to many sources as well. You can have different sources for every event, whether it is birth date, profession, marriage, children, etc. etc. "
"help_source.php";"~SOURCE DETAILS PAGE~<br /><br />On this page the details of the source are displayed.  Sources are very important to genealogical researchers and will allow you to follow the trail another researcher used to find the information.<br />On this page you may see information about the source's title, author, publication, and the repository where the source was looked up.  Because of the many different types of sources, some sources may have more information than other sources.<br /><br />If a multimedia object is connected to the source (like a scan of a document), you can view the object in a large window by either clicking the object or the filename beside it.<br /><br />After the source details, will be a list of all individuals and families who are linked to this source.  This allows you to see all of the information that was obtained from a particular data source.<br /><br />If enabled by the site admin, you will have one or two more menu icons on this page:<br /><b>View GEDCOM Record</b>, which shows the information in GEDCOM format.<br /><b>Add to Clipping Cart</b>, which enables you to store this information in your clippings cart. From there you can download the information and import it in your own genealogy program.<br /><br />More help is available on the page by clicking on the <b>?</b>"
"help_placelist.php";"~PLACE HIERARCHY~<br />(or Persons Per Place)<br /><br />This page will show you a hierarchy of the places in the GEDCOM and which individuals or families are connected to a location.<br /><br />If there is any connection between an individual or family and an event at a certain location, the program will find it for you.<br /><br />The results are displayed in a two-column list:<br />One for individuals and one for families.<br /><br />#gm_lang[more_help]#"
"help_medialist.php";"~MULTI MEDIA OBJECT LIST~<br /><br />This page lists all of the Multi Media Objects (MMO) that can be found in this GEDCOM.<br /><br />For each of the media items you may find the title or filename of the item, names of the people or families that are connected to the item, and any notes about the item.<br /><br />Clicking the title or filename of the item has the same affect as clicking on the thumbnail of the item.<br />Depending of the file format (*.gif, *.jpg), the item will be opened in the internal GM image viewer, or in the viewer that is connected to your local browser.<br /><br />Clicking on the "View" link next to the persons or families will bring you to the Individual or Family details page.<br /><br />"
