"stat_sources";"fonti, "
"julian";"Giuliano"
"config_french";"French"
"jewish";"Jewish"
"config_hebrew";"Ebreo"
"jewish_and_gregorian";"Jewish and Gregorian"
"hebrew_and_gregorian";"Hebrew and Gregorian"
"disabled";"Disabled"
"mouseover";"On Mouse Over"
"mousedown";"On Mouse Down"
"click";"On Mouse Click"
"DEFAULT_GEDCOM";"Default GEDCOM:"
"DBHOST";"MySQL Database Host:"
"DBUSER";"MySQL Database Username:"
"DBPASS";"MySQL Databse Password:"
"DBNAME";"Database Name:"
"TBLPREFIX";"Database Table Prefix:"
"ALLOW_CHANGE_GEDCOM";"Allow visitor to change GEDCOMs:"
"CHARACTER_SET";"Character Set Encoding:"
"LANGUAGE";"Language:"
"ENABLE_MULTI_LANGUAGE";"Allow user to change language:"
"CALENDAR_FORMAT";"Calendar Format:"
"DISPLAY_JEWISH_THOUSANDS";"Display Hebrew Thousands:"
"DISPLAY_JEWISH_GERESHAYIM";"Display Hebrew Gershayim:"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Jewish Ashkenaz Pronunciation:"
"DEFAULT_PEDIGREE_GENERATIONS";"Pedigree Generations:"
"MAX_PEDIGREE_GENERATIONS";"Maximum Pedigree Generations:"
"MAX_DESCENDANCY_GENERATIONS";"Maximum Descendancy Generations:"
"USE_RIN";"Use RIN# instead of GEDCOM ID:"
"PEDIGREE_ROOT_ID";"Default person for pedigree and descendency charts:"
"GEDCOM_ID_PREFIX";"GEDCOM ID Prefix:"
"PEDIGREE_FULL_DETAILS";"Show Birth and Death Details on Pedigree and descendency charts:"
"SHOW_EMPTY_BOXES";"Show empty boxes on pedigree charts:"
"ZOOM_BOXES";"Zoom Boxes on Charts:"
"LINK_ICONS";"PopUp Links on Charts:"
"HIDE_LIVE_PEOPLE";"Hide living people:"
"CHECK_CHILD_DATES";"Check child dates:"
"MAX_ALIVE_AGE";"Age at which to assume a person is dead:"
"SHOW_GEDCOM_RECORD";"Allow users to see raw GEDCOM records:"
"ALLOW_EDIT_GEDCOM";"Enable online Editing:"
"INDEX_DIRECTORY";"Index file directory:"
"ALPHA_INDEX_LISTS";"Break up long lists by the first letter:"
"SHOW_ID_NUMBERS";"Show ID numbers next to names:"
"SHOW_PEDIGREE_PLACES";"Place levels to show in person boxes"
"MULTI_MEDIA";"Enable multimedia features:"
"MEDIA_DIRECTORY";"MultiMedia directory:"
"MEDIA_DIRECTORY_LEVELS";"Multi-Media Directory Levels to Keep:"
"SHOW_HIGHLIGHT_IMAGES";"Show highlight images in people boxes:"
"ENABLE_CLIPPINGS_CART";"Enable Clippings Cart:"
"HIDE_GEDCOM_ERRORS";"Hide GEDCOM errors:"
"WORD_WRAPPED_NOTES";"Add spaces where notes were wrapped:"
"HOME_SITE_URL";"Main WebSite URL:"
"HOME_SITE_TEXT";"Main WebSite Text:"
"CONTACT_EMAIL";"Genealogy Contact User:"
"WEBMASTER_EMAIL";"Webmaster Email:"
"FAVICON";"Favorites Icon:"
"THEME_DIR";"Theme directory:"
"GM_SESSION_SAVE_PATH";"Session Save Path:"
"GM_SESSION_TIME";"Session Timout:"
"SHOW_STATS";"Show Execution Statistics:"
"USE_REGISTRATION_MODULE";"Allow users to request account registration:"
"ALLOW_USER_THEMES";"Allow users to select their own theme:"
"gedcom_title";"Immetti un titolo che descrive i dati in questo file GEDCOM"
"review_readme";"You should first review the <a href="readme.txt" target="_blank">readme.txt</a> file before continuing to configure Genmod.<br /><br />You may return to this configuration at any time by pointing your browser to the editconfig.php file.<br /><br />You can get help for each item by clicking on the &quot;?&quot; by the label for each cell."
"save_config";"Save Configuration"
"download_here";"Clicca qui per scaricare il file."
"download_gedconf";"Download GEDCOM configuration."
"not_writable";"We have detected that you configuration file is not writable by PHP.  You can use the download button to save your settings to a file that you can upload manually."
"download_file";"Download File"
"upload_to_index";"Upload the file to your index directory: "
"edit_privacy";"Configuration of the privacy-file"
"edit_langdiff";"Modifica il contenuto dei file di linguaggio"
"edit_lang_utility";"Utility per editare i file di linguaggio"
"language_to_edit";"Linguaggio da modificare"
"file_to_edit";"Tipo del file di linguaggio da modificare"
"lang_save";"Salva"
"contents";"Contenuti"
"no_content";"Nessun contenuto"
"original_message";"Messaggio originale"
"message_to_edit";"Messaggio modificato"
"language_to_export";"Linguaggio da esportare"
"export";"Esporta"
"new_language";"Nuovo linguaggio"
"old_language";"Vecchio linguaggio"
"compare";"Confronta"
"comparing";"File Linguaggio confrontati"
"additions";"Aggiunte"
"no_additions";"Nessuna aggiunta"
"0";"0"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
