"stat_sources";"pramenů,"
"mail04_line01";"Nazdar #user_fullname# ..."
"mail04_line02";"Bylo zažádáno o nové heslo pro vaše uživatelské jméno!"
"mail04_line03";"Doporučení:"
"mail04_line04";"Teď prosím klikněte na odkaz dole, přihlaste se s novým heslem a ihned si ho změňte, abyste uchovali svá data v tajnosti."
"mail04_subject";"Data požadována na #SERVER_NAME#"
"pwreqinfo";"Nazdar...<br /><br />Na adresu byl zaslán e-mail s novým heslem.<br /><br />Prosím zkontrolujte svou e-mailovou schránku, zprávu byste měli obdržet během několika minut.<br /><br />Doporučení:<br /><br />Potom, co zažádáte o e-mail, měli byste se na tyto stránky přihlásit se svým novým heslem a změnit si jej, abyste uchovali svá data v tajnosti."
"editowndata";"Můj účet"
"savedata";"Uložit změněná data"
"datachanged";"Uživatelská data byla změněna!"
"datachanged_name";"Možná bude potřeba, abyste se přihlásili znovu (se svým novým uživatelským jménem)."
"myuserdata";"Můj účet"
"verified";"Uživatel potvrdil registraci"
"verified_by_admin";"Uživatel byl adminem povolen"
"user_theme";"Můj motiv"
"mgv";"MyGedView"
"passwordlength";"Heslo musí obsahovat alespoň 6 znaků."
"admin_approved";"Váš účet na #SERVER_NAME# byl povolen"
"you_may_login";"administrátorem stránek. Nyní se můžete odkazem níže přihlásit do systému Genmod:"
"welcome_text_auth_mode_1";"<b>VÍTEJTE NA TĚCHTO RODOPISNÝCH STRÁNKÁCH</b><br /><br />Přístup na tyto stránky je povolen všem návštěvníkům, kteří zde mají zřízený účet.<br />Jestliže zde již máte svůj účet, můžete se na této stránce přihlásit.<br /><br />Pokud ještě účet nemáte, můžete o něj požádat kliknutím na příslušný odkaz na této stránce.<br />Po ověření zadaných údajů vám administrátor účet zpřístupní.<br />Oznámení o zpřístupnění obdržíte e-mailem."
"welcome_text_auth_mode_2";"<b>VÍTEJTE NA TĚCHTO RODOPISNÝCH STRÁNKÁCH</b><br /><br />Přístup na tyto stránky je umožněn pouze <b>přihlášeným</b> uživatelům.<br />Jestliže zde již máte svůj účet, můžete se na této stránce přihlásit.<br /><br />Pokud ještě účet nemáte, můžete o něj požádat kliknutím na příslušný odkaz na této stránce.<br />Po ověření zadaných údajů administrátor vaši žádost buď přijme, nebo odmítne.<br />Oznámení o přijetí své žádosti obdržíte e-mailem."
"welcome_text_auth_mode_3";"<b>VÍTEJTE NA TĚCHTO RODOPISNÝCH STRÁNKÁCH</b><br /><br />Přístup na tyto stránky je povolen pouze <b>členům rodiny</b>.<br />Jestliže zde již máte svůj účet, můžete se na této stránce přihlásit.<br /><br />Pokud ještě účet nemáte, můžete o něj požádat kliknutím na příslušný odkaz na této stránce.<br />Po ověření zadaných údajů administrátor vaši žádost buď přijme, nebo odmítne.<br />Oznámení o přijetí své žádosti obdržíte e-mailem."
"welcome_text_cust_head";"<b>VÍTEJTE NA TĚCHTO RODOPISNÝCH STRÁNKÁCH</b><br /><br />Přístup na tyto stránky je umožněn pouze uživatelům, kteří zde mají zřízený svůj uživatelský účet s heslem.<br />"
"welcome";"Vítejte"
"upcoming_events";"Nadcházející události"
"chat";"Chat"
"users_logged_in";"Přihlášení uživatelé"
"message";"Poslat zprávu"
"my_messages";"Moje zprávy"
"date_created";"Data byla zaslána:"
"message_from";"Emailová adresa"
"message_from_name";"Vaše jméno:"
"message_to";"Adresát:"
"message_subject";"Předmět:"
"message_body";"Text:"
"no_to_user";"Nezadali jste příjemce zprávy.  Není možné pokračovat."
"provide_email";"Prosím zadejte svou e-mailovou adresu, abychom vás případně mohli kontaktovat.  Pokud nám neposkytnete svou e-mailovou adresu, nebudeme vám moci odpovědět.  Vaše e-mailová adresa nebude užita k žádným jiným účelům než k odpovědi na váš dotaz."
"reply";"Odpovědět"
"message_deleted";"Zpráva byla smazána"
"message_sent";"Zpráva byla zaslána"
"reset";"Reset"
"site_default";"Domácí stránka"
"mygedview_desc";"Vaše stránka MyGedView vám umožňuje uchovávat záložky svých přátel, sledovat nadcházející události a spolupracovat s ostatními uživateli Genmod."
"no_messages";"Nemáte žádné příchozí zprávy."
"clicking_ok";"Kliknete-li na OK, otevře se další okno, kde budete moci kontaktovat #user[fullname]#"
"my_favorites";"Moje oblíbené"
"no_favorites";"Nevybrali jste žádné oblíbené.  Chcete-li přidat nějakou osobu ke svým oblíbeným, najděte informace o této osobě a pak klikněte na odkaz "Přidat do mých oblíbených" nebo vyplňte políčko ID dole pro přidání osoby pomocí ID čísla."
"add_to_my_favorites";"Přidat do mých oblíbených"
"no_gedcom_favorites";"V tuto chvíli nejsou označeny žádné oblíbené. Admin může nastavit zobrazení oblíbených při startu."
"confirm_fav_remove";"Jste si jisti, že chcete odstranit tuto položku z vašich oblíbených?"
"invalid_email";"Prosím zadejte platnou e-mailovou adresu."
"enter_subject";"Prosím zadejte předmět zprávy."
"enter_body";"Prosím zadejte text zprávy před jejím odesláním."
"confirm_message_delete";"Jste si jistí, že chcete smazat tuto zprávu?  Nebude možné ji později získat zpět."
"message_email1";"Tato zpráva byla zaslána na váš Genmod uživatelský účet z "
"message_email2";"Tuto zprávu jste poslali na Genmod uživatelský účet:"
"message_email3";"Tuto zprávu jste poslali administrátorovi Genmod:"
"viewing_url";"Tato zpráva byla poslána během zobrazování následující url: "
"random_picture";"Náhodný obrázek"
"message_instructions";"<b>Prosím pozor:</b> Soukromé informace žijících osob budou poskytnuta pouze rodinným příbuzným a blízkým přátelům. Předtím, než obdržíte jakákoliv soukromá data, budete požádáni o ověření vašeho vztahu.  Někdy mohou být soukromé povahy i data zemřelých osob.  Jestliže je to tento případ, pak je to z toho důvodu, že není dost známých informací o této osobě, aby bylo možné rozhodnout, jestli žije nebo ne, a pak tedy ani žádné další informace o této informace nemáme.<br /><br />Před vznesením dotazu na nějakou, prosím zkontrolujte u ní data, místa a blízké příbuzné, abyste si byli jistí, že se tážete na tu správnou osobu.  Jestliže provádíte změny v genealogických datech, prosím uveďte prameny, ze kterých jste čerpali.<br /><br />"
"sending_to";"Tato zpráva bude odeslána na #TO_USER#"
"preferred_lang";"Tento uživatel upřednostňuje příjem zpráv přes #USERLANG#"
"gedcom_created_on";"Tento GEDCOM byl vytvořen <b>#DATE#</b>."
"customize_page";"Upravit vstupní bránu MyGedView"
"customize_gedcom_page";"Upravit úvodní stránku tohoto GEDCOMu"
"upcoming_events_descr";"V bloku nadcházejících událostí je zobrazen seznam událostí z momentálně prohlíženého GEDCOMu, jejichž výročí si připomeneme během příštích 30 dní.  Přes uživatelskou stránku MyGedView se v bloku zobrazí jen živí lidé.  Přes vstupní bránu GEDCOMu se zobrazí všichni lidé."
"todays_events_descr";"Tohoto dne ve vaší historii... V bloku bude zobrazen seznam událostí z momentálně prohlíženého GEDCOMu, které se staly tohoto dne.  Pokud nejsou nalezeny žádné události, blok se neukáže.  Přes uživatelskou stránku MyGedView se v bloku zobrazí jen seznam žijících lidí.  Přes vstupní bránu GEDCOMu se zobrazí všichni lidé."
"logged_in_users_descr";"Kliknutím na tento odkaz zjistíte, kteří uživatelé jsou právě teď přihlášeni."
"user_messages_descr";"V bloku zpráv je zobrazen seznam zpráv, které byly poslány aktivnímu uživateli."
"user_favorites_descr";"V bloku uživatelských Oblíbených se uživateli zobrazí seznam oblíbených osob v tomto systému, takže se k nim může snadněji dostat."
"welcome_descr";"Uvítací blok uživatele ukazuje uživateli nynější datum a čas, odkazy pro úpravu jeho účtu nebo pro zobrazení vlastního vývodu a odkaz pro úpravu vstupní brány."
"random_media_descr";"Blok náhodného média náhodně vybere obrázek nebo jinou mediální položku v právě prohlíženém GEDCOMu a zobrazí ji uživateli."
"gedcom_descr";"Uvítací blok GEDCOM funguje stejně jako uvítací blok uživatele – vítá návštěvníka stránek a zobrazuje nadpis právě prohlíženého GEDCOMu a nynější datum a čas."
"gedcom_favorites_descr";"Blok Oblíbených GEDCOMu umožňuje administrátorovi stránek vybrat své oblíbené osoby, aby k nim měli návštěvníci snazší přístup.  Je to možnost, jak zvýraznit osoby, které jsou v historii vašeho rodu důležité."
"gedcom_stats_descr";"Blok statistiky GEDCOMu ukazuje návštěvníkovi základní informace o GEDCOM souboru, jako například čas vytvoření nebo počet osob v souboru."
"portal_config_intructions";"Na této stránce si můžete upravit stránku rozmístěním bloků na stránce dle vaší potřeby.  Stránka je rozdělena na dvě části: 'Hlavní' a 'Pravý' oddíl. Bloky 'hlavního' oddílu jsou větší a jsou umístěny pod titulkem stránky. 'Pravý' oddíl začíná napravo od titulku a pokračuje dolů po pravé straně. Každý oddíl svůj vlastní seznam bloků, které se zobrazí na stránce v pořadí, v jakém jsou v seznamu. Bloky můžete přidávat, odstraňovat a přeskupovat dle libosti."
"login_descr";"Přihlašovací blok zobrazuje uživatelům uživatelské jméno a heslo k přihlášení."
"theme_select_descr";"Blok pro výběr motivu se zobrazuje, i když není změna motivu povolena."
"block_top10_title";"Nejčastější příjmení"
"block_top10_descr";"V tomto bloku vidíte tabulku 10 nejužívanějších příjmení v této databázi."
"gedcom_news_descr";"Blok novinek GEDCOMu návštěvníkům ukazuje zprávy a články přidané adminem.  Tady je vhodné například upozorňovat na aktualizované GEDCOM soubory nebo oznamovat rodinná setkání."
"user_news_descr";"Uživatelský deník umožňuje uživatelům uchovávat poznámky nebo deník online."
"my_journal";"Můj deník"
"no_journal";"Nevytvořili jste v deníku žádné položky."
"confirm_journal_delete";"Opravdu chcete vymazat tuto položku z deníku?"
"add_journal";"Přidat do deníku nový záznam"
"confirm_news_delete";"Opravdu chcete z Novinek vymazat tuto položku?"
"add_news";"Přidat nový článek"
"no_news";"Žádné články, novinky nebyly dodány."
"edit_news";"Přidat/Upravit záznam v Deníku/Novinkách"
"enter_title";"Vložte prosím nadpis."
"enter_text";"Vložte prosím text tohoto záznamu."
"news_saved";"Příspěvek do Novinek/Deníku byl úspěšně uložen."
"article_text";"Vložte text:"
"main_section";"Bloky hlavního oddílu"
"right_section";"Bloky pravého oddílu"
"move_up";"Posunout nahoru"
"move_down";"Posunout dolů"
"move_right";"Přesunout doprava"
"move_left";"Přesunout doleva"
"broadcast_all";"Rozeslat všem uživatelům"
"hit_count";"Počet přístupů:"
"Genmod_message";"Zpráva Genmod"
"common_surnames";"Nejčastější příjmení"
"default_news_title";"Vítejte ve svém rodokmenu"
"default_news_text";"Výstup tohoto rodokmenu je zpracován pomocí <a href="http://www.Genmod.net/" target="_blank">Genmod 3</a>.  Tato stránka nabízí úvod a přehled k tomuto rodopisu.  Pro vstup do rodokmenu vyberte z menu jedno ze schémat, seznam osob nebo vyhledávání jména či místa.<br /><br />V případě potíží s používáním tohoto systému, klikněte na nápovědu a dozvíte se, jak pracovat se stránkou, na níž se právě nacházíte.<br /><br />Děkujeme, že jste tyto stránky navštívili."
"reset_default_blocks";"Obnovit původní bloky"
"recent_changes";"Poslední změny"
"recent_changes_descr";"V Bloku posledních změn se zobrazí všechny změny, jež byly v GEDCOMu provedeny během posledního měsíce. Tento blok vám pomůže sledovat tyto změny. Změny se rozpoznávají podle tagu CHAN."
"delete_selected_messages";"Smazat vybrané zprávy"
"use_blocks_for_default";"Použít tyto bloky jako implicitní nastavení bloků pro všechny uživatele?"
"performing_validation";"Provádění validace (zkontrolování) GEDCOMu, vyberte potřebné možnosti a klikněte na 'Pokračovat'"
"changed_mac";"Nalezena Macintoshová zakončení řádků. Tam, kde byl jen návrat na konec (řádku?), byl vložen návrat na konec a řádek byl doplněn."
"changed_places";"Rozpoznáno neplatné kódování míst. Záznamy o místech byly vyčištěny tak, aby vyhovovaly standardu GEDCOM 5.5.  Ukázka z vašeho GEDCOM:"
"invalid_dates";"Rozpoznány nesprávné datové formáty, vyčištěním budou tyto formáty změněny do podoby DD MMM YYYY (např. 1 JAN 2004)."
"valid_gedcom";"Validní GEDCOM.  Žádné opravy nebyly třeba."
"optional_tools";"Před importováním můžete zvolit spuštění některého z nabízených nástrojů."
"optional";"Volitelné nástroje"
"day_before_month";"Den před měsícem (DD MM YYYY)"
"month_before_day";"Měsíc před dnem (MM DD YYYY)"
"do_not_change";"Neměnit"
"change_id";"Změnit ID osob na:"
"example_date";"Ukázka neplatného datového formátu z vašeho GEDCOMu:"
"add_media_tool";"Nástroj pro přidání médií"
"launch_media_tool";"Klikněte sem, chcete-li spustit nástroj pro přidání médií."
"add_media_descr";"Tento nástroj přidá do GEDCOMu tagy OBJE.  Po ukončení přidávání médií zavřete toto okno."
"highlighted";"Zvýrazněný obrázek"
"extension";"Přípona"
"order";"Pořadí"
"media_table_created";"Tabulka <i>Média</i> byla úspěšně vytvořena."
"click_to_add_media";"Klikněte se m pro přidání médií (ze seznamu nahoře) do tohoto GEDCOMu #GEDCOM#"
"adds_completed";"Média byla do GEDCOMu úspěšně přidána."
"ansi_encoding_detected";"Rozpoznáno kódování ANSI.  Genmod pracuje nejlépe se soubory s kódováním UTF-8."
"invalid_header";"V GEDCOM souboru byly nalezeny řádky před hlavičkou GEDCOM (0 HEAD). Při čištění souboru budou tyto řádky odstraněny."
"macfile_detected";"Byl nalezen soubor pro Macintosh. Při čištění bude tento soubor převeden na soubor pro DOS."
"place_cleanup_detected";"Bylo rozpoznáno špatné kódování míst. Tyto chyby by měly být opraveny. Následující příklad ukazuje jedno z nesprávně zapsaných míst:"
"cleanup_places";"Vyčištění míst"
"empty_lines_detected";"Ve vašem GEDCOM souboru byly nalezeny prázdné řádky. Při čištění budou tyto řádky odstraněny."
"choose_report";"Vybrat zprávu, jež se má vytvořit"
"enter_report_values";"Zadat kritéria pro zprávu"
"selected_report";"Vybraná zpráva"
"run_report";"Zobrazit zprávu"
"select_report";"Vybrat zprávu"
"download_report";"Stáhnout zprávu"
"pdf_reports";"Zprávy v PDF"
"html_reports";"Zprávy v HTML"
"family_group_report";"Zpráva o rodině"
"page";"Strana"
"of";"z"
"enter_famid";"Zadejte ID rodiny"
"show_notes";"Zobrazit poznámky?"
"show_basic";"Tisknout základní údaje, i když jsou prázdné?"
"show_photos";"Zobrazit fotky?"
"individual_report";"Zpráva o osobě"
"enter_pid";"Zadat ID osoby"
"individual_list_report";"Zpráva se seznamem osob"
"generated_by";"Vytvořeno v"
"list_children";"Seřadit všechny děti podle data narození."
"birth_report";"Zpráva o datu a místě narození"
"birthplace";"Místem narození je"
"birthdate1";"Rozsah data narození začíná"
"birthdate2";"Rozsah data narození končí"
"sort_by";"Seřazeno podle"
"cleanup";"Opravit"
"skip_cleanup";"Přeskočit opravování"
"dynasty_list";"Přehled rodin"
"make_slklist";"Vytvořit EXCEL seznam (SLK)"
"excel_list";"Převést následující řádky do EXCEL formátu (nejdřív seznam praotců):"
"excel_tab";"tabulka:"
"excel_create";"se vytvoří ze souboru:"
"slk_list";"Seznam EXCEL SLK"
"statistics";"Statistika"
"merge_records";"Sloučit záznamy"
"merge_same";"Záznamy nejsou stejného typu. Není možné sloučit záznamu rozdílných typů."
"merge_step1";"Slučování - krok 1 ze 3"
"merge_step2";"Slučování - krok 2 ze 3"
"merge_step3";"Slučování - krok 3 ze 3"
"select_gedcom_records";"Označte 2 GEDCOM záznamy, které se mají sloučit. Záznamy musí být stejného typu."
"merge_to";"Sloučit DO ID:"
"merge_from";"Sloučit Z ID:"
"merge_facts_same";"Následující údaje byly v obou záznamech naprosto stejné, a budou tedy automaticky sloučeny."
"no_matches_found";"Nenalezeny odpovídající údaje"
"unmatching_facts";"Následující údaje si neodpovídají. Označte informaci, kterou chcete zachovat."
"record";"Záznam"
"adding";"Přidání"
"updating_linked";"Aktualizování připojené zprávy"
"merge_more";"Sloučit více záznamů."
"same_ids";"Zadali jste stejná ID čísla. Nemůžete sloučit údaje se sebou samými."
"gen_ancestry_chart";"Přehled předků do #PEDIGREE_GENERATIONS#. pokolení"
"chart_style";"Styl schématu"
"sosa_2";"Otec"
"sosa_3";"Matka"
"sosa_4";"Děd"
"sosa_5";"Bába"
"sosa_6";"Děd"
"sosa_7";"Bába"
"sosa_8";"Pra-děd"
"sosa_9";"Pra-bába"
"sosa_10";"Pra-děd"
"sosa_11";"Pra-bába"
"sosa_12";"Pra-děd"
"sosa_13";"Pra-bába"
"sosa_14";"Pra-děd"
"sosa_15";"Pra-bába"
"sosa_16";"Pra-pra-děd"
"sosa_17";"Pra-pra-bába"
"sosa_18";"Pra-pra-děd"
"sosa_19";"Pra-pra-bába"
"sosa_20";"Pra-pra-děd"
"sosa_21";"Pra-pra-bába"
"sosa_22";"Pra-pra-děd"
"sosa_23";"Pra-pra-bába"
"sosa_24";"Pra-pra-děd"
"sosa_25";"Pra-pra-bába"
"sosa_26";"Pra-pra-děd"
"sosa_27";"Pra-pra-bába"
"sosa_28";"Pra-pra-děd"
"sosa_29";"Pra-pra-bába"
"sosa_30";"Pra-pra-děd"
"sosa_31";"Pra-pra-bába"
"sosa_32";"Pra-pra-pra-děd"
"sosa_33";"Pra-pra-pra-bába"
"sosa_34";"Pra-pra-pra-děd"
"sosa_35";"Pra-pra-pra-bába"
"sosa_36";"Pra-pra-pra-děd"
"sosa_37";"Pra-pra-pra-bába"
"sosa_38";"Pra-pra-pra-děd"
"sosa_39";"Pra-pra-pra-bába"
"sosa_40";"Pra-pra-pra-děd"
"sosa_41";"Pra-pra-pra-bába"
"sosa_42";"Pra-pra-pra-děd"
"sosa_43";"Pra-pra-pra-bába"
"sosa_44";"Pra-pra-pra-děd"
"sosa_45";"Pra-pra-pra-bába"
"sosa_46";"Pra-pra-pra-děd"
"sosa_47";"Pra-pra-pra-bába"
"sosa_48";"Pra-pra-pra-děd"
"sosa_49";"Pra-pra-pra-bába"
"sosa_50";"Pra-pra-pra-děd"
"sosa_51";"Pra-pra-pra-bába"
"sosa_52";"Pra-pra-pra-děd"
"sosa_53";"Pra-pra-pra-bába"
"sosa_54";"Pra-pra-pra-děd"
"sosa_55";"Pra-pra-pra-bába"
"sosa_56";"Pra-pra-pra-děd"
"sosa_57";"Pra-pra-pra-bába"
"sosa_58";"Pra-pra-pra-děd"
"sosa_59";"Pra-pra-pra-bába"
"sosa_60";"Pra-pra-pra-děd"
"sosa_61";"Pra-pra-pra-bába"
"sosa_62";"Pra-pra-pra-děd"
"sosa_63";"Pra-pra-pra-bába"
"gen_fan_chart";"#PEDIGREE_GENERATIONS# - generační vějířové schéma"
"fan_width";"Šířka vějíře"
"gd_library";"Špatná konfigurace PHP serveru: pro práci s obrázky je třeba knihovna GD 2.x."
"gd_freetype";"Špatná konfigurace PHP serveru: Pro práci s TrueType fonty je potřeba knihovna Freetype."
"fontfile_error";"Soubor s tímto fontem nebyl na PHP serveru nalezen."
"rss_descr";"Novinky a odkazy ze stránky #GEDCOM_TITLE#"
"rss_logo_descr";"Materiál vytvořilo Genmod"
"options";"Volby:"
"help_header";"Další informace o:"
"help_pedigree.php";"~STRÁNKA S VÝVODEM~<br /><br />Většina uživatelů a návštěvníků bude vědět, co je to vývod, ale přece něco málo o našem vývodu:<br />Vývod je ve skutečnosti výčet všech předků výchozí osoby.<br />Když jste vstoupili na tuto stránku, viděli jste vývod osoby, která byla v rámečku úplně vlevo (když se přihlásíte, můžete si zvolit vlastní výchozí osobu).<br /><br />Takže, "všichni předci" znamená otec a matka a jejich rodiče a tak dále.<br />Na těchto stránkách vidíte vývod v grafické podobě.<br />Nemusíte se prodírat stranami textu, abyste zjistili, kde jsou vaši předkové.<br />Všechny osoby jsou na obrazovce zobrazeny v rámečcích.<br /><br />* RÁMEČKY VE VÝVODU<br />Je-li u stránky s vývodem nastaveno zobrazování podrobností, uvidíte jméno osoby, datum narození a úmrtí.<br />Na jméno osoby můžete kliknout a to vás zavede přímo na stránku s osobními údaji.<br />Když je zapnuta volba "Zobrazit podrobnosti", jsou v rámečku dvě ikonky.<br /><br />* IKONA VÝVODU<br />Když je zapnuta volba "Zobrazit podrobnosti", vidíte uvnitř rámečku ikonku vývodu. V závislosti na nastavení stránek musíte přejet přes ikonu myší, nebo na ni kliknout.<br />Takže, když na ni kliknete, nebo přes ni přejedete myší, objeví se vám malé podmenu.<br />Položka "Vývod" a "Rozrod" se podobají polložkám v hlavním menu, ale rozdíl je v tom, že v tomto případě bude výchozí osobou schématu osoba , jejíž jméno je v daném rámečku.<br />Dále vidíte "Rodina s partnerem". Vidíte jméno partnera následováno jmény dětí.<br />Na všechna jména se dá kliknout.<br /><br />* LUPA<br />Opět v závisloti na nastavení stránek musíte na ikonu buď kliknout, nebo přes ni přejet myší.<br />Lupa zvětší rámeček se jménem, takže se zobrazí některé další podrobnosti.<br />Uvidíte více dat a událostí. Na jména můžete kliknout.<br /><br />* ŠIPKY<br />Nalevo nebo napravo od úplně krajních rámečků můžete vidět šipky.<br />Kliknutím na jednu ze šipek posunete schéma v daném směru.<br /><br />Další nápověda je k dispozici po kliknutí na <b>?</b> za rámečky nebo odkazy na stránce."
"register_info_01";"Množství dat, které může být veřejně zobrazeno na těchto stránkách, může být omezeno kvůli zákonům o ochraně osobních dat. Většina lidí si nepřeje, aby jejich osobní data byla veřejně dostupná na internetu. Mohlo by jich být zneužito k rozesílání spamu nebo ke krádeži osobnosti.<br /><br />Abyste měli přístup k soukromým údajům, musíte mít na těchto stránkách účet. Pro získání účtu se můžete zaregistrovat poskytnutím požadovaných informací. Potom, co administrátor vaši registraci zkontroluje a schválí, budete se moci přihlásit a zobrazit si soukromá data.<br /><br />Pokud je aktivována vyšší úroveň utajení, budete mít po přihlášení přístup jen k vlastním soukromým datům a soukromým údajům vašich nejbližších příbuzných. Administrátor také může poskytnout přístup k úpravám databáze, takže můžete měnit nebo přidávat informace.<br /><br />POZNÁMKA: Soukromá data obdržíte jedině v případě, že můžete dokázat, že jste blízcí příbuzní osoby v databázi.<br /><br />Jestliže nejste blízcí příbuzní, pravděpodobně nedostanete účet, takže byste si měli vyhnout možným problémům.<br />Pokud potřebujete další radu nebo informaci, prosím kontaktujte webmastera (odkaz dole).<br /><br />"
"help_descendancy.php";"~STRÁNKA S ROZRODEM~<br /><br />Tato stránka zobrazí potomky osoby.<br />Výchozí osobu tohoto schématu si můžete zvolit přímo na této stránce nebo sem můžete být přesměrováni z jiné stránky kliknutím na odkaz "Rozrod".<br />Chcete-li se posunout ve schématu nahoru, klikněte na horní šipku. Budete-li chtít vidět rozrod jiné osoby, klikněte na ikonu schématu v rámečku požadované osoby."
"help_timeline.php";"~STRÁNKA S ČASOVOU OSOU~<br /><br />Na této stránce si můžete nechat zobrazit jednu, dvě či více osob na časové ose.<br />Tímto způsobem si můžete například znázornit stav dvou či více osob v určitý okamžik.<br /><br />Kliknete-li na odkaz Časová osa na jiné stránce, uvidíte jednu osobu na časové ose již hned po načtení stránky.<br />Jestliže jste klikli na položku z menu v záhlaví, pak musíte vepsat do rámečku "ID" osoby, s níž chcete začít."
"help_relationship.php";"~STRÁNKA SE SCHÉMATEM VZTAHU~<br /><br />Na této stránce si můžete znázornit příbuzenský vztah mezi dvěma lidmi.<br />Neznamená to, že by tyto osoby museli být přímo pokrevně příbuzné.<br />Nalezen bude jakýkoliv vztah."
"help_ancestry.php";"~Stránka #gm_lang[ancestry_chart]#~<br /><br />Přehled předků je velmi podobný na <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, ale obsahuje více informací a střídá <a href="?help=chart_style_help">#gm_lang[chart_style]#</a> zobrazení.<br /><br />Každý předek je zobrazen s jedinečným číslem, vypočítaným na základě <i>Sosa-Stradonitzova</i> systému :<br /> - sudá čísla pro muže (dítě*2)<br /> - lichá čísla pro ženy (manžel+1) s výjimkou <big>1</big><br /><br />Př.: <big>7</big> je manželka <big>6</big>, matka <big>3</big> a dcera <big>14</big> a <big>15</big>."
"help_fanchart.php";"~#gm_lang[fan_chart]# page~<br /><br />Vějířové schéma je velmi podobné na <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, ale s důrazem na grafickou podobu.<br /><br />Výchozí osoba je zobrazena ve středu, její rodiče na první kružnici, prarodiče na druhé atd...<br /><br />Pokud je znám rok narození, sňatku a úmrtí, pak je zobrazen pod jménem.<br /><br />Kliknete-li na jméno ve schématu, získáte nový obraz, na němž bude zvolené jméno ve středu schématu. Poblíž výchozí osoby je šipka se skrytým menu, z něhož budete moci vybrat jako novou výchozí osobu některé z dětí nebo sourozenců výchozí osoby, což můžete udělat také pomocí <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>."
"help_indilist.php";"~STRÁNKA SE SEZNAMEM OSOB~<br /><br />Na této stránce si můžete nechat zobrazit seznam osob.<br /><br />Jména budou zobrazena v abecedním pořadí, příjmení na prvním místě.<br />Výstup seznamu jmen závisí na:<br /><b>1.</b> písmeni, na něž jste klikli v abecedním rejstříku.<br /><b>2.</b> jestli jste klikli na "Přeskočit" nebo "Zobrazit" seznam příjmení.<br /><br />Jestliže k tomu potřebujete další nápovědu, klikněte prosím na ? za položkami."
"help_famlist.php";"~STRÁNKA SE SEZNAMEM RODIN~<br /><br />Na této stránce si můžete zobrazit seznam rodin.<br /><br />Jména budou zobrazena v abecedním pořadí, příjmení na prvním místě.<br />Podoba zobrazeného seznamu závisí na:<br /><b>1.</b> písmenu, na které jste klikli v abecedním rejstříku.<br /><b>2.</b> tom, jestli jste klikli na "Přeskočit" nebo"Zobrazit" seznam příjmení.<br /><br />Můžete hledat jak mužská, tak ženská příjmení. Obojí jsou zahrnuta v seznamu.<br /><br />Potřebujete-li k tomu další nápovědu, klikněte prosím na ? za položkami."
"help_family.php";"~STRÁNKA S PODROBNOSTMI O RODINĚ~<br /><br />Tato stránka vám ukáže přehled o rodině, kterou jste si vybrali na předchozí straně.<br />Odshora dolů uvidíte rámečky s těmito jmény:<br />Manžel a jeho rodiče.<br />Manželka a její rodiče<br />a děti.<br /><br />Vzhled a obsah rámečků je stejný jako na stránce s vývodem a rozrodem.<br />Napravo od rámečků se jmény rodičů uvidíte šipku (jsou-li v souboru další předkové). Kliknutím na šipku se posunete o jednu generaci na novou stránku, kde jsou rodiče zobrazeni jako manželé.<br />Po pravé straně <i>v</i> rámečku si můžete všimnout lupy, díky níž můžete získat další informace o daném jednotlivci. Kliknutí na jméno vás přesměruje na stránku s osobními údaji o tomto člověku.<br />Na pravé straně najdete ještě malé menu, které vás odkáže na stránky s dalšími informacemi nebo schématy.<br /><br />V Rodinných informacích jsou zobrazena všechna známá fakta a informace o této rodině jako sňatek, multimediální soubory a poznámky. Kliknutí na místo vás přesměruje na seznam míst, kde uvidíte seznam všech jednotlivců a rodin, které jsou s tímto místem spojeny. Kliknete-li na datum, dostanete se kalendáře, kde si budete moci prohlédnout všechny události, jež se ve vaší historii staly tohoto dne v tomto měsíci. Kliknout můžete také na multimediální objekty; tím se otevře nové okno, v němž si budete moci objekt prohlédnout. Pokud kliknete na odkaz na pramen, zobrazí se na stránce informace o tomto prameni.<br /><br />Pod rámečky se jmény dětí najdete odkaz "Přidat dítě k této rodině".<br />Vedle rámečků se jmény dětí uvidíte odkaz "Informace o rodině".<br />Máte-li patřičná práva, můžete zde upravovat, mazat a přidávat data a údaje.<br /><br />Na pravé straně obrazovky můžete vidět, je-li zapnuto adminem, tyto ikony a odkazy:<br /><b>Zobrazit přímo záznam GEDCOM</b>, který zobrazí informace v GEDCOM formátu.br /><b>Přidat do Schránky výstřižků</b>, jenž vám umožní uložit si zvolené informace do schránky. Odtud si je pak můžete stáhnout a naimportovat do svého genealogického programu.<br /><b>Zobrazit pár na časové ose</b>, který vás přesměruje na stránku s časovou osou, na níž zobrazí všechny údaje o rodině.<br /><br />#gm_lang[more_help]#"
