"messaging2_help";"Если Ваше сообщение послано, то Вы получите копию на эл.адрес, который Вы указали. "
"ALLOW_USER_THEMES_help";"Дать пользователям возможность выбирать свое собственное оформление темы.<br /><br />Это устанавливается в переменной $ALLOW_USER_THEMES в файле config.php."
"gedcom_title_help";"Введите название, описывающее содерждание этого GEDCOM файла."
"LOGFILE_CREATE_help";"Задайте как часто программа должна архивировать Log-файлы.<br /><br />Это находится в переменной $LOGFILE_CREATE файла config.php."
"person_privacy_help";""Личные установки пользователя" дают администраторам возможность не делать стандарные личные установки для опеределенных персон из GEDCOM файла. Допустим например, что есть ребенок, который умер в младенчестве. По умолчанию детальные сведения о нем видимы для всех пользователей, т.к. он является умершим. Но сведения о других членах семьи являются личными. Вы не хотите удалять данные об умершем ребенке, но хотите подробности скрыть и сделать личными. Допустим ребенок имел ID номер I100, тогда Вы должны ввести следующие установки: <br /><br />ID: I100<br />Видимо для: "Видимо только для авторизированных пользоателей"<br /><br />Наоборот это работает также. Если я хочу детали о ком-то (ID 101) сделать окрытыми, и я знаю что лицо является умершим, но у меня нет даты смерти, я ввожу следующее:<br /><br />ID: I101<br />Видимость для: "Видимо для ВСЕХ посетителей"<br /><br />Это находится в переменной $person_privacy variabele в выбранном личном файле."
"user_privacy_help";""Личные установки пользователя" дают администраторам возможность не делать стандарные персональные установки для персон из GEDCOM файла, а базироваться на имя пользователя.<br /><br />Так, если мой ID номер 100 и я не хочу чтобы пользователь с именем пользователя "Джон" видел мои детальные сведения, я делаю следующие установки:<br /><br />Имя пользователь: Джон<br />ID: I100<br />Видимость?: "Скрыть"<br /><br />и мои детальные данные будут скрыты только для пользователя с именем пользователя "Джон".<br /><br />Для того чтобы сделать детальные сведения персоны I101 видимыми для "Джона" (которые по умолчанию скрыты, т.к. I101 персона является ныне живущим) установите следующее:<br /><br />Имя пользователя: Джон<br />ID: I101<br />Видимость?: "Показывать"<br /><br />Это находится в переменной $user_privacy выбранного личного файла."
"SHOW_LIVING_NAMES_help";"Показать имена ныне живущих лиц<br /><br />Имена ныне живущих лиц должны быть видимы для ВСЕХ посетителей сайта.<br /><br />Это задается в переменной $SHOW_LIVING_NAMES в выбранном личном файле."
"SHOW_RESEARCH_LOG_help";"Видимость архива Log-файла<br /><br />Какие пользователи могут просмотреть архив Log-файла, в случае если это установлено.<br /><br />Это находится в переменной $SHOW_RESEARCH_LOG в выбранном личном файле."
"USE_RELATIONSHIP_PRIVACY_help";"Использовать личное родство<br /><br />"Нет" обозначает что авторизированные пользователи могут смотреть детальные сведения обо всех живущих ныне персонах.<br />Значение "Да" обозначает что пользователи могут смотреть персональную информацию о ныне живущих персонах только в случае если они состоят в родстве с просматриваемой персоной.<br /><br />Это находится в переменной $USE_RELATIONSHIP_PRIVACY выбранного личного файла."
"MAX_RELATION_PATH_LENGTH_help";"Максимальная длина ветви родства<br /><br />Внучатые племянники и племянницы.<br /><br />Это находится в переменной $MAX_RELATION_PATH_LENGTH выбранного личного файла."
"CHECK_MARRIAGE_RELATIONS_help";"Проверьте родство по браку<br /><br />Проверьте родство через брачные отношения.<br /><br />Это находится в переменной $CHECK_MARRIAGE_RELATIONS в выбранном персональном файле."
"SHOW_DEAD_PEOPLE_help";"Показать умерших лиц<br /><br />Установить персональные уровни доступа ко всем умершим персонам"
"edit_lang_utility_help";"Эта программа используется для ручного перевода или корректировки перевода файла.<br />Программма отображает список англоязычных файлов. Сначала из этого списка выбираете нужный файл.<br />Далее находите нужный текст на английском языке, кликаете по аналогичному тексту под ним и пишите или изменяете текст. Затем сохраняете изменения."
"editlang_help";"Изменить сообщение в файле языка"
"savelang_help";"Сохранить сообщение"
"export_lang_utility_help";"Выбирите язык помощника из выбранного языкового файла конфигурация_помощник для экспорта в файл документации. "
"compare_lang_utility_help";"Этот модуль сравнивает два файла языка и создает список различий.<br /><br />В файле [<a href="languages\/LANG_CHANGELOG.txt" target="_blank">LANG_CHANGELOG.txt</a>] в папке languages указаны также другие изменения."
"config_lang_utility_help";"С помощью этого модуля Вы можете просто подключить или отключить (поставив или убрав "галочки") поддерживаемые языки в Genmod. Кроме этого Вы можете также наладить специфичные установки страны и языка."
"active_help";"Разрешить пользователям выбирать язык в случае если разрешено выбирать другой язык."
"original_lang_name_help";"Здесь задается название языка в том самом языке."
"lang_shortcut_help";"Этой опцией Вы устанавливаете сокращение названия языка двумя буквами."
"flagsfile_help";"Имя и путь к файлу с изображением флага выбранного языка."
"text_direction_help";"Здесь вы устанавливаете каким образом отображать тексты."
"date_format_help";"В различных странах общеприняты различные форматы даты. В Недерландах это "ДеньМесяцГод", в тоже время как в Англии это часто "МесяцДеньГод". Здесь Вы устанавливаете как Genmod будет показывать дату."
"week_start_help";"День недели, с которой начинается неделя. В большенстве стран неделя начинается в воскресение, но в некоторых странах в понедельник или в другой день недели."
"name_reverse_help";"В некоторых языках сначала называется имя, затем фамилия. В нашей программе также такая комбинация является стандартной. Но в некоторых  языках используется обратная комбинация. Этой опцией Вы устанавливаете что на первом месте стоит фамилия, а затем имя."
"alphabet_upper_help";"Алфавит в заглавных (прописных) буквах. Этот алфавит используется для сортировки имен, написанных заглавными буквами в списке персон в Genmod."
"alphabet_lower_help";"Алфавит в строчных буквах. Этот алфавит используется для сортировки имен, написанных строчными буквами в списке персон в Genmod."
"translation_forum_help";"Этот линк открывает новое окно в Вашем Windows Explorer на форум переводчиков Genmod (http://sourceforge.net/forum/forum.php?forum_id=294245). Здесь вы можете задать вопросы по переводу, предложить темы для обсуждения и (если хотите) вложить свой вклад в перевод."
"page_help";"Помощник"
