"stat_sources";"źródeł, "
"add_son_daughter";"Dodaj syna lub córkę"
"must_provide";"Musisz podać "
"delete_person";"Usuń tą osobę"
"confirm_delete_person";"Czy na pewno chcesz usunąć tą osobę z pliku GEDCOM?"
"find_media";"Znajdź multimedia"
"set_link";"Ustaw odnośnik"
"add_source_lbl";"Dodaj cytat źródła"
"add_source";"Dodaj źródło do faktu"
"add_note_lbl";"Dodaj notatkę"
"add_note";"Dodaj nową notatkę"
"add_media_lbl";"Dodaj multimedia"
"add_media";"Dodaj nowe multimedia"
"delete_source";"Usuń to źródło"
"confirm_delete_source";"Czy na pewno chcesz usunąć to źródło z pliku GEDCOM?"
"add_husb";"Dodaj męża"
"add_husb_to_family";"Dodaj męża do tej rodziny"
"add_wife";"Dodaj żonę"
"add_wife_to_family";"Dodaj żonę do tej rodziny"
"find_family";"Znajdź rodzinę"
"find_fam_list";"Znajdź listę rodzin"
"add_new_wife";"Dodaj nową żonę"
"add_new_husb";"Dodaj nowego męża"
"edit_name";"Zmień nazwisko"
"delete_name";"Usuń nazwisko"
"no_temple";"Brak świątyni - Living Ordinance"
"replace";"Zamień rekord"
"append";"Dołącz rekord"
"add_father";"Dodaj nowego ojca"
"add_mother";"Dodaj nową matkę"
"add_obje";"Dodaj nowy obiekt multimedialny"
"no_changes";"Nie ma obecnie zmian oczekujących akceptacji."
"accept";"Zaakceptuj"
"accept_all";"Zaakceptuj wszystkie zmiany"
"accept_successful";"Zmiany zostały wprowadzone do bazy danych"
"select_date";"Wybierz datę"
"create_source";"Utwórz nowe źródło"
"new_source_created";"Nowe źródło zostało utworzone."
"paste_id_into_field";"Wklej poniższy identyfikator źródła w pole edycji aby powołać się na to źródło "
"add_name";"Dodaj nowe nazwisko"
"privacy_not_granted";"Nie masz dostępu do "
"user_cannot_edit";"Użytkownik nie może edytować tego GEDCOM"
"gedcom_editing_disabled";"Edycja tego GEDCOM'u została zablokowana"
"privacy_prevented_editing";"Ustawienie prywatności uniemożliwia ci edycję"
"add_asso";"Dodaj nowe powiązanie"
"on_this_day";"Tego dnia w twojej historii..."
"in_this_month";"W tym miesiącu, w twojej historii..."
"in_this_year";"W tym roku, w twojej historii..."
"year_anniversary";"#year_var# rocznica"
"today";"Dzisiaj"
"day";"Dzień:"
"month";"Miesiąc:"
"showcal";"Pokaż wydarzenia:"
"sunday";"Niedziela"
"monday";"Poniedziałek"
"tuesday";"Wtorek"
"wednesday";"Środa"
"thursday";"Czwartek"
"friday";"Piątek"
"saturday";"Sobota"
"all_people";"Wszystkich ludzi"
"living_only";"Żyjących ludzi"
"recent_events";"Z ostatnich lat (&lt; 100 lat)"
"day_not_set";"Dzień nie ustawiony"
"year_error";"Niestety, daty sprzed 1970 nie są obsługiwane."
"lost_password";"Zgubione hasło?"
"requestpassword";"Wysyłka nowego hasła"
"no_account_yet";"Nie masz konta?"
"requestaccount";"Poproś o nowe konto"
"emailadress";"Adres email"
"mail01_line01";"Witaj #user_fullname# ..."
"mail01_line02";"Podczas rejestracji na ( #SERVER_NAME# ) podany został twój adres email ( #user_email# )."
"mail01_line03";"Wykorzystano następujące dane."
"mail01_line04";"Kliknij na odnośnik poniżej i wpisz wymagane informacje aby zweryfikować twoje konto i adres email."
"mail01_line05";"Jeśli nie prosiłeś(aś) o te dane możesz po prostu skasować tą wiadomość."
"mail01_line06";"Nie otrzymasz więcej żadnych listów, ponieważ konto zostanie w ciągu siedmiu dni usunięte."
"mail01_subject";"Twoja rejestracja na #SERVER_NAME#"
"mail02_line01";"Witaj Administratorze ..."
"mail02_line02";"Nowy użytkownik zarejestrował się na ( #SERVER_NAME# )."
"mail02_line03";"Otrzymał email z informacjami niezbędnymi do weryfikacji konta."
"mail02_line04";"Gdy tylko zakończy ten proces zostaniesz o tym poinformowany przez email aby udzielić nowemu użytkownikowi pozwolenia na zalogowanie się."
"mail02_line04a";"Zostaniesz poinformowany przy pomocy poczty elektronicznej kiedy przyszły użytkownik zweryfikuje swoje dane. Po weryfikacji, użytkownik ten będzie mógł zalogować się bez twojego udziału."
"mail02_subject";"Nowa rejestracja na #SERVER_NAME#"
"hashcode";"Kod weryfikacyjny:"
"thankyou";"Witaj #user_fullname# ...<br />Dziękujemy za rejestrację"
"pls_note06";"Otrzymasz teraz email potwierdzający pod adres ( #user_email# ). Postępując według instrukcji zawartych w tej wiadomości będziesz musiał(a) aktywować swoje konto. Jeśli nie dokonasz tego w przeciągu siedmiu dni, zostanie ono usunięte (będziesz mógł (mogła) ponownie się zarejestrować po tym czasie). Aby korzystać z zasobów tej strony będziesz musiał (musiała) zapamiętać swój login i hasło."
"pls_note06a";"Zaraz zostanie wysłany potwierdzający email na adres (#user_email#). Musisz zweryfikować swoje konto według intrukcji zawartej w tym mailu. Jeżeli tego nie zrobisz w przeciągu 3 dni, twoja prośba o założenie konta zostanie automatycznie skasowana. Będziesz musiał ponownie wysłać prośbę o nowe konto.<br/><br/>Po wykonaniu wszystkich intrukcji zawartych w potwierdzającym emialu będziesz mógł się zalogować. Aby zalogować się na stronie, musisz znać swoją nazwę użytkownika i hasło.<br /><br />"
"registernew";"Potwierdzenie nowego konta"
"user_verify";"Weryfikacja użytkownika"
"send";"Wyślij"
"pls_note07";"Podaj swoją nazwę użytkownika, hasło oraz kod weryfikacyjny, który otrzymałeś(łaś) w wiadomości email w celu zweryfikowania twojego konta."
"pls_note08";"Informacje o użytkowniku #user_name# zostały sprawdzone."
"mail03_line01";"Witaj Administratorze ..."
"mail03_line02";"#newuser[username]# ( #newuser[fullname]# ) zweryfikował swoje dane rejestracyjne."
"mail03_line03";"Korzystając z poniższego odnośnika możesz zalogować się na stronie, poddać edycji konto użytkownika i udzielić mu zezwolenia na zalogowanie się na stronie."
"mail03_subject";"Nowa weryfikacja na #SERVER_NAME#"
"pls_note09";"Zosta-łeś(łaś) zidentyfikowany(a) jako zarejestrowany użytkownik."
"pls_note10";"Administrator został o tym poinformowany.<br />Gdy tylko udzieli zezwolenia będziesz mógł (mogła) zalogować się na stronie korzystając ze swojego loginu i hasła."
"pls_note10a";"Możesz teraz się zalogować używając swojej nazwy użytkownika i hasła."
"data_incorrect";"Dane nie są prawidłowe!<br />Spróbuj ponownie!"
"user_not_found";"Weryfikacja podanych informacji nie była możliwa. Wróć i spróbuj ponownie."
"lost_pw_reset";"Zgubione hasło"
"pls_note11";"Aby twoje hasło zostało zresetowane, podaj nazwę użytkownika i adres email twojego konta.<br /><br />Wyślemy ci wiadomość z adresem, który zawierał będzie kod aktywacyjny dla twojego konta. Odwiedzając podany adres będziesz mógł (mogła) zmienić swoje hasło i zalogować się na stronie. Z powodów bezpieczeństwa nie powinieneś (powinnaś) pokazywać tego kodu nikomu, włączając w to administratorów tej strony (nie będziemy o niego pytać).<br /><br />Jeśli będziesz potrzebował(a) pomocy, skontaktuj się z administratorem."
"enter_email";"Musisz podać adres email."
"mail04_line01";"Witaj #user_fullname# ..."
"mail04_line02";"Otrzymaliśmy wniosek o nowe hasło dla twojego konta!"
"mail04_line03";"Recomendacja:"
"mail04_line04";"Teraz kliknij na odnośnik poniżej, zaloguj się korzystając z nowego hasła i zmień je aby zachować odpowiedni poziom bezpieczeństwa."
"mail04_subject";"Wniosek o dane z #SERVER_NAME#"
"pwreqinfo";"Witaj...<br /><br />Wiadomość została wysłana pod adres zawierająca nowe hasło.<br /><br />Sprawdź pocztę, ponieważ wiadomość ta powinna dojść w przeciągu kilku minut.<br /><br />Rekomendacja:<br /><br />Po otrzymaniu maila powinieneś (powinnaś) zalogować się korzystając z nowego hasła i zmienić je aby zachować odpowiedni poziom bezpieczeństwa."
"editowndata";"Moje konto"
"savedata";"Zapisz zmiany"
"datachanged";"Dane użytkownika zostały zmienione!"
"datachanged_name";"Może być wymagane ponowne zalogowanie."
"myuserdata";"Moje konto"
"verified";"Użytkownik zweryfikowany"
"verified_by_admin";"Zatwierdzony przez administratora"
"user_theme";"Mój wygląd"
"mgv";"MyGedView"
"passwordlength";"Hasło musi zawierać przynajmniej 6 znaków."
"admin_approved";"Twoje konto na #SERVER_NAME# zostało zatwierdzone"
"you_may_login";"przez administratora.  Możesz teraz zalogować się podążając za odnośnikiem poniżej:"
"welcome_text_auth_mode_1";"<b>WITAJ NA TEJ STRONIE GENEALOGICZNEJ</b><br /><br />Dostęp do tej strony mają jedynie osoby posiadające konto użytkownika.<br />Jeżeli już posiadasz takie konto, możesz zalogować się na tej stronie.<br /><br />Jeśli nie posiadasz jeszcze konta możesz ubiegać się o nie klikając na odpowiedni odnośnik poniżej.<br />Po weryfikacji administrator aktywuje twoje konto.<br />Otrzymasz wtedy email z powiadomieniem."
"welcome_text_auth_mode_2";"<b>WITAJ NA TEJ STRONIE GENEALOGICZNEJ</b><br /><br />Dostęp do tej strony mają jedynie <b>autoryzowani</b> użytkownicy.<br />Jeżeli już posiadasz konto, możesz zalogować się na tej stronie.<br /><br />Jeśli nie posiadasz jeszcze konta możesz ubiegać się o nie klikając na odpowiedni odnośnik poniżej.<br />Po weryfikacji administrator zaakceptuje lub odrzuci twój wniosek.<br />Otrzymasz email z powiadomieniem w przypadku akceptacji twojego wniosku."
"welcome_text_auth_mode_3";"<b>WITAJ NA TEJ STRONIE GENEALOGICZNEJ</b><br /><br />Dostęp do tej strony mają jedynie <b>członkowie rodziny</b>.Jeżeli już posiadasz takie konto, możesz zalogować się na tej stronie.<br /><br />Jeśli nie posiadasz jeszcze konta możesz ubiegać się o nie klikając na odpowiedni odnośnik poniżej.<br />Po weryfikacji administrator zaakceptuje lub odrzuci twój wniosek.<br />Otrzymasz email z powiadomieniem w przypadku akceptacji twojego wniosku."
"welcome_text_cust_head";"<b>WITAJ NA TEJ STRONIE GENEALOGICZNEJ</b><br /><br />Dostęp do tej strony mają jedynie osoby posiadające już konta.<br />"
"welcome";"Witaj"
"upcoming_events";"Nadchodzące wydarzenia"
"chat";"Chat"
"users_logged_in";"Użytkownik zalogowany"
"message";"Wyślij wiadomość"
"my_messages";"Moje wiadomości"
"date_created";"Data wysłania:"
"message_from";"Adres eMail:"
"message_from_name";"Twoje imię:"
"message_to";"Wiadomość do:"
"message_subject";"Temat:"
"message_body";"Treść:"
"no_to_user";"Nie podano odbiorcy, nie można kontynuować."
"provide_email";"Podaj swój adres email abyśmy mogli odpowiedzieć na twoją wiadomość. Jeśli go nie podasz, odpowiedź nie będzie możliwa. Twój adres nie zostanie wykorzystany w żadnym innym celu poza wysłaniem odpowiedzi."
"reply";"Odpowiedz"
"message_deleted";"Wiadomość usunięta"
"message_sent";"Wiadomość wysłana"
"reset";"Resetuj"
"site_default";"Domyślne ustawienia strony"
"mygedview_desc";"Strona MyGedView pozwala zapisywać zakładki do najważniejszych osób, śledzić nadchodzące wydarzenia i komunikować się z innymi użytkownikami Genmod."
"no_messages";"Nie masz żadnych wiadomości."
"clicking_ok";"Kliknięcie OK otworzy nowe okno, w którym będziesz mógł (mogła)skontaktować się z #user[fullname]#"
"my_favorites";"Moje zakładki"
"no_favorites";"Nie określiłeś (określiłaś) żadnych zakładek. Aby oznaczyć zakładkę przy danej osobie znajdź jej szczegóły i kliknij "Dodaj do zakładek" lub skorzystaj z formularza poniżej aby dodać zakładkę dla osoby o danym ID."
"add_to_my_favorites";"Dodaj do zakładek"
"no_gedcom_favorites";"W tej chwili administrator nie określił głównych postaci."
"confirm_fav_remove";"Czy na pewno chcesz usunąć ten element z zakładek?"
"invalid_email";"Podaj prawidłowy adres email."
"enter_subject";"Podaj tytuł wiadomości."
"enter_body";"Wpisz tekst wiadomości przed wysłaniem."
"confirm_message_delete";"Czy na pewno chcesz usunąć tą wiadomość? Nie będzie można jej później odzyskać."
"message_email1";"Następująca wiadomość została wysłana do ciebie od "
"message_email2";"Wysłałeś następującą wiadomość do użytkownika Genmod:"
"message_email3";"Wysłałeś następującą wiadomość do administratora Genmod:"
"viewing_url";"Ta wiadomość została wysłana z odnośnika na stronie: "
"random_picture";"Losowe zdjęcie"
"message_instructions";"<b>Uwaga:</b> Informacje na temat osób żyjących będą wyświetlane jedynie dla członków rodziny i bliskich znajomych. Zostaniesz poproszony(a) o zweryfikowanie swojego pokrewieństwa przed otrzymaniem jakichkolwiek danych. Czasami informacje o osobach zmarłych mogą rówmnież zostać zatajone. Dzieje się tak najczęściej wtedy, gdy nie ma wystarczającej ilości informacji do określenia czy osoba ta żyje czy nie.<br /><br />Przed zadaniem pytania sprawdź czy interesujesz się właściwą osobą, sprawdzając daty, miejsca i bliskich krewnych. Jeśli wysyłasz nowe dane genealogiczne dołącz także informacje o źródłach pochodzenia tych danych.<br /><br />"
"sending_to";"Ta wiadomość zostanie wysłana do #TO_USER#"
"preferred_lang";"Ten użytkownik preferuje otrzymywać wiadomości w języku #USERLANG#"
"gedcom_created_on";"Ten GEDCOM został utworzony dnia <b>#DATE#</b>"
"customize_page";"Dostosuj wygląd portalu MyGedView"
"customize_gedcom_page";"Dostosuj tą stronę powitalną"
"upcoming_events_descr";"Blok nadchodzących wydarzeń pokazuje listę zbliżających się rocznic w ciągu najbliższych 30 dni. Na stronie MyGedView blok ten wyświetla jedynie żyjące osoby. Na stronie powitalnej wyświetlone zostaną wszystkie osoby."
"todays_events_descr";"Blok tego dnia w historii pokazuje listę wydarzeń z aktywnego GEDCOM-u, których rocznica przypada na dany dzień. W przypadku braku takich wydarzeń blok nie jest pokazywany. Na stronie MyGedView blok ten wyświetla jedynie żyjące osoby. Na stronie powitalnej wyświetlone zostaną wszystkie osoby."
"logged_in_users_descr";"Blok zalogowanych użytkowników zawiera listę innych osób, które aktualnie zalogowały się w systemie."
"user_messages_descr";"Blok wiadomości użytkownika zawiera listę wiadomości, które zostały wysłane do użytkownika."
"user_favorites_descr";"Blok zakładek użytkownika pokazuje listę wybranych przez niego osób, do których chciałby mieć szybki dostęp."
"welcome_descr";"Blok powitania użytkownika pokazuje aktualną datę i czas, odnośniki do zmiany ustawień konta i wykresu rodowego użytkownika oraz do dostosowania strony MyGedView."
"random_media_descr";"Blok losowych multimediów wyświetla pojedyncze zdjęcie lub inny obiekt medialny z aktywnego GEDCOM-u, wraz z przypisaną mu osobą."
"gedcom_descr";"Blok powitania GEDCOMu działa tak samo jak Blok powitania użytkownika, wyświetlając powitanie na stronie oraz tytuł aktywnego GEDCOMu i aktualną datę i czas."
"gedcom_favorites_descr";"Blok głównych postaci GEDCOMu pozwala administratorowi określić, które jego zdaniem osoby są najważniejsze, aby odwiedzający mogli łatwo do nich dotrzeć. Jest to sposób wyróżnienia szczególnych członków rodziny."
"gedcom_stats_descr";"Blok statystyk GEDCOMu zawiera kilka podstawowych informacji o pliku GEDCOM, takich jak data utworzenia i ilość ludzi w nim spisanych."
"portal_config_intructions";"Tutaj możesz dostosować stronę zmieniając pozycje bloków. Strona podzielona jest na dwie sekcje, 'Główną' i 'Prawą'. Bloki sekcji głównej są większe i umieszczone tuż pod tytułem. Sekcja prawa zaczyna się na prawo od tytułu i na całej swej długości pozostaje z prawej strony. Każda sekcja ma swoją listę bloków, które zostaną wyświetlone w kolejności występowania na liście. Możesz dodawać, usuwać i reorganizować bloki w dowolny sposób."
"login_descr";"Blok logowania zawiera formularz logowania użytkowników."
"block_top10_title";"Najczęściej występujące nazwiska"
"block_top10_descr";"Ten blok pokazuje listę 10 najczęsciej występujących nazwisk w tej bazie danych"
"gedcom_news_descr";"Blok wiadomości GEDCOM pokazuje artykuły napisane przez użytkowników lub administratora. Jest to dobre miejsce na ogłoszenie aktualizacji w pliku lub zjazdu rodzinnego."
"user_news_descr";"Blok dziennika użytkownika pozwala przechowywać notatki lub prowadzić dziennik."
"my_journal";"Mój dziennik"
"no_journal";"Nie utworzyłeś(utworzyłaś) żadnych wpisów w dzienniku."
"confirm_journal_delete";"Czy na pewno chcesz usunąć ten wpis?"
"add_journal";"Dodaj nowy wpis do dziennika"
"confirm_news_delete";"Czy na pewno chcesz usunąć tą wiadomosć?"
"add_news";"Dodaj wiadomość"
"no_news";"Nie dodano żadnych wiadomości."
"edit_news";"Dodaj/Zmień wpis do dziennika/wiadomości"
"enter_title";"Podaj tytuł."
"enter_text";"Wpisz jakiś tekst dla tego artykułu."
"news_saved";"Wpis do dziennika/wiadomości został zapisany."
"article_text";"Treść wpisu:"
"main_section";"Bloki głównej sekcji"
"right_section";"Bloki prawej sekcji"
"move_up";"W górę"
"move_down";"W dół"
"move_right";"W prawo"
"move_left";"W lewo"
"broadcast_all";"Wyślij do wszystkich użytkowników"
"hit_count";"Odwiedzin:"
"Genmod_message";"Wiadomość Genmod"
"common_surnames";"Najczęściej występujące nazwiska"
"default_news_title";"Witaj w swojej genealogii"
"default_news_text";"Informacje genealogiczne na tej stronie są wyświetlane przez <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a>. Ta strona jest wprowadzeniem i przeglądem wszystkich informacji. Aby rozpocząć pracę z danymi wybierz jeden z wykresów powyżej, przejdź do listy osób lub poszukaj nazwiska czy miejsca.<br /><br />Jeśli napotkasz problemy przy korzystaniu ze strony, możesz w każdej chwili uzyskać pomocne informacje dotyczące danego działu z menu pomocy.<br /><br />Dziękujemy za odwiedziny."
"reset_default_blocks";"Zresetuj do domyślnych bloków"
"recent_changes";"Ostatnie zmiany"
"recent_changes_descr";"Blok ostatnich zmian zawiera listę modyfikacji, jakim podlegał GEDCOM w ciągu ostatniego miesiąca. Może on pomóc pozostać na bierząco z nowymi informacjami dodawanymi do pliku. Zmiany są wykrywane na podstawie znaczników CHAN."
"delete_selected_messages";"Usuń wybrane wiadomości"
"use_blocks_for_default";"Użyj tych bloków jako domyślną konfigurację dla wszystkich użytkowników."
"performing_validation";"Kontrola poprawności GEDCOMu, wybierz konieczne opcje i kliknij 'Oczyszczanie'"
"changed_mac";"Wykryto zakończenia linii w formacie Macintosh. Linie zakończone jedynie przez znak powrotu karetki zostały uzupełnione o znak zakończenia."
"changed_places";"Wykryto miejsca z nieprawidłowym kodowaniem. Oczyszczono rekordy aby dostosować plik do specyfikacji GEDCOM 5.5. Oto przykład z twojego gedcomu:"
"invalid_dates";"Wykryto nieprawidłowy format daty. Podczas oczyszczania zostanie poprawiony do formatu DD MMM RRRR (np. 1 JAN 2004)."
"valid_gedcom";"Wykryto prawidłowy GEDCOM. Oczyszczanie nie jest porzebne."
"optional_tools";"Możesz również wybrać uruchomienie jednego z opcjonalnych narzędzi przed importowaniem."
"optional";"Opcjonalne narzędzia"
"day_before_month";"Dzień przed miesiącem (DD MM RRRR)"
"month_before_day";"Miesiąc przed dniem (MM DD RRRR)"
"do_not_change";"Bez zmian"
"change_id";"Zmień ID osoby na:"
"example_date";"Przykład nieprawidłowej daty w twoim GEDCOM-ie:"
"add_media_tool";"Narzędzie dodawania multimediów"
"launch_media_tool";"Kliknij aby uruchomić narzędzie dodawania multimediów."
"add_media_descr";"To narzędzie doda znaczniki multimediów OBJE do gedcomu. Zamknij to okno kiedy skończysz dodawać multimedia."
"highlighted";"Zaznaczony obraz"
"extension";"Rozszerzenie"
"order";"Porządek"
"inject_media_tool";"Dodaj media do pliku GEDCOM"
"media_table_created";"Tabela <i>multimediów</i> została zaktualizowana."
"click_to_add_media";"Kliknij aby dodać multimedia z listy do GEDCOM-u #GEDCOM#"
"adds_completed";"Multimedia zostały dodane do pliku GEDCOM."
"ansi_encoding_detected";"Wykryto kodowanie znaków w pliku w standardzie ANSI. Genmod działa najlepiej z plikami zakodowanymi w UTF-8."
"invalid_header";"Wykryto linie przed nagłówkiem GEDCOM-u (0 HEAD). Podczas oczyszczania zostaną one usunięte."
"macfile_detected";"Wykryto plik w formacie Macintosha. Podczas oczyszczania zostanie skonwertowany do formatu DOS."
"place_cleanup_detected";"Wykryto miejsca z nieprawidłowym kodowaniem. Te błędy trzeba skorygować. Poniżej pokazany jest przykład wykrytego błędu: "
"cleanup_places";"Miejsca do oczyszczenia"
"empty_lines_detected";"Wykryto puste linie w pliku GEDCOM. Podczas oczyszczania zostaną one usunięte."
"choose_report";"Wybierz raport do utworzenia"
"enter_report_values";"Wpisz wartości raportu"
"selected_report";"Wybrany raport"
"run_report";"Pokaż raport"
"select_report";"Wybierz raport"
"download_report";"Ściągnij raport"
"pdf_reports";"Raporty PDF"
"html_reports";"Raporty HTML"
"family_group_report";"Raport grupy rodzinnej"
"page";"Strona"
"of";"z"
"enter_famid";"Wprowadź ID rodziny"
"show_notes";"Pokazać notatki ?"
"show_basic";"Pokaż zdarzenia nawet jeżeli puste"
"show_photos";"Pokazać zdjęcia ?"
"individual_report";"Raport indywidualny"
"enter_pid";"Wprowadź ID osoby"
"individual_list_report";"Raport listy osób"
"generated_by";"Utworzony przez"
"list_children";"Pokaż dzieci według daty urodzenia."
"birth_report";"Raport dat i miejsc urodzenia"
"birthplace";"Miejsce urodzenia zawiera"
"birthdate1";"Początek zakresu dat urodzenia"
"birthdate2";"Koniec zakresu dat urodzenia"
"sort_by";"Sortuj w/g"
"cleanup";"Oczyszczanie"
"skip_cleanup";"Pomiń oczyszczanie"
"dynasty_list";"Przegląd rodzin"
"make_slklist";"Utwórz listę EXCEL (SLK)"
"excel_list";"Utwórz w formacie EXCEL (SLK) z poniższych plików (najpierw użyj listę patriarchów):"
"excel_tab";"tabulator:"
"excel_create";"zostanie utworzone w pliku:"
"slk_list";"Lista SLK z EXCELa"
"statistics";"Statystyki"
"merge_records";"Łączenie rekordów"
"merge_same";"Rekordy nie są tego samego typu dlatego nie można ich połączyć."
"merge_step1";"Krok 1 z 3 łączenia"
"merge_step2";"Krok 2 z 3 łączenia"
"merge_step3";"Krok 3 z 3 łączenia"
"select_gedcom_records";"Wybierz 2 rekordy gedcomu do połączenia; rekordy muszą być tego samego typu."
"merge_to";"Łącz do ID: "
"merge_from";"Łącz od ID: "
"merge_facts_same";"Następujące fakty były identyczne w obu rekordach więc zostaną połączone"
"no_matches_found";"Nie znaleziono faktów"
"unmatching_facts";"Następujące fakty nie są zgodne. Wybierz informację którą chcesz zachować."
"record";"Rekord"
"adding";"Dodawanie"
"updating_linked";"Uaktualnienie połączonych rekordów"
"merge_more";"Połącz więcej rekordów"
"same_ids";"Zostały wybrane te same ID, nie można łączyć tych samych rekordów."
"gen_ancestry_chart";"#PEDIGREE_GENERATIONS# pokoleniowy wykres potomków"
"chart_style";"Styl wykresu"
"show_cousins";"Pokaż kuzynów"
"sosa_2";"Ojciec"
"sosa_3";"Matka"
"sosa_4";"Dziadek"
"sosa_5";"Babka"
"sosa_6";"Dziadek"
"sosa_7";"Babka"
"sosa_8";"pradziadek"
"sosa_9";"prababka"
"sosa_10";"pradziadek"
"sosa_11";"prababka"
"sosa_12";"pradziadek"
"sosa_13";"prababka"
"sosa_14";"pradziadek"
"sosa_15";"prababka"
"sosa_16";"pra pradziadek"
"sosa_17";"pra prababka"
"sosa_18";"pra pradziadek"
"sosa_19";"pra prababka"
"sosa_20";"pra pradziadek"
"sosa_21";"pra prababka"
"sosa_22";"pra pradziadek"
"sosa_23";"pra prababka"
"sosa_24";"pra pradziadek"
"sosa_25";"pra prababka"
"sosa_26";"pra pradziadek"
"sosa_27";"pra prababka"
"sosa_28";"pra pradziadek"
"sosa_29";"pra prababka"
"sosa_30";"pra pradziadek"
"sosa_31";"pra prababka"
"sosa_32";"pra pra pradziadek"
"sosa_33";"pra pra prababka"
"sosa_34";"pra pra pradziadek"
"sosa_35";"pra pra prababka"
"sosa_36";"pra pra pradziadek"
"sosa_37";"pra pra prababka"
"sosa_38";"pra pra pradziadek"
"sosa_39";"pra pra prababka"
"sosa_40";"pra pra pradziadek"
"sosa_41";"pra pra prababka"
"sosa_42";"pra pra pradziadek"
"sosa_43";"pra pra prababka"
"sosa_44";"pra pra pradziadek"
"sosa_45";"pra pra prababka"
"sosa_46";"pra pra pradziadek"
"sosa_47";"pra pra prababka"
"sosa_48";"pra pra pradziadek"
"sosa_49";"pra pra prababka"
"sosa_50";"pra pra pradziadek"
"sosa_51";"pra pra prababka"
"sosa_52";"pra pra pradziadek"
"sosa_53";"pra pra prababka"
"sosa_54";"pra pra pradziadek"
"sosa_55";"pra pra prababka"
"sosa_56";"pra pra pradziadek"
"sosa_57";"pra pra prababka"
"sosa_58";"pra pra pradziadek"
"sosa_59";"pra pra prababka"
"sosa_60";"pra pra pradziadek"
"sosa_61";"pra pra prababka"
"sosa_62";"pra pra pradziadek"
"sosa_63";"pra pra prababka"
"gen_fan_chart";"#PEDIGREE_GENERATIONS# Pokoleniowy wykres kołowy"
"fan_width";"rozmiar wykresu"
"gd_library";"Źle skonfigurowany serwer PHP : wymagana biblioteka GD by używać funkcji obrazkowych."
"gd_freetype";"Źle skonfigurowany serwer PHP : wymagana jest biblioteka Freetype do obsługi czcionek TrueType."
"fontfile_error";"Plik czcionki nie znaleziony na serwerze"
"rss_descr";"Najnowsze wiadomości i linki ze strony #GEDCOM_TITLE#"
"friend";"Przyjaciel"
"godfather";"Ojciec chrzestny"
"godmother";"Matka chrzestna"
"informant";"Informator"
"lodger";"Lokator"
"nurse";"Pielęgniarka"
"priest";"Ksiądz"
"rabbi";"Rabin"
"servant";"Służący"
"twin_brother";"Brat bliźniak"
"twin_sister";"Siostra bliźniaczka"
"witness";"Świadek"
"statutci";"Nie można utworzyć indeksu"
"statnnames";"Liczba nazwisk ="
"statnfam";"Liczba rodzin ="
"statnmale";"Liczba mężczyzn ="
"statnfemale";"Liczba kobiet ="
"statlxa";"na osi x:"
"statlya";"na osi y:"
"statlza";"na osi z:"
"stat_11_mb";"Miesiąc narodzin"
"stat_12_md";"Miesiąc śmierci"
"stat_13_mm";"Miesiąc ślubu"
"stat_15_mm1";"Miesiąc pierwszego ślubu"
"stat_16_mmb";"Miesiąc między ślubem a pierwszym dzieckiem"
"stat_21_nok";"ilość dzieci"
"stat_201_num";"liczby"
"stat_202_perc";"procenty"
"stat_301_mf";"mężczyzna/kobieta"
"statmess1";"|<b>Wypełnij następny rząd zależnie od wcześniejszych ustawień na osi x lub osi z</b>|"
"statsubmit";"pokaż wykres"
"stpl";"..."
"stplGDno";"Biblioteka wyświetlania grafiki (Graphics Display Library) nie jest dostępna w PHP 4.Skontaktuj się z twoim administratorem systemu."
"stpljpgraphno";"Moduł JPgraph nie jest dostępny  w katalogu Genmod/jpgraph/ . Proszę zciągnąć ze stronyfrom http://www.aditus.nu/jpgraph/jpdownload.php<br> <h3>Najpierw zainstaluj l JPgraph w katalogu Genmod/jpgraph/</h3><br>";$gm_lang["stplinfo"] = "Informacje rysowania:"
"stplinfo";"zmienne wykresu:"
"stpltype";"typ:"
"stplmonth";"miesiąc"
"stplage";"wiek"
"stplperc";"procenty"
"maybe";"Może"
"definitions";"Definicje"
"options";"Opcje:"
"help_header";"Informacje o:"
