"select_an_option";"Gjør et valg under:"
"updating_family_names";"Oppdaterer familienavn for FAM"
"processed_for";"Behandlet fil for "
"run_tools";"Vil du utføre en av disse valgene før filen blir importert:"
"addmedia";"Legg til bilder / medier"
"dateconvert";"Dato konverterings-rutine"
"xreftorin";"Konvertere XREF-IDer til RIN-nummer"
"tools_readme";"Se verktøy/rutine-delen i <a href="readme.txt" target="_blank">readme.txt</a>-filen for mer informasjon."
"sec";"sek."
"bytes_read";"Bytes lest:"
"created_indis";"Opprettet tabellen <i>Personer</i>."
"created_indis_fail";"Klarte ikke å opprette tabellen <i>Personer</i>!"
"created_fams";"Opprettet tabellen <i>Familier</i>."
"created_fams_fail";"Klarte ikke å opprette tabellen <i>Familier</i>!"
"created_sources";"Opprettet tabellen <i>Kilder</i>."
"created_sources_fail";"Klarte ikke å opprette tabellen <i>Kilder</i>!"
"created_other";"Opprettet tabellen <i>Annet</i>."
"created_other_fail";"Klarte ikke å opprette tabellen <i>Annet</i>!"
"created_places";"Opprettet tabellen <i>Steder</i>."
"created_places_fail";"Klarte ikke å opprette tabellen <i>Steder</i>!"
"created_placelinks";"Opprettet tabellen  <i>Stedshenvisninger</i>."
"created_placelinks_fail";"Klarte ikke å opprette tabellen <i>Stedhenvisninger</i>."
"created_media_fail";"Klarte ikke å opprette tabellen <i>Media</i>."
"created_media_mapping_fail";"Klarte ikke å opprette tabellen <i>Mediamapper</i>."
"created_gedcoms_fail";"Klarte ikke å opprette tabellen <i>Slektsdata</i>."
"created_counters_fail";"Klarte ikke å opprette tabellen <i>Tellere</i>."
"created_gedconf_fail";"Klarte ikke å opprette tabellen <i>Slektsdata-konfigurasjon</i>."
"created_privacy_fail";"Klarte ikke å opprette tabellen <i>Personvern</i>."
"import_progress";"Import utført..."
"total_fams";"Antall familier"
"total_indis";"Antall personer"
"starts_with";"Starter med:"
"person_list";"Personliste:"
"paste_person";"Legg inn person"
"notes_sources_media";"Noter, kilder, og media"
"notes";"Noter"
"ssourcess";"Kilder"
"media";"Bilder / medier"
"name_contains";"Navn inneholder:"
"filter";"Søk"
"find_individual";"Finn person"
"find_familyid";"Finn familie"
"find_sourceid";"Finn kilde"
"find_specialchar";"Finn spesielle bokstaver"
"magnify";"Forstørr"
"skip_surnames";"Vis utvidet liste"
"show_surnames";"Vis kun etternavn"
"all";"ALLE"
"hidden";"Skjulte"
"confidential";"Fortrolig"
"alpha_index";"Alfabetisk indeks"
"name_list";"Navneliste"
"firstname_alpha_index";"Alfabetisk indeks fornavn"
"husband_added";"Ektemann er nå lagt til."
"wife_added";"Hustru er nå lagt til."
"link_exists";"En referense finnes fra før."
"delete_indi";"Slett person"
"age";"Alder"
"days";"dager"
"months";"måneder"
"years";"år"
"day1";"dag"
"month1";"måned"
"year1";"år"
"timeline_title";"Genmod tidslinje"
"remove_person";"Fjern person"
"show_age";"Vis markør for alder"
"add_another";"Legg til en person på tidslinjen:<br />Person ID:"
"find_id";"Finn ID"
"show";"Vis"
"year";"År"
"timeline_instructions";"- <i><b>PS!</b>  Du kan flytte på boksene under ved hjelp av musa!</i> (I de nyeste nettleserne)"
"zoom_in";"Zoom inn"
"zoom_out";"Zoom ut"
"select_an_option";"Alternativer:"
"readme_documentation";"ReadMe-dokumentasjon (Engelsk)"
"view_readme";"Vis filen readme.txt"
"configuration";"Program-innstillinger"
"rebuild_indexes";"Lag indeksene på nytt"
"user_admin";"Brukere og rettigheter"
"inc_languages";"Språk"
"user_created";"Bruker er opprettet."
"user_create_error";"Bruker kan ikke opprettes. Gå tilbake og prøv på nytt."
"password_mismatch";"De to passordene er forskjellige."
"enter_username";"Du må oppgi et brukernavn."
"enter_fullname";"Du må oppgi et fullt navn."
"enter_password";"Du må oppgi et passord."
"confirm_password";"Du må bekrefte passordet."
"update_user";"Oppdater brukerkonto"
"update_myaccount";"Oppdater Min konto"
"save";"Lagre"
"delete";"Slett"
"edit";"Endre"
"full_name";"Fullt navn"
"visibleonline";"Vis andre at du er pålogget"
"comment";"Kommentar fra admin til bruker"
"comment_exp";"Advarsel fra admin om dato"
"editaccount";"Gi denne brukeren rettighet til å endre brukerkontoen sin"
"admin_gedcom";"Administrere"
"confirm_user_delete";"Er du sikker på at du vil slette brukeren"
"create_user";"Opprett bruker"
"no_login";"Bruker kan ikke godkjennes."
"import_gedcom";"Importer en slektsfil"
"duplicate_username";"NB!! Det finnes allerede et slikt brukernavn. Gå tilbake og velg et annet brukernavn."
"gedcomid";"Bruker ID<br />i slektsbasen"
"enter_gedcomid";"Du må oppgi en ID."
"user_info";"Min brukerinformasjon"
"rootid";"ID til startperson<br />i slektsbasen"
"download_gedcom";"Laste ned (download) slektsfil (GEDCOM)"
"upload_gedcom";"Hente (upload) slektsfil(er) (GEDCOM)"
"add_new_gedcom";"Lag en ny slektsfil"
"gedcom_file";"Slektsfil:"
"enter_filename";"Du må oppgi et navn for slektsfilen."
"file_not_exists";"Oppgitt filnavn finnes ikke!"
"file_not_present";"Filen finnes ikke."
"file_exists";"Det finnes allerede en slektsfil med dette navnet. Velg et annet navn, eller slett den gamle filen."
"new_gedcom_title";"Slektsbase fra [#GEDCOMFILE#]"
"upload_error";"Det oppstod en FEIL under henting (upload) av filen din."
"add_gedcom_instructions";"Tast inn et filnavn for denne nye slektsfilen (GEDCOM). Den blir opprettet i mappen index:"
"file_success";"Filen er lastet opp"
"file_too_big";"Opplastet fil overskrider tillatt størrelse"
"file_partial";"Filen ble bare delvis lastet opp, forsøk på nytt"
"file_missing";"Det ble ikke mottatt noen fil. Hent filen på nytt."
"manage_gedcoms";"Slektsfil(er) og personvern"
"research_log";"Forsknings-logg"
"administration";"Administrasjon"
"ansi_to_utf8";"Konvertere fra ANSI til UTF-8 tegnsett?"
"utf8_to_ansi";"Konvertere fra UTF-8 til ANSI tegnsett?"
"visitor";"Besøkende"
"user";"Godkjent bruker"
"gedadmin";"Administrator av slektsfilen"
"siteadmin";"Administrator av nettstedet"
"apply_privacy";"Legge til nye innstillinger for personvern?"
"choose_priv";"Velg nivå for personvern:"
"user_manual";"Brukerdokumentasjon"
"upgrade";"Oppgrader Genmod"
"view_logs";"Vis logg-fil "
"logfile_content";"Innhold i logg-filen"
"step1";"Del 1 av 4:"
"step2";"Del 2 av 4:"
"step3";"Del 3 av 4:"
"step4";"Del 4 av 4:"
"validate_gedcom";"Sjekker kvaliteten til slektsfilen"
"download_note";"NB! Store slektsfiler (GEDCOM) kan ta lang tid å forberede før en nedlastning (download).  Dersom PHP melder at tiden har gått ut før nedlastningen er ferdig, så kan det være at du ikke har mottatt hele filen.  For å sjekke om den nedlastede slektsfilen er korrekt, kan se om filen inneholder linjen <b>0 TRLR</b> på slutten.  Som en tommelfinger-regel vil tiden det tar å laste ned slektsfilen, være like lang som det tok å importere den (avhengig av hastigheten på internett-tilkoblingen din)."
"gm_registry";"Vis andre nettsteder som bruker Genmod"
"verify_upload_instructions";"Dersom du velger å fortsette, vil den eksisterende slektsfilen bli erstattet med den filen som du har valgt å laste opp. Den nye filen vil deretter bli importert inn i Genmod.<br />Velger du å avbryte, vil den eksisterende slektsfilen forbli uforandret."
"cancel_upload";"Avbryt opplastingen (upload)"
"add_media_records";"Legg til nye Media-oppføringer"
"manage_media_files";"Behandle Media-filer"
"link_media_records";"Knytt media-objekt til personer"
"add_media_button";"Legg til Media"
"media_linked";"Dette media-objektet er knyttet til:"
"media_not_linked";"Dette media-objektet er ikke knyttet til noe(n) i slektsfilen."
"phpinfo";"PHPInfo"
"admin_info";"Informasjon"
"admin_geds";"Data- og slektsfil-administrasjon"
"admin_site";"Administrasjon av nettstedet"
"person1";"Person 1 "
"person2";"Person 2 "
"no_link_found";"- Kan ikke finne flere slektslinjer mellom de to personene!"
"sibling";"Søsken"
"follow_spouse";"Finn slektslinje via giftemål"
"timeout_error";"FEIL: Fant ikke noen slektslinje innenfor fastsatt søketid."
"son";"Sønn"
"daughter";"Datter"
"son-in-law";"Svigersønn"
"daughter-in-law";"Svigerdatter"
"grandchild";"Barnebarn"
"grandson";"Barnebarn (gutt)"
"granddaughter";"Barnebarn (jente)"
"brother";"Bror"
"sister";"Søster"
"brother-in-law";"Svoger"
"sister-in-law";"Svigerinne"
"aunt";"Tante"
"uncle";"Onkel"
"firstcousin";"Søskenbarn"
"femalecousin";"Kustine"
"malecousin";"Fetter"
"cousin-in-law";"Søskenbarn til ektefelle"
"relationship_to_me";"Slektskap til deg"
"rela_husb";"Slektskap til ektemann"
"rela_wife";"Slektskap til hustru"
"next_path";"Finn neste slektslinje"
"show_path";"Slektslinje"
"line_up_generations";"Vis like slektsledd på linje"
"oldest_top";"Vis de eldste øverst"
"check_delete";"Er du sikker på at du vil slette disse slektsdataene?"
"access_denied";"<h3><b>Ingen adgang!</b></h3><br />Du har ikke tilgang til denne delen."
"gedrec_deleted";"Oppføringen i slektsfilen er nå slettet."
"gedcom_deleted";"Slektsfilen [#GED#] er nå slettet."
"changes_exist";"Det er gjort endringer i denne slektsbasen."
"accept_changes";"Godta / Avvis endring(ene)"
"reject";"Avvis"
"change_type";"Endre type"
"edit_raw";"Endre opplysninger direkte i slektsfilen"
"edit_gender";"Rediger kjønn"
"show_changes";"Denne oppføringen er blitt oppdatert. Klikk her for å se endring(ene)."
"hide_changes";"Klikk her for å skjule endringer."
"review_changes";"Vis endringer i slektsbasen"
"reject_successful";"Avvisning er utført"
"undo";"Angre"
"view_change_diff";"Vis endring(er), forskjell(er)"
"changes_occurred";"Følgende endring(er) er gjort for denne personen:"
"find_place";"Finn stedsnavn"
"refresh";"Oppdater"
"close_window";"Lukk vinduet"
"close_window_without_refresh";"Lukk vinduet uten å oppdatere skjermen"
"place_contains";"Stedsnavn inneholder:"
"accept_gedcom";"Bestem deg for om du vil godkjenne eller avvise de enkelte endringene.<dl><dt>For å godta <i>alle</i> endringene på en gang</dt><dd>Klikk på linken "Godkjenn alle endringer" i boksen under.</dd><dt>For å få mer informasjon om en endring kan du klikke på:</dt><dd><li>"Vis endring(er), forskjell(er)" for å se på forskjellen mellom gammelt og nytt innhold.<br /><li>"Vis opplysningene i slektsfilen" for å se på det nye innholdet i slektsfil-oppsett (GEDCOM).</dd></dl>"
"ged_import";"Importer"
"now_import";"Nå bør du importere innholdet i slektsfilen til Genmod ved å klikke på linken "Importer" nedenfor."
"add_fact";"Legg til nye fakta"
"add";"Legg til"
"custom_event";"Egendef. hendelse"
"update_successful";"Oppdatering er utført"
"add_child";"Legg til barn"
"add_child_to_family";"Legg til et barn til denne familien"
"add_sibling";"Legg til en bror eller søster"
"add_son_daughter";"Legg til en sønn eller datter"
"must_provide";"Du må sørge for et "
"delete_person";"Slett denne personen"
"confirm_delete_person";"Er du sikker på at du vil slette denne personen fra slektsbasen?"
"find_media";"Finn media"
"set_link";"Lag kobling"
"add_source_lbl";"Legg til kildehenvisning"
"add_source";"Legg til en ny kildehenvisning"
"add_note_lbl";"Legg til note"
"add_note";"Legg til en ny note"
"add_media_lbl";"Legg til bilder/andre medier"
"add_media";"Legg til en ny bilde- / mediefil"
"delete_source";"Slett denne kilden"
"confirm_delete_source";"Er du sikker på at du vil slette denne kilden fra slektsbasen?"
"add_husb";"Legg til ektemann"
"add_husb_to_family";"Legg til en ektemann/far til denne familien"
"add_wife";"Legg til hustru"
"add_wife_to_family";"Legg til en hustru/mor til denne familien"
"find_family";"Finn familie"
"find_fam_list";"Finn Familieliste"
"add_new_wife";"Legg til en ny hustru"
"add_new_husb";"Legg til en ny ektemann"
"edit_name";"Rediger navn"
"delete_name";"Slett navn"
"no_temple";"Ingen Tempel-Living tilordning"
"replace";"Erstatt oppføring"
"append";"Legg til en ny oppføring"
"add_father";"Legg til en ny far"
"add_mother";"Legg til en ny mor"
"add_obje";"Legg til et nytt bilde / media"
"no_changes";"Det er ikke noen endringer som det er nødvendig å vise på nytt."
"accept";"Godta"
"accept_all";"Godkjenn alle endringer"
"accept_successful";"Godkjente endringer er lagt til databasen"
"select_date";"Velg en dato"
"create_source";"Opprett en ny kilde"
"new_source_created";"Den nye kilden er lagret!"
"paste_id_into_field";"Legg inn følgende kilde-ID inn i endringsfeltet som en referanse til denne kilden "
"add_name";"Legg til nytt navn"
"privacy_not_granted";"Du har ikke tilgang til"
"user_cannot_edit";"Dette brukernavnet har ikke rettigheter til å endre denne slektsbase."
"gedcom_editing_disabled";"Muligheten til å gjøre endringer i denne slektsbase er blitt deaktivert av system-administratoren."
"privacy_prevented_editing";"På grunn av hensyn til personvern, kan du ikke endre opplysningene."
"add_asso";"Legg til en ny tilknyttet person"
"edit_sex";"Endre kjønn"
"ged_noshow";"Denne siden er deaktivert av administratoren til nettstedet."
"bdm";"Fødselsdager, dødsfall og giftemål"
"on_this_day";"Årsdag for hendelser i slekten..."
"in_this_month";"Årsdager for hendelser i slekten..."
"in_this_year";"Hendelser i slekten..."
"year_anniversary";"#year_var#. årsdag"
"today";"I dag"
"day";"Dag"
"month";"Måned"
"showcal";"Vis hendelser for"
"sunday";"søndag"
"monday";"mandag"
"tuesday";"tirsdag"
"wednesday";"onsdag"
"thursday";"torsdag"
"friday";"fredag"
"saturday";"lørdag"
"all_people";"Alle personer"
"living_only";"Nålevende personer"
"recent_events";"De siste 100 årene"
"day_not_set";"Dag ikke angitt"
"year_error";"Beklager, datoer før 1970 støttes ikke."
"lost_password";"Glemt passordet ditt?"
"requestpassword";"Be om nytt passord"
"no_account_yet";"Har du ikke <b>egen</b> konto enda!?"
"requestaccount";"Søke om brukerkonto"
"emailadress";"Epost-adresse"
"mandatory";"Felt merket med * må fylles ut."
"mail01_line01";"Hei #user_fullname# ..."
"mail01_line02";"En anmodning er gjort på ( #SERVER_NAME# ) om å få en brukerkonto med din epost-adresse ( #user_email# )."
"mail01_line03";"Opplysningene om deg ble gitt ved forespørsel om brukerkonto."
"mail01_line04";"Vennligst klikk på linken under og fyll ut riktige data for å bekrefte kontoen og epost-adressen din."
"mail01_line05";"Dersom du ikke har bedt om å få en konto, kan du bare slette denne e-posten."
"mail01_line06";"Du vil ikke få tilsendt flere e-poster herfra, fordi kontoen vil bli slettet etter 7 dager dersom den ikke bekreftes."
"mail01_subject";"Din registrering hos #SERVER_NAME#"
"mail02_line01";"Hei administrator ..."
"mail02_line02";"En ny bruker har registreret seg hos ( #SERVER_NAME# )."
"mail02_line03";"Brukeren har fått tilsendt en e-post med de nødvendige data for å bekrefte ønske om konto."
"mail02_line04";"Så snart brukeren har bekreftet kontoen, vil du få en epost der du blir bedt om å gi denne brukeren tillatelse til å få en konto."
"mail02_line04a";"Så snart brukeren har bekreftet kontoen, vil du få en epost om dette.  Brukeren vil nå kunne logge seg inn uten at du trenger å gjøre noe."
"mail02_subject";"Ny registrering på #SERVER_NAME#"
"hashcode";"Kontrollkode:"
"thankyou";"Hei #user_fullname# og takk for søknaden din om å få en brukerkonto."
"pls_note06";"Du vil nå få tilsendt en bekreftelses-epost til adressen ( #user_email# ).<br />Ved hjelp av denne e-posten kan du aktivere kontoen din. Dersom du ikke aktiverer kontoen din innen 7 dager, vil den bli slettet (du kan registrere kontoen igjen etter de 7 dagene, om du ønsker det). For å logge deg inn på dette nettstedet, kreves det at du oppgir et brukernavn og passord.<br /><br /><br /><br />"
"pls_note06a";"Vi vil nå sende en bekreftelse på e-post til adressen ( #user_email# ). Du må bekrefte ønske ditt om å få en konto ved å følge instruksene i i e-posten. Dersom du ikke bekrefter ønsket om å få en konto innen 7 dager, vil ønsket om en konto bli avslått automatisk.  Dersom senere ønsker å få en ny konto, må du søke på nytt.<br /><br />Etter at du har fulgt instruksjonene i bekreftelses-e-posten, kan du logge deg inn.  For å logge deg inn på denne nettsiden, kreves det at du oppgir brukernavnrt og passordet ditt.<br /><br />"
"registernew";"Bekreftelse av ny konto"
"user_verify";"Bruker-godkjenning"
"send";"Send"
"pls_note07";"Oppgi det brukernavnet, passordet og kontrollkoden du fikk tilsendt pr. epost fra dette nettstedet som en bekreftelse på søknaden din."
"pls_note08";"Informasjonen om brukeren <b>#user_name#</b> er sjekket."
"mail03_line01";"Hei administrator ..."
"mail03_line02";"#newuser[username]# ( #newuser[fullname]# ) har bekreftet ønsket om å få en brukerkonto."
"mail03_line03";"Klikk på linken "Admin" på siden "Logg inn" på Genmod for å godkjenne den nye brukeren på nettstedet ditt."
"mail03_line03a";"Du behøver ikke forta deg noe; brukeren kan nå logge seg inn."
"mail03_subject";"Ny bekreftelse fra #SERVER_NAME#"
"pls_note09";"Du er gjenkjent som en søker på dette nettstedet."
"pls_note10";"Administratoren til nettstedet har fått beskjed om søknaden.<br />Så snart vedkommende har godkjent kontoen din,<br />kan du logge deg inn med ditt brukernavn og passord."
"pls_note10a";"Du kan nå logge deg inn med brukernavnet og passordet ditt."
"data_incorrect";"Data var ugyldig!<br />- Prøv igjen!"
"user_not_found";"Kunne ikke gjenkjenne opplysningene du oppga! Gå tilbake og prøv igjen."
"lost_pw_reset";"Nytt passord"
"pls_note11";"For å få et nytt passord, må du oppgi brukernavnet og epost-adressen til brukerkontoen din. <br /><br />Vi vil deretter sende deg en epost med en spesiell internettadresse, som inneholder en bekreftelses-kode for kontoen din.<br />På denne internettsiden vil du kunne endre passordet for å få tilgang til brukersiden din igjen.<br />Av sikkerhetsgrunner, bør du ikke vise denne bekreftelses-koden til noen, inkludert administrator(ene) til denne siden (vi vil heller ikke spørre etter den).<br /><br />Dersom du ønsker å få mer hjelp vedrørende dette, så kontakt administrator."
"enter_email";"Du må oppgi en epost-adresse."
"mail04_line01";"Hei #user_fullname# ..."
"mail04_line02";"Det ble bestilt et nytt passord til brukernavnet ditt!"
"mail04_line03";"Anbefaling:"
"mail04_line04";"Vennligst klikk på linken under. Logg deg inn med det nye passordet. Du bør så angi et nytt passord for å verne om sikkerheten til dataene dine."
"mail04_line05";"Etter at du har logget deg inn, velg da valget '#gm_lang[myuserdata]#' i menyen '#gm_lang[mygedview]#' og fyll ut passordfeltet for å endre passordet ditt."
"mail04_subject";"Data anmodning fra #SERVER_NAME#"
"pwreqinfo";"Hei...<br /><br />En epost med det nye passordet ble sendt til epost-adressen.<br /><br />Vær vennlig å sjekk epost-kontoen din om noen minutter.<br /><br />Anbefaling:<br /><br />Etter at du har mottatt eposten, bør du logge deg inn på dette nettstedet med ditt nye passord og endre det. Dette bør gjøres for å verne om sikkerheten til dataene din."
"editowndata";"Min konto"
"savedata";"Lagre endrede data"
"datachanged";"Brukerdata er endret!"
"datachanged_name";"Du må kanskje logge deg inn på nytt med det nye brukernavnet ditt."
"myuserdata";"Min konto"
"verified";"Bruker har<br />bekreftet søknaden"
"verified_by_admin";"Godkjent bruker<br />[av Admin]"
"user_theme";"Min stil"
"mgv";"Min side"
"passwordlength";"Passordet må inneholde minst 6 tegn."
"admin_approved";"Din konto hos #SERVER_NAME# er blitt godkjent"
"you_may_login";"av administratoren til nettstedet.<br />Du kan nå logge deg inn på nettstedet ved å klikke på linken under:"
"welcome_text_auth_mode_1";"<center><h3><b>Velkommen til disse slektssidene !</b></h3>PS! - <i>Sidene er tilgjengelig for <b>alle</b> besøkende som har en brukerkonto.</i><br />Har du en brukerkonto, kan du logge deg inn under.<br /><br />Dersom du ikke har en brukerkonto enda, kan du søke om å få en<br />ved å klikke på linken "Søke om brukerkonto".<br />Etter å ha sjekket informasjonen i søknaden, vil administratoren til nettstedet aktivere kontoen din.<br />Du vil motta en e-post når den er godkjent.</center>"
"welcome_text_auth_mode_2";"<center><h3><b>Velkommen til disse slektssidene !</b></h3>PS! - <i>Sidene er <b>bare</b> tilgjengelig for <b>registrerte</b> brukere!</i><br />Har du en brukerkonto, kan du logge deg inn under.<br /><br />Dersom du ikke har en konto enda, kan søke om å få opprettet en konto<br />ved å klikke på linken "Søke om brukerkonto".<br />Etter å ha sjekket informasjonen i søknaden din,<br />kan administratoren til nettstedet enten godkjenne eller avslå den.<br />Du vil motta en e-post med beskjed dersom søknaden din blir akseptert.</center>"
"welcome_text_auth_mode_3";"<center><h3><b>Velkommen til disse slektssidene !</b></h3>PS! - <i>Sidene er <b>bare</b> tilgjengelig for <b>medlemmer av familien</b>.</i><br />Har du en brukerkonto, kan du logge deg inn under.<br /><br />Dersom du ikke har en konto enda, kan søke om å få opprettet en konto<br />ved å klikke på linken "Søke om brukerkonto".<br />Etter å ha sjekket informasjonen i søknaden din,<br />kan administratoren til nettstedet enten godkjenne eller avslå den.<br />Du vil motta en e-post dersom den blir godkjent.</center>"
"welcome_text_cust_head";"<center><h3><b>Velkommen til disse slektssidene !</b></h3>PS! - <i>Sidene er <b>bare</b> tilgjengelig for brukere som har <b>gyldig</b> brukernavn og passord.</i></center><br />"
"welcome";"Velkommen"
"upcoming_events";"Kommende begivenheter"
"living_or_all";"Vise bare hendelser for levende personer?"
"basic_or_all";"Vise bare fødselsdager, dødsfall og giftemål?"
"no_events_living";"Fant ingen hendelser for levende personer for de neste #gm_lang[global_num1]# dagene."
"no_events_living1";"Fant ingen hendelser for levende personer for i morgen."
"no_events_all";"Fant ingen hendelser for de neste #gm_lang[global_num1]# dagene."
"no_events_all1";"Fant ingen hendelser for i morgen."
"no_events_privacy";"Det finnes hendelser for de neste #gm_lang[global_num1]# dagene, men på grunn av hensyn til personvern vises ikke disse."
"no_events_privacy1";"Det finnes hendelser for i morgen, men på grunn av hensyn til personvern vises ikke disse."
"more_events_privacy";"<br />Det finnes flere hendelser for de neste #gm_lang[global_num1]# dagene, men på grunn av hensyn til personvern vises ikke disse."
"more_events_privacy1";"<br />Det finnes flere hendelser for i morgen, men på grunn av hensyn til personvern vises ikke disse."
"none_today_living";"Fant ingen hendelser for levende personer for i dag."
"none_today_all";"Fant ingen hendelser for i dag."
"none_today_privacy";"Det finnes hendelser for i dag, men på grunn av hensyn til personvern vises ikke disse."
"more_today_privacy";"<br />Det finnes flere hendelser for i dag, men på grunn av hensyn til personvern vises ikke disse."
"chat";"Chat"
"users_logged_in";"Brukere som er pålogget"
"anon_user";"1 anonym bruker pålogget"
"anon_users";"#gm_lang[global_num1]# anonyme brukere pålogget"
"login_user";"1 bruker pålogget"
"login_users";"#gm_lang[global_num1]# brukere pålogget"
"no_login_users";"Ingen brukere er pålogget"
"message";"Ny beskjed til "
"my_messages";"Mine beskjeder"
"date_created";"Dato sendt:"
"message_from";"Epost-adresse:"
"message_from_name";"Ditt navn:"
"message_to";"Beskjed til:"
"message_subject";"Emne:"
"message_body";"Din beskjed:"
"no_to_user";"Det ble ikke oppgitt en annen bruker som mottaker. - Kan ikke fortsette."
"provide_email";"Vennligst oppgi epost-adressen din, så vi kan besvare denne henvendelse.<br />Dersom du ikke oppgir epost-adressen din, har vi ikke mulig til å besvare denne forespørselen.<br />PS. Epost-adressen din vil ikke bli brukt til annet enn å besvare denne forespørselen."
"reply";"Svar"
"message_deleted";"Beskjed slettet"
"message_sent";"Beskjed sendt"
"reset";"Vanlig størrelse / oppsett"
"site_default";"Standard på siden"
"mygedview_desc";"Dette er <i>din side</i> der du kan velge egne <i>favoritter</i>, bli påminnet om <i>kommende begivenheter</i> og <i>samarbeide med andre brukere</i>."
"no_messages";"Det er ingen beskjeder til deg."
"clicking_ok";"Ved å klikke på OK, åpnes det et nytt vindu, der du kan kontakte #user[fullname]#"
"my_favorites";"Mine favoritter"
"no_favorites";"<i>Du har ikke valgt noen favoritter enda!</i><br />For å legge til en person til dine favoritter, kan du enten finne siden med fakta om personen og så klikke på linken <br />"Legg til i Mine favoritter" eller bruk ID-feltet under for å legge til en person ved hjelp av personens ID-nummer."
"add_to_my_favorites";"Legg til i Mine favoritter"
"no_gedcom_favorites";"Det er ikke valgt noen Favoritter enda.  Det er administrator som kan legge til personer her, slik at disse vises ved oppstart."
"confirm_fav_remove";"Er du sikker på at du vil fjerne denne personen fra favorittene dine?"
"invalid_email";"Tast inn en gyldig epost-adresse."
"enter_subject";"Tast inn en tekst i feltet for emne."
"enter_body";"Skriv inn en beskjed / tekst før den sendes."
"confirm_message_delete";"Er du sikker på du vil slette denne beskjeden? Når den er slettet, kan den ikke hentes tilbake igjen."
"message_email1";"Følgende beskjed ble sendt til kontoen din i Genmod fra "
"message_email2";"Du sendte følgende beskjed til en bruker av Genmod:"
"message_email3";"Du sendte følgende beskjed til administratoren av Genmod:"
"viewing_url";"Denne beskjed ble sendt da du var på følgende url: "
"random_picture";"Tilfeldig utvalgt bilde / medie"
"message_instructions";"<b>PS:</b> Privat informasjon om levende personer vil bare bli gitt til slektninger og nære venner.  Du vil bli spurt om å bekrefte din tilknytning / slektskap før du vil få se private data.  Av og til kan informasjon om døde personer også være private.  Hvis dette er tilfelle, er det på grunn av at det ikke funnet nok informasjon om personen til å avgjøre om vedkommende lever eller ikke, eller andre opplysninger om personen.<br /><br />Før du gjør en foresprsel, vennligst sjekk opp at det er riktig person ved å se på datoer, steder og nære slektninger.  Dersom du legger inn endringer i slektsdataene, vær vennlig å oppgi kildene der du fant dataene.<br /><br />"
"sending_to";"- Beskjeden vil bli sendt til #TO_USER#"
"preferred_lang";"Denne brukeren ønsker å motta beskjeden på #USERLANG#<br />"
"gedcom_created_on";"SlektsGED-filen ble lagd <b>#DATE#</b>"
"customize_page";"Endre <i>din egen</i> side"
"customize_gedcom_page";"Endre hovedsiden til denne slektsbasen"
"upcoming_events_descr";"Rammen for kommende begivenheter viser en liste med begivenheter i den aktive slektsfilen som vil skje de neste 30 dagene.  For en bruker vil denne rammen bare vise levende personer.  På hovedsiden vil alle personer/familier bli vist (NB. Her vil personvern-valg kunne redusere listen)."
"todays_events_descr";"Rammen for Årsdag for hendelser viser en personliste som er knyttet til hendelser i den aktive slektsfilen dagen i dag.  Dersom det ikke er noen hendelser, vises heller ikke rammen.  På "din" GedView side vil denne rammen bare vise levende personer.  På hovedsiden vil alle personer / familier bli vist (NB. Her vil personvern-valg kunne redusere listen)."
"logged_in_users_descr";"Rammen for brukere som er logget inn, viser en liste med bruker som er logget inn på det gjeldende tidspunktet..."
"user_messages_descr";"Rammen for bruker-beskjeder viser en liste med beskjeder som har blitt sendt til de aktive brukerne."
"user_favorites_descr";"Rammen for brukeres Favoritter viser en liste med deres egne "favoritt-personer" i slekten slik at de lett kan finnes igjen."
"welcome_descr";"Rammen for brukeres egen siden viser brukeren, gjeldende dato og tid, hurtiglinker for endre egen konto eller å gå til deres eget slektstre, og en link for å tilpasse egen siden."
"random_media_descr";"Rammen for tilfeldig viste bilde / mediefil velger et tilfeldig foto eller annet medie-objekt i den aktive slektsbasen og viser det til brukeren."
"gedcom_descr";"Rammen for informasjon virker på samme måte som den enkelte brukers velkomstmelding, ved at besøkende på siden ønskes velkommen, viser tittelen på standard aktive slektsfil og gjeldende dato og tid."
"gedcom_favorites_descr";"Rammen for Favoritter gir administrator på nettstedet muligheten til å velge ut noen sentrale personer i slektsfilen som vil være av interesse for de fleste besøkende. På den måten kan de lett finne disse favoritt-personene og er en måte å fremheve disse personene som sentrale i slekthistorien."
"gedcom_stats_descr";"Rammen for statistikk viser besøkende en del basis-informasjon om slektsfilen, slik som når den ble lagd og hvor mange personer, familier og kilder som finnes i slektsbasen.<br /><br />Den har også en liste med de etternavnene som er registrert flest ganger i slektsbasen.  Du kan velge om du vil vise disse etternavnene i rammen eller ikke.<br />Du kan også velge at visse navn ikke skal vises i listen eller legge legge til navn som du mener bør være med (selv om de ikke fyller kravet om å være med i listen).<br />Du kan angi antall ganger et navn må være registrert for å vises i listen i konfigurasjonsfilen for slektsbasen."
"gedcom_stats_show_surnames";"Vise Mest brukte etternavn?"
