"stat_sources";"Источников,"
"welcome_text_auth_mode_2";"<b>ДОБРО ПОЖАЛОВАТЬ НА ЭТОТ ГЕНЕАЛОГИЧЕСКИЙ САЙТ</b><br /><br />Доступ к данным сайта разрешен посетителям, которые зарегистрированы и <b>авторизованы</b> тут. <br />Если Вы зарегистрированы, пожалуйста войдите на сайт на этой странице.<br /><br />Если Вы тут не зарегистрированы, то можете послать запрос на регистрацию перейдя по соответствующей ссылке на этой странице.<br />После того как администратор проверит Вашу информацию, он создаст для Вас учетную запись и отправит Вам письмо (email) для активации этой учетной записи."
"welcome_text_auth_mode_3";"<b>ДОБРО ПОЖАЛОВАТЬ НА ЭТОТ ГЕНЕАЛОГИЧЕСКИЙ САЙТ</b><br /><br />Доступ к данным сайта разрешен только <b>членам семьи</b>. <br />Если Вы зарегистрированы, пожалуйста войдите на сайт на этой странице.<br /><br />Если Вы тут не зарегистрированы, то можете послать запрос на регистрацию перейдя по соответствующей ссылке на этой странице.<br />После того как администратор проверит Вашу информацию, он создаст для Вас учетную запись и отправит Вам письмо (email) для активации этой учетной записи."
"welcome_text_cust_head";"<b>ДОБРО ПОЖАЛОВАТЬ НА ЭТОТ ГЕНЕАЛОГИЧЕСКИЙ САЙТ</b><br /><br />Доступ к данным сайта разрешен только зарегистрированным пользователям, имеющим учетную запись и пароль."
"welcome";"Добро пожаловать на Ваш новый  Genmod web-сайт. Вы видете эту страницу, значит ваш web-сервер был успешно инсталлирован и Вы можете делать желаемые установки."
"upcoming_events";"Скоро..."
"chat";"Чат (сhat)"
"users_logged_in";"Пользователи, работающие сейчас на сайте"
"message";"Послать сообщение"
"my_messages";"Мои сообщения"
"date_created";"Дата послания:"
"message_from";"Эл.адрес (e-mail):"
"message_from_name";"Ваше имя:"
"message_to";"Сообщение для:"
"message_subject";"Тема:"
"message_body";"содержание:"
"no_to_user";"Нет адреса получателя."
"provide_email";"Сообщите эл.адрес, на который Вы хотите получить ответ на Ваше письмо. Без указания эл.адреса мы не ответим на Ваше сообщение. "
"reply";"Ответ"
"message_deleted";"Сообщение удалено"
"message_sent";"Сообщение послано"
"reset";"Возврат в исходное положение"
"site_default";"Стандартный сайт"
"mygedview_desc";"На Вашей личной страничке MyGedView Вы можете указать свои приоритетные персоны; посмотреть события, которые произойдут в скором времени и работать с другими пользователями Genmod этого сайта."
"no_messages";"У Вас нет непрочитанных сообщений"
"clicking_ok";"Если Вы кликните по "OK", откроется окно для контакта с  "
"my_favorites";"Мои фавориты"
"no_favorites";"У Вас нет выбранных фаворитов. Вы можете добавить персону в свои фавориты следующим образом: Найдите подробности биографии персоны и кликните по "Добавить в фавориты". Если Вы знаете ID номер персоны, то Вы просто можете ввести ID в нижестоящее поле ввода."
"add_to_my_favorites";"Добавить в мои фавориты"
"no_gedcom_favorites";"На данный момент фавориты не выбраны. Администратор может добавить фаворитов, чтобы они отображались на стартовой странице."
"confirm_fav_remove";"Вы уверены что хотите удалить это лицо из своих фаворитов?"
"invalid_email";"Ошибка в эл.адресе (e-mail). Введите правильный адрес."
"enter_subject";"Введите тему сообщения"
"enter_body";"Введите текст сообщения"
"confirm_message_delete";"Вы уверены что хотите удалить сообщение? Восстановление невозможно."
"message_email1";"Слудующее сообщение послано Вашему пользователю Genmod:"
"message_email2";"Вы послали следующее сообщение пользователю Genmod:"
"message_email3";"Вы послали следующее сообщение администратору Genmod:"
"viewing_url";"Сообщение послано со следующего URL:"
"random_picture";"Произвольное изображение"
"message_instructions";"<b>Внимание:</b>Конфидициальная информация о ныне живущих лицах предоставляется только родственным и другим авторизированным лицам. Прежде чем получить конфидициальную информацию, будет проверено Ваше родство с этим лицом. Иногда информация об уже умершем также является конфидициальной. Это помогает предотвратить недоразумения если установлено не точно, действительно ли этот человек является умершим. Может быть также возможным что об этой персоне нет больше информации. <br /><br /> Прежде чем задавать запрос, проконтролируйте даты, географию и членов семьи чтобы убедиться что вы выбрали дейтсвительно ту персону, которая Вам нужна. Если Вы предоставляете информацию по генеологии, укажите источник получения этой информации."
"sending_to";"Это сообщение будет отправлено #TO_USER#"
"preferred_lang";"Этот пользователь предпочитает получать сообщения на языке #USERLANG#"
"gedcom_created_on";"Эта GEDCOM база данных была создана <b>#DATE#</b>"
"customize_page";"Настроить Мой GedView"
"customize_gedcom_page";"Настроить Стартовую Страницу"
"upcoming_events_descr";"Блок Наступающих Событий отображает список событий текущей GEDCOM базы данных, которые произойдут в следующие 30 дней. Для зарегистрированных пользователей этот блок отображает только живущих людей, для остальных - всех."
"todays_events_descr";"Бок этого дня в Вашей истории... Блок отображает список событий текущей GEDCOM базы данных, которые произошли в этот день. Если таких событий нет, то блок не отображается. Для зарегистрированных пользователей этот блок отображает только живущих людей, для остальных - всех."
"logged_in_users_descr";"Блок активных пользователей показывает список пользователей, которые находятся на сайте в данный момент."
"user_messages_descr";"Блок сообщений отображает список сообщений присланных активному пользователю."
"user_favorites_descr";"Блок фаворитов отображает список персон, выбранных активным пользователем в качестве фаворитов для быстрого доступа к ним. "
"welcome_descr";"Блок приветствия пользователя отображает текущую дату, время, ссылку для изменения настроек, учетной записи и ссылку для быстрого перехода к собственному генеалогическому дереву."
"random_media_descr";"Блок случайного Медиа-объекта случайно выбирает фотографию или другой медиа-объект из текущей GEDCOM базы данных и показывает его пользователю."
"gedcom_descr";"Блок GEDCOM приветствия работает так же как Блок приветствия пользователя, приветствую посетителей сайта и отображая заголовок текущей GEDCOM базы данных, текущую дату и время."
"gedcom_favorites_descr";"Блок GEDCOM фаворитов позволяет администратору сайта выбрать некоторых персон из текущей GEDCOM базы данных так, чтобы посетители сайта могли быстро перейти к описанию этих персон. Это способ выделить наиболее важных людей в истории семьи."
"gedcom_stats_descr";"Блок GEDCOM статистики отображает посетителем некоторую основную ищвормацию об текущей GEDCOM базе данных, такую как дату ее создания или количество персон в ней."
"portal_config_intructions";"Здесь Вы можете настроить свою страницу этого сайта, а именно указать какие блоки и где именно Вы хотите расположить. Станица сайта делится на две секции 'Основную' и 'Правую'. 'Основная' секция отображает большие блоки под заголовком и вниз. 'Правая' секция отображает небольшие блоки в правой части страницы. Каждая секция имеет свой список блоков, которые будут выведены на странице в указанном порядке. Вы можете добавить, удалить или пересортировать блоки в секциях."
"login_descr";"Блок входа выводит поля для ввода имени и пароля пользователя."
"theme_select_descr";"Блок выбора темы отображает механизм выбора темы, даже если изменение темы запрещено."
"block_top10_title";"Наиболее общие фамилии"
"block_top10_descr";"Этот блок показывает таблицу 10 фамилий, которые наиболее часто встречаются в  базе данных."
"gedcom_news_descr";"Блок новостей GEDCOM отображает посетителям новости о новых версиях или статьи добавленные администратором. Новости хорошее место анонсировать обновление данных или воссоединение семьи."
"user_news_descr";"Блок дневника пользователя позволяет пользователю сохранять заметки и вести свой дневник в режиме on-line."
"my_journal";"Мой дневник"
"no_journal";"У Вас не создано ни одной заметки для дневника."
"confirm_journal_delete";"Вы уверены что хотите удалить эту заметку из дневника?"
"add_journal";"Добавить новую заметку в дневник"
"confirm_news_delete";"Вы уверены что хотите удалить эту новость?"
"add_news";"Добавить новость"
"no_news";"Нет новостей"
"edit_news";"Добавить/Удалить заметку для Дневника/Новостей"
"enter_title";"Пожалуйста введите заголовок."
"enter_text";"Пожалуста введите какой-нибудь текст для этой заметки в Дневник или Новости."
"news_saved";"Заметка для Дневника/Новостей успешно сохранена."
"article_text";"Текст:"
"main_section";"Блоки основной секции"
"right_section";"Блоки правой секции"
"move_up";"Вверх"
"move_down";"Вниз"
"move_right";"Вправо"
"move_left";"Влево"
"broadcast_all";"Сообщение для всех пользователей"
"hit_count";"Счетчик посещений"
"Genmod_message";"Genmod сообщение"
"common_surnames";"Наиболее общие фамилии"
"default_news_title";"Добро пожаловать в Вашу Генеалогию"
"default_news_text";"Генеалогическая информация на этом сайте создана и отображается посредством <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a>. Эта страница представляет краткое описание этой генеалогической информации. Для просмотра данных выбирите чертеж/дерево в меню чертежей или перейдите к искомой персоне поиском по имении или месту проживания. <br /><br />Если Вы имеете сложности при работе с сайтом, нажмите на меню помощи и получите подсказку по рботе с текущей страницей.<br /><br />Спасибо, за визит."
"reset_default_blocks";"Установить набор блоков по умолчанию"
"recent_changes";"Последние изменения"
"recent_changes_descr";"Блок последних изменений отображает список изменений сделанных в GEDCOM базе данных за последний месяц. Этот блок поможет Вам быть в курсе поледних изменений."
"delete_selected_messages";"Удалить выбранные сообщения"
"use_blocks_for_default";"Использовать эти блоки по умолчанию для всех пользователей?"
"performing_validation";"Производя утверждение GEDCOM, выбирите необходимые опции и нажмите 'Чистка'"
"changed_mac";"Обнуружены окончания строк в стиле Макинтош. Замените окончания строк состоящие только из ВВОДа на ВВОД и ПЕРЕВОД КАРЕТКИ."
"changed_places";"Обнаружен неправильный формат географических названий. Исправьте записи географический названий в соответствии со спецификацией GEDCOM 5.5. Пример из Ваших GEDCOM данных:"
"invalid_dates";"Обнаружен неправильный формат даты, приведите все даты к формату DD MMM YYYY (например, 1 JAN 2004)."
"valid_gedcom";"Корректные GEDCOM данные. Исправлений не требуется."
"optional_tools";"Вы можете выбрать для запуска следующие необязательные инструменты перед импортированием."
"optional";"Необязательные Инструменты"
"day_before_month";"День перед Месяцем (DD MM YYYY)"
"month_before_day";"Месяц перед Днем (MM DD YYYY)"
"do_not_change";"Не менять"
"change_id";"Изменить ID персоны на:"
"example_date";"Пример неправильной даты из Ваших GEDCOM данных:"
"add_media_tool";"Добавить Медиа-инструмент"
"launch_media_tool";"Нажмите здесь чтобы запустить Добавление Медиа-инструмента."
"add_media_descr";"Этот инструмент будет добавлять медиа OBJE ярлыки к GEDCOM данным. Выбирите это окно когда закончите добавлять медиа-объект."
"highlighted";"Выделенное изображение"
"extension";"Расширение"
"order";"Порядок"
"media_table_created";"Таблица <i>Медиа-объектов</i> успешно обновлена."
"click_to_add_media";"Нажмите здесь, чтобы добавить Медиа-объект к GEDCOM данным #GEDCOM#."
"adds_completed";"Медиа-объект успешно добавлен в GEDCOM файл."
"ansi_encoding_detected";"Обнаружена кодировка ANSI. Genmod работает наилучшим образом с файлами в кодировке UTF-8."
"invalid_header";"Обнаружины строки перед заголовком GEDCOM файла (0 HEAD). Они будут удалены при Чистке."
"macfile_detected";"Обнаружен файл в формате Макинтош. При чистке от будет конвертирован в DOS формат."
"place_cleanup_detected";"Обнаружены записи географических названий в неправильном формате. Эти ошибки должны быть исправлены. Следующий пример показывает обнаруженную неправильную запись географического названия:"
"cleanup_places";"Чистить Геогр. названия"
"empty_lines_detected";"В Ваше GEDCOM файле были обнаружены пустые строки. Они будут удалены при чистке."
"choose_report";"Выбирите отчет для запуска"
"enter_report_values";"Введите значения отчета"
"selected_report";"Выбранный отчет"
"run_report";"Посмотреть отчет"
"select_report";"Выбрать отчет"
"download_report";"Скачать отчет"
"pdf_reports";"PDF Отчеты"
"html_reports";"HTML Отчеты"
"family_group_report";"Отчет группы семей"
"page";"Страница"
"enter_famid";"Введити ID семьи"
"show_notes";"Показать заметки?"
"show_basic";"Печатать основные события в случае пустоты?"
"show_photos";"Показать фотографии?"
"individual_report";"Персональный отчет"
"enter_pid";"Введите ID персоны"
"individual_list_report";"Персональный отчет списком"
"generated_by";"Сгенерировано "
"list_children";"Список детей в порядке рождения."
"birth_report";"Отчет дня и места рождения"
"birthplace";"Место рождения включает"
"birthdate1";"Начало линии дней рождения"
"birthdate2";"Конец линии дней рождения"
"sort_by";"Сортировать по"
"cleanup";"Чистка"
"skip_cleanup";"Пропустить очистку"
"dynasty_list";"Обзор семей"
"make_slklist";"Создать список EXCEL (SLK) "
"excel_list";"Вывод в EXCEL (slk) формате следующих файлов (сначало используется список основателей):"
"excel_tab";"tabblad:"
"excel_create";"будет создано в файле:"
"slk_list";"EXCEL SLK список"
"statistics";"Статистика"
"merge_records";"Слияние записей"
"merge_same";"Записи разных типов. Невозможно объеденить записи разных типов."
"merge_step1";"Объединение шаг 1 из 3"
"merge_step2";"Объединение шаг 2 из 3"
"merge_step3";"Объединение шаг 3 из 3"
"select_gedcom_records";"Выберите 2 GEDCOM записи для объединения. Записи должны быть одного типа."
"merge_to";"Слить (объеденить) в ID:"
"merge_from";"Слить (объеденить) из ID:"
"merge_facts_same";"Следующие факты абсолютно одинаковы в двух записях и будут автоматически объеденины."
"no_matches_found";"Не найдено совпадающих фактов"
"unmatching_facts";"Следующие факты не совпадают. Выберите информацию, которую хотите оставить."
"record";"Запись"
"adding";"Добавление"
"updating_linked";"Обновление связанных записей"
"merge_more";"Объеденить больше записей."
"same_ids";"Вы ввели такой же ID. Вы не можете объеденить одинаковые записи."
"gen_ancestry_chart";"#PEDIGREE_GENERATIONS# Воcходящее дерево поколений"
"chart_style";"Стиль дерева"
"sosa_2";"Отец"
"sosa_3";"Мать"
"gen_fan_chart";"#PEDIGREE_GENERATIONS# Веерное дерево поколений"
"fan_width";"Ширина веера"
"gd_library";"Ошибка конфигурации PHP сервера: требуется GD библиотека для использования функций работы с изображением."
"gd_freetype";"Ошибка конфигурации PHP сервера: требуется Freetype библиотека для использования функций работы с TrueType шрифтами."
"fontfile_error";"Файл с шрифтами не найден на PHP сервере"
"rss_descr";"Новости и ссылки с сайта #GEDCOM_TITLE#"
"rss_logo_descr";"Создано на базе Genmod"
"options";"Опции:"
"help_header";"Дополнительная информация о:"
"help_pedigree.php";"~ВОСХОДЯЩЕЕ ДЕРЕВО~<br /><br />Страница восходящего дерева - это первая страница нашей программы.<br /><br />*ПОМОЩНИК<br />С правой стороны некоторых полей и соединений стоят вопросительные знаки. Если щелкнуть по ним, то появится окно с информацией о затрагиваемой теме.<br /><br />*ВХОД В ПРОГРАММУ<br />Хотя можно зайти в программу (путем ввода имя пользователя и пароля) на любой странице, обычно все-таки это делается на первой странице, т.к. после это Вам будет открыта вся доступная Вам информация.<br />Вход в программу находится в правом верхнем углу первой страницы.<br />Посетители, кто хочет запросить имя пользователя и пароль, должны кликнуть по линку "Вход в программу""<br /><br />* ВОСХОДЯЩЕЕ ДЕРЕВО<br />Большенство посетителей и пользователей сайта знают что такое "восходящее дерево", но тем не менее это - небольшое объяснение:<br />Восходящее дерево это перечисление всех предков стартовой персоны, "пробант". Он отображается первым, затем его родители, бабушка, дедушка, пробабушка, прадедушка и т.д. Пробант - это поколение I, его родители - поколение II и т.д.<br /><br />*ЛИЧНЫЕ КОНТЕЙНЕРЫ В ВОСХОДЯЩЕМ ДЕРЕВЕ<br />В контейнере даны некоторые данные о персоне, такие как имя, дата рождения, дата смерти и места. Если кликнуть по имени, то появится окно с подробными данными. Кроме этого существует специальная пиктограмма (опция "Показать подробности"):<br /><br />* КНОПКА ВОСХОДЯЩЕЕ ДЕРЕВО В КОНТЕЙНЕРЕ<br />В зависимости от настройки сайта, Вы можете эту кнопку активировать кликнув по ней или щелкнув по ней мышкой. Появляется экранчик, где вы можете кликнув по: восходящее дерево персоны, его/ее потомки, его/ее семьи и персональное окошечко с детьми.<br /><br />* ЛУПА В КОНТЕЙНЕРЕ<br />В зависимости от настройки сайта, Вы можете эту кнопку активировать кликнув по ней или щелкнув по ней мышкой. Появляется экранчик с экстра информаций о персоне. Это касается (в числе прочего) таких фактов как профессия, переезд и т.д.<br /><br />* СОЕДИНЯЮЩИЕ ЛИНИИ СПРАВА И СЛЕВА ОТ КОНТЕЙНЕРА<br />Кликнув по линиям (слева от самого левого контейнера и справа от самого правого) , можно передвинуть окно, слева на детей пробанта и справа на поколение назад.<br /><br />"
"register_info_01";"Сведения этого сайта не полностью доступны для публичного просмотра. <br /><br /> Это соответствует закону по защите личных прав. Многие люди не желают чтобы сведения о них были доступны для публичного просмотра, т.к. они могут быть использованы в целях злоупотребления полученной информации или в коммерческих целях. <br /><br /> Для того, чтобы Вы смогли посмотреть расширенные сведения, Вы должны зарегистрироваться на нашем сайте. Тогда администратор сможет проконтролировать Ваши личные данные. В случае если у вас существуют родственные связи с каким-либо лицом, информация о котором находится в файле, то после регистрации у Вас будет доступ к информации по Вашиму прямому родству. Администратор может предоставить Вам доступ к данным файла, после того, как Вы введете Ваше личные данные. <br /><br /> Примечание: Доступ к информации, запрещенной для просмотра Вы можете получить только если Вас связывает близкое родство с лицом, информация о котором находится в файле. <br /><br /> В остальных случаях мы просим Вас не тратить время и силы на получение разрешения на просмотр информации. Если Вам необходимо более подробное разъяснение, кликните по нижестоящей кнопочке для контакта с администратором. <br /><br />"
"help_descendancy.php";"~ПОТОМКИ~<br /><br />На этой странице показываются потомки выбранной персоны. Максимальное число поколений Вы можете установить в поле "поколения". В случае если Вы хотите выбрать другую персону чем стартовая персона, Вы можете сразу ввести его ID номер в поле "Стартовая персона". Если Вы не знаете его ID номер, Вы можете воспользоваться поиском. Для этого Вам надо кликнуть по "Искать персону" и ввести его/ее имя (или часть имени).<br /><br />*ЛИЧНЫЕ КОНТЕЙНЕРЫ В ВОСХОДЯЩЕМ ДЕРЕВЕ<br />В контейнере даны некоторые данные о персона, такие как имя, дата рождения, дата смерти и места. Если кликнуть по имени, то появится окно с подробными данными. Кроме этого существует специальная пиктограмма (опция "Показать подробности"):<br /><br />* КНОПКА ВОСХОДЯЩЕЕ ДЕРЕВО В КОНТЕЙНЕРЕ<br />В зависимости от настройки сайта, Вы можете эту кнопку активировать кликнув по ней или щелкнув по ней мышкой. Появляется экранчик, где вы можете кликнув по: восходящее дерево персоны, его/ее потомки, его/ее семьи и персональное окошечко с детьми.<br /><br />* ЛУПА В КОНТЕЙНЕРЕ<br />В зависимости от настройки сайта, Вы можете эту кнопку активировать кликнув по ней или щелкнув по ней мышкой. Появляется экранчик с экстра информаций о персоне. Это касается (в числе прочего) таких фактов как профессия, переезд и т.д.<br /><br />* СОЕДИНЯЮЩИЕ ЛИНИИ СПРАВА И СЛЕВА ОТ КОНТЕЙНЕРА<br />Кликнув по линиям (слева от самого левого контейнера и справа от самого правого) , можно передвинуть окно, слева на детей пробанта и справа на поколение назад.<br /><br />"
"help_relationship.php";"~РОДСТВО~<br /><br />На этой странице Вы можете указать родство между двумя персонами. Это не обязательно чтобы лица имели кровное родство. Родственные отношения могут быть также по линии брака. Последние можно найти если опция "Проверь родство по браку" отмечена галочкой. Это возможно что два лица могут иметь не одну линию родства. Программа дает возможность увидеть все существующиеся линии родства. Используйте также кнопку "Искать следующую ветвь"."
"help_indilist.php";"~ЛИЦА~<br /><br />ИСКАТЬ ЛИЦО<br />На этой странице Вы можете задать поиск подробных данных о персоне. Для этого выберите в предлагаемом алфавите первую букву фамилии. Вам будет показан список фамилий, в котором Вы можете продолжать поиск. В итоге Вам будет показан список лиц с выбранной Вам фамилией. Если кликнуть на персону, то будут показаны подробные сведения о ней/о нем.<br />Лист с фамилиям можно пропустить кликнув по линку "Пропустить лист списка фамилий".<br />Для получения экстра информации, кликните по воспросительному знаку, находящемуся за полем ввода.<br /><br />ДОБАВИТЬ ЛИЦО<br />Вы можете также добавить новую персону в базу данных если у Вас есть не это право. Это делается в помощью линка "Добавить новую неприсоединенную персону".<br />|"
"help_famlist.php";"~СЕМЬИ~<br /><br />На этой странице Вы можете найти подробные данные о выбранной семье. Выберите в алфавите первую буквы фамилии. Вам будет показан список фамилий на эту букву. Выбрав конкретную персону, вы получите список партнеров (по браку). Далее Вам будут показаны члены этой семьи."
"help_sourcelist.php";"~СПИСОК ИСТОЧНИКОВ~<br /><br />На этой странице Вы попадаете на обзор всех источников.<br />Источники ЛИЦ и семей не проиндексированы в алфавитном порядке. Это не сделано по той причине, что источник персоны может быть как у имени и фамилии, так и у организации, и даже у web-сайта.<br />Поэтому нет возможности однозначно определить порядок сортировки, и в алфавитном порядке предоставлены только названия источников.<br /><br />ИСТОЧНИКИ<br />Без источника данных генеологически файл не может быть построен с достаточной степенью ответственности. Вся информация должна быть подходящая для преобразования, воспроизведени и контроля. Поэтому все персоны, семьи и факты должны быть присоединены к источникам. Источником может быть персона, предоставившая информацию, определенный документ (свидетельство и тому подобное) или другой файл (например Genlias). Если информация получена из нескольких источников, то называются они все. Вместе с тем, источник может дать информацию о нескольких событиях, поэтому привязываются несколько фактов (свадьба, рождение, профессия и т.д.<br /><br />|"
"help_source.php";"~ИСТОЧНИКИ~<br /><br />На этой странице Вы видете подробные данные источника.<br />Если имеют место, напряду с примечания, показываются также места хранения и указание на изображение источника. Изображением может быть к примеру отсканированный документ.<br /><br />Также показывается лист с персонами и семьями, факты и события которых указывают на источник.<br /><br />Если администратор сайта предоставил такую возможность, то с правой стороны экрана есть два линка: <br />"Смотреть запись GEDCOM" en <br />"Вырезать под-дерево":<br /><br />Для получения большей информации по помощи, кликните по воспросительному знаку "?"находящемуся рядом с линком или полем ввода.|"
"help_placelist.php";"~ГЕОГРАФИЯ ЛИЦ~<br /><br />В этом экране Вы можете искать лиц и семьи, имеющие между собой географическое единение.<br /><br />Если в факте или в событии указано географическое место, то здесь оно будет найдено.<br />Таким образом Вы можете например искать кто имел что-либо, связанное с определенной страной, городом или даже с определенной улицей.<br /><br />Результаты показаны в двойном окне:<br />Одно для персон и одно для семей.<br /><br />Для более специфической информации помощника, Вы должны кликнуть по вопросительному знаку, относящимуся к линку или контейнеру.|"
"help_medialist.php";"~СПИСОК МУЛЬТИМЕДИА (ФОТО/АУДИО/ВИДЕО)~<br /><br />На этом листе сообщаются все пункты-мультимедиа (фото/аудио/видео), которые находятся в файле. Список отсортирован по названию.<br />Кликнув по названию файла Вы можете непосредственно посмотреть мультимедиа-артикль.<br />Посредством линка "Посмотреть источник", Вы можете посмотреть все данные о мультимедиа-пункте.|"
"help_calendar.php";"~КАЛЕНДАРЬ СОБЫТИЙ~<br /><br />Эта функция показывает всех лиц и события, которые "привязаны" к определенному дню и определенному месяцу. У Вас есть следующие возможности:<br /><br />СОБЫТИЯ ДНЯ<br />Если Вы ввели дату, кликните по "Показать день". Здесь будут показаны все события связвнные с определенными лицами и семьями, которые происходили в этот определенный день.<br /><br />СОБЫТИЯ МЕСЯЦА<br />Эта функция аналогична вышеуказанной. Только показываются события лиц и семьи в определенный месяц.<br /><br />ПОКАЗАТЬ: ВСЕ ПЕРСОНЫ<br />Эта функция не несет в себе определения событий, которые будут показаны.<br /><br />ПОКАЗАТЬ:ЖИВУЩИЕ НЫНЫ ПЕРСОНЫ<br />Если Вы выберите эту опцию, то здесь будут показаны события, связанные с ныне живущими (согласно Genmod) лицами.<br /><br />ПОКАЗАТЬ: НЕДАВНИЕ СОБЫТИЯ ( < 100 ЛЕТ)<br />В этой опции показываются события, которые произошли меньше чем 100 лет назад.<br /><br />Во всех опциях Вы можете из данных по персонам и семьям перепрыгнуть на детальные сведения о лицах и семьях, кликнув по интересующей Вас персоне/семье.<br /><br /><br /><br /><br /><br /><br /><br /><br />"
"SHOW_SOURCES";"Показать источники?"
"configure";"Configure Genmod"
"default_user";"Создать администратора"
"about_user";"Сначала Вы должны создать администратора. Администратор имеет право на настройку корректировки, личных данных, просмотр данных и создание пользователей."
"can_admin";"Пользователь может выполнять задачи администратора:"
"can_edit";"Пользователь может корректировать:"
"add_user";"Добавить нового пользователя"
"current_users";"Существующие пользователи"
"leave_blank";"Оставьте поле для ввода пароля пустым если Вы хотите сохранить существующий пароль."
"other_theme";"Другое, введите"
"performing_update";"Выполнить изменения."
"config_file_read";"Читать файл конфигурации."
"does_not_exist";"Не существует"
"db_setup_bad";"Конфигурация существующе"
"click_here_to_continue";"Кликните сюда для продолжения."
"admin_gedcoms";"Кликните здесь для управление GEDCOM"
"current_gedcoms";"Существующие GEDCOMs"
"ged_download";"Выгрузить"
"ged_gedcom";"Файл GEDCOM"
"ged_title";"Название GEDCOM"
"ged_config";"Установки файла"
"show_phpinfo";"Показать PHPInfo"
"confirm_gedcom_delete";"Вы уверены что хотите удалить этот GEDCOM файл?"
"gregorian";"Грегорианский"
"julian";"Юлианский"
"config_french";"Французский"
"jewish";"Еврейский"
"config_hebrew";"Иврит (дневнееврейский)"
"jewish_and_gregorian";"Еврейский и Грегорианский"
"hebrew_and_gregorian";"Иврит и Грегорианский"
"disabled";"Исключить"
"mouseover";"Указателем мышки"
"mousedown";"Нажатием кнопки мышки"
"click";"Кликнув мышкой"
"mailto";"Написать эл.письмо (e-mail)"
"messaging";"Внутренние сообщения Genmod"
"messaging2";"Внутренние сообщения и эл.письма (e-mail)"
"no_messaging";"Нет контактов"
"no_logs";"Выключить LOG-файл"
"daily";"Ежедневно"
"weekly";"Еженедельно"
"monthly";"Ежемесячно"
"yearly";"Ежегодно<br />"
"DEFAULT_GEDCOM";"Стандартный GEDCOM:"
"DBHOST";"Компьютер, где находится база данных MySQL"
"DBUSER";"Имя пользователя даты базу MySQL:"
"DBPASS";"Пароль доступа к базе данных MySQL"
"DBNAME";"Имя базы данных:"
"TBLPREFIX";"Префиксы (титулы) таблиц базы данных:"
"ALLOW_CHANGE_GEDCOM";"Разрешить пользователям вносить изменения в GEDCOMs:"
"CHARACTER_SET";"Код типа шрифта:"
"LANGUAGE";"Язык:"
"ENABLE_MULTI_LANGUAGE";"Разрешить пользователю менять язык:"
"CALENDAR_FORMAT";"Формат календаря:"
"DISPLAY_JEWISH_THOUSANDS";"Отобразить тысячи в Иврите:"
"DISPLAY_JEWISH_GERESHAYIM";"Показать гэрэш в Иврите:"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Еврейский Аскеназский словарь:"
"DEFAULT_PEDIGREE_GENERATIONS";"Восходящее дерево поколений:"
"MAX_PEDIGREE_GENERATIONS";"Максимальное число поколений по восходящему дереву:"
"MAX_DESCENDANCY_GENERATIONS";"Максимальное число поколений потомков:"
"USE_RIN";"Использовать  RIN вместо GEDCOM-ID:"
"PEDIGREE_ROOT_ID";"Стартовая персона для восходящего дерева и графиков потомков:"
"GEDCOM_ID_PREFIX";"GEDCOM ID префикс:"
"PEDIGREE_FULL_DETAILS";"Показывать данные о рождении и кончине на карте предков:"
"PEDIGREE_LAYOUT";"Создать стандартное восходящее дерево:"
"SHOW_EMPTY_BOXES";"Показать пустые контейнеры в восходящем дереве:"
"ZOOM_BOXES";"Увеличить изображение:"
"HIDE_LIVE_PEOPLE";"Используйте личные установки:"
"REQUIRE_AUTHENTICATION";"Требуется ли быть авторизированным пользователем:"
"CHECK_CHILD_DATES";"Проверьте даты детей:"
"MAX_ALIVE_AGE";"Максимально предполагаемый возвраст персоны, на котором произошла его кончина."
"SHOW_GEDCOM_RECORD";"Дать согласие на просмотр правил GEDCOM пользователям:"
"ALLOW_EDIT_GEDCOM";"Разрешить корректировать:"
"INDEX_DIRECTORY";"Директория для индексных файлов:"
"ALPHA_INDEX_LISTS";"Подразделить длинные списки по первой букве:"
"SHOW_ID_NUMBERS";"Показать ID-номера имен:"
"SHOW_PEDIGREE_PLACES";"Показать географические места в контейнерах персон:"
"MULTI_MEDIA";"Прикрепить возможности мультимедиа (фото/аудио/видео):"
"MEDIA_DIRECTORY";"Папки мультимедиа:"
"MEDIA_DIRECTORY_LEVELS";"Количество уровней в мультимедиа-папках:"
"ENABLE_CLIPPINGS_CART";"Прикрепить альбом:"
"HIDE_GEDCOM_ERRORS";"Скрыть ошибки GEDCOM:"
"WORD_WRAPPED_NOTES";"Ввести пробелы в случае прерванных замечаний"
"HOME_SITE_URL";"Web-сайт URL"
"HOME_SITE_TEXT";"Web-сайт текст"
"CONTACT_EMAIL";"Контактный e-mail по генеологическим данным:"
"CONTACT_METHOD";"Способ общения:"
"WEBMASTER_EMAIL";"e-mail администратора сайта:"
"SUPPORT_METHOD";"Способ поддержки:"
"FAVICON";"Фаворитные иконки:"
"THEME_DIR";"Папка тем:"
"GM_SESSION_SAVE_PATH";"Папка для файлов сессии:"
"SERVER_URL";"URL сервера:"
"GM_SESSION_TIME";"Время сессии истекло:"
"SHOW_STATS";"Показать обработанные данные:"
