"stat_sources";"Quellen, "
"confirm_password";"Sie müssen das Passwort bestätigen."
"update_user";"Benutzerdaten aktualisieren"
"update_myaccount";"Meine Benutzerdaten aktualisieren"
"save";"Speichern"
"delete";"Löschen"
"edit";"Bearbeiten"
"full_name";"Vollständiger Name"
"visibleonline";"Für andere Benutzer sichtbar, wenn online"
"comment";"Administrator Kommentar zum Benutzer"
"comment_exp";"Administrator Erinnerung am Datum"
"editaccount";"Benutzer darf seine Benutzerdaten ändern"
"admin_gedcom";"GEDCOM verwalten"
"confirm_user_delete";"Möchten Sie den Benutzer wirklich löschen"
"create_user";"Benutzer erstellen"
"no_login";"Kann Benutzer nicht verifizieren."
"import_gedcom";"Diese GEDCOM-Datei importieren"
"duplicate_username";"Doppelter Benutzername. Ein Benutzer mit dem gewählten Namen existiert bereits. Bitte wählen Sie einen anderen Benutzernamen."
"gedcomid";"Nummer des GEDCOM-Datensatzfeldes INDI dieser Person"
"enter_gedcomid";"Sie müssen eine GEDCOM-ID angeben."
"user_info";"Meine Benutzerdaten"
"rootid";"Startperson für die Stammbaumdarstellung"
"download_gedcom";"GEDCOM-Datei von Ihrem Server herunterladen (download)"
"upload_gedcom";"GEDCOM-Datei auf Ihren Server laden (upload)"
"add_new_gedcom";"Eine neue GEDCOM-Datei erstellen"
"gedcom_file";"GEDCOM-Datei:"
"enter_filename";"Sie müssen einen GEDCOM-Dateinamen eingeben."
"file_not_exists";"Eine Datei mit dem eingegebenen Namen existiert nicht."
"file_exists";"Es gibt schon eine GEDCOM-Datei mit diesem Dateinamen. Bitte wählen Sie einen anderen Dateinamen oder löschen Sie die alte Datei."
"new_gedcom_title";"Genealogische Daten aus [#GEDCOMFILE#]"
"upload_error";"Beim übertragen (upload) Ihrer Datei auf Ihren Server trat ein Fehler auf."
"add_gedcom_instructions";"Geben Sie einen Dateinamen für diese neue GEDCOM-Datei ein. Die neue GEDCOM-Datei wird im Index-Verzeichnis eingetragen: "
"file_success";"Datei wurde erfolgreich auf Ihren Server übertragen (upload)"
"file_too_big";"Die zu übertragende Datei ist größer als erlaubt"
"file_partial";"Die Datei wurde nur teilweise hochgeladen. Bitte versuchen Sie es erneut."
"file_missing";"Es kam keine Datei auf Ihrem Server an. Bitte erneut übertragen."
"manage_gedcoms";"GEDCOM-Dateien und Datenschutz-Einstellungen verwalten"
"research_log";"Forschungs-Protokoll"
"administration";"Administration"
"ansi_to_utf8";"Soll diese ANSI-codierte GEDCOM-Datei in das UTF-8-Format konvertiert werden?"
"utf8_to_ansi";"Möchten Sie diese GEDCOM-Datei vom UTF-8 in das ANSI (ISO-8859-1)-Format konvertieren?"
"user_manual";"Genmod Benutzer Handbuch"
"upgrade";"Genmod-Upgrade"
"view_logs";"Log-Dateien einsehen"
"logfile_content";"Inhalt der Logdatei"
"step1";"Schritt 1 von 4:"
"step2";"Schritt 2 von 4:"
"step3";"Schritt 3 von 4:"
"step4";"Schritt 4 von 4:"
"validate_gedcom";"GEDCOM-Datei überprüfen"
"img_admin_settings";"Bild-Veränderungs-Konfiguration bearbeiten"
"download_note";"ANMERKUNG: Große GEDCOM-Dateien benötigen vor dem Download u.U. eine längere Berechnungszeit. Wenn ein PHP-Timeout auftritt bevor der Download fertig ist, ist die heruntergeladene Datei vermutlich nicht komplett.<br /><br />Prüfen Sie, ob die heruntergeladene Datei in der letzten Zeile <b>0&nbsp;TRLR</b> enthält, um den korrekten Download sicherzustellen. GEDCOM-Dateien sind Textdateien, die mit einem einfachen Texteditor geöffnet werden können, aber achten Sie darauf, die Datei nach dem Ansehen <u>nicht</u> zu speichern.<br /><br />Üblicherweise benötigt der Download etwa so lang wie der Import-Vorgang."
"gm_registry";"Andere Genmod-Seiten besuchen"
"verify_upload_instructions";"Wenn Sie fortfahren, wird die alte GEDCOM-Datei durch die neu hochgeladene Datei ersetzt und der Import-Prozess beginnt erneut. Wenn Sie abbrechen, bleibt die alte GEDCOM-Datei unverändert."
"cancel_upload";"Upload abbrechen"
"add_media_records";"Multimedia-Datensätze hinzufügen"
"manage_media_files";"Multimedia-Dateien verwalten"
"link_media_records";"Multimedia-Dateien mit Personen verknüpfen"
"add_media_button";"Multimedia-Dateien hinzufügen"
"phpinfo";"PHP Informationen"
"admin_info";"Information"
"admin_geds";"Daten- und GEDCOM-Verwaltung"
"admin_site";"Webseiten-Verwaltung"
"person1";"Person 1:"
"person2";"Person 2:"
"no_link_found";"Keine (weitere) Verbindung zwischen den beiden Personen gefunden."
"sibling";"Geschwister"
"follow_spouse";"Überprüfe Verwandtschaft anhand der Ehen."
"timeout_error";"Die maximal zulässige Ausführungszeit des Scriptes wurde überschritten, bevor ein Verwandtschaftsverhältnis gefunden werden konnte."
"son";"Sohn"
"daughter";"Tochter"
"brother";"Bruder"
"sister";"Schwester"
"relationship_to_me";"Verwandtschaft mit mir"
"rela_husb";"Verwandtschaft mit dem Ehemann"
"rela_wife";"Verwandschaft mit der Ehefrau"
"next_path";"Nächsten Pfad suchen"
"show_path";"Pfad anzeigen"
"line_up_generations";"Personen gleicher Generation auf einer Höhe darstellen"
"oldest_top";"Älteste zuoberst"
"check_delete";"Möchten Sie dieses Ereignis wirklich löschen?"
"access_denied";"<b>Zugriff verweigert</b><br />Sie besitzen hierfür keine Erlaubnis."
"gedrec_deleted";"GEDCOM-Datensatz erfolgreich gelöscht."
"gedcom_deleted";"GEDCOM [#GED#] erfolgreich gelöscht."
"changes_exist";"Die Änderungen an der GEDCOM-Datei wurden durchgeführt."
"accept_changes";"Änderungen akzeptieren / verwerfen"
"edit_raw";"GEDCOM Rohdaten bearbeiten"
"show_changes";"Dieser Eintrag wurde geändert. Hier klicken, um die Änderungen zu sehen."
"hide_changes";"Hier klicken, um die Änderungen zu verbergen."
"review_changes";"GEDCOM-Änderung überprüfen"
"undo";"löschen"
"view_change_diff";"Änderungen ansehen"
"changes_occurred";"Bei dieser Person wurden folgende Änderungen vorgenommen:"
"find_place";"Ort suchen"
"close_window";"Fenster schließen"
"close_window_without_refresh";"Fenster schließen ohne Neuladen"
"place_contains";"Ort enthält:"
"accept_gedcom";"Entscheiden Sie für jede Änderung, ob Sie sie akzeptieren oder löschen möchten.<br /><br />Um alle Änderungen auf einmal zu akzeptieren, klicken Sie <b>"Alle Änderungen akzeptieren"</b> in der Box darunter.<br />Weitere Informationen über eine Änderung erhalten Sie über den Link <b>"Änderungen ansehen"</b> oder klicken Sie <b>"GEDCOM Datensatz ansehen"</b>, um die veränderte GEDCOM-Datei anzusehen."
"ged_import";"Import"
"now_import";"Sie sollten jetzt den Import der GEDCOM-Daten in Genmod starten, indem Sie auf den Import-Button klicken."
"add_fact";"neues Ereignis hinzufügen"
"add";"hinzufügen"
"custom_event";"Benutzerdefiniertes Ereignis"
"update_successful";"Update erfolgreich"
"add_child";"Kind hinzufügen"
"add_child_to_family";"Kind zu dieser Familie hinzufügen"
"add_sibling";"Einen Bruder oder eine Schwester hinzufügen"
"add_son_daughter";"Einen Sohn oder eine Tochter hinzufügen"
"must_provide";"Bitte eingeben:"
"delete_person";"Diese Person löschen"
"confirm_delete_person";"Möchten Sie diese Person wirklich aus der GEDCOM-Datei löschen?"
"find_media";"Multimedia-Datei suchen"
"set_link";"Link setzen"
"add_source_lbl";"Quelle hinzufügen"
"add_source";"Eine neue Quelle hinzufügen"
"add_note_lbl";"Notiz hinzufügen"
"add_note";"Eine neue Notiz hinzufügen"
"add_media_lbl";"Multimedia-Datei hinzufügen"
"add_media";"Eine neue Multimedia-Datei hinzufügen"
"delete_source";"Diese Quelle löschen"
"confirm_delete_source";"Möchten Sie diese Quelle wirklich aus der GEDCOM-Datei löschen?"
"add_husb";"Ehemann hinzufügen"
"add_husb_to_family";"Einen Ehemann zu dieser Familie hinzufügen"
"add_wife";"Ehefrau hinzufügen"
"add_wife_to_family";"Eine Ehefrau zu dieser Familie hinzufügen"
"find_family";"Familie suchen"
"find_fam_list";"Familien-Liste suchen"
"add_new_wife";"Eine weitere Ehefrau hinzufügen"
"add_new_husb";"Einen weiteren Ehemann hinzufügen"
"edit_name";"Namen editieren"
"delete_name";"Namen löschen"
"no_temple";"Kein Tempel - Ordinanz zu Lebzeiten"
"replace";"Datensatz ersetzen"
"append";"Datensatz hinzufügen"
"add_father";"Einen Vater hinzufügen"
"add_mother";"Eine Mutter hinzufügen"
"add_obje";"Ein neues Multimedia-Objekt hinzufügen"
"no_changes";"Es liegen derzeit keine Änderungen zur Überprüfung vor."
"accept";"Akzeptieren"
"accept_all";"Alle Änderungen akzeptieren"
"accept_successful";"Änderungen erfolgreich in die Datenbank übernommen"
"select_date";"Datum auswählen"
"create_source";"Neue Quelle anlegen"
"new_source_created";"Neue Quelle erfolgreich erstellt."
"paste_id_into_field";"Fügen Sie die folgende Quellen-Identifikation in das jeweilige Eingabefeld ein, um auf diese Quelle zu verweisen: "
"add_name";"Neuen Namen hinzufügen"
"privacy_not_granted";"Sie haben keinen Zugriff auf"
"user_cannot_edit";"Dieser Benutzername kann diese GEDCOM-Datei nicht editieren."
"gedcom_editing_disabled";"Editieren dieser GEDCOM-Datei wurde vom Administrator deaktiviert."
"privacy_prevented_editing";"Die Datenschutzeinstellungen verhindern, dass Sie diesen Datensatz bearbeiten können."
"add_asso";"Einen neuen Partner hinzufügen"
"edit_sex";"Geschlecht ändern"
"on_this_day";"An diesem Tag in Ihrer Chronik..."
"in_this_month";"In diesem Monat in Ihrer Chronik..."
"in_this_year";"In diesem Jahr in Ihrer Chronik..."
"year_anniversary";"#year_var#. Jahrestag"
"today";"Heute"
"day";"Tag:"
"month";"Monat:"
"showcal";"Anzeige der Ereignisse von:"
"sunday";"Sonntag"
"monday";"Montag"
"tuesday";"Dienstag"
"wednesday";"Mittwoch"
"thursday";"Donnerstag"
"friday";"Freitag"
"saturday";"Samstag"
"all_people";"Alle Personen"
"living_only";"Lebende Personen"
"recent_events";"Jüngere Ereignisse (&lt; 100 Jahre)"
"day_not_set";"Kein Tag angegeben"
"year_error";"Daten vor 1970 werden leider nicht unterstützt."
"lost_password";"Haben Sie Ihr Passwort verloren?"
"requestpassword";"Passwort verloren! Neues beantragen"
"no_account_yet";"Haben Sie noch keine Benutzerdaten?"
"requestaccount";"Als neuer Benutzer anmelden"
"emailadress";"E-Mail Adresse"
"mail01_line01";"Hallo #user_fullname# ..."
"mail01_line02";"Auf der Website ( #SERVER_NAME# ) wurde ein Benutzerantrag mit Ihrer E-Mail-Adresse ( #user_email# ) gestellt."
"mail01_line03";"Informationen zu der Anfrage können Sie unter dem untenstehenden Link abrufen."
"mail01_line04";"Bitte klicken Sie nun auf den folgenden Link und geben die dort geforderten Daten ein, um Ihre Anmeldung und Ihre E-Mail-Adresse zu bestätigen."
"mail01_line05";"Falls Sie keinen Zugang beantragt haben, können Sie diese Mail einfach löschen."
"mail01_line06";"Sie werden keine weitere Mail mehr erhalten, da ohne Verifizierung die angegebenen Daten nach einer Woche automatisch gelöscht werden."
"mail01_subject";"Ihre Anmeldung bei #SERVER_NAME#"
"mail02_line01";"Hallo Administrator ..."
"mail02_line02";"Eine neuer Benutzer hat sich auf der Website ( #SERVER_NAME# ) angemeldet."
"mail02_line03";"Der Benutzer hat eine E-Mail mit den zur Verifizierung notwendigen Informationen erhalten."
"mail02_line04";"Sobald diese Verifikation erfolgt ist, werden Sie erneut benachrichtigt und aufgefordert, diese Person freizuschalten. Der Benutzer kann sich auf der Seite solange nicht anmelden, bis Sie seinen Zugang aktivieren."
"mail02_line04a";"Sobald diese Verifikation erfolgt ist, werden Sie erneut benachrichtigt. Der Benutzer kann sich ab dem Zeitpunkt seiner Verifikation auf der Seite anmelden, ohne dass Sie weitere Schritte unternehmen müssen."
"mail02_subject";"Neue Anmeldung bei #SERVER_NAME#"
"hashcode";"Verifizierungscode:"
"thankyou";"Hallo #user_fullname# ...<br />Danke für Ihre Anmeldung"
"pls_note06";"Ihnen wird nun eine Bestätigungsmail an die Adresse ( #user_email# ) geschickt. Sie müssen den in der Mail enthaltenen Anweisungen folgen, um ihren Account zu aktivieren. Falls Sie innerhalb von 7 Tagen nicht reagieren, wird Ihre Anfrage automatisch abgewiesen. Sie müssen sich dann erneut anmelden.<br /><br />Wenn Sie den Anweisungen in der Bestätigungs-Mail gefolgt sind, muss der Administrator Ihren Account noch freischalten, bevor Sie ihn benutzen können.<br /><br />Um sich auf dieser Web-Seite anzumelden, benötigen Sie Ihren Benutzernamen und Ihr Passwort.<br /><br />"
"pls_note06a";"Ihnen wird nun eine Bestätigungsmail an die Adresse ( #user_email# ) geschickt. Sie müssen den in der Mail enthaltenen Anweisungen folgen, um ihren Account zu aktivieren. Falls Sie innerhalb von 7 Tagen nicht reagieren, wird Ihre Anfrage automatisch abgewiesen. Sie müssen sich dann erneut anmelden.<br /><br />Wenn Sie den Anweisungen in der Bestätigungs-Mail gefolgt sind, können Sie sich sofort auf dieser Web-Seite anmelden. Dazu benötigen Sie Ihren Benutzernamen und Ihr Passwort.<br /><br />"
"registernew";"Verifizierung der neuen Benutzerdaten"
"user_verify";"Benutzer Verifizierung"
"send";"Absenden"
"pls_note07";"Bitte geben Sie nun Ihren Benutzernamen, Ihr Passwort und den Verifizierungscode ein, den Sie per E-Mail erhalten haben, um Ihre Anmeldung zu bestätigen."
"pls_note08";"Die Angaben für den Benutzer #user_name# wurden überprüft."
"mail03_line01";"Hallo Administrator ..."
"mail03_line02";"#newuser[username]# ( #newuser[fullname]# ) hat die Registrierungsdaten verifiziert."
"mail03_line03";"Bitte klicken Sie jetzt auf den unten stehenden Link und loggen sich ein. Sie müssen die Daten dieses Benutzers editieren, damit dieser sich einloggen kann."
"mail03_line03a";"Der Benutzer kann sich jetzt anmelden; Sie müssen nichts weiter unternehmen."
"mail03_subject";"Neue Verifizierung bei #SERVER_NAME#"
"pls_note09";"Sie haben Ihren Antrag auf Benutzer-Registrierung bestätigt."
"pls_note10";"Der Administrator wurde benachrichtigt. Sobald dieser Ihren Account freigegeben hat, können Sie sich mit Ihrem Benutzernamen und Ihrem Passwort einloggen."
"pls_note10a";"Sie können sich jetzt mit ihrem Benutzernamen und Passwort anmelden."
"data_incorrect";"Die Daten waren falsch, bitte versuchen Sie es erneut."
"user_not_found";"Die eingegebenen Informationen waren falsch. Bitte versuchen Sie es erneut."
"lost_pw_reset";"Passwort neu anfordern"
"pls_note11";"Um ein neues Passwort zu beantragen, geben Sie bitte Ihren Benutzernamen und die E-Mail-Adresse Ihres Zugangs ein.<br /><br />Wir werden Ihnen eine spezielle URL zumailen, die einen Bestätigungs-Code für Ihren Zugang enthält. Auf der Web-Seite dieser URL können Sie Ihr Passwort ändern und sich anmelden. Aus Sicherheitsgründen dürfen Sie diesen Bestätigungs-Code niemandem mitteilen, auch nicht dem Administrator dieser Seite (wir werden Sie nie danach fragen!).<br /><br />Falls Sie Hilfe benötigen, schreiben Sie bitte eine Anfrage an den Administrator."
"enter_email";"Sie müssen eine E-Mail-Adresse angeben."
"mail04_line01";"Hallo #user_fullname#..."
"mail04_line02";"Für ihren Benutzernamen wurde ein neues Passwort angefordert."
"mail04_line03";"Empfehlung:"
"mail04_line04";"Bitte klicken Sie jetzt auf den unten stehenden Link oder kopieren Sie ihn in die Adresszeile Ihres Browsers, loggen sich mit dem neuen Passwort ein und ändern Sie es umgehend aus Datenschutzgründen."
"mail04_subject";"Datenanforderung bei #SERVER_NAME#"
"pwreqinfo";"Hallo...<br /><br />Das neue Passwort wurde an die von Ihnen angegebene E-Mail-Adresse versandt.<br /><br />Sie sollten die E-Mail bald in Ihrem Postfach finden.<br /><br />Hinweis:<br />Sie sollten sich baldmöglichst mit dem neuen Passwort anmelden und Ihr Passwort aus Datenschutzgründen gleich ändern."
"editowndata";"Eigene Benutzerdaten bearbeiten"
"savedata";"Geänderte Daten speichern"
"datachanged";"Benutzerdaten wurden geändert"
"datachanged_name";"Möglicherweise müssen Sie sich mit Ihrem neuen Benutzernamen neu anmelden."
"myuserdata";"Meine Benutzerdaten"
"verified";"Benutzer hat sich selber verifiziert"
"verified_by_admin";"Benutzer wurde durch den Administrator freigegeben"
"user_theme";"Mein Theme"
"mgv";"MeinGedView"
"passwordlength";"Das Passwort muss mindestens 6 Zeichen lang sein."
"admin_approved";"Ihr Zugang für #SERVER_NAME# wurde freigegeben"
"you_may_login";"vom Administrator dieser Seite. Mit dem folgenden Link können Sie sich jetzt auf der Genmod Seite einloggen:"
"welcome_text_auth_mode_1";"<center><b>Willkommen auf dieser Genealogie-Webseite</b></center><br /><br />Den Zugriff auf diese Seite erhält jeder Benutzer, der einen Zugang beantragt hat.<br /><br />Wenn Sie bereits einen Benutzerzugang haben, können Sie sich auf dieser Seite einloggen. Wenn Sie noch keinen Zugang besitzen, können Sie diesen beantragen, indem Sie auf den entsprechenden Link klicken.<br /><br />Sobald Ihre Angaben überprüft wurden, wird der Administrator Ihren Zugang freischalten. Sie werden dann eine Bestätigungsungsmail erhalten."
"welcome_text_auth_mode_2";"<center><b>Willkommen auf dieser Genealogie-Webseite</b></center><br /><br /><br />Der Zugriff auf diese Seite ist nur <u>autorisierten</u> Benutzern erlaubt.<br /><br />Wenn Sie bereits einen Benutzerzugang haben, können Sie sich auf dieser Seite einloggen. Wenn Sie noch keinen Zugang besitzen, können Sie diesen beantragen, indem Sie auf den entsprechenden Link klicken.<br /><br />Sobald Ihre Angaben überprüft wurden, wird der Administrator Ihrem Antrag zustimmen (oder ihn ablehnen). Sie werden eine E-Mail mit dem Antragsergebnis erhalten."
"welcome_text_auth_mode_3";"<center><b>Willkommen auf dieser Genealogie-Webseite</b></center><br /><br />Den Zugriff auf diese Seite erhalten <u>nur Familienmitglieder</u>.<br /><br />Wenn Sie bereits einen Benutzerzugang haben, können Sie sich auf dieser Seite einloggen. Wenn Sie noch keinen Zugang besitzen, können Sie diesen beantragen, indem Sie auf den entsprechenden Link klicken.<br /><br />Sobald Ihre Angaben überprüft wurden, wird der Administrator Ihrem Antrag zustimmen (oder ihn ablehnen).<br />Sie werden eine E-Mail mit dem Antragsergebnis erhalten."
"welcome_text_cust_head";"<center><b>Willkommen auf dieser Genealogie-Webseite</b></center><br /><br />Der Zugriff ist Benutzern vorbehalten, die einen Benutzernamen und ein Passwort für diese Webseite haben.<br />"
"welcome";"Willkommen"
"upcoming_events";"Bevorstehende Ereignisse"
"living_or_all";"Nur Ereignisse von lebenden Personen anzeigen?"
"no_events_living";"Für die nächsten #gm_lang[global_num1]# Tage stehen keine Ereignisse für lebende Personen bevor."
"no_events_living1";"Für morgen stehen keine Ereignisse für lebende Personen bevor."
"no_events_all";"In den nächsten #gm_lang[global_num1]# Tagen stehen keine Ereignisse bevor."
"no_events_all1";"Für morgen stehen keine Ereignisse bevor."
"no_events_privacy";"Für die nächsten #gm_lang[global_num1]# Tage stehen zwar Ereignisse bevor aber aus Datenschutz-Gründen können diese nicht angezeigt werden."
"no_events_privacy1";"Für morgen stehen zwar Ereignisse bevor aber aus Datenschutz-Gründen können diese nicht angezeigt werden."
"none_today_living";"Am heutigen Tag gibt es keine Ereignisse für lebende Personen."
"none_today_all";"Am heutigen Tag gibt es keine Ereignisse."
"none_today_privacy";"Am heutigen Tag gibt es zwar Ereignisse aber aus Datenschutz-Gründen können diese nicht angezeigt werden."
"chat";"Chat"
"users_logged_in";"Angemeldete Benutzer"
"anon_user";"1 anonymer angemeldeter Benutzer"
"anon_users";"#gm_lang[global_num1]# anonyme angemeldete Benutzer"
"login_user";"1 angemeldeter Benutzer"
"login_users";"#gm_lang[global_num1]# angemeldete Benutzer"
"no_login_users";"Keine angemeldeten oder anonymen Benutzer"
"message";"Nachricht senden"
"my_messages";"Meine Nachrichten"
"date_created";"gesendet:"
"message_from";"E-Mail Adresse:"
"message_from_name";"Ihr Name:"
"message_to";"An:"
"message_subject";"Betreff:"
"message_body";"Text:"
"no_to_user";"Bitte Empfänger angeben."
"provide_email";"Bitte geben Sie die E-Mail-Adresse an, damit wir Ihre Nachricht beantworten können, andernfalls ist eine Antwort nicht möglich. Ihre E-Mail-Adresse wird ausschließlich zur Beantwortung Ihrer Anfrage genutzt."
"reply";"Antwort"
"message_deleted";"Nachricht gelöscht"
"message_sent";"Nachricht gesendet"
"reset";"Reset"
"site_default";"Grundeinstellung"
"mygedview_desc";"Dieses Portal ermöglicht Ihnen das Anlegen von Lesezeichen zu bevorzugten Personen, Überwachen bevorstehender Ereignisse und die Zusammenarbeit mit anderen Genmod Benutzern."
"no_messages";"Keine neuen Nachrichten."
"clicking_ok";"Durch Klick auf OK, können Sie im sich dann öffnenden Fenster #user[fullname]# kontaktieren."
"my_favorites";"Meine Lesezeichen"
"no_favorites";"Sie haben noch keine Lesezeichen gesetzt. Dies können Sie tun, indem Sie in der Detailansicht einer Person auf den <b>Lesezeichen hinzufügen</b>-Button klicken, oder indem Sie die folgende ID-Box benutzen."
"add_to_my_favorites";"Lesezeichen hinzufügen"
"no_gedcom_favorites";"Derzeit sind keine Lesezeichen angelegt. Der Administrator kann Lesezeichen einrichten, die Ihnen hier angezeigt werden."
"confirm_fav_remove";"Möchten Sie dieses Lesezeichen wirklich löschen?"
"invalid_email";"Bitte geben Sie eine gültige E-Mail-Adresse ein."
"enter_subject";"Bitte geben Sie einen Betreff ein."
"enter_body";"Bitte geben Sie vor dem Senden einen Text ein."
"confirm_message_delete";"Möchten Sie diese Nachricht wirklich löschen? Sie kann anschließend nicht wiederhergestellt werden."
"message_email1";"Die folgende Nachricht wurde an Ihr Genmod Benutzer-Postfach gesendet von "
"message_email2";"Sie haben die folgende Nachricht an einen Genmod Benutzer gesendet:"
"message_email3";"Sie haben die folgende Nachricht an einen Genmod Administrator gesendet:"
"viewing_url";"Diese Nachricht wurde gesendet als die folgende Seite aufgerufen wurde: "
"random_picture";"Zufällig ausgewähltes Bild"
"message_instructions";"<b>Bitte beachten:</b> Private Informationen von lebenden Personen werden nur Familienangehörigen und nahen Freunden zugänglich gemacht. Bevor Sie irgendwelche persönlichen Daten ansehen können, müssen Sie Ihren Verwandtschaftsgrad belegen. Es kann auch vorkommen, dass bestimmte Daten von bereits verstorbenen Personen privat sind. Dies kann der Fall sein, wenn nicht genügend Informationen vorhanden sind, um sicher zu belegen, ob die Person noch lebt oder verstorben ist.<br /><br />Bevor Sie Fragen stellen, überprüfen Sie bitte, dass Sie über die von Ihnen gesuchte Person fragen, indem Sie Orte, Zeitangaben und Verwandte prüfen. Falls Sie Änderungen der genealogischen Daten übermitteln, geben Sie bitte auch die Quelle an, von der Sie Ihre Informationen bezogen haben.<br /><br />"
"sending_to";"Diese Nachricht wird an #TO_USER# gesendet"
"preferred_lang";"Dieser Nutzer bevorzugt Nachrichten in #USERLANG#"
"gedcom_created_on";"Diese GEDCOM-Datei wurde am <b>#DATE#</b> erstellt"
"customize_page";"Mein GedView Portal anpassen"
"customize_gedcom_page";"Stammbaum Begrüßungs-Seite anpassen"
"upcoming_events_descr";"Der Block "Bevorstehende Ereignisse" zeigt eine Liste von Daten aus der Datenbank an, die sich in den kommenden 30 Tagen jähren.<br /><br />Auf der Mein GedView-Seite des Benutzers zeigt dieser Block nur lebende Personen, auf der Stammbaum-Begrüßungs-Seite zeigt er Daten aller Personen."
"todays_events_descr";"Der Block "An diesem Tag in Ihrer Chronik..." zeigt eine Liste von Ereignissen in der Datenbank an, die sich heute jähren.<br /><br />Wenn keine Ereignisse stattfanden, wird der Block nicht angezeigt. Auf der Mein GedView-Seite des Benutzers zeigt dieser Block nur lebende Personen, auf der Stammbaum-Begrüßungs-Seite zeigt er Daten aller Personen."
"logged_in_users_descr";"Der Block "Angemeldete Benutzer" zeigt eine Liste der Personen, die derzeit auf dieser Seite angemeldet sind."
"user_messages_descr";"Der Block "Benutzer-Nachrichten" zeigt eine Liste von Nachrichten an, die der aktuelle Benutzer erhalten hat."
"user_favorites_descr";"Der "Lesezeichen"-Block zeigt dem Benutzer eine Liste der von ihm als wichtig angesehenen Personen in der Datenbank an, deren Daten er so schneller wieder auffinden kann."
"welcome_descr";"Der "Benutzer Willkommen"-Block zeigt den Benutzer, das aktuelle Datum und die Uhrzeit, Links, um die Benutzereinstellungen zu ändern und zu seiner eigenen Stammbaumansicht und einen Link zur Anpassung seiner Mein GedView-Seite."
"random_media_descr";"Der Block "Zufälliges Bild" wählt bei jedem Portalaufruf zufällig ein Bild aus der Datenbank aus und zeigt es an."
"gedcom_descr";"Der Block "GEDCOM-Willkommen" ist equivalent zum "Benutzer Willkommen"-Block indem er dem Benutzer den Titel der aktuellen Datei, sowie Datum und Uhrzeit anzeigt."
"gedcom_favorites_descr";"Der Block "GEDCOM-Lesezeichen" gibt dem Administrator die Möglichkeit, wichtige Personen der Datenbank als Lesezeichen einzutragen, so dass die Besucher sie einfach finden können."
"gedcom_stats_descr";"Der "GEDCOM-Statistik"-Block zeigt dem Besucher einige Basis-Informationen über die GEDCOM-Datei, z.B. wann sie erstellt wurde und wie viele Personen sie umfasst.<br /><br />Es kann auch eine Liste der am häufigsten vorkommenden Namen angezeigt werden. Zu dieser Liste können Namen hinzugefügt oder daraus Namen unterdrückt werden. Der Häufigkeitswert, ab wann ein Name in dieser Liste auftaucht, kann in der GEDCOM-Konfiguration eingestellt werden."
"gedcom_stats_show_surnames";"Häufig vorkommende Nachnamen anzeigen?"
"portal_config_intructions";"Sie können die Seite Ihren Wünschen anpassen, indem Sie die Positionen der einzelnen Blöcke angeben.<br /><br />Die Seite ist die beiden Bereiche <b>Hauptbereich</b> und <b>Rechts</b> aufgeteilt. Die Blöcke im <b>Hauptbereich</b> erscheinen größer und unterhalb der Seiten-Überschrift. Der Bereich <b>Rechts</b> beginnt rechts von der Überschrift und setzt sich am rechten Rand der Seite nach unten fort.<br /><br />Jeder Bereich hat seine eigene Liste von Blöcken, die dort in der Reihenfolge ihrer Nennung angezeigt werden. Sie können Blöcke hinzufügen, entfernen oder umsortieren, wie es Ihnen beliebt.<br /><br />Wenn eine der beiden Listen leer ist, dann werden die Blöcke des anderen Bereiches auf der vollen Seitenbreite dargestellt.<br /><br />"
"login_descr";"Der "Login"-Block ermöglicht Benutzern das Anmelden auf dieser Seite."
"theme_select_descr";"Der Block "Theme Auswahl" zeigt die Theme-Auswahl-Liste an - auch dann, wenn der Wechsel des Themes eigentlich deaktiviert ist."
"block_top10_title";"Häufigste Nachnamen"
"block_top10_descr";"Dieser Block zeigt eine Liste mit den 10 häufigsten Nachnamen der Datenbank. Die tatsächliche Länge der Liste ist konfigurierbar. Sie können auch bestimmte Namen in der Liste unterdrücken."
"gedcom_news_descr";"Der "GEDCOM-Neuigkeiten"-Block zeigt dem Besucher neue Veröffentlichungen oder Artikel an, die der Administrator meldet.<br /><br />Dieser Bereich ist ein guter Platz für die Mitteilung über eine neue GEDCOM-Datei, zur Ankündigung eines Familientreffens oder die Bekanntgabe der Geburt eines neuen Familienmitgliedes."
"user_news_descr";"Der Block "Benutzer-Journal" ermöglicht dem Benutzer Notizen oder ein Journal online zu verwalten."
"my_journal";"Mein Journal"
"no_journal";"Sie haben noch keine Journal-Einträge angelegt."
"confirm_journal_delete";"Möchten Sie diesen Journal-Eintrag wirklich löschen?"
"add_journal";"Einen neuen Journal-Eintrag hinzufügen"
"confirm_news_delete";"Möchten Sie diesen Neuigkeiten-Eintrag wirklich löschen?"
"add_news";"Einen Artikel unter Neuigkeiten eintragen"
"no_news";"Es sind keine Neuigkeiten eingetragen."
"edit_news";"Journal/Neuigkeiten-Einträge hinzufügen/bearbeiten"
"enter_title";"Bitte geben Sie einen Titel ein."
"enter_text";"Bitte geben Sie Text für diesen Journal/Neuigkeiten-Eintrag ein."
"news_saved";"Der Neuigkeiten/Journal-Eintrag wurde erfolgreich gespeichert."
"article_text";"Text:"
"main_section";"Blöcke im Hauptbereich"
