"stat_sources";"Nguồn,"
"no_gedcom_favorites";"Tới ngày nay chưa có Người Ưa Chuộng được chọn. Người quản lý có thể lựa Người Ưa Chuộng đặng phô bày khi bắt đầu."
"confirm_fav_remove";"Có chắc là muốn lấy món này ra khỏi sổ Ưa Chuộng?"
"random_picture";"Bức ảnh tuyển lựa tình cờ"
"sending_to";"Bức điện này sẽ gửi cho #TO_USER#"
"preferred_lang";"Người này muốn đọc bức điện bằng tiếng #USERLANG#"
"gedcom_created_on";"Cái GEDCOM này gây ra từ <b>#DATE#</b>"
"customize_page";"Tùy biến Trang GedView của Tôi"
"customize_gedcom_page";"Tùy biến trang Chào Mừng GEDCOM này"
"user_news_descr";"Khối nhật ký của thành viên cho phép thành viên ghi chuyện hoặc giữ nhật ký."
"my_journal";"Nhật ký của tôi"
"no_journal";"Bạn không có gây ra mục Nhật ký nào."
"confirm_journal_delete";"Có chắc là muốn xóa mục Nhật ký này?"
"add_journal";"Cho vào mục Nhật ký mới"
"confirm_news_delete";"Bạn có chắc là muốn xóa cái tin tức mới cho vào không?"
"add_news";"Thêm một tin tức mới"
"no_news";"Không ai nộp tin tức nào mới.  "
"enter_title";"Xin cho vào đầu đề."
"move_up";"Đi lên"
"move_down";"Đi xuống"
"move_right";"Đi phải"
"move_left";"Đi trái"
"default_news_title";"Bản Phả Hệ của Bạn"
"default_news_text";"Gia Phả ở trên cái website này chu cấp bởi <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a>. Trang này dùng làm bước đầu vào cái bản phả hệ này.<br /><br /> Đặng bắt đầu làm việc với dữ kiện, hoặc là lựa một trong mấy cái <b>Đồ Thị</b>, hoặc là dùng <b>Danh Sách</b>, hoặc là <b>Tìm Kiếm</b> tên hay là nơi.<br /><br /> Nếu có trở ngại,  hảy dùng tượng <b>Hướng Dẫn</b> đặng có thêm giảng giải làm sao sài cái trang bạn đang coi.<br /><br /> Xin cám ơn đã viếng thăm nơi này."
"reset_default_blocks";"Đặt lại vào Đoạn Mặc Định"
"recent_changes";"Thay Đổi Mới Đây"
"day_before_month";"Ngày trước tháng (NN TT NNNN)"
"month_before_day";"Tháng trước ngày (TT NN NNNN)"
"do_not_change";"Đừng đổi"
"add_media_tool";"Chương Trình Thêm Môi Thể"
"launch_media_tool";"Nhấn vào đây đặng thi hành Chương Trình Thêm Môi Thể"
"media_table_created";"Hiện đại hoá bản <i>media</i> thành công."
"click_to_add_media";"Nhấn vào đây đặng thêm Môi Thể ở trên vào GEDCOM #GEDCOM#"
"adds_completed";"Thêm Môi Thể vào tập tin GEDCOM tốt đẹp."
"invalid_header";"Khám phá hàng đằng trước cái góp điện GEDCOM  <b>0&nbsp;HEAD</b>. Sau khi dọn dẹp, sẽ bỏ đi những hàng này."
"cleanup_places";"Dọn dẹp những Nơi"
"empty_lines_detected";"Khám phá hàng trống trong tập tin GEDCOM.  Sau khi dọn dẹp, sẽ bỏ đi những hàng trống."
"choose_report";"Chọn Bản Báo Cáo"
"enter_report_values";"Cho vào năng suất bản báo cáo"
"selected_report";"Bản Báo Cáo Đã Chọn"
"run_report";"Coi Bản Báo Cáo"
"select_report";"Lựa bản báo cáo"
"download_report";"Lấy bản báo cáo xuống"
"pdf_reports";"Báo Cáo bằng PDF"
"html_reports";"Báo Cáo bằng HTML"
"family_group_report";"Báo Cáo theo Gia Đình"
"page";"Trang"
"of";"của"
"enter_famid";"Cho vào Nhận Diện Gia Đình"
"show_notes";"Cho xem lời ghi?"
"show_photos";"Cho xem ảnh?"
"individual_report";"Báo Cáo theo tửng Người"
"enter_pid";"Cho vào Nhận Diện cá nhân"
"individual_list_report";"Bản Báo Cáo Danh Sách Từng Người"
"generated_by";"Tạo ra bởi"
"list_children";"Liệt kê mỗi con theo thứ tự ngày đẻ."
"birth_report";"Báo Cáo theo Ngày và Nơi Đẻ"
"birthplace";"Trong Nơi Đẻ có"
"birthdate1";"Giới hạn đầu Ngày Sinh"
"birthdate2";"Giới hạn cuối Ngày Sinh"
"sort_by";"Sắp xếp theo"
"cleanup";"Dọn sạch"
"skip_cleanup";"Khỏi dọn"
"dynasty_list";"Khái quát những gia đình"
"statistics";"Thống Kê"
"merge_records";"Hoà Ký Lục vào cùng nhau"
"merge_same";"Ký Lục không cùng loại. Không hoà Ký Lục khác loại nhau được."
"merge_step1";"Hoà vào, bước 1 trong 3 "
"merge_step2";"Hoà vào, bước 2 trong 3 "
"merge_step3";"Hoà vào, bước 3 trong 3 "
"select_gedcom_records";"Chọn hai ký lục GEDCOM đặng hoà với nhau. Ký lục phải cùng loại."
"merge_to";"Hoà tới Nhận Diện:"
"merge_from";"Hoà từ Nhận Diện:"
"merge_facts_same";"Những sự kiện trong hai ký lục này y hệt nhau và sẽ tự động hoà với nhau."
"no_matches_found";"Không tìm thấy sự kiện xứng hợp"
"unmatching_facts";"Những sự kiện này không xứng hợp. Xin lựa cái nào muốn giữ lại."
"record";"Ký lục"
"adding";"Đang thêm"
"merge_more";"Hoà những Ký Lục sau nữa vào nhau."
"show_cousins";"Cho xem các hạ"
"sosa_2";"Bố"
"sosa_3";"Mẹ"
"sosa_4";"Ông nội"
"sosa_5";"Bà nội"
"sosa_6";"Ông ngoại"
"sosa_7";"Bà ngoại"
"sosa_8";"Ông cố nội"
"sosa_9";"Bà cố nội"
"sosa_10";"Ông cố nội"
"sosa_11";"Bà cố nội"
"sosa_12";"Ông cố ngoại"
"sosa_13";"Bà cố ngoại"
"sosa_14";"Ông cố ngoại"
"sosa_15";"Bà cố ngoại"
"sosa_16";"Ông cố cố nội"
"sosa_17";"Bà cố cố nội"
"sosa_18";"Ông cố cố nội"
"sosa_19";"Bà cố cố nội"
"sosa_20";"Ông cố cố nội"
"sosa_21";"Bà cố cố nội"
"sosa_22";"Ông cố cố nội"
"sosa_23";"Bà cố cố nội"
"fontfile_error";"Không tìm thấy được tập tin tuồng chữ in trong server PHP."
"godfather";"Cha đỡ đầu"
"godmother";"Mẹ đỡ đầu"
"godparent";"Cha mẹ đỡ đầu"
"informant";"Người cung cấp tin tức"
"lodger";"Người ở trọ"
"nurse";"Y Tá"
"priest";"Thầy tu"
"servant";"Người Hầu"
"twin";"Sinh đôi "
"twin_brother";"Anh(em) sinh đôi"
"twin_sister";"Chị(em) sinh đôi"
"witness";"Người làm chứng"
"stat_301_mf";"nam/nữ"
"stpltype";"loại:"
"stplnoim";"chưa thực hiện:"
"stplmf";"/đàn ông-đàn bà"
"stplmonth";"tháng"
"stplnumbers";"số cho một gia đình"
"stplage";"tuổi"
"stplperc";"tỷ lệ phần trăm"
"is_alive_in";"Còn Sống trong #YEAR#"
"alive";"Còn Sống"
"dead";"Chết"
"maybe";"Có thể"
"definitions";"Những Định Nghĩa"
"options";"Món lựa chọn được:"
"help_header";"Chi tiết về:"
"SHOW_SOURCES";"Cho xem nguồn?"
"date_format";"Khuôn Ngày:"
"0";"0"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
