"select_an_option";"Select an option below:"
"file_exists";"There is already a file with that file name. Please choose a different file name or delete the old file."
"new_gedcom_title";"Genealogy from [#GEDCOMFILE#]"
"upload_error";"There was an error uploading your file."
"add_gedcom_instructions";"Enter a file name for this new GEDCOM.  The new GEDCOM file will be created in the Index directory: #INDEX_DIRECTORY#"
"file_success";"File successfully uploaded"
"file_too_big";"Uploaded file exceeds the allowed size"
"file_partial";"File was only partially uploaded, please try again"
"file_missing";"No file was received. Please upload again."
"manage_gedcoms";"Manage GEDCOMs and edit Privacy"
"research_log";"ToDo's"
"administration";"Administration"
"ansi_to_utf8";"Convert this ANSI encoded GEDCOM to UTF-8?"
"utf8_to_ansi";"Do you want to convert from UTF-8 to ANSI (ISO-8859-1)?"
"visitor";"Visitor"
"user";"Authenticated user"
"gedadmin";"GEDCOM administrator"
"siteadmin";"Site administrator"
"apply_privacy";"Apply privacy settings?"
"choose_priv";"Choose privacy level:"
"user_manual";"Genmod User Manual"
"upgrade";"Upgrade Genmod"
"view_logs";"View log files"
"logfile_content";"Content of log file"
"step1";"Step 1 of 4:"
"step2";"Step 2 of 4:"
"step3";"Step 3 of 4:"
"step4";"Step 4 of 4:"
"validate_gedcom";"Validate GEDCOM"
"download_note";"NOTE: Large GEDCOMs can take a long time to process before downloading.  If PHP times out before the download is complete, you may not get a complete download.<br /><br />To make sure that the GEDCOM file was downloaded correctly, check that its last line is <b>0&nbsp;TRLR</b>.  GEDCOM files are text; you can use any suitable text editor, but be sure to <u>not</u> save the downloaded GEDCOM file after you have inspected it.<br /><br />In general, it could take as much time to download as it took to import your GEDCOM file."
"gm_registry";"View other sites using Genmod"
"verify_upload_instructions";"A GEDCOM file with the same name has been found. If you choose to continue, the old GEDCOM file will be replaced with the file that you uploaded and the Import process will begin again.  If you choose to cancel, the old GEDCOM will remain unchanged."
"cancel_upload";"Cancel Upload"
"add_media_records";"Add Media records"
"manage_media_files";"Manage Media files"
"link_media_records";"Link Media"
"add_media_button";"Add Media"
"media_linked";"This media object is linked to the following:"
"media_not_linked";"This media object is not linked to any GEDCOM record."
"phpinfo";"PHP information"
"admin_info";"Informational"
"admin_geds";"Data and GEDCOM administration"
"admin_site";"Site administration"
"person1";"Person 1"
"person2";"Person 2"
"no_link_found";"No (other) link between the two individuals could be found."
"sibling";"Sibling"
"follow_spouse";"Check relationships by marriage."
"timeout_error";"The script timed out before a relationship could be found."
"son";"Son"
"daughter";"Daughter"
"son-in-law";"Son-in-law"
"daughter-in-law";"Daughter-in-law"
"grandchild";"Grandchild"
"grandson";"Grandson"
"granddaughter";"Granddaughter"
"brother";"Brother"
"sister";"Sister"
"brother-in-law";"Brother-in-law"
"sister-in-law";"Sister-in-law"
"aunt";"Aunt"
"uncle";"Uncle"
"firstcousin";"First cousin"
"femalecousin";"Female cousin"
"malecousin";"Male cousin"
"cousin-in-law";"Cousin-in-law"
"relationship_to_me";"Relationship to me"
"rela_husb";"Relationship to husband"
"rela_wife";"Relationship to wife"
"next_path";"Find next path"
"show_path";"Show path"
"line_up_generations";"Line up the same generations"
"oldest_top";"Show oldest top"
"check_delete";"Are you sure you want to delete this fact?"
"access_denied";"<b>Access Denied</b><br />You do not have access to this resource."
"gedrec_deleted";"Record successfully deleted."
"gedcom_deleted";"File [#GED#] successfully deleted."
"changes_exist";"Changes have been made to this file."
"accept_changes";"Accept / Reject Changes"
"reject";"Reject"
"change_type";"Change type"
"edit_raw";"Edit raw GEDCOM record"
"edit_gender";"Edit gender"
"add_gender";"Add gender"
"show_changes";"This record has been updated.  Click here to show changes."
"hide_changes";"Click here to hide changes."
"review_changes";"Review File Changes"
"reject_successful";"Reject successful"
"undo";"Undo"
"view_change_diff";"View Change Diff"
"changes_occurred";"The following changes were made to this individual:"
"find_place";"Find Place"
"refresh";"Refresh"
"close_window";"Close Window"
"close_window_without_refresh";"Close Window Without Reloading"
"place_contains";"Place contains:"
"accept_gedcom";"Decide for each change to either accept or reject it.<br /><br />To accept all changes at once, click <b>"Accept all changes"</b> in the box below.<br />To get more information about a change,<br />click <b>"View change diff"</b> to see the differences,<br />or click <b>"View GEDCOM record"</b> to see the new data in GEDCOM format."
"ged_import";"Import"
"ged_reupload";"Re-upload and import"
"now_import";"You should now import the GEDCOM records into Genmod by clicking on the Import link below."
"add_fact";"Add new fact"
"add";"Add"
"custom_event";"Custom Event"
"update_successful";"Update successful"
"add_child";"Add child"
"add_child_to_family";"Add a child to this family"
"add_sibling";"Add a brother or sister"
"add_son_daughter";"Add a son or daughter"
"must_provide";"You must provide a "
"delete_person";"Delete this individual"
"confirm_delete_person";"Are you sure you want to delete this individual?"
"find_media";"Find Media"
"find_mfile";"Find Media File"
"set_link";"Set Link"
"add_source_lbl";"Add Source Citation"
"add_source";"Add a new Source Citation"
"add_gnote";"Add a (link to) a General Note"
"add_gnote_lbl";"Link General Note"
"add_note_lbl";"Add Note"
"add_note";"Add a new Note"
"add_media_lbl";"Add Media"
"add_media";"Add a new Media item"
"delete_source";"Delete this Source"
"delete_note";"Delete this General Note"
"delete_media";"Delete this Multimedia Object"
"confirm_delete_source";"Are you sure you want to delete this source?"
"confirm_delete_media";"Are you sure you want to delete this Multimedia Object?"
"confirm_delete_note";"Are you sure you want to delete this General Note?"
"add_husb";"Add husband"
"add_husb_to_family";"Add a husband to this family"
"add_wife";"Add wife"
"add_wife_to_family";"Add a wife to this family"
"find_family";"Find Family"
"find_fam_list";"Find Family List"
"add_new_wife";"Add a new wife"
"add_new_husb";"Add a new husband"
"edit_name";"Edit Name"
"delete_name";"Delete Name"
"no_temple";"No Temple - Living Ordinance"
"replace";"Replace record"
"append";"Append record"
"add_father";"Add a new father"
"add_mother";"Add a new mother"
"add_obje";"Add a new Multimedia object"
"no_changes";"There are currently no changes to be reviewed."
"accept";"Accept"
"accept_all";"Accept all changes"
"accept_all_confirm";"Are you sure you want to accept all of the changes for this file?"
"accept_successful";"Changes successfully accepted into database"
"select_date";"Select a date"
"create_source";"Create a new source"
"new_source_created";"New source created successfully."
"new_gnote_created";"New General Note created succesfully"
"paste_id_into_field";"Paste the following Source ID into your editing fields to reference this Source "
"paste_mm_id_into_field";"Paste the following Multimedia ID into your editing fields to reference this Multimedia Object "
"add_name";"Add new Name"
"privacy_not_granted";"You have no access to"
"user_cannot_edit";"This user name cannot edit this file."
"gedcom_editing_disabled";"Editing this GEDCOM has been disabled by the administrator."
"privacy_prevented_editing";"Privacy settings prevent you from editing this record."
"add_asso";"Add a new Associate"
"edit_sex";"Edit Sex"
"ged_noshow";"This page has been disabled by the site administrator."
"bdm";"Births, Marriages, Deaths"
"on_this_day";"On This Day, in Your History..."
"in_this_month";"In This Month, in Your History..."
"in_this_year";"In This Year, in Your History..."
"year_anniversary";"#year_var# year anniversary"
"today";"Today"
"day";"Day:"
"month";"Month:"
"showcal";"Show events of:"
"sunday";"Sunday"
"monday";"Monday"
"tuesday";"Tuesday"
"wednesday";"Wednesday"
"thursday";"Thursday"
"friday";"Friday"
"saturday";"Saturday"
"all_people";"All People"
"living_only";"Living People"
"recent_events";"Recent Years (&lt; 100 yrs)"
"day_not_set";"Day not set"
"year_error";"Sorry, dates before 1970 are not supported."
"lost_password";"Lost your password?"
"requestpassword";"Request new password"
"no_account_yet";"No account?"
"requestaccount";"Request new user account"
"emailadress";"Email Address"
"mandatory";"Fields marked with * are mandatory."
"mail01_line01";"Hello #user_fullname# ..."
"mail01_line02";"A request was received at ( #SERVER_NAME# ) to create an account with your email address ( #user_email# )."
"mail01_line03";"Information about the request is shown under the link below."
"mail01_line04";"Please click on this link and fill in the requested data to verify your account and email address."
"mail01_line05";"If you didn't request an account, you can just delete this message."
"mail01_line06";"You won't get any more email from this site, because the account request will be deleted automatically after seven days."
"mail01_subject";"Your registration at #SERVER_NAME#"
"mail02_line01";"Hello Administrator ..."
"mail02_line02";"A prospective user registered himself at ( #SERVER_NAME# )."
"mail02_line03";"The user received an email with the information necessary to verify his account with this link:"
"mail02_line04";"You will be informed by email when this prospective user has verified himself.  You can then complete the process by activating the user name.  The new user will not be able to login until you activate the account."
"mail02_line04a";"You will be informed by email when this prospective user has verified himself.  After verification, the user will be able to login without any action on your part."
"mail02_subject";"New registration at #SERVER_NAME#"
"hashcode";"Verification code:"
"thankyou";"Hello #user_fullname# ...<br />Thank you for your registration"
"pls_note06";"We will now send a confirmation email to the address ( #user_email# ). You must verify your account request by following instructions in the confirmation email. If you do not verify your account request within seven days, your application for an account will be rejected automatically.  You will have to apply again.<br /><br />After you have followed the instructions in the confirmation email, the administrator still has to approve your request before your account can be used.<br /><br />To login to this site, you will need to know your user name and password.<br /><br />"
"pls_note06a";"We will now send a confirmation email to the address ( #user_email# ). You must verify your account request by following instructions in the confirmation email. If you do not verify your account request within seven days, your application for an account will be rejected automatically.  You will have to apply again.<br /><br />After you have followed the instructions in the confirmation email, you can login.  To login to this site, you will need to know your user name and password.<br /><br />"
"registernew";"New Account confirmation"
"user_verify";"User verification"
"send";"Send"
"pls_note07";"~#gm_lang[user_verify]#~<br /><br />To verify your account request, please type in your user name, your password, and the verification code you received by email."
"pls_note08";"The data for the user #user_name# was checked."
"mail03_line01";"Hello Administrator ..."
"mail03_line02";"User #newuser[username]# ( #newuser[fullname]# ) has verified his registration data."
"mail03_line03";"Please click on the link below to login to your site.  You must Edit the user to activate the account so that he can login to your site."
"mail03_line03a";"You do not have to take any action; the user can now login."
"mail03_subject";"New verification at #SERVER_NAME#"
"pls_note09";"You have confirmed your request to become a registered user."
"pls_note10";"The Administrator has been informed.  As soon as he gives you permission to login, you can login with your user name and password."
"pls_note10a";"You can now login with your user name and password."
"data_incorrect";"Data was not correct, please try again"
"user_not_found";"Could not verify the information you entered.  Please try again or contact the site administrator for more information."
"lost_pw_reset";"Lost password request"
"pls_note11";"To have your password reset, enter your user name.<br /><br />We will respond by sending you an email to the address registered with your account.  The email will contain a URL and confirmation code for your account. When you visit this URL, you can change your password and login to this site. For security reasons, you should not give this confirmation code to anyone.<br /><br />If you require assistance from the site administrator, please use the contact link below."
"enter_email";"You must enter an email address."
"mail04_line01";"Hello #user_fullname# ..."
"mail04_line02";"A new password was requested for your user name."
"mail04_line03";"Recommendation:"
"mail04_line04";"Please click on the link below or paste it into your browser, login with the new password, and change it immediately to keep the integrity of your data secure."
"mail04_line05";"After you have logged in, select the '#gm_lang[myuserdata]#' link under the '#gm_lang[mygedview]#' menu and fill in the password fields to change your password."
"mail04_subject";"Data request at #SERVER_NAME#"
"pwreqinfo";"Hello...<br /><br />An email with your new password was sent to the address that is known to Genmod.<br /><br />Please check your email account; you should receive our message soon.<br /><br />Recommendation:<br />You should login to this site with your new password as soon as possible, and you should change your password to maintain your data's security."
"administrator";"Administrator"
"edit_rights";"Edit rights"
"default";"Default"
"editowndata";"My Account"
"savedata";"Save changed data"
"datachanged";"User data was changed"
"datachanged_name";"You may need to login again with your new user name."
"myuserdata";"My Account"
"verified";"User verified himself"
"verified_by_admin";"User approved by Admin"
"user_theme";"My Theme"
"mgv";"MyGenmod"
"passwordlength";"Passwords must contain at least 6 characters."
"admin_approved";"Your account at #SERVER_NAME# has been approved"
"you_may_login";"by the site administrator.  You may now login to the Genmod site by accessing the link below:"
"welcome_text_auth_mode_1";"<center><b>Welcome to this Genealogy website</b></center><br />Access to this site is permitted to every visitor who has a user account.<br /><br />If you have a user account, you can login on this page.  If you don't have a user account, you can apply for one by clicking on the appropriate link below.<br /><br />After verifying your application, the site administrator will activate your account.  You will receive an email when your application has been approved."
"welcome_text_auth_mode_2";"<center><b>Welcome to this Genealogy website</b></center><br />Access to this site is permitted to <u>authorized</u> users only.<br /><br />If you have a user account you can login on this page.  If you don't have a user account, you can apply for one by clicking on the appropriate link below.<br /><br />After verifying your information, the administrator will either approve or decline your account application.  You will receive an email message when your application has been approved."
"welcome_text_auth_mode_3";"<center><b>Welcome to this Genealogy website</b></center><br />Access to this site is permitted to <u>family members only</u>.<br /><br />If you have a user account you can login on this page.  If you don't have a user account, you can apply for one by clicking on the appropriate link below.<br /><br />After verifying the information you provide, the administrator will either approve or decline your request for an account.  You will receive an email when your request is approved."
"welcome_text_cust_head";"<center><b>Welcome to this Genealogy website</b></center><br />Access is permitted to users who have an account and a password for this website.<br />"
"welcome";"Welcome"
"upcoming_events";"Upcoming Events"
"living_or_all";"Show only events of living people?"
"basic_or_all";"Show only Births, Deaths, and Marriages?"
"no_events_living";"No events for living people exist for the next #gm_lang[global_num4]# days."
"no_events_living1";"No events for living people exist for tomorrow."
"no_events_all";"No events exist for the next #gm_lang[global_num4]# days."
"no_events_all1";"No events exist for tomorrow."
"no_events_privacy";"Events exist for the next #gm_lang[global_num4]# days, but privacy restrictions prevent you from seeing them."
"no_events_privacy1";"Events exist for tomorrow, but privacy restrictions prevent you from seeing them."
"more_events_privacy";"<br />More events exist for the next #gm_lang[global_num4]# days, but privacy restrictions prevent you from seeing them."
"more_events_privacy1";"<br />More events exist for tomorrow, but privacy restrictions prevent you from seeing them."
"none_today_living";"No events for living people exist for today."
"none_today_all";"No events exist for today."
"none_today_privacy";"Events exist for today, but privacy restrictions prevent you from seeing them."
"more_today_privacy";"<br />More events exist for today, but privacy restrictions prevent you from seeing them."
"chat";"Chat"
"users_logged_in";"Users Logged In"
"anon_user";"1 anonymous logged-in user"
"anon_users";"#gm_lang[global_num1]# anonymous logged-in users"
"login_user";"1 logged-in user"
"login_users";"#gm_lang[global_num2]# logged-in users"
"no_login_users";"No logged-in and no anonymous users"
"message";"Message"
"my_messages";"My Messages"
"date_created";"Date Sent:"
"message_from";"Email Address:"
"message_from_name";"Your Name:"
"message_to";"Message To:"
"message_subject";"Subject:"
"message_body";"Body:"
"no_to_user";"No recipient user was provided.  Cannot continue."
"provide_email";"Please provide your email address so that we may contact you in response to this message.  If you do not provide your email address we will not be able to respond to your inquiry.  You email address will not be used in any other way besides responding to this inquiry."
"reply";"Reply"
"message_deleted";"Message Deleted"
"message_sent";"Message Sent"
"reset";"Reset"
"site_default";"Site Default"
"mygedview_desc";"Your MyGedView page allows you to keep bookmarks of your favorite people, track upcoming events, and collaborate with other Genmod users."
"no_messages";"You have no pending messages."
"clicking_ok";"When you click OK, another window will open and you may contact #user[fullname]#"
"my_favorites";"My Favorites"
"no_favorites";"You have not selected any favorites.<br /><br />To add an individual, a family, or a source to your favorites, click on the <b>#gm_lang[add_favorite]#</b> link to reveal some fields where you can enter or search for an ID number.  Instead of an ID number, you can enter a URL and a title."
"add_to_my_favorites";"Add to My Favorites"
"no_gedcom_favorites";"At this moment there are no selected Favorites.	The admin can add Favorites to display at startup."
"confirm_fav_remove";"Are you sure you want to remove this item from your list of Favorites?"
"invalid_email";"Please enter a valid email address."
"enter_subject";"Please enter a message subject."
"enter_body";"Please enter some message text before sending."
"confirm_message_delete";"Are you sure you want to delete this message?  It cannot be retrieved later."
"message_email1";"The following message has been sent to your Genmod user account "
"message_email2";"You sent the following message to a Genmod user:"
"message_email3";"You sent the following message to a Genmod administrator:"
"viewing_url";"This message was sent while viewing the following URL: "
"random_picture";"Random Picture"
"message_instructions";"<b>Please Note:</b> Private information of living individuals will only be given to family relatives and close friends.  You will be asked to verify your relationship before you will receive any private data.  Sometimes information of dead persons may also be private.  If this is the case, it is because there is not enough information known about the person to determine whether they are alive or not and we probaby do not have more information on this person.<br /><br />Before asking a question, please verify that you are inquiring about the correct person by checking dates, places, and close relatives.  If you are submitting changes to the genealogical data, please include the sources where you obtained the data.<br /><br />"
"sending_to";"This message will be sent to #TO_USER#"
"preferred_lang";"This user prefers to receive messages in #USERLANG#"
"gedcom_created_on";"This file was created on <b>#DATE# #TIME#</b>"
"customize_page";"Customize MyGenmod Portal"
"customize_gedcom_page";"Customize this file Welcome page"
"upcoming_events_descr";"The Upcoming Events block shows anniversaries of events that will occur in the near future.  You can configure the amount of detail shown, and the administrator can configure how far into the future this block will look."
"todays_events_descr";"The On This Day, in Your History... block shows anniversaries of events for today.  You can configure the amount of detail shown."
"logged_in_users_descr";"The Logged In Users block shows a list of the users who are currently logged in."
"user_messages_descr";"The User Messages block shows a list of the messages that have been sent to the active user."
"user_favorites_descr";"The User Favorites block shows the user a list of his favorite people in the database so that he can easily link to them."
"welcome_descr";"The User Welcome block shows the user the current date and time, quick links to modify his account or go to his own Pedigree chart, and a link to customize his MyGedView Portal page."
"random_media_descr";"The Random Media block randomly selects a photo or other media item from the currently active database and displays it to the user."
"gedcom_descr";"The file Welcome block works the same as the User Welcome block.  It welcomes the visitor to the site and displays the title of the currently active database as well as the current date and time."
"gedcom_favorites_descr";"The file Favorites block gives the administrator the ability to designate individuals from the database so that their information is easily accessible to all.  This is a way to highlight people who are important in your family history."
"gedcom_stats_descr";"The file Statistics block shows the visitor some basic information about the database, such as when it was created and how many people are in it.<br /><br />It also has a list of the most frequent surnames.  You can configure this block to not show the Frequent Surnames list, and you can also configure the GEDCOM to remove or add names to this list.  You can set the occurrence threshold for this list in the GEDCOM configuration."
"gedcom_stats_show_surnames";"Show common surnames?"
"portal_config_intructions";"~#gm_lang[customize_page]# <br /> #gm_lang[customize_gedcom_page]#~<br /><br />You can customize the page by positioning the blocks on the page the way that you want them.<br /><br />The page is divided into <b>Main</b> and <b>Right</b> sections.	The <b>Main</b> section blocks appear larger and under the page title.  The <b>Right</b> section starts to the right of the title and goes down the right side of the page.<br /><br />Each section has its own list of blocks that will be printed on the page in the order they are listed.  You can add, remove, and reorder the blocks however you like.<br /><br />When one of the block lists is empty, the remaining blocks will take up the whole width of the page.<br /><br />"
"login_descr";"The Login block accepts a user name and password for users to login."
"theme_select_descr";"The Theme Select block displays the Theme selector even when the Change Theme feature is disabled."
"block_top10_title";"Top 10 Surnames"
"block_top10_descr";"This block shows a table of the 10 most frequently occurring surnames in the database.  The actual number of surnames shown in this block is configurable.  You can configure the GEDCOM to remove names from this list."
"gedcom_news_descr";"The file News block shows the visitor news releases or articles posted by an admin user.<br /><br />The News block is a good place to announce a significant database update, a family reunion, or the birth of a child."
"user_news_descr";"The User Journal block lets the user keep notes or a journal online."
"my_journal";"My Journal"
"no_journal";"You have not created any Journal items."
"confirm_journal_delete";"Are you sure you want to delete this Journal entry?"
"add_journal";"Add a new Journal entry"
"confirm_news_delete";"Are you sure you want to delete this News entry?"
"add_news";"Add a News article"
"no_news";"No News articles have been submitted."
"edit_news";"Add/Edit Journal/News entry"
"enter_title";"Please enter a title."
"enter_text";"Please enter some text for this News or Journal entry."
"news_saved";"News/Journal entry successfully saved."
"article_text";"Entry Text:"
"main_section";"Main Section Blocks"
"right_section";"Right Section Blocks"
"available_blocks";"Available Blocks"
"move_up";"Move Up"
"move_down";"Move Down"
"move_right";"Move Right"
"move_left";"Move Left"
"broadcast_all";"Broadcast to all users"
"hit_count";"Hit Count:"
"Genmod_message";"Genmod Message"
"common_surnames";"Most Common Surnames"
"default_news_title";"Welcome to Your Genealogy"
"default_news_text";"The genealogy information on this website is powered by <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a>.  This page provides an introduction and overview to this genealogy.<br /><br />To begin working with the data, choose one of the charts from the Charts menu, go to the Individual list, or search for a name or place.<br /><br />If you have trouble using the site, you can click on the Help icon to give you information on how to use the page that you are currently viewing.<br /><br />Thank you for visiting this site."
"reset_default_blocks";"Reset to default blocks"
"recent_changes";"Recent Changes"
"recent_changes_descr";"The Recent Changes block will list all of the changes that have been made to the database in the last month.  This block can help you stay current with the changes that have been made.  Changes are detected automatically, using the CHAN tag defined in the GEDCOM Standard."
"recent_changes_none";"<b>There have been no changes within the last #gm_lang[global_num3]# days.</b><br />"
"recent_changes_some";"<b>Changes made within the last #gm_lang[global_num3]# days</b><br />"
"show_empty_block";"Should this block be hidden when it is empty?"
"hide_block_warn";"If you hide an empty block, you will not be able to change its configuration until it becomes visible by no longer being empty."
"delete_selected_messages";"Delete Selected Messages"
"use_blocks_for_default";"Use these blocks as the default block configuration for all users?"
"block_not_configure";"This block cannot be configured."
"performing_validation";"Performing file validation..."
"changed_mac";"Macintosh line endings detected. All lines ending with only CR (Ctrl M) were changed to end with a CR (Ctrl M) followed by LF (Ctrl J).  This changed the internal file format from Macintosh to DOS as required by Genmod."
"changed_places";"Invalid Place encodings detected. Cleaned up place records to match proper GEDCOM 5.5 specifications.  An example from your input GEDCOM is:"
"invalid_dates";"Detected invalid date formats, on cleanup these will be changed to format of DD MMM YYYY (eg. 1 JAN 2004)."
"valid_gedcom";"Valid file detected. No cleanup required."
"optional_tools";"You may also choose to run the following optional tools before importing."
"optional";"Optional Tools"
"day_before_month";"Day before Month (DD MM YYYY)"
"month_before_day";"Month before Day (MM DD YYYY)"
"do_not_change";"Do not change"
"change_id";"Change Individual ID to:"
"example_place";"Example of invalid place from your file:"
"example_date";"Example of invalid date from your file:"
"add_media_tool";"Add Media Tool"
"launch_media_tool";"Click here to launch the Add Media tool."
"add_media_descr";"This tool will add media OBJE tags to the database.  Close this window when you have finished adding media."
"highlighted";"Highlighted Image"
"extension";"Extension"
"order";"Order"
"inject_media_tool";"Add media to GEDCOM file"
"media_table_created";"Successfully updated <i>media</i> table."
"click_to_add_media";"Click here to add the Media listed above to GEDCOM #GEDCOM#"
"adds_completed";"Media successfully added to GEDCOM file."
"ansi_encoding_detected";"ANSI file encoding detected.	Genmod works best with files encoded in UTF-8."
"invalid_header";"Detected lines before the GEDCOM header <b>0&nbsp;HEAD</b>.  On cleanup, these lines will be removed."
"macfile_detected";"Macintosh file detected.  On cleanup your file will be converted to a DOS file."
"place_cleanup_detected";"Invalid place encodings were detected.  These errors should be fixed."
"cleanup_places";"Cleanup Places"
"empty_lines_detected";"Empty lines were detected in your GEDCOM file.	On cleanup, these empty lines will be removed."
"import_options";"Import Options"
"verify_gedcom";"Verify GEDCOM"
"import_statistics";"Import Statistics"
"choose_report";"Choose a report to run"
"enter_report_values";"Enter report values"
"selected_report";"Selected Report"
"run_report";"View report"
"select_report";"Select report"
"download_report";"Download report"
"pdf_reports";"PDF reports"
"html_reports";"HTML reports"
"family_group_report";"Family Group Report"
"page";"Page"
"of";"of"
"enter_famid";"Enter Family ID"
"show_notes";"Show notes?"
"show_basic";"Print basic events when blank?"
"show_photos";"Show photos?"
"individual_report";"Individual Report"
"enter_pid";"Enter Individual ID"
"individual_list_report";"Individual List report"
"generated_by";"Generated by"
"list_children";"List each child in order of birth."
"birth_report";"Birth Date and Place Report"
"birthplace";"Birth Place contains"
"birthdate1";"Birth Date range start"
"birthdate2";"Birth Date range end"
"deathplace";"Death Place contains"
"deathdate1";"Death Date range start"
"deathdate2";"Death Date range end"
"death_report";"Death Date and Place Report"
"descend_report";"Descendancy Report"
"descendancy_header";"Descendancy Report for "
"marr_report";"Marriage Date and Place Report"
"marrplace";"Marriage Place contains"
"marrdate1";"Marriage Date range start"
"marrdate2";"Marriage Date range end"
"relatives_report_ext";"Relatives Report Expanded"
"on";"on "
"in";"in "
"with";"with"
"sort_by";"Sort by"
"cleanup";"Cleanup"
"skip_cleanup";"Skip Cleanup"
"dynasty_list";"Overview of families"
"make_slklist";"Create EXCEL (SLK) list"
"excel_list";"Output in EXCEL (SLK) format on the following files (first use Patriarch list):"
"excel_tab";"tabblad:"
"excel_create";"will be created on file:"
"slk_list";"EXCEL SLK list"
"statistics";"Statistics"
"merge_records";"Merge records"
"merge_same";"Records are not the same type.  Cannot merge records that are not the same type."
"merge_step1";"Merge Step 1 of 3"
"merge_step2";"Merge Step 2 of 3"
"merge_step3";"Merge Step 3 of 3"
"select_gedcom_records";"Select two GEDCOM records to merge.  The records must be of the same type."
"merge_to";"Merge To ID:"
"merge_from";"Merge From ID:"
"merge_facts_same";"The following facts were exactly the same in both records and will be merged automatically."
"no_matches_found";"No matching facts found"
"unmatching_facts";"The following facts did not match.  Select the information you would like to keep."
"record";"Record"
"adding";"Adding"
"updating_linked";"Updating linked record"
"merge_more";"Merge more records."
"same_ids";"You entered the same IDs.  You cannot merge the same records."
"gen_ancestry_chart";"#PEDIGREE_GENERATIONS# Generation Ancestry Chart"
"chart_style";"Chart style"
"chart_list";"List"
"chart_booklet";"Booklet"
"show_cousins";"Show cousins"
"sosa_2";"Father"
"sosa_3";"Mother"
"sosa_4";"Grandfather"
"sosa_5";"Grandmother"
"sosa_6";"Grandfather"
"sosa_7";"Grandmother"
"sosa_8";"Great-grandfather"
"sosa_9";"Great-grandmother"
"sosa_10";"Great-grandfather"
"sosa_11";"Great-grandmother"
"sosa_12";"Great-grandfather"
"sosa_13";"Great-grandmother"
"sosa_14";"Great-grandfather"
"sosa_15";"Great-grandmother"
"sosa_16";"Great-great-grandfather"
"sosa_17";"Great-great-grandmother"
"sosa_18";"Great-great-grandfather"
"sosa_19";"Great-great-grandmother"
"sosa_20";"Great-great-grandfather"
"sosa_21";"Great-great-grandmother"
"sosa_22";"Great-great-grandfather"
"sosa_23";"Great-great-grandmother"
"sosa_24";"Great-great-grandfather"
"sosa_25";"Great-great-grandmother"
"sosa_26";"Great-great-grandfather"
"sosa_27";"Great-great-grandmother"
"sosa_28";"Great-great-grandfather"
"sosa_29";"Great-great-grandmother"
"sosa_30";"Great-great-grandfather"
"sosa_31";"Great-great-grandmother"
"sosa_32";"Great-great-great-grandfather"
"sosa_33";"Great-great-great-grandmother"
"sosa_34";"Great-great-great-grandfather"
"sosa_35";"Great-great-great-grandmother"
"sosa_36";"Great-great-great-grandfather"
"sosa_37";"Great-great-great-grandmother"
"sosa_38";"Great-great-great-grandfather"
"sosa_39";"Great-great-great-grandmother"
"sosa_40";"Great-great-great-grandfather"
"sosa_41";"Great-great-great-grandmother"
"sosa_42";"Great-great-great-grandfather"
"sosa_43";"Great-great-great-grandmother"
"sosa_44";"Great-great-great-grandfather"
"sosa_45";"Great-great-great-grandmother"
"sosa_46";"Great-great-great-grandfather"
"sosa_47";"Great-great-great-grandmother"
"sosa_48";"Great-great-great-grandfather"
"sosa_49";"Great-great-great-grandmother"
"sosa_50";"Great-great-great-grandfather"
"sosa_51";"Great-great-great-grandmother"
"sosa_52";"Great-great-great-grandfather"
"sosa_53";"Great-great-great-grandmother"
"sosa_54";"Great-great-great-grandfather"
"sosa_55";"Great-great-great-grandmother"
"sosa_56";"Great-great-great-grandfather"
"sosa_57";"Great-great-great-grandmother"
"sosa_58";"Great-great-great-grandfather"
"sosa_59";"Great-great-great-grandmother"
"sosa_60";"Great-great-great-grandfather"
"sosa_61";"Great-great-great-grandmother"
"sosa_62";"Great-great-great-grandfather"
"sosa_63";"Great-great-great-grandmother"
"gen_fan_chart";"#PEDIGREE_GENERATIONS# Generation Circle Diagram"
"fan_width";"Width"
"gd_library";"PHP server misconfiguration: GD 2.x library required to use image functions."
"gd_freetype";"PHP server misconfiguration: FreeType library required to use TrueType fonts."
"fontfile_error";"Font file not found on PHP server"
"fanchart_IE";"This Fanchart image cannot be printed directly by your browser. Use right-click then save and print."
"rss_descr";"News and links from the #GEDCOM_TITLE# site"
"rss_logo_descr";"Feed created by Genmod"
"attendant";"Attendant"
"attending";"Attending"
"circumciser";"Circumciser"
"civil_registrar";"Civil Registrar"
"friend";"Friend"
"godfather";"Godfather"
"godmother";"Godmother"
"godparent";"Godparent"
"informant";"Informant"
"lodger";"Lodger"
"nurse";"Nurse"
"priest";"Priest"
"rabbi";"Rabbi"
"registry_officer";"Registry Officer"
"servant";"Servant"
"submitter";"Submitter"
"twin";"Twin"
"twin_brother";"Twin brother"
"twin_sister";"Twin sister"
"witness";"Witness"
"statutci";"unable to create index"
"statnnames";"Number of names"
"statnfam";"Number of families"
"statnmale";"Number of males"
"statnfemale";"Number of females"
"statvars";"Fill in the following variables for the plot"
"statlxa";"Along x-axis:"
"statlya";"Along y-axis:"
"statlza";"Along z-axis"
"stat_10_none";"none"
