"ABBREVIATE_CHART_LABELS";"Bezeichnungen in Diagrammen abkürzen"
"enter_filename";"Sie müssen einen GEDCOM-Dateinamen eingeben."
"enter_fullname";"Sie müssen einen vollständigen Namen eingeben."
"enter_gedcomid";"Sie müssen eine GEDCOM-ID angeben."
"enter_password";"Sie müssen ein Passwort eingeben."
"enter_pid";"Personen-ID eingeben"
"enter_report_values";"Bericht-Daten eingeben"
"enter_subject";"Bitte geben Sie einen Betreff ein."
"enter_terms";"Suchbegriffe eingeben"
"enter_text";"Bitte geben Sie Text für diesen Journal/Neuigkeiten-Eintrag ein."
"enter_title";"Bitte geben Sie einen Titel ein."
"enter_username";"Sie müssen einen Benutzernamen eingeben."
"error_already";"ist schon in Ihrem Ausschnitts-Sammelbehälter."
"error_header";"Die GEDCOM-Datei <b>#GEDCOM#</b> befindet sich nicht am angegebenen Ort."
"error_header_write";"Die GEDCOM-Datei <b>#GEDCOM#</b> kann nicht gespeichert werden. Bitte prüfen Sie die Schreibrechte und Dateiattribute."
"error_title";"FEHLER: GEDCOM-Datei kann nicht geöffnet werden"
"est";"angenommen"
"example_date";"Beispiel eines ungültigen Datums aus Ihrer GEDCOM-Datei:"
"excel_create";"wird erstellt in Datei:"
"excel_list";"Ausgabe im Excel (SLK) Format für die folgenden Dateien:"
"excel_tab";"Blatt:"
"exec_time";"Ausführungszeit:"
"explain_options";"Wenn Sie beschliessen, die Tabellen zu löschen, werden <u>alle</u> Inhalte durch die dieser GEDCOM-Datei ersetzt.<br /><br />Wenn Sie sich für einen Import und die Weiterarbeit mit mehreren GEDCOM-Dateien entscheiden, wird Genmod alle Daten löschen, welche aus einer GEDCOM-Datei mit gleichem Namen importiert wurden. Diese Option erlaubt es Ihnen, mehrere GEDCOM-Dateien in den gleichen Tabellen zu speichern und sehr leicht zwischen diesen zu wechseln.<br /><br /><b>Bitte beachten Sie die Groß-/Kleinschreibung bei Dateinamen.</b> Denn <b>Test.GED</b> ist <u>nicht</u> das selbe wie <b>test.ged</b>."
"export";"Exportieren"
"export_filename";"Name der Datei, welche die exportierten Daten enthält:"
"export_lang_utility";"Exportmodul für Sprach-Dateien"
"export_ok";"Die Hilfetexte wurden exportiert"
"extension";"Erweiterung"
"fact_details";"Ereignis-Details zeigen"
"fact_show";"Ereignis zeigen"
"fam_spouse";"Familie mit Ehepartner"
"families";"FAMILIEN"
"family";"Familie"
"family_complete";"Update der Familien-Index-Datei ist komplett."
"family_downloaded_from";"Daten der Familie wurden geladen von:"
"family_group_info";"Informationen zur Familiengruppe"
"family_group_report";"Familienbericht"
"family_info";"Familien Informationen"
"family_list";"Familien Liste"
"family_private";"Details dieser Familie sind vertraulich. Persönliche Details werden nicht eingefügt."
"family_timeline";"Familie in der Lebensspannenanzeige darstellen"
"family_with";"Familie mit"
"fams_charts";"Optionen für Familie"
"fams_with_surname";"Familien mit dem Namen #surname#"
"fan_chart";"Kreis-Diagramm"
"fan_width";"Breite"
"fanchart_IE";"Dieses Kreis-Diagramm kann von Ihrem Browser nicht direkt gedruckt werden. Bitte speichern Sie das Bild mit dem Kontextmenü (rechter Mausklick) und drucken Sie die Datei anschließend."
"father";"Vater"
"fathers_family_with";"Familie des Vaters mit "
"feb";"Februar"
"female";"weiblich"
"file_does_not_exist";"FEHLER! Diese Datei existiert nicht..."
"file_exists";"Es gibt schon eine GEDCOM-Datei mit diesem Dateinamen. Bitte wählen Sie einen anderen Dateinamen oder löschen Sie die alte Datei."
"file_missing";"Es kam keine Datei auf Ihrem Server an. Bitte erneut übertragen."
"file_not_exists";"Eine Datei mit dem eingegebenen Namen existiert nicht."
"file_not_found";"Datei nicht gefunden."
"file_partial";"Die Datei wurde nur teilweise hochgeladen. Bitte versuchen Sie es erneut."
"file_read_error";"F E H L E R !!! Die Datenschutz-Datei konnte nicht gelesen werden!"
"file_success";"Datei wurde erfolgreich auf Ihren Server übertragen (upload)"
"file_to_edit";"Zu bearbeitende Sprachdatei"
"file_too_big";"Die zu übertragende Datei ist größer als erlaubt"
"filter";"Filter"
"find_fam_list";"Familien-Liste suchen"
"find_family";"Familie suchen"
"find_familyid";"Familie aussuchen"
"find_id";"ID suchen"
"find_individual";"Person aussuchen"
"find_media";"Multimedia-Datei suchen"
"find_place";"Ort suchen"
"find_repository";"Archive suchen"
"find_source";"Quelle suchen"
"find_sourceid";"Quelle auswählen"
"find_specialchar";"Nach speziellen Zeichen suchen"
"first_letter_fname";"Wählen Sie einen Buchstaben aus, um Personen anzuzeigen, deren Vornamen mit diesem Buchstaben beginnt."
"firstname_search";"Vorname"
"flagsfile";"Flaggendatei"
"flushing";"Speicherinhalt wird gelöscht"
"follow_spouse";"Überprüfe Verwandtschaft anhand der Ehen."
"fontfile_error";"Schriftart-Datei auf PHP-Server nicht vorhanden"
"for_all_contact";"Für Support sowie bei genealogischen Fragen wenden Sie sich an folgende Kontaktadresse:"
"for_contact";"Bei genealogischen Fragen wenden Sie sich an folgende Kontaktadresse:"
"for_support";"Für Support wenden Sie sich an folgende Kontaktadresse:"
"form";"Ortsangaben werden im folgenden Format ausgewertet:"
"foster";"Vormund"
"found_record";"Datensatz gefunden"
"friday";"Freitag"
"friend";"Freund"
"from";"vom"
"full_name";"Vollständiger Name"
"gd_freetype";"Falsche Konfiguration des PHP-Servers: FreeType Bibliothek für True-Type Schriftarten nicht vorhanden."
"gd_library";"Falsche Konfiguration des PHP-Servers: GD Bibliothek 2.x für Grafik-Funktionen nicht vorhanden."
"ged_config";"Konfigurations-Datei"
"ged_download";"Download"
"ged_gedcom";"GEDCOM-Datei"
"ged_import";"Import"
"ged_privacy";"Datenschutzdatei"
"ged_title";"GEDCOM Bezeichnung"
"gedcom_adm_head";"GEDCOM Verwaltung"
"gedcom_block";"GEDCOM-Willkommen"
"gedcom_created_on";"Diese GEDCOM-Datei wurde am <b>#DATE#</b> erstellt"
"gedcom_created_on2";"am <b>#DATE#</b>"
"gedcom_created_using";"Diese GEDCOM-Datei wurde erstellt mit <b>#SOFTWARE# #VERSION#</b>"
"gedcom_deleted";"GEDCOM [#GED#] erfolgreich gelöscht."
"gedcom_descr";"Der Block "GEDCOM-Willkommen" ist equivalent zum "Benutzer Willkommen"-Block indem er dem Benutzer den Titel der aktuellen Datei, sowie Datum und Uhrzeit anzeigt."
"gedcom_downloadable";"Diese GEDCOM-Datei könnte über das Internet heruntergeladen werden!<br />Bitte lesen Sie im Bereich "SECURITY" der Datei <a href="readme.txt"><b>readme.txt</b></a> nach, wie Sie dieses Problem lösen können."
"gedcom_editing_disabled";"Editieren dieser GEDCOM-Datei wurde vom Administrator deaktiviert."
"gedcom_favorites";"Stammbaum-Lesezeichen"
"gedcom_favorites_block";"GEDCOM-Lesezeichen"
"gedcom_favorites_descr";"Der Block "GEDCOM-Lesezeichen" gibt dem Administrator die Möglichkeit, wichtige Personen der Datenbank als Lesezeichen einzutragen, so dass die Besucher sie einfach finden können."
"gedcom_file";"GEDCOM-Datei:"
"gedcom_form_info";"(GEDCOM)"
"gedcom_news";"Neuigkeiten"
"gedcom_news_block";"GEDCOM-Neuigkeiten"
"gedcom_news_descr";"Der "GEDCOM-Neuigkeiten"-Block zeigt dem Besucher neue Veröffentlichungen oder Artikel an, die der Administrator meldet.<br /><br />Dieser Bereich ist ein guter Platz für die Mitteilung über eine neue GEDCOM-Datei, zur Ankündigung eines Familientreffens oder die Bekanntgabe der Geburt eines neuen Familienmitgliedes."
"gedcom_not_imported";"Diese GEDCOM-Datei wurde noch nicht importiert."
"gedcom_stats";"GEDCOM-Statistiken"
"gedcom_stats_block";"GEDCOM-Statistik"
"gedcom_stats_descr";"Der "GEDCOM-Statistik"-Block zeigt dem Besucher einige Basis-Informationen über die GEDCOM-Datei, z.B. wann sie erstellt wurde und wie viele Personen sie umfasst.<br /><br />Es kann auch eine Liste der am häufigsten vorkommenden Namen angezeigt werden. Zu dieser Liste können Namen hinzugefügt oder daraus Namen unterdrückt werden. Der Häufigkeitswert, ab wann ein Name in dieser Liste auftaucht, kann in der GEDCOM-Konfiguration eingestellt werden."
"gedcom_stats_show_surnames";"Häufig vorkommende Nachnamen anzeigen?"
"gedcom_title";"Geben Sie einen Bezeichnung ein, welche die Daten in dieser GEDCOM-Datei beschreibt"
"gedcomid";"Nummer des GEDCOM-Datensatzfeldes INDI dieser Person"
"gedconf_head";"GEDCOM Konfiguration"
"gedrec_deleted";"GEDCOM-Datensatz erfolgreich gelöscht."
"gen_ancestry_chart";"#PEDIGREE_GENERATIONS# Generationen Ahnentafel"
"gen_fan_chart";"#PEDIGREE_GENERATIONS# Generationen Kreis-Diagramm"
"gen_ped_chart";"Stammbaum für #PEDIGREE_GENERATIONS# Generationen"
"gen_thumb";"Thumbnail erzeugen"
"genealogy_contact";"Kontakt für genealogische Fragen"
"generate_thumbnail";"Thumbnail automatisch erstellen aus "
"generated_by";"erstellt von"
"generations";"Generationen"
"given_name";"Vorname:"
"gm_config_write_error";"Fehler!!! Die Genmod-Konfigurationsdatei kann nicht geschrieben werden. Bitte Lese- und Schreib-Berechtigungen überprüfen und neu versuchen."
"gm_registry";"Andere Genmod-Seiten besuchen"
"godfather";"Taufpate"
"godmother";"Taufpatin"
"godparent";"Taufpaten"
"gregorian";"Gregorianisch"
"halfbrother";"Halbbruder"
"halfsister";"Halbschwester"
"hashcode";"Verifizierungscode:"
"header";"Kopfbereich"
"hebrew_and_gregorian";"Hebräisch and Gregorianisch"
"help_ancestry.php";"~#gm_lang[ancestry_chart]# Seite~<br /><br />Die #gm_lang[ancestry_chart]#-Seite ist der <a href="?help=help_pedigree.php">#gm_lang[index_header]#-Seite</a> sehr ähnlich, zeigt aber mehr Details und bietet mehrere <a href="?help=chart_style_help">#gm_lang[chart_style]#en</a>.<br /><br />Jeder Vorfahre wird mit einer Nummer nach dem <i>Sosa-Stradonitz</i> System gekennzeichnet:<br /> - gerade Zahlen für Männer (Nummer des Kindes*2)<br /> - ungerade Zahlen für Frauen (Nummer des Ehemannes + 1) außer bei Nummer <big>1</big><br /><br />Beispiel: <big>7</big> ist die Frau von <big>6</big>, die Mutter von <big>3</big>, und die Tochter von <big>14</big> und <big>15</big>."
"help_calendar.php";"~JAHRESTAG KALENDER~<br /><br /><ul><li><a href="#calendar_general">Allgemeine Informationen</a><li><a href="#calendar_day">#gm_lang[day]#</a><li><a href="#calendar_month">#gm_lang[month]#</a><li><a href="#calendar_year">#gm_lang[year]#</a><li><a href="#calendar_show">#gm_lang[show]# / #gm_lang[showcal]#</a><li><a href="#calendar_sex">#gm_lang[sex]#</a><li><a href="#calendar_event">Ereignis</a><li><a href="#calendar_button">Vorauswahl (Buttons)</a><li><a href="#calendar_tip">Tipp</a></ul><br /><a name="calendar_general"></a>Der Jahrestag-Kalender zeigt Personen und Familien an, die mit einem Ereignis in Verbindung stehen, das sich an einem bestimmten Tag und/oder Monat oder einem bestimmten Zeitraum ereignet hat. Er besitzt ein mehrstufiges Filtersystem, um das gewünschte Datum/den gewünschten Zeitraum und die Art der Ereignisse auszuwählen.<br /><br /><dl><dt><b><a href="#calendar_day">Tag anzeigen</b></dt><dd>Dies zeigt die Ereignisse eines bestimmten Tages an (unabhängig vom gewählten Jahr). Es wird entweder eine einzelne Liste ausgegeben, die die Namen von Personen oder aber Familien enthält, oder eine 2-spaltige Liste mit Personen in der einen Spalte und Familien in der anderen  Spalte.</dd><dt><b><a href="#calendar_month">Monat anzeigen</a></b></dt><dd>Dies zeigt wird einen <b>Kalender</b> an, wobei die Namen von Personen und Familien jeweils in den Tages-Kästchen erscheinen. Der Kalender erscheint wie in dem Jahr, das Sie im Jahres-Feld eingegeben haben. Alle Ereignisse, die sich in der Vergangenheit bis zu diesem Jahr ereignet haben, werden angezeigt.<br />In Kombination mit der Option "<a href="#calendar_show">#gm_lang[recent_events]#</a>" ergibt sich eine realistische Ansicht, wie sich die Ereignisse für die Vorfahren dargestellt haben.</dd><dt><b><a href="#calendar_year">Jahr anzeigen</a></b></dt><dd>Dies zeigt die Ereignisse eines oder mehrerer Jahre. Es wird entweder eine einzelne Liste ausgegeben, die die Namen von Personen oder aber Familien enthält, oder eine 2-spaltige Liste mit Personen in der einen Spalte und Familien in der anderen  Spalte.</dd></dl><br />Die aktuell eingestellten Datums-Werte sind im Kalender-Menü farblich hervorgehoben dargestellt.<br /><br />Die Namen und Daten, die in der Liste oder im Kalender erscheinen, können Sie anklicken.<br />Wenn Sie auf einen Namen klicken, gelangen Sie Detail-Seite der betreffenden Person oder Familie, wenn Sie auf ein Datum klicken, gelangen Sie in die "Heute"-Ansicht (oder das Jahr) für das angeklickte Datum.<br /><br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_day"> </a>#gm_lang[annivers_date_select_help]#<br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_month"> </a>#gm_lang[annivers_month_select_help]#<br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_year"> </a>#gm_lang[annivers_year_select_help]#<br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_show"> </a>#gm_lang[annivers_show_help]#<br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_sex"> </a>#gm_lang[annivers_sex_help]#<br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_event"> </a>#gm_lang[annivers_event_help]#<br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_button"> </a>#gm_lang[day_month_help]#<br /><a href="#top"><img src="images/uarrow3.gif" class="icon" border=0 alt=""></a><a name="calendar_tip"> </a>#gm_lang[annivers_tip_help]#"
"help_clippings.php";"~AUSSCHNITTSAMMELBEHÄLTER~<br />Der Ausschnittssammelbehälter erlaubt "Ausschnitte" aus diesem Stammbaum zu sammeln und in eine separate GEDCOM-Datei zu speichern, die man anschließend herunterladen kann.<br /><br />* Wie wählt man Abschnitte aus ?<br />Jeder anklickbare Name führt auf die Detail-Seite der betreffenden Person (Familie, Quelle). Dort gibt es die Option "Zum Ausschnittsammelbehälter hinzufügen".<br />Klicken Sie auf diesen Link und Sie gelangen zu einer Liste von Optionen.<br /><br />* Wie herunterladen ?<br />Sobald Sie Elemente in Ihrem Sammelbehälter haben, können Sie diese durch Klick auf "Jetzt herunterladen" herunterladen.<br />Folgen Sie den weiteren Anweisungen."
"help_contents";"Hilfe Inhalt"
"help_contents_gedcom_info";"GEDCOM-Informationen"
"help_contents_gedcom_places";"Orte in der GEDCOM-Datei"
"help_descendancy.php";"~DER NACHFAHREN-BAUM~<br /><br />Diese Seite zeigt die Nachfahren einer Person.<br />Sie können eine Start-Person für diesen Nachfahren-Baum auf dieser Seite auswählen, oder Sie können auf einer anderen Seite einen Link "Nachfahrenbaum" anklicken, um auf diese Seite zu gelangen.<br />Klicken Sie auf den "nach-oben"-Pfeil, um im Baum nach oben zu navigieren. Klicken Sie auf das Diagramme-Icon in einer Personen-Box, um diese Person als Ausgangsperson für ein Diagramm auszuwählen."
"help_editconfig.php";"~Genmod KONFIGURIEREN~<br /><br />Auf dieser Seite werden die Grundeinstellungen des Programmes vorgenommen, nachdem Genmod neu auf Ihrem Server installiert wurde und zum ersten Mal gestartet wird..<br />#gm_lang[review_readme]#<br /><br />Da dies <b>Grund</b>einstellungen sind, gelten Sie für das gesamte Programm und für alle GEDCOM-Dateien, die Sie darin benutzen.<br />Für jede GEDCOM-Datei können Sie zusätlich noch jeweils eigene Einstellungen festlegen.<br />Hier auf der Konfigurations-Seite können Sie auch auf den Link zur GEDCOM-Verwaltung direkt über der Tabelle klicken.<br />Normalerweise erreichen Sie disen Link im Menü "Mein GedView Portal"."
"help_family.php";"~FAMILIEN DETAIL SEITE~<br /><br />Diese Seite zeigt Ihnen eine Übersicht der Familie, die Sie auf der vorigen Seite ausgewählt habe.<br />Von oben nach unten sehen Sie die Detailinfo-Boxen von:<br />Der Ehemann und seine Eltern, die Ehefrau und ihre Elternm, und die Kinder.<br /><br />Das Layout und der Inhalt der Personen-Boxen entspricht dem der Boxen, die Sie von der Stammbaum-Seite oder Nachfahren-Baum-Seite kennen.<br />Rechts von den Namens-Boxen der Eltern sehen Sie einen Pfeil (wenn weitere Vorfahren eingetragen sind). Wenn Sie auf diesen Pfeil klicken, gelangen Sie eine Geneartion höher und Sie sehen eine neue Familien-Seite in der die Eltern der vorigen Seite nun als Ehemann und Ehefrau auftauchen.<br />Auf der rechten Seite <i>in</i> der Namens-Box, sehen Sie eventuell ein Lupen-Symbol, das zu weiteren Detail-Information einer Person führt. Wenn Sie auf den Namen klicken, gelangen Sie auf die Seite mit persönlichen Informationen zur Person.<br />Außerdem ist am rechten Rand ein kleines Menü vorhanden, das Sie zu anderen Seiten mir mehr Informationen oder zu anderen Diagrammen führt.<br /><br />Die Familiengruppen-Information zeigt alle Fakten und Daten über diese Familie, wie Hochzeit, Multimedia-Objekte und Notizen. Wenn Sie innerhalb der Informationen auf einen Ort klicken, gelangen Sie zur Ortsliste, in der alle anderen Familien und Personen aufgelistet sind, die zu diesem Ort ebenfalls einen Bezug haben. Wenn Sie auf ein Datum klicken, gelangen Sie zum Tages-Kalender, der alle Ereignisse zeigt, die an diesem Datum in der Vergangenheit stattfanden. Multimedia-Objekte können auch angeklickt werden, dann öffnet sich ein görßeres Bild-Betrachtungsfenster. Wenn Sie auf eine Quelle klicken, erscheinen die Detailinformationen zu dieser Quelle.<br /><br />Unter den Namens-Boxen der Kinder sehen Sie eventuell einen Link "Kind zu dieser Familie hinzufügen".<br />Neben den Namens-Boxen der Kinder sehen Sie "Informationen zur Familiengruppe".<br />Wenn Sie die nötigen Rechte haben, können Sie Ereignisse und Daten verändern, löschen oder hinzufügen.<br /><br />Am rechten Bildschirmrand sehen Sie (wenn aktiviert) Symbole und Links für: <br /><b>GEDCOM Daten anzeigen</b>, dadurch werden die Daten im GEDCOM-Format dargestellt.<br /><b>Datensatz dem Sammelbehälter hinzufügen</b>, dadurch speichern Sie die Daten in Ihrem Ausschnitts-Sammelbehälter. Die Daten in diesem "Behälter" können Sie später herunterladen und in Ihre eigene GEDCOM-Datei importieren.<br /><b>Ehepaar in Lebensspannen-Ansicht zeigen</b>, hiermit gelangen Sie zur Lebensspannenanzeige und die Daten des Ehepaares werden in der Zeitleiste angezeigt.<br /><br />#gm_lang[more_help]#"
"help_famlist.php";"~FAMILIEN SEITE~<br /><br />Auf dieser Seite wird eine Liste der Familien angezeigt.<br /><br />Die Namen werden mit vorne stehendem Nachnamen, alphabetisch sortiert angezeigt.<br />Die ausgegebene Liste basiert auf folgenden Kriterien:<br /><b>1.</b> Der Buchstabe, den Sie im Alphabet-Index angeklickt haben.<br /><b>2.</b> Wahl der "Nachnamen-Sprungliste" oder "Nachnamen anzeigen".<br /><br />Sie können sowohl nach dem Nachnamen des Ehemannes als auch nach dem der Ehefrau suchen. Beide sind in der Liste enthalten.<br /><br />Wenn Sie weitere Hilfe benötigen, klicken Sie auf die "?" neben den Symbolen."
"help_fanchart.php";"~#gm_lang[fan_chart]#~<br /><br />Das #gm_lang[fan_chart]# ist dem <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a> sehr ähnlich, bietet aber eine graphik-orientierte Darstellung.<br /><br />Die Ausgangsperson steht in der Mitte, deren Eltern auf dem ersten Ring, Großeltern im zweiten Ring usw.<br /><br />Geburts- und Todesdaten erscheinen unter den Namen wenn bekannt.<br /><br />Wenn Sie auf einen Namen im Diagramm klicken, so wird diese Person als neue Ausgangsperson festgelegt (und erscheint dann in der Mitte). Bei der Person in der Mitte ist ein Pfeil zu sehen, der beim Anklicken ein Menü öffnet, mit dem Sie eines der Kinder oder Geschwister der Person als neue Starperson auswählen können (gleiche Arbeitsweise wie beim <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>)."
"help_for_this_page";"Hilfe für diese Seite"
"help_header";"Informationen über:"
"help_indilist.php";"~PERSONEN SEITE~<br /><br />Auf dieser Seite wird eine Liste von Personen angezeigt.<br /><br />Die Namen werden mit vorne stehendem Nachnamen, alphabetisch sortiert angezeigt.<br />Die ausgegebene Liste basiert auf folgenden Kriterien:<br /><b>1.</b> Der Buchstabe, den Sie im Alphabet-Index angeklickt haben.<br /><b>2.</b> Sie können am unteren Ende der Liste die "Nachnamen-Sprungliste" oder "Nachnamen anzeigen" wählen.<br /><br />Wenn Sie weitere Hilfe benötigen, klicken Sie auf die "?" neben den Symbolen."
"help_individual.php";"~PERSÖNLICHE INFORMATIONEN SEITE~<br /><br />Auf dieser Seite werden alle Details zu einer Person aufgelistet.<br /><br />Falls ein Bild vorhanden ist, wird es links oben angezeigt.<br />Direkt neben dem Bild (sofern vorhanden) sehen Sie alle Namen der Person.<br />Zu den Namen können Notizen oder Quellen angegeben sein. Wenn zu einem Namen diese Angaben vorhanden sind, werden Sie jeweils unter dem Namen angezeigt.<br />Wenn die Person auch unter anderem Namen bekannt ist (AKA = Also Known As), erscheint dies hier ebenfalls.<br /><br />Wenn Sie Rechte zum Editieren der Daten haben, sehen Sie bei einigen Angaben auch Links zum Editieren oder Löschen.<br /><br />Auf dieser Seite gibt es außerdem die Registerkarten "Persönliche Fakten und Details", "Notizen", "Quellen", "Multimedia" und "Direkte Verwandtschaft".<br /><br />Auf diesen Registerkarten finden Sie alle Informationen die in der GEDCOM-Datei zu dieser Person gespeichert sind.<br /><br />Die Registerkarte "Perönliche Fakten und Details" zeigt die Daten der Person und zu Hochzeiten. Wenn Sie auf ein Datum auf dieser Registerkarte klicken, gelangen Sie zum Jahrestagkalender für dieses Datum, der Ihnen andere Ereignisse dieses Datums aus der GEDCOM-Datei zeigt. Wenn Sie auf einen Ort klicken, gelangen Sie in die Liste der Orte und finden so andere Personen, in deren Leben dieser Ort irgendeine Rolle spielte. Bei Hochzeiten und anderen Familienereignissen, wird der Name des Ehepartners angezeigt, so dass Sie direkt zum Partner gelangen können; außerdem ist ein Link zur Familien-Seite vorhanden.<br /><br />Die "Notizen"-Registerkarte zeigt alle  allgemeinen Notizen, die zu dieser Person vorhanden sind.<br /><br />Die Registerkarte "Quellen" zeigt alle Quellen, in denen diese Person genannt wird. Klicken Sie auf den Titel einer Quelle, erhalten Sie weitere Informationen zu dieser Quelle, sowie eine Liste von weiteren Personen, die in dieser Quelle genannt werden.<br /><br />Die Registerkarte "Multimedia" zeigt alle Bilder oder andere Media-Dateien, die zu dieser Person vorhanden sind. Wenn Sie auf ein Thumbnail eines Bildes klicken, öffnet sich ein größeres Bild-Betrachtungsfenster.<br /><br />Die Registerkarte "Direkte Verwandschaft" listet die Eltern und Geschwistern, sowie die Ehepartner und Kinder dieser Person auf. Alle Personen sind in Boxen dargestellt, die den Boxen in den Diagrammen ähneln.<br /><br />Am rechten Rand des Bildschirmes sehen Sie eine Box mit Links.<br />Die meisten Links in dieser Box entsprechen denen im Menü der Kopfzeile. Wenn Sie z.B. auf den "Stammbaum"-Link an der rechten Seite klicken, gelangen Sie zum Stammbaum DIESER PERSON. Das ist der Unterschied zu den Links im Menü, denn dort führt der "Stammbaum"-Link zum Grund-Stammbaum dieser GEDCOM-Datei.<br /><br />Wenn der Administrator diese Funktion aktiviert hat, erscheint bei diesen Links rechts auch "GEDCOM-Datensatz anzeigen". Dieser Link zeigt Ihnen die GEDCOM Rohdaten dieser Person.<br /><br />Wenn der Ausschnittssammelbehälter aktiviert wurde, erscheint auch ein Link, der diese Person in den Ausschnittssammelbehälter hinzufügt.<br /><br />Der Link "Verwandschaft mit mir" erscheint nur, wenn Sie angemeldet sind und ihnen eine ID in der GEDCOM-Datei zugewiesen wurde. Sie bekommen mit diesem Link angezeigt, wie Sie mit dieser Person verwandt sind.<br /><br />Weitere Hilfe zu dieser Seite erhalten Sie, wenn Sie auf die <b>?</b> neben den Links oder Elementen klicken."
"help_info";"Hilfe erhalten Sie, wenn Sie auf das jeweilige rote Fragezeichen (?) hinter der Einstellungsbezeichnung klicken."
"help_medialist.php";"~MULTI MEDIA LISTE~<br /><br />Die Multi Media Seite listet alle Multi Media Objekte (MMO), die in der GEDCOM-Datei vorkommen.<br /><br />Zu jedem Multimedia-Objekt finden Sie den Titel oder Dateinamen des Objekts sowie die Namen der Personen oder Familien, die mit dem MMO verbunden sind, sowie Notizen zum Objekt.<br /><br />Auf den Titel oder Dateinamen des MMO zu klicken bewirkt das gleiche wie ein Klick auf sein Thumbnail.<br />Abhängig vom Dateiformat (*.gif, *.jpg), wird das MMO mit dem GM-internen Viewer geöffnet oder in einem Viewer-plugin Ihres Browsers.<br /><br />Wenn Sie auf den "Zeige" Link einer Person oder Familie klicken, gelangen Sie zur Seite der jeweiligen Familie oder Person.<br /><br />"
"help_not_exist";"<b>Die Hilfe für diese Seite oder dieses Element ist noch nicht verfügbar.</b>"
"help_pedigree.php";"~DIE STAMMBAUM SEITE~<br /><br />Die meisten Besucher wissen was ein Stammbaum ist, aber dennoch gibt es wichtige Zusatzinformationen zu diesem Stammbaum:<br />Dieser Stammbaum ist im wesentlichen eine Aufzählung aller Vorfahren der Ausgangsperson.<br />Wenn Sie diese Seite aus dem Hauptmenü aufrufen, sehen Sie die Startperson in der Box ganz links (wenn Sie angemeldeter Benutzer sind, können Sie diese Startperson auch verändern).<br /><br />"Alle Vorfahren" bedeutet also Vater und Mutter, deren Eltern usw.<br />Auf dieser Seite sehen Sie den Stammbaum als graphische Darstellung.<br />Sie müssen nicht durch Seiten voller Text blättern, um Ihre Vorfahren zu finden.<br />Jede Person wird in einer Namens-Box dargestellt.<br /><br />* DIE PERSONEN BOXEN DES STAMMBAUMS<br />Wenn Sie "Details zeigen" gewählt haben, so werden einige Grundinformationen (sofern bekannt, z.B. Geburtsdatum) über jede Person in ihrer Box angezeigt.<br />Sie können auf den Namen einer Person klicken, um zur Seite mit den persönlichen Details dieser Person zu gelangen.<br />Wenn Sie "Details zeigen" gewählt haben, erscheinen 2 Symbole in der Namens-Box.<br /><br />* STAMMBAUM SYMBOL IN DER NAMENS-BOX<br />Wenn Sie "Details zeigen" gewählt haben, sehen Sie ein Stammbaum-Symbol in der Namens-Box. Je nach Einstellung müssen Sie mit der Maus darüberfahren oder darauf klicken, um ein Menü zu öffnen.<br />Der "Stammbaum" und der "Nachfahren-Baum" entsprechen denen im Hauptmenü, wobei die Start-Person dann diejenige ist, in deren Box Sie auf das Symbol geklickt haben.<br />Außerdem sehen Sie den Link "Familie mit Ehepartner". Sie sehen den Namen des Ehepartners gefolgt von den Namen der Kinder.<br />Alle Namen können angeklickt werden.<br /><br />* LUPEN-SYMBOL IN DEN BOXEN<br />Je nach Einstellung müssen Sie mit der Maus darüberfahren oder darauf klicken.<br />Die gewählte Box wird dann vergrößert und es werden (sofern vorhanden) zusätzliche Informationen über die Person eingeblendet.<br /><br />* DIE PFEILE<br />Auf der linken bzw. rechten Seite der äußersten Boxen werden evtl. Pfeile angezeigt.<br />Klicken Sie auf diese Pfeile, um die Ansicht in die entsprechende Richtung zu "verschieben"<br /><br />Weitere Hilfe erhalten Sie, wenn Sie auf das <b>?</b> neben Boxen oder Links klicken."
"help_placelist.php";"~LISTE DER ORTE~<br />(oder Personen je Ort)<br /><br />Auf dieser Seite sehen Sie hierarchisch, welche Personen oder Familien mit einem Ort verknüpft sind.<br /><br />Wenn eine Verbindung zwischen einer Person oder Familie und einem Ereignis an einem bestimmten Ort besteht, bekommen Sie es angezeigt.<br /><br />Die Ergebnisse werden in einer 2-spaltigen Liste angezeigt:<br />Eine für Personen und eine für Familien.<br /><br />#gm_lang[more_help]#"
