"ABBREVIATE_CHART_LABELS_help";"~#gm_lang[ABBREVIATE_CHART_LABELS]#~<br /><br /"
"TBLPREFIX_help";"~#gm_lang[TBLPREFIX]#~<br /><br />Az előtag, melyet a Genmod az adattáblák nevéhez fűz. A mező tartalmának megváltoztatásával Ön több Genmod-oldalt üzemeltethet azonos adatbázissal, de eltérő adattáblákkal. Ez a mező beállítja a $TBLPREFIX változót a <i>config.php</i> állományban.<br/>"
"THEME_DIR_help";"~#gm_lang[THEME_DIR]#~<br /><br />Az a könyvtár, ahol a Genmod a megjelenés témáinak fájljait tárolja. A témákkal egyedi kinézetet adhatunk oldalunknak. Lásd a 'saját témák' részt a <a href="readme.txt">readme.txt</a> fájlban több információért.<br/>"
"TIME_LIMIT_help";"~#gm_lang[time_limit]#~<br /><br />Az a maximum hossz, amíg a Genmod futhat. Az alap érték 1 perc. A GEDCOM fájl méretétől függően, indexek készítéséhez növelheti ezt a számot. Ha 0-ra álítja akkornincs időkorlát.<br />FIGYELEM: 0-ra állítva, vagy túl nagy értékre állítva ezt, a művelet befejezéséig az oldal lefagyhat. Ha 0-át állítunk be, lehetséges hogy soha nem fejeződik be a program futása, amíg a rendszergazda le nem állítja, vagy újra nem indítja a programot a szerveren. Nagy családfákat sok ideig tarthat feldolgozni, így ezt a számot alacsony értéken tartva megakadályozhatjuk hogy valaki leállítsa a webszervert 1000 diagramm készítésével."
"USE_REGISTRATION_MODULE_help";"~#gm_lang[USE_REGISTRATION_MODULE]#~<br /><br />Lehetővé teszi, hogy a látogatók regisztrálják magukat az oldalon. <br /><br />A látogató kapni fog egy e-mailt melyen keresztül megerősíti regisztrációs szándékát. <br />Az aktiváció előtt ezt szándékot az adminisztrátornak is jóvá kell hagyni. <br /><br />Ez a mező beállítja a $USE_REGISTRATION_MODULE változót a <i>config.php</i> állományban.<br/>"
"USE_RELATIONSHIP_PRIVACY_help";"~#gm_lang[USE_RELATIONSHIP_PRIVACY]#~<br /><br />A <b>Nem</b> azt jelenti, hogy az élő személyek adatait az összes a regisztrált felhasználó láthatja. <br />Az 'Igen' azt jelenti, hogy a felhasználók csak azoknak az élő személyeknek a privát adatait láthatják, akikkel rokonságban állnak.<br />Ez a mező beállítja a $USE_RELATIONSHIP_PRIVACY változót a <i><u>xxx</u>.GED_priv.php</i> állományában.<br/>"
"USE_RIN_help";"~#gm_lang[USE_RIN]#~<br /><br />Állítsa 'Igen'-re, ha a RIN-azonosítót kívánja használni a GEDCOM-azonosító helyett, mikor egyéni azonosítót kell megadnia a beállításokhoz, keresésekhez vagy diagrammokhoz. Hasznos beállítás olyan genealógiai programok esetében, melyek nem exportálják a GEDCOM-állományokat külön személyi azonosítóval, hanem állandó RIN-azonosítót használnak. <br /><br />Ez a mező beállítja a $USE_RIN változót a config.php állományban.<br/>"
"USE_THUMBS_MAIN_help";"~#gm_lang[USE_THUMBS_MAIN]#~<br /><br />Attól függően, hogy Ön hogyan tárolja a képeit, bizonyos esetekben jobb, ha a személyes oldalakon a kisképek jelennek meg a személyek neve mellett. Ha az eredeti képek túl nagyok, letöltésük hosszú időt vehet igénybe, így a kisképek jól helyettesíthetik őket (ha minőségük megfelelő). Állítsa ezt az elemet "igen"-re, ha a kisképeket akarja használni, illetve hagyja meg "nem" beállítást, ha az eredeti felbontású képeket választja.<br/>"
"WEBMASTER_EMAIL_help";"~#gm_lang[WEBMASTER_EMAIL]#~<br /><br />Az az e-mail cím, amire a látogatók a technikai jellegű kérdésekkel fordulhatnak, esetleg hibákat jelezheznek.<br/>"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD_help";"~#gm_lang[WELCOME_TEXT_AUTH_MODE_CUST_HEAD]#~<br /><br />Választási lehetőség (többnyelvű) fejlécmegjelenítésére az egyéni üdvözlő szöveghez. Choose to display a (multilingual) header for your custom welcome text.<br /><br />Ha Ön az igen-t fejöli meg, a fejléc így fog megjelenni:<div class="list_value_wrap">#gm_lang[welcome_text_cust_head]#</div>"
"WELCOME_TEXT_AUTH_MODE_CUST_help";"~#gm_lang[WELCOME_TEXT_AUTH_MODE_CUST]#~<br /><br />Ha Ön az egyéni üdvözlő szöveg lehetőségét választotta, itt adhatja meg a szöveget. A szöveg azonban NEM kerül lefordításara a  látogatók nyelvére, éppen úgy fejelnik meg, ahogy Ön begépelte.<br/><br/>Ha szüksége, HTML-kódot is illeszthet a szövegbe.<br/>"
"WELCOME_TEXT_AUTH_MODE_help";"~#gm_lang[WELCOME_TEXT_AUTH_MODE]#~<br /><br />Itt választhatja ki azt a szöveget, mely a bejelentkező oldalon jelenik meg akkor, ha a "Hitelesített mód" aktiválva van. Kérjük, próbálja ki, melyik előre definiált szövegváltozat a leginkább megfelelő Önnek.<br />Természetesen megadhat egyéni üdvözlő szöveget is, de ez nem lesz lefordítva más nyelvekre.<br /><br />Az előre definiált változatok a következők:<br /><br /><b>#gm_lang[WELCOME_TEXT_AUTH_MODE_OPT1]# :</b><br /><br />#gm_lang[welcome_text_auth_mode_1]#<br /><br /><b>#gm_lang[WELCOME_TEXT_AUTH_MODE_OPT2]# :</b><br /><br />#gm_lang[welcome_text_auth_mode_2]#<br /><br /><b>#gm_lang[WELCOME_TEXT_AUTH_MODE_OPT3]# :</b><br /><br />#gm_lang[welcome_text_auth_mode_3]#"
"WORD_WRAPPED_NOTES_help";"~#gm_lang[WORD_WRAPPED_NOTES]#~<br /><br />Néhány családfa-program a megjegyzések sorait több sorba töri a szavak végén, néhány pedig máshol. Ebből kifolyólag a Genmod összekapcsolhat szavakat. A mezőt igen-re állítva, a hosszú sorok töréséhez szóközök kerülnek a GEDCOMban.<br/>"
"ZOOM_BOXES_help";"~#gm_lang[ZOOM_BOXES]#~<br /><br />Lehetővé teszi, hogy a felhasználók ráközelíthessenek a cellákra, hogy így több információt kaphassanak az adott személyről. Állítsa be a 'Letiltva' opciót, ha nem kívánja ezt engedélyezni. Válassza az 'Egér áthúzására' opciót, ha az egér áthaladására, illetve a 'Kattintásra' opciót ha az egér kattintására kívánja aktiválni ezt a funkciót.<br/>"
"active_help";"~#gm_lang[active]#~<br/><br/>A felhasználók kiválaszthatják ezt a nyelvet, amennyiben a(z) <b>#gm_lang[ENABLE_MULTI_LANGUAGE]#</b> engedélyezett.<br/>"
"add_child_help";"~#gm_lang[add_child_to_family]#~<br/><br/>Erre a hivatkozásra katintva Önnek lehetősége van további gyermekek hozzáadására.<br/><br/>A gyermek hozzáadása igen egyszerű: Kattintson a hivatkozásra, majd töltse ki a megjelenő űrlapot.<br/><br/>"
"add_faq_item_help";"~#gm_lang[add_faq_item]#~<br />Itt lehetőség van arra hogy, egy elemet a GYIK oldalához hozzáadni.<br/>"
"add_gedcom_help";"~#gm_lang[add_gedcom]#~<br /><br />Az új GEDCOM-állomány hozzáadásának lehetősége abban az esetben működik, ha Ön már valamilyen <i>külső megoldással</i> - például <b>FTP-</b> vagy <b>hálózati kapcsolaton</b> keresztül - feltöltötte a szerverre a GEDCOM-állományt.<br />Amennyiben ez még nem történt meg, Önnek először fel kell töltenie az állományt, utána indíthatja el a hozzáadást.<br/><br/>A folyamaton lépésről lépésre vezetjük Önt keresztül.<br/><br/>"
"add_name_help";"~#gm_lang[add_name]#<br/><br/>Ez a hivatkozás lehetövé teszi hogy egy másik nevet adjunk egy személyhez. Vannak személyek akik más néven ismert. Ez a hivatkozás megengedi hogy hozzá adjunk egy új nevet a személyhez annélkül hogy a régebbi név megváltozzon.<br/><br/>"
"add_new_gedcom_help";"~#gm_lang[add_new_gedcom]#~<br /><br />Biztosítjuk Önnek azt a lehetőséget is, hogy új GEDCOM-állományt hozzon létre a semmiből.<br /><br />Ez az eljárási is néhány lépésen keresztül elvégezhető: Ezek közül az első tér el a feltöltésnél és a hozzáadásnál megismert eljárástól, a többi lépés ismerős lesz Önnek.<dl><dt>1. lépés: Az új GEDCOM-állomány lenevezése</dt><dd>Gépelje be az új GEDCOM-állomány nevét, a '.ged' kiterjesztés nélkül. Az új állomány a beviteli mező alatt látható könyvtárba fog kerülni.<br />Kattintson a  <b>Hozzáadás</b> hivatkozásra.</dd><dt>2. lépés: Beállítások.</dt><dd>Ezt az oldalt Ön a GEDCOM-állományok beállításai kapcsán már megismerhette.</dd><dt>3. lépés: Ellenőrzés</dt><dd>Ez a lépés szintén ismerős lehet, ellenőrizzük az új GEDCOM-állományt.</dd><dt>4. lépés: Rekordok importálása</dt><dd>Mivel kezdetben egy rekordot kell importálni, a folyamat gyorsan le fog zajlani.</dd><dt>Létrehozás befejezése</dt><dd>Most már átléphet az ősfa oldalára, ahol láthatja az új GEDCOM-állomány első személyét. Kattintson a személy nevére és kezdje el feltölteni az adatait. Ezek után hozzáadhat új személyeket is, akik rokonságban állnak az első rögzített személlyel.</dd></dl><br/><br/>"
"add_new_language_help";"~#gm_lang[add_new_language]#~<br /><br />#gm_lang[add_new_language_desc]#"
"add_person_help";"~#gm_lang[add_another]#~<br /><br />Ön ebben a Kronológiában több személyt is feltüntethet.<br/><br/>A személy azonosítóját ebben a beviteli mezőben kell feltüntetni. Amennyiben nem tudja az azonosítót, használja az <b>Azonosító</b> hivatkozást.<br/><br/>"
"add_source_clip_help";"~#gm_lang[add_to_cart]#~<br /><br />Erre a hivatkozásra kattintva Ön hozzáadhatja az aktuális forrást a #gm_lang[clip_cart]# -ba.<br/><br/>"
"add_upload_gedcom_help";"~GEDCOM ÁLLOMÁNYOK FELTÖLTÉSE ÉS HOZZÁADÁSA~<dl><dt><b>GEDCOM állományok feltöltése</b></dt><dd>Az állományok feltöltése online végezhető el.<br />Ön tetszőleges helyről végezheti el a feltöltést, ehhez nincs szüksége FTP-kapcsolatra.</dd><br/><dt><b>GEDCOM állományok hozzáadása</b></dt><dd>Ha egy állomány már rendelkezésre áll az Ön GEDCOM-könyvtárában, akkor azt hozzáadhatja, nincs szüksége feltöltésre.<br/>Bizonyos esetekben a hozzáadást kell alkalmazni feltöltés helyett, például túl nagy mérető állományok vagy feltöltési korlátozások miatt.</dd></dl>Mindkét módszer négy egyszerű lépésen keresztül végrehajtható, melyek csupán az első lépésben különböznek egymástól.<br/><br/>"
"admin_help";"Ezen az oldalon Ön azokat a hivatkozásokat találja, melyekkel eljuthat a konfigurációs oldalakhoz, adminisztrátori oldlakhoz, dokumentációkhoz és a napló-állományokhoz.<br /><br />Az oldal címe alatt látható <b>rendszeridő</b> annak a szervernek az óráját mutatja, melyen az Ön oldala fut.<br /><br /><b>FIGYELEM!</b><br />Ha Ön egy figyelmeztető üzenetet lát a rendszeridő alatt, akkor az Ön <b>config.php</b> állománya jelenleg is írható.<br />A beállítások elvégzése után <b>biztonsági okokból</b> célszerű azt csak olvashatóvá tenni.<br />Sajnos ezt Önnek kell <b>"kézzel"</b> elvégezni, mivel a Genmod jelenleg (még) nem tudja módosítani ezt a beállítást.<br /><br />Az OLVASSEL Dokumentáció, a Felhasználói kézikönyv és a napló állományok kivételével a többi lehetőségról az adott oldalokon juthat további információhoz.<br/><br/>"
"ah10_help";"_GEDCOM: Adminisztráció oldal"
"ah11_help";"_GEDCOM: Konfiguráció"
"ah12_help";"_GEDCOM: Import"
"ah13_help";"_GEDCOM: Feltőltés"
"ah14_help";"_GEDCOM: Érvényesítés"
"ah15_help";"_GEDCOM: Átírás ANSI -ról UTF-8 -ra"
"ah16_help";"_GEDCOM: Bizalmas beállítások"
"ah17_help";"_Felhasználó Adminisztrálás"
"ah18_help";"_Adminisztrálás"
"ah19_help";"_GEDCOM: Média Eszköz"
"ah1_help";"_Frissités"
"ah20_help";"_GEDCOM: Személy azonósitó változtatása"
"ah21_help";"_Nyelvi eszközök"
"ah23_help";"_Támogatott nyelvek konfigurációja"
"ah2_help";"_Genmod konfiguráció"
"ah3_help";"_GEDCOM: Hozzáadás vs Feltőltés"
"ah4_help";"_GEDCOM: Konfiguráció állomány"
"ah5_help";"_GEDCOM: Alap"
"ah6_help";"_GEDCOM: Törlés"
"ah7_help";"_GEDCOM: Hozzáadás"
"ah8_help";"_GEDCOM: Új"
"ah9_help";"_GEDCOM: Letőltés"
"alpha_help";"~#gm_lang[alpha_index]#~<br /><br />Az ábécé-index egyes betűire kattintva az adott betűvel kezdődő nevek jeleníthetők meg.<br />Az utolsó előtti elem lehet a listában az <b>"Ismeretlen"</b><br />Ez akkor jelenik meg, ha a GEDCOM-állományban olyan személyek vannak, akiknek nincs rögzítve a vezetékneve (pl. a szerkesztő nem ismerte), vagy a támogatott nyelven nem értlmezhető karakterekből áll.<br /><br /><b>Fgyelem!</b><br />Ha a GEDCOM-állományban az ismeretlen személy neve eredetileg valamilyen kóddal lett rögzítve (pl. n.a., ismeretlen), akkor az <b>"Ismeretlen"</b> hivatkozásra kattintva <b>nem</b> fog szerepelni a találati listában. Ön úgy találhatja meg ezeket a személyeket, ha a kód kezdőbetűjére (pl."<b>N</b>" vagy "<b>I</b>") kattint.<br />Ez abból fakad, hogy a program csak azt ellenőrzi, hogy a GEDCOM-állományban a vezetéknév pozíciója ki van-e töltve.<br /><br />Az ábécé-index végén szerepel a "<b>Mind</b>" hivatkozás. Erre kattintva megjelenik a GEDCOM-állományban szereplő összes vezetéknév.<br /><br /><b>Miért hiányoznak egyes betűk?</b><br />Előfordulhat, hogy az ábécé-index egyes betűi "hiányoznak". <br />Természetesen nem vesztek el, csupán arról van szó, hogy ilyen kezdőbetűjű vezetéknevek nem szerepelnek az adott GEDCOM-állományban.<br/><br/>"
"alphabet_lower_help";"~#gm_lang[alphabet_lower]#~<br /><br />Az adott nyelv kisbetűs ábécéje, mely a kisbetűs nevek sorbarendezését segíti a Genmod-listákon.<br/>"
"alphabet_upper_help";"~#gm_lang[alphabet_upper]#~<br /><br />Az adott nyelv nagybetűs ábécéje, mely a nagybetűs nevek sorbarendezését segíti a Genmod-listákon.<br/>"
"annivers_date_select_help";"~NAP-VÁLASZTÓ~<br /><br />A "vezérlő-táblázat" felső sora a <b>nap-választó</b>.<br />Ennek szerepe magától értetődő: ezen keresztül tudja Ön kiválasztani a napot.<br />A választás eredménye attól függ, hogy Ön éppen az  "Adot napon" vagy az "Adott hónapban" módban van.<br /><br /><b>Adott napon</b> mód:<br />Ez esetben a program frissíti a képernyőt, és megjeleníti a kválasztott naphoz tartozó listát.<br /><br /><b>Adott hónapban</b>:<br />Ha itt választ ki egy napot, a képernyő frissülni fog, de Ön továbbra is annak a hónapnak a naptárát látja, mint a választás előtt.<br />Mindez azért van, hogy Önnek legyen lehetősége egy másik hónap és/vagy év megjelölésére, mielőtt akár az <b>#gm_lang[viewday]#</b> vagy az <b>#gm_lang[viewmonth]# gombra</b> kattint.<br /><br />A sor végén talál egy <b>"gyorshivatkozást"</b> a mai dátummal.<br />Erre kattintva megtekintheti a mai napra vonatkozó listát, mégpedig "Adott napon" módban, függetlenül attól, hogy Ön esetleg az "Adott hónapban" módban volt éppen.<br />"
"annivers_year_select_help";"~BEVITELI MEZŐ AZ ÉVNEK~<br /><br />Ezen beviteli mezővel változtathatja meg az évet az "Adott napon" listában, illetve az "Adott hónapban" naptárban.<br /><br />Ügyeljen arra, hogy az évszám begépelésével a képernyő tartalma nem frissül követlenül.<br />Mivel a beviteli mező nem hivatkozás, ezért vagy a <b>#gm_lang[viewday]#</b> vagy pedig a  <b>#gm_lang[viewmonth]# gombra</b> kell kattintania, hogy frissítse a tartalmat.<br />"
"best_display_help";"~Az Én Képernyőm~<br/>A Genmod használatának optimális képernyő-felbontása 1024x768.<br/>Ahhoz, hogy minden elem teljesen látható legyen, Önnek legalább ekkora felbontást kell beállítania.<br/><br/>Amennyiben alacsonyabb felbontást alkalmaz (pl. 800x600), vízszintesen kell majd görgetnie a képernyőt.<br/><br/>"
"bom_check_help";"~#gm_lang[bom_check]#~<br /><br />#gm_lang[bom_check_desc]#<br />"
"compare_lang_utility_help";"~#gm_lang[compare_lang_utility]#~<br /><br />#gm_lang[compare_lang_utility_desc]#<br />"
"config_lang_utility_help";"~#gm_lang[config_lang_utility]#~<br /><br />Ez a modul támogatja Önt a Genmod nyelvi beállításainak módosításában.<br /><br />Fehívjuk figyelmét arra, hogy amennyiben megváltoztatja a nyelvi beállításokat, egy új állomány (#INDEX_DIRECTORY#lang_settings.php) jön létre az #INDEX_DIRECTORY# könyvtárban. Minden további változtatás ezt az állományt érinti, illetve a Genmod is ezt használja.<br />Tehát ha probléma adódik a nyelvi beállításokkal, jelezze, hogy Önnél már ez az új állomány taláható az #INDEX_DIRECTORY# könyvtárban!<br/>"
"date_format_help";"~#gm_lang[date_format]#~<br /><br />Ebben a mezőben adható meg az adott nyelvben használatos dátumformátum.<br /><br />A használható változók a következők:<br />A napok jelöléséhez: D,<br />A hónapok jelöléséhez: M,<br />Az évek jelöléséhez: Y.<br /><br />Ön megváltoztathatja a változók sorrendjét, illetve elválasztó karaktereket is meghatározhat.<br /><br />Az alapértelmezett beállítás: 'D M Y', mely szerint a GEDCOM rekordban tárolt dátum (pl. DATE 20 Nov 1965), így jelenik meg: '20 November 1965'.<br /><br />Németül ugyanez így néz ki: 'D. M Y' (20. November 1965), illetve magyarul: 'Y. m. D.' (1965. november 20.)<br />Másik példa a finn nyelve, melyben a dátum formátuma: 'D. M#ta# Y' (20. Novemberta 1965)."
"def_gedcom_date_help";"~Dátumok a GEDCOM-állományban~<br />Mivel a GEDCOM-állományokban az elemek megjelenítésének nemzetközi szabályokat kell követnie, a dátumok jelölése is megállapodás szerint történik.<br /><br />Habár a GEDCOM-állományban a dátumok szabad mezőként szerepelnek (azaz Ön akár szövegként is megadhatja őket), a következő magyarázatok segítik Önt a helyes dátumbevitelben:<br />A teljes dátumformátum NN HHH ÉÉÉÉ, pl.<br />01 Mar 1801 vagy 14 Dec 1950<br />Ha a szóbanforgó dátum egy része hiányzik, az a bevitelnél kihagyható, pl. <br />Mar 1801 vagy 14 Dec<br />Ha Ön nem biztos valamiben, vagy a dátum nem nyert megerősítést, a következő beviteli módok használhatók:<br />abt Mar 1801 (abt = about = körül)<br />bef 20 Dec 1950 (bef = before = előtt)<br />aft 1949 (aft = after = után)<br />Ügyeljen arra, hogy a dátumokat és a rövidítéseket angolul rögzítse, hiszen ez a program fogja a dátumokat és rövidítéseket a kívánt nyelvre fordítani.<br />Emellett a program számításokat is végez a dátumokkal, tehát ha ilyen módon pontatlan dátumok kerültek rögzítésre, a számítások is hibásak leszenk.<br />"
"def_gedcom_help";"~GEDCOM-állomány~<br />A GEDCOM-állomány tartalmazza a csládra vonatkozó öszes információt. <br />Minden tény, dátum, esemény ebben az állományban található meg.<br />A GEDCOM-állományok igen szigorú szabályok alapján épülnek fel, mivel számos programnak platform- és rendszerfüggetlenül kell használni tudnia őket.<br />"
"def_gm_help";"~Genmod~<br />A Genmod (vagy GM) John Finlay által alkotott, a GEDCOM-állományok online megjelenítését szolgáló program.<br />Amint Ön azt bizonyára észrevette, a Genmod nem csupán statikus lapokat jelenít meg, hanem dinamikusan változik és sokoldalúan testre szabható.<br />John egyedül látott hozzá a program fejlesztéséhez, azonban azóta fejlesztőkből és fordítókból álló nemzetközi csapat gyűlt köré, akik a program tökéletesítésén dolgoznak.<br />A GEDCOM-állományok megjelenítésén kívül a a Genmod lehetővé teszi a az online bővítést és szerkesztést is.<br />"
"def_help";"<div class="name_head"><center><b>DEFINÍCIÓK</b></center></div><br />A Segítségek szövegében olvasható fontosabb kifejezések magyarázata:<br />"
"def_portal_help";"~Portál~<br />Ezen az oldalon (sok másikhoz hasonlóan) a portál hasonlít egy étterem előcsarnokához. Ez az a hely, ahová Ön belép, de sok fontos lehetőséget is itt találhat meg, mint pl. a menük és magyarázatok.<br />"
"def_theme_help";"~Asztaltéma~<br />Az oldal számos eltérő "kinézettel", más néven Asztaltémával rendelkezik.<br />Az oldal adminisztrátora mindig kijelöl egy Asztaltémát kezdőként, tehát mindenki, aki meglátogatja az oldalt, ugyanolyannak fogja látni. Ha az adminisztrátor lehetővé teszi, hogy a bejelentkezett felhasználók kiválaszthassák saját Asztaltémájukat, akkor ők lecserélhetik arra, ami nekik a legjobban tetszik.<br />Ha egy felhasználó eltérő Asztaltémát választ, a beállítás akkor lép életbe, mikor bejelentkezik az oldalra.<br />"
"default_gedcom_help";"~#gm_lang[DEFAULT_GEDCOM]#~<br /><br />Amennyiben Ön egynél több GEDCOM-állományt használ, akkor ebben a mezőben láthatja, melyik állomány szzámít <b>alapértelmezettnek</b>.<br /><br />Ezen állomány tartalmát láthatják azok a látogatók, akik még nem jelentkeztek be.<br /><br />A regisztrált felhasználók a maguk számára felülírhatják ezt a beállítást, ha a felhasználói adataik között módosítják azt.<br /><br />"
"delete_gedcom_help";"~GEDCOM TÖRLÉS~<br /><br />A Genmod mindig egy GEDCOM-állományból veszi át a megjelenített rekordokat. Mikor Ön a <b>Törlésre</b> kattint, a program minden, a GEDCOM-állományból származó adatot töröl.<br />Természetesen az érintett GEDCOM-állomány továbbra is abban a könyvátban lesz megtalálható, ahová Ön feltöltötte. <br /><br />Így ha a későbbiekben újra dolgozni szeretne vele, nem kell ismét feltölteni, elegendő az <b>Új GEDCOM-állomány hozzáadása</b> opciót kiválasztania.<br /><br />Miután Ön a Törlésre kattintott, egy felugró ablakban kell <b>megerősítenie</b> ezt a döntést.<br/><br/>"
"delete_source_help";"~FORRÁS TÖRLÉSE A GEDCOM-ÁLLOMÁNYBÓL~<br /><br />Erre az opcióra kattintva Ön törlésre jelöli ki az aktuális forrást.<br />Mit is jelent ez?<br />Tegyük fel, hogy Önnek alapos indoka van a forrás eltávolítására. A hivatkozásra való kattintás után megjelenik egy ablak, melyben megerősítheti törlési szándékát, vagy elvetheti azt.<br /><br />Ha Ön befejezi a folyamatot, egy kis idő múlva egy újabb felugró ablak tájékoztatja Önt, hogy a forrás törlésre került.<br /><br />Azonban ha folytatja látogatását az oldalon, láthatja, hogy a forrás ugyanúgy látható és használható, mint azelőtt volt.<br /><br />De ez <b>egyáltalán nem</b> hiba!<br />Az oldal adminisztrátora fog kapni egy üzenetet, miszerint változtatás történt a GEDCOM-állományban, és Ön eltávolított egy forrást.<br />Ezt az adminisztrátornak kell jóváhagyni (vagy elvetni), mely után a változtatást már nem lehet visszavonni.<br />Kérdéses esetben az admnisztrátor kapcsolatba fog Önnel lépni."
"desc_generations_help";"#gm_lang[PEDIGREE_GENERATIONS_help]#"
"desc_rootid_help";"#gm_lang[rootid_help]#"
"download_gedcom_help";"~#gm_lang[download_gedcom]#~<br /><br />Önnek rendelkezésére áll az a lehetőség, hogy honlapon megtalálható GEDCOM-állományokat letöltse.<br /><br />A "GEDCOM-állomány letöltése" oldalon eldöntheti, hogy átkonvertálja-e az állományt <b>UTF-8-as</b> kódolásból <b>ANSI (ISO-8859-1)-re</b>.<br />Hogy melyik formátum a megfelelő az Ön számára, az attól függ, milyen programmal kívánja feldolgozni a letöltés után.<br />Ellenőrizze a program dokumentációját, ha nem biztos a döntésben.<br/>"
"edit_CEME_help";"~#factarray[CEME]#~<br /><br />Írja be a temetö nevét ahól a személy el lett temetve.<br/><br/>"
"edit_GIVN_help";"#gm_lang[edit_given_name_help]#"
"edit_NCHI_help";"~#factarray[NCHI]#~<br /><br />Írja be a gyermekek számát ennek a személynek vagy családnak. Nem kötelezö adat.<br/><br/>"
"edit_NSFX_help";"#gm_lang[edit_suffix_help]#"
"edit_SURN_help";"#gm_lang[edit_surname_help]#"
"edit_TIME_help";"~#factarray[TIME]#~<br /><br />Írja be az ídöponját ennek az eseménynek 24 órás formátummal. Az éjfél az 00:00. Példák: 04:50 13:00 20:30.<br/><br/>"
"edit_config_gedcom_help";"~GEDCOM SZERKESZTÉSE~<br /><br />Minden, Ön által használt GEDCOM-állomány rendelkezik saját <b>konfigurációs állománnyal</b>.<br /><br />Ezen az űrlapon az olyan alapvető beállítások adhatók meg, mint a nyelv, naptár-formátum, e-mail lehetőségek stb.<br />"
"edit_gedcoms_help";"~GEDCOM-KEZELÉS~<br /><br />A GEDCOM-állományok adminisztrációs oldala az a központi lap, melyen ön elvégezheti az <b>aktuális</b> és az <b>új</b> GEDCOM-állományokra vonatkozó beállításokat.<br /><dl><b>AKTUÁLIS  GEDCOM-ÁLLOMÁNYOK</b><br /><dt>Az <b>aktuális GEDCOM-állományok</b> táblázatában Önnek a következőkre van lehetősége:</dt><dd>Törlés</dd><dd>Szerkesztés</dd><dl><dt>Diszkréciós beállítások</dt><dd>A diszkréciós beállíátsok szerkesztlése is része ennek a táblázatnak, mivel minden GEDCOM-állománynak saját diszkréciós állománya van.</dd></dl><dd>Alapértelmezett GEDCOM beállítása</dd><dd>GEDCOM importálása</dd><dd>GEDCOM letöltése</dd><dt>Ezen kívül még a következő három oszlop található itt:</dt><dd>GEDCOM-állomány</dd><dd>GEDCOM-állomány címe</dd><dd>Konfigurációs állomány</dd></dl><dl><b>ÚJ GEDCOM-ÁLLOMÁNYOK</b><dt>Ezen az oldalon Önnek a következő lehetőségei vannak az <b>új</b> és/vagy a <b>már létező</b> GEDCOM-állomány hozzáadására.</dt><dd>Új GEDCOM-állomány hozzáadása</dd><dd>GEDCOM-állomány feltöltése</dd><dd>Új GEDCOM-állomány létrehozása</dd></dl>#gm_lang[more_help]#<br />"
"edit_lang_utility_help";"~#gm_lang[edit_lang_utility]#~<br /><br />#gm_lang[edit_lang_utility_desc]#<br />"
"editlang_help";"~#gm_lang[editlang]#~<br /><br />Üzenet szerkesztése a következő nyelvi állományban.<br/>"
"edituser_change_lang_help";"~#gm_lang[change_lang]#~<br /><br />Itt beállíthatja az Ön számára aalapértelmezett nyelvet.<br />Ugyanakkor a program képes felismerni a böngésző nyelvi beállításait, tehát a legtöbb esetben nem szükséges itt is beállítani a nyelvet.<br />Természetesen a ha böngésző beállításai között az angol szerepel, mint preferált nyelv, és Ön hollandot vagy a hébert szeretné az <b>oldal nyelveként</b> látni, azt beállíthatja itt.<br />"
"edituser_conf_password_help";"~#gm_lang[confirm]#~<br /><br />Mikor mÖn megváltoztatja a jelszavát, meg is kell erősítenie azt. <br />Ennek a lépésnek az a szerepe, hogy elkerülje a gépelési hibákból eredő tévedéseket.<br />Amennyiben a program eltérést talál a jelszó és a megerősítés között: Ön a következő hibaüzenetet fogja kapni: <b>#gm_lang[password_mismatch]#</b>.<br />Ebben az esetben mindkét jelszómezőt ki kell üríteni és a jelszót újra be kell gépelni.<br />"
"edituser_contact_meth_help";"~#gm_lang[user_contact_method]#~<br />Rendszerünkben több kapcsolattartási módot használhat. <br />Az e-mailt, mint <b>üzenetküldő<b> módot, az adminisztrátor állítja be, tehát Ön ezt nem tudja módosítani.<br />Ugyanakkor az üzenetek <b>fogadásának</b> módját Ön is megváltoztathatja.<br />Jelenleg az alábbi négy módszer küzül választhat:<br/>"
"edituser_email_help";"~#gm_lang[emailadress]#~<br /><br />Itt szerepel az Ön (valós) e-mail címe. természetesen fontos, hogy kapcsoaltot tudjunk tartani Önnel, ezért ha megváltozik az Ön e-mail címe (például új szolgáltatót vesz igénybe, vagy egyszerűen egy másik e-mail címre szeretné kapni leveleit), kérjük, hogy ne feledkezzen meg az új cím rögzítéséről.<br />"
"edituser_gedcomid_help";"~#gm_lang[gedcomid]#~<br /><br />Ez egy belső (a GEDCOM-állományra utaló) azonosító, mely Önt az Ön genealógiai adataihoz kapcsolja. <br /><br />Ezt az azonosítót kizárólag az oldal adminisztrátora változtathatja meg, így ha Ön úgy véli, az azonosító hibás, kapcsoaltba kell lépnie az adminisztrátorral.<br />"
