"stat_sources";"Kilder,"
"add_note_lbl";"Tilføj note"
"add_note";"Tilføj ny note"
"add_media_lbl";"Tilføj medie"
"add_media";"Tilføj nyt medie"
"delete_source";"Slet denne kilde"
"confirm_delete_source";"Er du sikker på, at du vil slette denne kilde fra Gedcom-filen?"
"add_husb";"Tilføj ægtemand"
"add_husb_to_family";"Tilføj en ægtemand til denne familie"
"add_wife";"Tilføj kone"
"add_wife_to_family";"Tilføj en hustru til denne familie"
"find_family";"Find familie"
"find_fam_list";"Find familieliste"
"add_new_wife";"Tilføj en ny hustru"
"add_new_husb";"Tilføj en ny ægtemand"
"edit_name";"Rediger navn"
"delete_name";"Slet navn"
"no_temple";"Ingen Temple - Living ritual"
"replace";"Udskift post"
"append";"Føj til post"
"add_father";"Tilføj en ny far"
"add_mother";"Tilføj en ny mor"
"add_obje";"Tilføj et nyt multimedieobjekt"
"no_changes";"Der er for nærværende ingen ændringer som behøver at vurderes."
"accept";"godkend"
"accept_all";"Godkend alle ændringer"
"accept_successful";"Ændringerne blev godkendt i databasen"
"select_date";"Vælg en dato"
"create_source";"Opret en ny kilde"
"new_source_created";"Oprettelse af ny kilde lykkedes."
"paste_id_into_field";"Tilføj det følgende kilde-ID i skrivbare felter for at referere til denne kilde"
"add_name";"Tilføj nyt navn"
"privacy_not_granted";"Du har ikke adgang til"
"user_cannot_edit";"Dette brugernavn kan ikke redigere i denne Gedcom."
"gedcom_editing_disabled";"Systemadministrator har blokeret for redigering af denne Gedcom."
"privacy_prevented_editing";"Fortrolighedsindstillingerne forhindrer dig i at redigere denne post."
"add_asso";"Tilføj ny tilknyttet person"
"on_this_day";"På denne dag i din slægtshistorie…"
"in_this_month";"I denne måned i din slægtshistorie"
"in_this_year";"I dette år i din slægtshistorie…"
"year_anniversary";"#year_var# Årsdag"
"today";"Idag"
"day";"Dag:"
"month";"Måned:"
"showcal";"Vis begivenheder for:"
"sunday";"søndag"
"monday";"mandag"
"tuesday";"tirsdag"
"wednesday";"onsdag"
"thursday";"torsdag"
"friday";"fredag"
"saturday";"lørdag"
"all_people";"Alle personer"
"living_only";"Nulevende personer"
"recent_events";"Nylige begivenheder (< 100 år)"
"day_not_set";"Dag er ikke angivet"
"year_error";"Desværre, datoer før 1970 er ikke understøttet."
"lost_password";"Har du glemt din adgangskode?"
"requestpassword";"Bestil ny adgangskode"
"no_account_yet";"Har du endnu ikke en konto?"
"requestaccount";"Bestil ny brugerkonto"
"emailadress";"E-mail adresse:"
"mail01_line01";"Hallo #user_fullname# ..."
"mail01_line02";"( #SERVER_NAME# ) blev anmodet om login med din e-mailadresse ( #user_email# )."
"mail01_line03";"Flg. data blev brugt."
"mail01_line04";"Klik venligst på linket herunder og udfyld felterne for at aktivere din konto og e-mailadresse."
"mail01_line05";"hvis du ikke har anmodet om en brugerkonto, bedes du blot slette denne mail."
"mail01_line06";"Du vil ikke få tilsendt yderligere e-mails herfra, idet kontoen i mangel på din aktivering vil blive slettet indenfor syv dage."
"mail01_subject";"Din registrering hos #SERVER_NAME#"
"mail02_line01";"Hej administrator ..."
"mail02_line02";"En ny bruger har registreret sig hos ( #SERVER_NAME# )."
"mail02_line03";"Brugeren har fået tilsendt en e-mail med de nødvendige oplysninger for at aktivere sin konto."
"mail02_line04";"Så snart brugeren har foretaget denne aktivering, får du besked pr. mail om at give denne bruger tilladelse til login på dit websted."
"mail02_line04a";"Så snart brugeren har foretaget denne aktivering, får du besked pr. mail om at brugeren kan foretage login på dit websted."
"mail02_subject";"Ny registrering hos #SERVER_NAME#"
"hashcode";"Kontrolkode"
"thankyou";"Hej #user_fullname# ...<br />Tak for din registrering"
"pls_note06";"Du vil nu få tilsendt en bekræftende e-mail til adressen ( #user_email# ). For at aktivere din konto skal du følge instrukserne i denne e-mail. Hvis du ikke aktiverer din konto inden syv dage, vil den blive slettet. I så fald vil du være nødt til at registrere dig igen.<br /><br />Efter din aktivering af kontoen skal den godkendes endeligt af administratoren før den kan bruges.<br /><br />For at kunne logge ind på dette websted, skal du bruge både brugernavn og adgangskode.<br /><br />"
"pls_note06a";"Du vil nu få tilsendt en bekræftende e-mail til adressen ( #user_email# ). For at aktivere din konto skal du følge instrukserne i denne e-mail. Hvis du ikke aktiverer din konto inden syv dage, vil den blive slettet. I så fald vil du være nødt til at registrere dig igen.<br /><br />Efter din aktivering af kontoen kan den umiddelbart bruges.<br /><br />For at kunne logge ind på dette websted, skal du bruge både brugernavn og adgangskode.<br /><br />"
"registernew";"Bekræftelse af ny konto."
"user_verify";"Brugergodkendelse"
"send";"Send"
"pls_note07";"Indtast venligst dit brugernavn, din adgangskode og den kontrolkode du fik tilsendt pr. e-mail."
"pls_note08";"Data for brugeren #user_name# blev kontrolleret."
"mail03_line01";"Hej administrator ..."
"mail03_line02";"#newuser[username]# ( #newuser[fullname]# ) har bekræftet registreringsdata."
"mail03_line03";"Klik venligst på linket herunder for at logge ind på dit websted og give vedkommende tilladelse til login på dit websted."
"mail03_line03a";"Du behøver ikke foretage dig noget, brugeren kan nu logge ind."
"mail03_subject";"Ny bekræftelse hos #SERVER_NAME#"
"pls_note09";"Du har bekræftet dit ønske om at blive en registreret bruger."
"pls_note10";"Administrator har nu fået besked.<br />Såsnart vedkommende har givet sin tilladelse, kan du logge ind med dit brugernavn og adgangskode."
"pls_note10a";"Du kan nu logge ind med dit brugernavn og adgangskode."
"data_incorrect";"Data var ukorrekte!<br />Prøv venligst igen!"
"user_not_found";"Kunne ikke godkende de oplysninger du indtastede. Prøv venligst igen."
"lost_pw_reset";"Adgangskodeanmodning"
"pls_note11";"For at få din adgangskode nulstillet, skal du oplyse dit Genmod brugernavn og e-mailadresse for brugerkontoen<br /><br />Du vil via e-mail få tilsendt et weblink med en kontrolkode for din konto. Ved at benytte dette link, får du mulighed for at ændre din adgangskode og login til dette websted. Af sikkerhedsmæssige årsager skal du ikke oplyse denne kontrolkode til nogen, og heller ikke dette websteds administratorer (vi vil ikke bede om det).<br /><br />Hvis du behøver assistance fra webstedets administrator kan du bruge linket herunder."
"enter_email";"Du skal indtaste en e-mail adresse."
"mail04_line01";"Hej #user_fullname# …"
"mail04_line02";"Der er bedt om en nyt adgangskode til dit brugernavn!"
"mail04_line03";"Anbefaling:"
"mail04_line04";"Klik venligst på linket herunder, login med den nye adgangskode og brugernavn."
"mail04_subject";"Data anmodning fra #SERVER_NAME#"
"pwreqinfo";"Hallo...<br /><br />En e-mail med den nye adgangskode blev sendt til e-mailadressen.<br /><br />Tjekvenligst  din e-mail; denne e-mail gerne skulle være fremme snart.<br /><br />Anbefaling:<br /><br />Efter du har modtaget denne e-mail, bør du logge på webstedet med dit nye adgangskode og ændre den, for at opretholde din datasikkerhed."
"editowndata";"Min konto"
"savedata";"Gem ændrede data"
"datachanged";"Brugerdata blev ændret!"
"datachanged_name";"Det vil måske være nødvendigt at logge ind med dit nye brugernavn."
"myuserdata";"Min konto"
"verified";"Brugeren bekræftede sig selv:"
"verified_by_admin";"Bruger godkendt af administrator"
"user_theme";"Mit tema"
"mgv";"Min Side"
"passwordlength";"Adgangskoden skal være på mindst 6 tegn."
"admin_approved";"Din konto hos #SERVER_NAME# er blevet godkendt"
"you_may_login";"af webstedadministrator. Du kan nu logge ine på Genmod webstedet ved at følge linket herunder:"
"welcome_text_auth_mode_1";"<center><b>Velkommen til denne slægtsside</b></center><br /><br />Adgang til dette websted er tilladt for alle besøgende, der har en brugerkonto.<br /><br />Hvis du allerede har en brugerkonto her, kan du logge ind her. Har du endnu ikke en brugerkonto, kan du anmode om at få en konto ved at klikke på nedenstående link.<br /><br />Efter at du har bekræftet dine oplysninger, vil webstedets administrator aktivere din brugerkonto.<br />Du får tilsendt en e-mail når kontoen er godkendt."
"welcome_text_auth_mode_2";"<center><b>Velkommen til denne slægtsside</b></center><br /><br />Adgang til dette websted er forbehold <b>godkendte</b> brugere.<br /><br />Hvis du allerede har en brugerkonto her, kan du logge ind her. Har du endnu ikke en brugerkonto, kan du anmode om at få en konto ved at klikke på nedenstående link.<br /><br />Efter at du har bekræftet dine oplysninger, vil webstedets administrator enten godkende eller afslå din anmodning.<br/>Du får tilsendt en e-mail med besked, hvis din anmodning bliver godkendt."
"welcome_text_auth_mode_3";"<center><b>Velkommen til denne slægtsside</b></center><br /><br />Adgang til webstedet er forbeholdt<b>familiemedlemmer</b>.<br /><br />Hvis du allerede har en brugerkonto her, kan du logge ind her. Har du endnu ikke en brugerkonto, kan du anmode om at få en konto ved at klikke på nedenstående link.<br /><br />Efter at du har bekræftet dine oplysninger, vil webstedets administrator enten godkende eller afslå din anmodning.<br />Du får tilsendt en e-mail med besked, hvis din anmodning godkendes.<br />"
"welcome_text_cust_head";"<center><b>Velkommen til denne slægtsside</b></center><br /><br />Adgang til dette websted er forbehold brugere, der har en brugerkonto og en adgangskode her til webstedet.<br />"
"welcome";"Velkommen"
"upcoming_events";"Kommende begivenheder"
"chat";"Chat"
"users_logged_in";"Brugere online"
"message";"Send besked"
"my_messages";"Mine beskeder"
"date_created";"Afsendt dato:"
"message_from";"Besked fra:"
"message_from_name";"Dit navn:"
"message_to";"Besked til:"
"message_subject";"Emne:"
"message_body";"Besked:"
"no_to_user";"Ingen modtager oplyst. Kan ikke fortsætte."
"provide_email";"Oplys venligst din e-mailadresse, så vi kan kontakte dig med svar på din henvendelse. Hvis du ikke oplyser din e-mailadresse, er vi ikke i stand til at besvare denne forespørgsel. Din e-mailadresse vil ikke blive brugt til andet end at besvare denne forespørgsel."
"reply";"Svar"
"message_deleted";"Besked slettet"
"message_sent";"Besked afsendt"
"reset";"Fortryd"
"site_default";"Standard for dette websted"
"mygedview_desc";"<b>Min side</b> gør det muligt for dig at markere dine personlige favoritter, se kommende begivenheder, og samarbejde med andre Genmod brugere."
"no_messages";"Der er ingen besked til dig."
"clicking_ok";"Ved klik på OK, åbnes et nyt vindue, hvor du kan kontakte #user[fullname]#"
"my_favorites";"Mine Favoritter"
"no_favorites";"Du har ikke valgt nogen favoritter. For at tilføje en person til dine favoritter, kan du enten finde vedkommende persons detailler og derefter klikke på linket <b>Føj til mine favoritter</b> eller bruge ID-boksen herunder for at tilføje en person ved hjælp af hans ID-nummer."
"add_to_my_favorites";"Føj til <b>Mine Favoritter<b>"
"no_gedcom_favorites";"Der er ikke valgt nogen favoritter. Administrator kan vælge favoritter, som vises ved opstart."
"confirm_fav_remove";"Er du sikker på at du vil fjerne dette fra <b>Dine Favoritter</b>?"
"invalid_email";"Indtast venligst en gyldig e-mail adresse."
"enter_subject";"Indtast venligst en tekst i emnelinjen."
"enter_body";"Indtast venligst en beskedinden afsendelse."
"confirm_message_delete";"Er du sikker på at du vil slette denne besked? Når først den er slettet, kan den ikke gendannes igen."
"message_email1";"Følgende besked blev sendt til din Genmod brugerkonto:"
"message_email2";"Du sendte følgende besked til en Genmod brugerkonto:"
"message_email3";"Du sendte følgende besked til en Genmod administrator:"
"viewing_url";"Denne besked blev afsendt fra denne URL:"
"random_picture";"Tilfældigt billede"
"message_instructions";"<b>Bemærk:</b> Private data på nulevende personer kan ikke fås af andre end slægtninge og nære venner. Du vil blive afkrævet bevis for dit slægtskab før du får udleveret fortrolige data. Sommetider kan en afdøds data også være skjult; dette kan skyldes, der ikke er nok oplysninger tilstede til at kunne afgøre om vedkommende er nulevende eller ej, eller at der ikke finderes yderligere oplysninger om vedkommende.<br /><br />Før du beder om oplysninger, bedes du sikre, der er tale om den rette person, ved tjek af datoer, stednavne og nærmeste slægtninge. Hvis du bidrager med oplysninger, så angiv venligst de kilder du har oplysningerne fra.<br /><br />"
"sending_to";"Denne besked bliver sendt til #TO_USER#"
"preferred_lang";"Denne bruger foretrækker at modtage beskeder på #USERLANG#"
"gedcom_created_on";"Denne Gedcom-fil blev lavet den <b>#DATE#</b>."
"customize_page";"Tilpas <b>Min Portal</b>"
"customize_gedcom_page";"Tilpas velkomstsiden for denne Gedcom-fil"
"upcoming_events_descr";"<b>Kommende begivenheder</b>-blokken viser en liste med begivenheder fra den aktive Gedcom-fil, som indtræffer de næste 30 dage. For brugerne af <b>Min Side</b> viser blokken kun nulevende personer. Gedcom velkomstsiden viser derimod alle personer."
"todays_events_descr";"<b>På denne dag</b>-blokken viser en liste af begivenheder i den aktive Gedcom-fil, som indtraf på denne dag. Hvis ingen begivenheder eksisterer, vises blokken ikke. På brugernes <b>Min Side</b> vises kun nulevende personer. På en Gedcom-fils velkomstside vises alle personer."
"logged_in_users_descr";"I <b>Brugere online</b>-blokken vises en liste med brugere der aktuelt er logget ind."
"user_messages_descr";"I <b>Brugerbeskeder</b>-blokken vises en liste over beskeder der er sendt til den aktive bruger."
"user_favorites_descr";"<b>Brugerfavoritter</b>-blokken viser brugerne en liste med deres favoritpersoner, således de nemt kan hoppe til dem."
"welcome_descr";"<b>Brugervelkomst</b>-blokken viser brugeren den aktuelle dato og klokkeslæt, links til hurtig ændring af deres konto eller til deres personlige anetræ, samt link til tilpasning af deres <b>Min Portal</b> side."
"random_media_descr";"I <b>Tilfældigt medie<b>-blok vælges et tilfældigt billede eller et andet medie emne fra den aktive Gedcom-fil, som derefter fremvises for brugeren"
"gedcom_descr";"<b>Gedcomvelkomst</b>-blokken virker på samme måde som <b>Brugervelkomst</b>-blokken, ved at byde den besøgende velkommen og vise titlen på den aktive Gedcom, samt aktuel dato og tid."
"gedcom_favorites_descr";"<b>Gedcomfavoritter</b>-blokken lader webstedets administrator vælge sine foretrukne personer fra Gedcom-filen, så besøgende let kan finde frem til disse personer. På denne måde kan vigtige personer i slægtshistorien fremhæves."
"gedcom_stats_descr";"<b>Gedcomstatistik</b>-blokken viser de besøgende nogle informationer om Gedcom-filen, såsom hvem der har lavet den og hvor mange personer den indeholder.<br /><br />Blokken indeholder også en liste over hyppigste efternavne. Du kan indstille blokken til ikke at vise listen med hyppige efternavne eller til at tilføje eller udelade visse navne. Du kan også sætte en hyppighedsgrænse for hvornår et efternavn skal optræde på listen."
"portal_config_intructions";"Du kan tilpasse siden ved at placere sidens blokke på den måde du foretrækker det.<br /><br /> Siden er inddelt i Hovedsektionen og Højresektionen. Hovedsektionens blokke er større og er anbragt under sidetitlen. Højresektionen starter til højre for titlen og går ned langs siden.<br /><br />Hver sektion har sin egen liste af blokke, der vil blive placeret på siden i samme orden som i listen. Du kan tilføje, fjerne, og omordne blokkene som du ønsker det.<br /><br />Er en af bloklisterne tomme, vil den anden liste udfylde hele sidebredden."
"login_descr";"I <b>Log ind</b>-blokken vises en boks, hvor brugere kan indtaste brugernavn og adgangskode."
"theme_select_descr";"<b>Temavalg<b>-blokken viser temavælgeren, også selvom funktionen er slået fra."
"block_top10_title";"Hyppigste efternavne"
"block_top10_descr";"Denne blok viser en tabel med de 10 oftest forekommende efternavne i databasen. Antallet af efternavne i denne boks kan indstilles. Du kan indstille databasen til at fjerne navne fra denne liste."
"gedcom_news_descr";"<b>Gedcomnyheder</b>-blokken viser nyheder eller artikler fra administrator.<br /><br /> Denne blok er velegnet til annoncering af en opdateret database eller et familietræf."
"user_news_descr";"<b>Brugernotat</b>-blokken lader en bruger lave notater, eller at føre dagbog online."
"my_journal";"Mine notater"
"no_journal";"Du har endnu ikke skrevet nogen notater."
"confirm_journal_delete";"Vil du virkelig slette dette notat?"
"add_journal";"Tilføj et nyt notat"
"confirm_news_delete";"Ønsker du at slette denne nyhedsartikel?"
"add_news";"Tilføj en nyhed"
"no_news";"Der eksisterer ingen nyhedsartikler."
"edit_news";"Tilføj/Rediger Journal/Nyhedsartikel"
"enter_title";"Indtast en titel."
"enter_text";"Indtast venligst teksten i denne nyheds eller journalartikel."
"news_saved";"Det lykkedes at gemme Nyheds/dagbogsartiklen."
"article_text";"Artikeltekst:"
"main_section";"Hovedsektionsblokke"
"right_section";"Højresektionsblokke"
"move_up";"Flyt op"
"move_down";"Flyt ned"
"move_right";"Flyt til højre"
"move_left";"Flyt til venstre"
"broadcast_all";"Til alle brugere"
"hit_count";"Besøgstæller"
"Genmod_message";"Genmod besked"
"common_surnames";"Hyppigste efternavne"
"default_news_title";"Velkommen på denne slægtsside"
"default_news_text";"Slægtsoplysningerne på dette websted fremvises med <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a>. Denne velkomstside indeholder en introduktion og et overblik af siderne.<br /><br /> For at bruge databasens slægtsdata, kan du enten vælge en af slægtsdiagrammerne på Diagram-menuen, åbne Personlisten eller søge på et personnavn eller et stednavn.<br /><br />Hvis du har problemer med brug af siderne, kan du finde oplysninger via hjælpemenuen, om betjeningen af den side du befinder dig på.<br /><br />Tak for din interesse i dette websted."
"reset_default_blocks";"Genetabler standardblokke"
"recent_changes";"Nylige ændringer"
"recent_changes_descr";"<b>Nylige ændringer</b>-blokken viser alle ændringer i databasen den sidste måned. Denne blok kan hjælpe dig med at overskue foretagne ændringer. Ændringerne registreres automatisk ved hjælp af CHAN-tags i Gedcom-filen."
"delete_selected_messages";"Slet valgte beskeder"
"use_blocks_for_default";"Skal disse blokindstillinger være standard for alle brugere?"
"performing_validation";"Udfører Gedcom validering, vælg de nødvendige funktioner og klik på <b>Ryd op</b>"
"changed_mac";"Der blev konstateret Macintosh-linjetegn. Linjetegn ændret til DOS-type med både CR vognretur og LF linjeskift."
"changed_places";"Ugyldige stednavnsformateringer. Stednavns poster blev nu tilpasset GEDCOM 5.5's specifikationer. Et eksempel fra din Gedcom-fil er:"
"invalid_dates";"Ugyldige datoformater. Ved oprydning vil formatet blive ændret til DD MMM ÅÅÅÅ (f.eks. 1 JAN 2004)."
"valid_gedcom";"Gyldig Gedcom-fil. Ingen oprydning nødvendig."
"optional_tools";"Du kan også vælge at bruge disse valgfrie redskaber inden import."
"optional";"Valgfrie redskaber"
"day_before_month";"Dag før måned (DD MM ÅÅÅÅ)"
"month_before_day";"Måned før dag (MM DD ÅÅÅÅ)"
"do_not_change";"Ingen ændringer"
"change_id";"Ændre person-ID til:"
"example_date";"Eksempel på ugyldig dato fra din Gedcom-fil:"
"add_media_tool";"Tilføj medie redskab"
"launch_media_tool";"Tilføj medie til Gedcom-fil"
"add_media_descr";"Dette redskab tilføjer medie OBJE tags til din Gedcom-fil. Luk dette vindue når du er færdig med at tilføje medie."
"highlighted";"Fremhævet billede"
"extension";"Filtype"
"order";"Rækkefølge"
"inject_media_tool";"Tilføj medie til Gedcom-fil"
"media_table_created";"Opdatering af <i>medie</i>-tabel lykkedes."
"click_to_add_media";"Klik her for at tilføje medielisten ovenfor til Gedcom-filen #Gedcom#"
"adds_completed";"Det lykkedes at tilføje medier til Gedcom-fil"
"ansi_encoding_detected";"Der er konstateret ANSI kodning. Genmod virker bedst med UTF-8 kodede filer."
"invalid_header";"Der er konstateret tomme linjer før Gedcomheaderen (0 HEAD). Under oprydningen fjernes disse linjer."
"macfile_detected";"Macintosh filtype genkendt. Ved oprydning bliver filen konverteret til en DOS filtype."
"place_cleanup_detected";"Der er konstateret ugyldige stednavnsangivelser. Disse fejl bør rettes. Det følgende eksempel viser en ugyldig stednavnsangivelse der blev konstateret:"
"cleanup_places";"Opryd stednavne"
"empty_lines_detected";"Der blev konstateret tomme linjer i din Gedcom-fil. Ved oprydningen fjernes disse tomme linjer."
"choose_report";"Vælg en rapport"
"enter_report_values";"Indtast rapportparametre"
"selected_report";"Valgte rapport"
"run_report";"Se rapport"
"select_report";"Vælg rapport"
"download_report";"Download rapport"
"pdf_reports";"PDF rapporter"
"html_reports";"HTML rapporter"
"family_group_report";"Familierapport"
"page";"Side"
"of";"af"
"enter_famid";"Indtast familienummer-ID"
"show_notes";"Medtag noter ?"
"show_basic";"Medtag almindelige begivenheder hvis felterne er tomme?"
"show_photos";"Medtag billeder ?"
"individual_report";"Personrapport"
"enter_pid";"Indtast personnummer-ID"
"individual_list_report";"Personliste rapport"
"generated_by";"Genereret af"
"list_children";"Sorter børn efter alder."
"birth_report";"Fødselsdatarapport"
"birthplace";"Fødested indeholder"
"birthdate1";"Fødseldatointerval-start"
"birthdate2";"Fødseldatointerval-slut"
"sort_by";"Sorteret efter"
"cleanup";"Ryd op"
"skip_cleanup";"Undlad oprydning"
"dynasty_list";"Oversigt over familier"
"make_slklist";"Opret EXCEL (SLK) fil"
"excel_list";"Gem følgende filer i EXCEL (slk-format) (brug først anelisten):"
"excel_tab";"Faneblad"
"excel_create";"vil blive gemt på fil:"
"slk_list";"EXCEL SLK fil"
"statistics";"Statistik"
"merge_records";"Sammenflet poster"
"merge_same";"Posterne er ikke af samme type. Poster af forskellig type kan ikke sammenflettes."
"merge_step1";"Sammenflet trin 1 af 3"
"merge_step2";"Sammenflet trin 2 af 3"
"merge_step3";"Sammenflet trin 3 af 3"
"select_gedcom_records";"Vælg 2 Gedcom-poster til sammenfletning. Poster skal være af samme type."
"merge_to";"Sammenflet til ID:"
"merge_from";"Sammenflet fra ID:"
"merge_facts_same";"Følgende fakta var nøjagtig ens i begge poster og vil automatisk blive sammenlagt"
"no_matches_found";"Der blev ikke fundet matchende fakta"
"unmatching_facts";"Følgende fakta matcher ikke. Vælg den information du ønsker at beholde."
"record";"Post"
"adding";"Tilføjer"
"updating_linked";"Opdaterer tilknyttet post"
"merge_more";"Sammenflet flere poster."
"same_ids";"De indtastede ID-numre er identiske. Du kan ikke sammenflette identiske poster."
"gen_ancestry_chart";"#PEDIGREE_GENERATIONS# generationers anetræ"
"chart_style";"Diagramstil"
"show_cousins";"Vis fætre/kusiner"
"sosa_2";"Far"
"sosa_3";"Mor"
"sosa_4";"Bedstefar (Farfar)"
"sosa_5";"Bedstemor (Farmor)"
"sosa_6";"Bedstefar (Morfar)"
"sosa_7";"Bedstemor (Mormor)"
"sosa_8";"Oldefar (Farfars Far)"
"sosa_9";"Oldemor (Farfars Mor)"
"sosa_10";"Oldefar (Farmors Far)"
"sosa_11";"Oldemor (Farmors Mor)"
"sosa_12";"Oldefar (Morfars Far)"
"sosa_13";"Oldemor (Morfars Mor)"
"sosa_14";"Oldefar (Mormors Far)"
"sosa_15";"Oldemor (Mormors Mor)"
"sosa_16";"Tipoldefar (Farfars Farfar)"
"sosa_17";"Tipoldemorr (Farfars Farmor)"
"sosa_18";"Tipoldefarr (Farfars Morfar)"
"sosa_19";"Tipoldemorr (Farfars Mormor)"
"sosa_20";"Tipoldefarr (Farmors Farfar)"
"sosa_21";"Tipoldemor (Farmors Farmor)"
"sosa_22";"Tipoldefar (Farmors Morfar)"
"sosa_23";"Tipoldemor (Farmors Mormor)"
"sosa_24";"Tipoldefar (Morfars Farfar)"
"sosa_25";"Tipoldemor (Morfars Farmor)"
"sosa_26";"Tipoldefar (Morfars Morfar)"
"sosa_27";"Tipoldemor (Morfars Mormor)"
"sosa_28";"Tipoldefar (Mormors Farfar)"
"sosa_29";"Tipoldemor (Mormors Farmor)"
"sosa_30";"Tipoldefar (Mormors Morfar)"
"sosa_31";"Tipoldemor (Mormors Mormor)"
"sosa_32";"Tiptipoldefar"
"sosa_33";"Tiptipoldemor"
"sosa_34";"Tiptipoldefar"
"sosa_35";"Tiptipoldemor"
"sosa_36";"Tiptipoldefar"
"sosa_37";"Tiptipoldemor"
"sosa_38";"Tiptipoldefar"
"sosa_39";"Tiptipoldemor"
"sosa_40";"Tiptipoldefar"
"sosa_41";"Tiptipoldemor"
"sosa_42";"Tiptipoldefar"
"sosa_43";"Tiptipoldemor"
"sosa_44";"Tiptipoldefar"
"sosa_45";"Tiptipoldemor"
"sosa_46";"Tiptipoldefar"
"sosa_47";"Tiptipoldemor"
"sosa_48";"Tiptipoldefar"
"sosa_49";"Tiptipoldemor"
"sosa_50";"Tiptipoldefar"
"sosa_51";"Tiptipoldemor"
"sosa_52";"Tiptipoldefar"
"sosa_53";"Tiptipoldemor"
"sosa_54";"Tiptipoldefar"
"sosa_55";"Tiptipoldemor"
"sosa_56";"Tiptipoldefar"
"sosa_57";"Tiptipoldemor"
"sosa_58";"Tiptipoldefar"
"sosa_59";"Tiptipoldemor"
"sosa_60";"Tiptipoldefar"
"sosa_61";"Tiptipoldemor"
"sosa_62";"Tiptipoldefar"
"sosa_63";"Tiptipoldemor"
"gen_fan_chart";"#PEDIGREE_GENERATIONS# generationers anehjul"
"fan_width";"Hjulbredde"
"gd_library";"GD library ikke fundet på PHP server : Billedfunktionerne kan ikke bruges."
"gd_freetype";"PHP server er miskonfigureret : Der kræves Freetype library for at kunne bruge TrueType fonts."
"fontfile_error";"Font fil blev ikke fundet på PHP server"
"fanchart_IE";"Dette anehjul kan ikke udskrives fra din browser. Højreklik og gem for at printe."
"rss_descr";"Nyheder og link fra #Gedcom_TITLE# webstedet"
"rss_logo_descr";"Feed produceret af Genmod"
"attendant";"Deltagere"
"attending";"Deltager"
"circumciser";"Omskærer"
"civil_registrar";"Registerfører"
"friend";"Ven"
"godfather";"Gudfar"
"godmother";"Gudmor"
"godparent";"Gudforældre"
"informant";"Oplyser"
"lodger";"Lejer"
"nurse";"Sygeplejer"
"priest";"Præst"
"rabbi";"Rabbiner"
"registry_officer";"Registerfører"
"servant";"Tjener"
"twin";"Tvilling"
"twin_brother";"Tvillingbror"
"twin_sister";"Tvillingsøster"
"witness";"Vidne"
"statutci";"Kunne ikke lave index"
"statnnames";"antal navne ="
"statnfam";"antal familier ="
"statnmale";"antal mænd ="
"statnfemale";"antal kvinder ="
"statvars";"Udfyld følgende værdier for diagrammet"
"statlxa";"langs x-aksen"
"statlya";"langs y-aksen"
"statlza";"langs z-aksen"
"stat_10_none";"ingen"
"stat_11_mb";"Fødselsmåned"
"stat_12_md";"Dødsmåned"
"stat_13_mm";"Vielsesmåned"
"stat_14_mb1";"Fødselsmåned for førstefødte"
"stat_15_mm1";"Måned for første vielse"
"stat_16_mmb";"Måneder mellem vielse og første barn."
"stat_17_arb";"alder i forhold til fødeår."
"stat_18_ard";"alder i forhold til dødsår."
"stat_19_arm";"alder i forhold til vielsesår."
"stat_20_arm1";"alder ved første ægteskab."
"stat_21_nok";"antal børn."
"stat_gmx";"husk akseværdier for måned"
"stat_gax";"husk akseværdier for alder"
"stat_gnx";"husk akseværdier for antal"
"stat_200_none";"alle (eller tom)"
"stat_201_num";"antal"
"stat_202_perc";"procent"
"stat_300_none";"ingen"
"stat_301_mf";"mand/kvinde"
"stat_302_cgp";"perioder. Husk akseværdier for z-akse"
"statmess1";"<b>Fyld kun rækker med forbindelse til tidligere værdier for x- og z-aksen</b>"
"statar_xgp";"akseværdier for perioder (x-akse):"
"statar_xgl";"akseværdier for alder (x-akse):"
"statar_xgm";"akseværdier for måned (x-akse):"
"statar_xga";"akseværdier for antal (x-akse):"
"statar_zgp";"akseværdier for perioder (z-akse):"
"statreset";"Nulstil"
"statsubmit";"vis diagram"
"stpl";"..."
"stplGDno";"GD-library til grafikdisplay er ikke tilgængelig i PHP4. Kontakt venligst din webhost om dette."
"stpljpgraphno";"Jpgraph-moduler fandtes ikke i mappen <i>Genmod/jpgraph/</i> . Anskaf dem venligst fra http://www.aditus.nu/jpgraph/jpdownload.php<br> <h3>Installer først JPgraph i mappen <i>Genmod/jpgraph/</i></h3><br>"
"stplinfo";"diagraminformation"
"stpltype";"type:"
"stplnoim";"ikke tilgængelig:"
"stplmf";"/ mand-kvinde"
"stplipot";"/ pr. tidsperiode"
"stplgzas";"rammer z-aksen:"
"stplmonth";"måned"
"stplnumbers";"antal for en familie"
"stplage";"alder"
"stplperc";"procent"
"is_alive_in";"Lever i året #YEAR#"
"alive";"Lever"
"dead";"Død"
"maybe";"Måske"
"definitions";"Definitioner"
"options";"Valgmuligheder:"
