"stat_sources";"Kaynaklar, "
"pls_note06";"Şimdi işlediğiniz E-posta adresine (#user_email#) tasdik mektubu gönderilecektir. Bu mektubun içindeki verileri kullanıp önümüzdeki 7 gün içersinde verilerinizi tasdik etmeniz gerekiyor. Aksi taktirde verileriniz otomatik olarak silinecektir (bu silinme işleminden sonra tekrar istediğiniz rumuzu (username) kullanarak üyelik için başvurabilirsiniz). Bu siteye girmek için rumuzunuzu ve şifrenizi unutmamanız gerekir."
"registernew";"Yeni üyelik tasdiki"
"user_verify";"Üyelik tasdiki"
"send";"Gönder"
"pls_note07";"Lütfen üyelik isteminizin tamamlanması ve tasdik edilmesi için, size bu siteden gönderiliş olan mektup ile elinize geçen rumuzunuzu, şifrenizi ve tasdik kodunuzu işleyin."
"pls_note08";"#user_name# rumuzlu üyenin verileri gözden geçirildi."
"mail03_line01";"Merhaba Yönetici ..."
"mail03_line02";"#newuser[username]# ( #newuser[fullname]# ) kendisine gönderilen tasdik kodu ile verilerini tasdik etmiştir."
"mail03_line03";"Lütfen aşağıdaki bağlantıyı tıklayıp sitenize giriş yapın, üyenin verilerini işleyip tasdik edin ve sitenize girmesine izin verin."
"mail03_subject";"#SERVER_NAME# sitesinde yeni tasdik"
"pls_note09";"Üye olarak tasdik edildiniz."
"pls_note10";"Yöneticiye haber verilmiştir.<br />O sizin hesabınızı açıp siteye girmenize izin verdikten sonra rumuzunuz ve şifreniz ile siteye giriş yapabilirsiniz."
"data_incorrect";"Verileriniz yanlıştır.<br />Lütfen tekrarlayınız!"
"user_not_found";"Sistem işlediğiniz verileri tasdik edememiştir. Lütfen bir sayfa geri gidip tekrar deneyiniz."
"lost_pw_reset";"Yeni şifre istek sayfası"
"pls_note11";"Size yeni bir şifre yollanmasını istiyorsaniz, üyelik hesabınızın rumuzunu ve E-posta adresini işleyin.<br /><br />Bundan sonra biz size E-posta yolu ile hesabınızı onaylayıcı bilgi içeren özel bir URL yollayacağız.<br />Yollanan bu URL adresini ziyaret ettiğinizde bu siteye giriş için gerekli olan şifrenizi değiştirmenize izin verilecektir.<br />Güvenlik nedenleri yüzünden bu özel URL adresini (bu sitenin yöneticileri dahil) kimseye göstermemeniz rica olunur.<br />Biz zaten böyle bir istekte bulunmayız...<br /><br />Bu sitenin yöneticisi tarafından yardıma ihtiyacınız varsa lütfen direk ona danışın."
"enter_email";"E-posta adresinizi eklemeniz gerekiyor"
"mail04_line01";"Merhaba #user_fullname# ..."
"mail04_line02";"Rumuzunuz için yeni bir şifre istenmiştir!"
"mail04_line03";"Tavsiye:"
"mail04_line04";"Lütfen şimdi aşağıdaki bağlantıyı tıklayıp yeni şifreniz ile giriş yapın ve sonra şifrenizi güvenlik nedenleri yüzünden tekrar değiştirin."
"editowndata";"Şahsi ayarlar"
"savedata";"Değişiklikleri hafıza et"
"datachanged";"Üyenin verileri değiştirilmiştir!"
"datachanged_name";"Yeni rumuzunuz ile tekrar giriş yapmak zorunda kalabilirsiniz."
"myuserdata";"Şahsi ayarlar"
"verified";"Üye kendini tasdik etti"
"verified_by_admin";"Yönetici üyeyi tasdik etti"
"user_theme";"Şahsi tema"
"mgv";"Şahsi GedView"
"passwordlength";"Şifre en azından 6 harf ya da sayı uzunluğunda olmalıdır"
"admin_approved";"#SERVER_NAME# sitesindeki üyeliğiniz yönetici tarafından tasdik edilmiştir."
"you_may_login";"Şimdi isterseniz aşağıdaki bağlantıya giderek Genmod sitesine girebilirsiniz..."
"welcome";"Hoş geldiniz"
"upcoming_events";"Gelecek yıldönümleri"
"chat";"Chat"
"users_logged_in";"Bağlı bulunan diğer ziyaretçiler"
"message";"Mesaj gönder"
"my_messages";"Kişisel mesajlar"
"date_created";"Gönderiliş tarihi:"
"message_from";"Mesajı gönderen:"
"message_from_name";"İsminiz:"
"message_to";"Mesaj gönderilen rumuz:"
"message_subject";"Mesaj konusu:"
"message_body";"Mesaj içeriği:"
"no_to_user";"Alıcı üye işlenmemiştir. Devam edemem."
"reply";"Cevapla"
"message_deleted";"Mesaj silindi"
"message_sent";"Mesaj gönderildi"
"reset";"Sıfırla - İlk duruma getir"
"site_default";"Sitenin standardı"
"mygedview_desc";"Şahsi GedView sayfası sizi ilgilendiren şahısları sık kullanılanlara eklemeniz, gelecek yıldönümlerini gözünüzden kaçırmamanız ve diğer Genmod kullanıcıları ile birlikte çalışabilmeniz için geliştirilmiştir."
"no_messages";"Okunmamış mesajınız yoktur."
"clicking_ok";"OK kelimesini tıklarsanız açılacak pencerede #user[fullname]# ile ilişkiye geçebilirsiniz."
"my_favorites";"Sık kullanılanlar"
"no_favorites";"Daha hiçbir şahsı "Sık kullanılanlar" bölümünüze eklemediniz. "Sık kullanılanlar" bölümünüze bir şahsı eklemeniz için ekleyeceğiniz şahısın ayrıntılarını bulup "Sık kullanılanlarıma ekle" bağına tıklayın veyahut aşağıdaki kutunun içinde eklemek istediğiniz şahısın "GEDCOM-Kişisel numarasını" işleyin."
"add_to_my_favorites";""Sık kullanılanlarıma" ekle"
"no_gedcom_favorites";""Sık kullanılanlar" bölümüne daha ekleme yapılmamıştır. Buraya ancak sitenin yöneticisi ekleme yapabilir."
"confirm_fav_remove";"Bu şahsı hakikatten "Sık kullanılanlarınızdan" silmek istiyor musunuz?"
"invalid_email";"Lütfen geçerli bir E-posta adresi ekleyiniz"
"enter_subject";"Lütfen mesajın konusunu ekleyin"
"enter_body";"Lütfen gönderilmeden mesaja birkaç satır ekleyin ;-)"
"confirm_message_delete";"Bu mesajı gerçekten silmek mi istiyorsunuz? Bu silme emri ileride geri alınamaz."
"message_email1";"Aşağıdaki mesajı sizin Genmod üye hesabınıza gönderen: "
"message_email2";"Aşağıdaki mesajı bir Genmod üye hesabına gönderdiniz:"
"message_email3";"Aşağıdaki mesajı bir Genmod yöneticisine (administrator) gönderdiniz:"
"viewing_url";"Bu mesaj yandaki URL okunurken yollandı:"
"random_picture";"Rasgele fotoğraf"
"sending_to";"Bu mesaj #TO_USER# rumuzlu üyeye yollanacaktır."
"preferred_lang";"Bu üye mesajlarını #USERLANG# dilinde okumayı tercih ediyor."
"gedcom_created_on";"Bu GEDCOM veritabanı <b>#DATE#</b> tarihinde yaratılmıştır."
"customize_page";"Şahsi GedView bölümünü özelleştir"
"customize_gedcom_page";"Bu GEDCOM karşılama sayfasını özelleştirin"
"block_top10_title";"Başlıca işlenmiş soy isimleri"
"my_journal";"Benim günlüğüm"
"add_journal";"Yeni bir günlük mesajını ekle"
"confirm_news_delete";"Bu haberi gerçekten silmek mi istiyorsunuz?"
"add_news";"Haber mesajı ekle"
"no_news";"Daha hiçbir haber yayınlanmamıştır."
"edit_news";"Günlük ya da haberlere ekleme yap veyahut içerikleri değiştir"
"enter_title";"Lütfen başlık ekleyin."
"news_saved";"Yaptığınız ekleme başarı ile hafıza edilmiştir."
"article_text";"Mesajın metni:"
"main_section";"Ana bölüm kutuları"
"right_section";"Sağ bölüm kutuları"
"move_up";"Bir yukarıya taşı"
"move_down";"Bir aşağıya taşı"
"move_right";"Sağa taşı"
"move_left";"Sola taşı"
"broadcast_all";"Tüm üyeler için yayınla"
"hit_count";"Sayaç:"
"Genmod_message";"Genmod mesajı"
"common_surnames";"Bu veritabanında sık kullanılan soy isimlerin listesi"
"default_news_title";"Nesep tetkikine hoş geldiniz"
"default_news_text";"Bu sitede bulunan seçere bilgileri <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a> yazılımı ile gösterilmektedir. Bu sayfada bu soy ağacını tanıtan bilgiler bulunmaktadır. Bu bilgilere ulaşmak için 'Çizgeler' menüsünden bir çizgeyi seçin, ya da 'Listeler' menüsünden şahıs listesine gidin, veyahut sizi ilgilendiren bir soy ismini ya da yeri arayın.<br /><br />Bu siteyi gezerken bir sorunla karşılaşacak olursanız yardım simgesine tıklayıp bulunduğunuz sayfa hakkında gerekli yardımı bulabilirsiniz.<br /><br />Bu siteyi ziyaret ettiğiniz için teşekkür ederiz."
"reset_default_blocks";"Kutuları varsayılan duruma sıfırla"
"recent_changes";"En son değişiklikler"
"delete_selected_messages";"Seçilmiş mesajları sil"
"use_blocks_for_default";"Bu kutular tüm ziyaretçiler icin varsayılan olarak kullanılsın mı?"
"invalid_dates";"Hatalı tarih biçimleri bulunmuştur. Temizlemeyi seçerseniz bunlar GG AAA SSSS (örnek: 1 JAN 2004) biçimine çevirilecektir."
"valid_gedcom";"Geçerli GEDCOM bulundu. Temizlemeye gerek yok. "
"optional_tools";"İsterseniz ithal etmeden önce asağıdaki seçmeli aracları kullanabilirsiniz."
"optional";"Seçmeli araçlar"
"day_before_month";"Önce gün sonra ay (GG AA SSSS)"
"month_before_day";"Önce ay sonra gün (AA GG SSSS)"
"do_not_change";"Değiştirme"
"example_date";"GEDCOM veritabanınızdan hatalı bir tarih biçiminin örneği:"
"add_media_tool";"Medya dosyası ekleme aracı"
"launch_media_tool";"Buraya tıklayarak "medya ekleme aracını" kullanabilirsiniz."
"highlighted";"Vurgulanan resim"
"extension";"Uzantı"
"adds_completed";"Medya dosyası başarı ile GEDCOM veritabanına eklenmiştir."
"cleanup_places";"Yerleri temizle"
"empty_lines_detected";"GEDCOM veritabanınızda boş sıralar bulunmuştur. Temizlemeyi seçerseniz bunlar silinecektir."
"choose_report";"Rapor seçimi"
"enter_report_values";"Rapor içeriklerini işleyin"
"selected_report";"Seçilen rapor türü"
"run_report";"Rapora bak"
"select_report";"Raporu seç"
"download_report";"Raporu indir"
"pdf_reports";"PDF raporları"
"html_reports";"HTML raporları"
"family_group_report";"Aile raporu"
"enter_famid";"Aile numarası"
"show_notes";"Notlar gösterilsin mi?"
"show_basic";"Temel hadiseler, boş olsa da, eklensin mi?"
"show_photos";"Fotoğraflar gösterilsin mi?"
"individual_report";"Şahıs raporu"
"enter_pid";"Şahıs numarası"
"individual_list_report";"Şahıs listesi raporu"
"generated_by";"Üretenin ismi:"
"list_children";"Her çocuğu doğum tarihine göre sırala."
"birth_report";"Doğum tarihi ve yeri raporu"
"birthplace";"Doğum yeri içeriği"
"birthdate1";"Başlangıc tarihi"
"birthdate2";"Bitiş tarihi"
"sort_by";"Sıralama biçimi:"
"cleanup";"Temizle"
"skip_cleanup";"Temizlemeyi atla"
"dynasty_list";"Aile tablosu"
"make_slklist";"EXCEL (SLK) listesini yarat."
"slk_list";"EXCEL (SLK) listesi"
"statistics";"İstatistikler"
"merge_records";"Kayıtları birleştir"
"merge_step1";"Kayıt birleştirme - 3 adımdan 1'incisi"
"merge_step2";"Kayıt birleştirme - 3 adımdan 2'ncisi"
"merge_step3";"Kayıt birleştirme - 3 adımdan 3'üncüsü"
"no_matches_found";"Uyan hiç bir hadise bulunamadı"
"record";"Kayıt"
"merge_more";"Kayıt birleştirmeye devam et."
"chart_style";"Çizim türü"
"sosa_2";"Baba"
"sosa_3";"Anne"
"sosa_4";"Büyükbaba"
"sosa_5";"Babaanne"
"sosa_6";"Dede"
"sosa_7";"Anneanne"
"sosa_8";"Büyükbabanın babası"
"sosa_9";"Büyükbabanın annesi"
"sosa_10";"Babaannenin babası"
"sosa_11";"Babaannenin annesi"
"sosa_12";"Dedenin babası"
"sosa_13";"Dedenin annesi"
"sosa_14";"Anneannenin babası"
"sosa_15";"Anneannenin annesi"
"fan_width";"Değirmi çizge'nin eni"
"fontfile_error";"Yazı tipi dosyası PHP sunucusunda bulunamadı"
"rss_descr";"Haberler ve bağlantılar #GEDCOM_TITLE# sitesindendir"
"rss_logo_descr";"Feed Genmod tarfından yaratılmıştır"
"statutci";"İndeks yaratılamadı"
"statnnames";"Soy isim sayısı ="
"statnfam";"Aile sayısı ="
"statnmale";"Erkek sayısı ="
"statnfemale";"Kadın sayısı ="
"statvars";"Lütfen çizim için gerekli olan değişkenleri işleyin"
"statlxa";"X-Ekseni boyunca:"
"statlya";"Y-Ekseni boyunca"
"statlza";"Z-Ekseni boyunca"
"stat_10_none";"Hiç biri"
"stat_11_mb";"Doğum günlerinin ayı"
"stat_12_md";"Vefat günlerinin ayı"
"stat_13_mm";"Evlenme günlerinin ayı"
"stat_14_mb1";"Bir ilişkide doğan 1. çocuğun doğum ayı"
"stat_15_mm1";"İlk evlenme günlerinin ayı"
"stat_16_mmb";"Evlilik ile 1. doğum arasındaki ay sayısı."
"stat_17_arb";"Doğum senesi bazında yaş."
"stat_18_ard";"Vefat senesi bazında yaş."
"stat_19_arm";"Evlilik senesi bazında yaş."
"stat_20_arm1";"1. Evlilik senesi bazında yaş."
"stat_21_nok";"Çocuk sayısı."
"stat_gmx";"Aylar için limit değerleri denetleyin"
"stat_gax";"Yaşlar için limit değerleri denetleyin"
"stat_gnx";"Miktarlar için limit değerleri denetleyin"
"stat_200_none";"Hepsi (ya da boş)"
"stat_201_num";"Miktar"
"stat_202_perc";"Yüzdelik"
"stat_300_none";"Hiç biri"
"stat_301_mf";"Erkek / Kadın"
"statmess1";"Aşağıda yalnız x-ekseni ya da z-ekseni ile ilgili limit değerleri işleyin"
"statar_xgp";"Periyotlar için gerekli olan limit değerler (x-ekseni):"
"statar_xgl";"Yaşlar için gerekli olan limit değerler (x-ekseni):"
"statar_xgm";"Aylar için gerekli olan limit değerler (x-ekseni):"
"statar_xga";"Miktarlar için gerekli olan limit değerler (x-ekseni):"
"statar_zgp";"Periyotlar için gerekli olan limit değerler (z-ekseni):"
"statreset";"Sıfırla - İlk duruma getir"
"statsubmit";"Çizimi göster"
"stpl";"..."
"is_alive_in";"#YEAR# senesinde hayatta olanlar"
"definitions";"Tanımlar"
"description";"Betimleme"
"options";"Seçenekler:"
"help_header";"Aşağıdaki konu üzerine ek bilgi:"
"help_pedigree.php";"~SOY AĞACI / SEÇERE SAYFASI~<br /><br />Çoğu kullanıcı yada ziyaretçi bir soy ağacı yada seçerenin ne olduğunu herhalde biliyordur. Ama yinede bizim kullandığımğz soy ağacı üzerine bır kaç bilgi aktaralım.<br /><br />The Pedigree is, in fact, an enumeration of all ancestors of the starting person.<br />When you entered this site, the starting person is the person in the box at the left (when you log in, you can choose your own starting person).<br /><br />So, "All the ancestors" means father and mother, and their parents and so on.<br />On this site you see the Pedigree in the graphical way.<br />You don't have to struggle through pages of text, to find out where your ancestors are.<br />All individuals are displayed in the name boxes on the screen.<br /><br />* THE NAME BOXES ON THE PEDIGREE<br />If the pedigree page is set to show details, you will see the persons name, and the dates of birth and death.<br />You can click on a persons name, and that will bring you directly to the Indivudual Details page.<br />When "Show details" is on there are two icons inside the name box.<br /><br />* PEDIGREE ICON INSIDE THE NAME BOX<br />When the option "Show Details" is on, you see a Pedigree Icon at the inside of the Name Box. Depending on the site-settings you have to hoover over the Icon, or to click on it.<br />So, when you click on, or hoover over, this icon, a small sub menu appears.<br />The item "Pedigree Tree" and "Descendancy Chart" are similar to those items in the main menu, but the difference is that the starting person is now the individual of the name box.<br />Further you see the "Family with spouse". You see the name of the spouse, followed by the name(s) of the children.<br />All names are clickable.<br /><br />* MAGNIFYING GLASS INSIDE THE NAME BOX<br />Also depending of the site-settings, you have to hoover over it, or to click on it.<br />This magnifies the name box, so that some more details will be displayed.<br />You see more dates and events. Names are clickable.<br /><br />* OKLAR<br />On the left or right of the utmost left or utmost right nameboxe(s) you may see Arrows.<br />Clicking on these arrow will "shift" the screen in the direction of the arrow.<br /><br />More help is available by clicking the <b>?</b> behind the boxes or links, on the page."
"register_info_01";"Bu sitenin sırf ziyaretçisi olarak veritabanındaki tüm kayıtları görebilme olanağınız yoktur.<br /><br />Bu ayarlar siteye eklenmiş yaşayan şahısların kişisel detaylarını korumak için yapılmıştır.<br />Eğer sizin kişisel detaylarınız bu sitenin veritabanına eklenmiş olsa, siz de tanımadığınız kişilerin sizinle ilgili tüm bilgileri görebilme olanağına sahip olmalarını istemezsiniz.<br /><br />Bunun için burada siteye üye olup, verilerinizin sitenin yöneticileri tarafından tasdik edilmesinden sonra yaşayan şahısların siteye eklenen kişisel detaylarını görme olanağına kavuşabilirsiniz. Eğer bu site akrabalık denetimini kullanıyorsa siteye üye olduktan sonra bile ancak yakın akrabalarınızın detaylarını görebilirsiniz.<br />Üye olduktan sonra sitenin yöneticileri size bu detayları görme hakkı dışında bunları işleme ve yeni bilgi ekleme hakkını da verebilirler.<br /><br />Üyelik isteminde bulunmadan önce lütfen bu sitede gördüğünüz şahıslarla akrabalık bağınızın bulunup bulunmadığını araştırın. Bunu sitedeki arama fonksiyonu sayesinde soy isimlerini ya da sizin akrabalarınızın yaşadığı şehirleri arayarak öğrenebilirsiniz.<br /><br />Eğer akrabalık bağınız yok ya da belli değilse detayları görebilme olanağı verilmeyeceği için boşuna üyelik için başvurmayın...<br />Eğer emin değilseniz önce bu sayfanın alt tarafında bulunan bağlantıyı tıklayın ve sitenin yöneticilerine E-posta yazıp bunlara danışın!<br /><br />"
"SHOW_SOURCES";"Kaynakları göster"
"SPLIT_PLACES";"Düzenleme kipinde yerleri böl"
"UNDERLINE_NAME_QUOTES";"Tırnak işaretleri arasındaki isimlerin altını çiz"
"SHOW_LDS_AT_GLANCE";"Çizge kutularında LDS kurallarının kodlarını göster"
"GEDCOM_DEFAULT_TAB";"Şahısların bilgileri sayfasında gösterilecek ilk sekme"
"SHOW_MARRIED_NAMES";"Şahıs listesinde evlilik isimlerini göster"
"SEARCHLOG_CREATE";"Arama-Günlük dosyalarını arşivle"
"CHART_BOX_TAGS";"Çizgelerde gösterilecek diğer hadiseler"
"configure";"Genmod ayarlarını işle"
"standard_conf";"Genel ayarlama seçenekleri"
"advanced_conf";"Gelişmiş ayarlama seçenekleri"
"gedcom_conf";"Genel GEDCOM ayarları"
"media_conf";"Mültimedya"
"accpriv_conf";"Erişim ve mahremiyet"
"displ_conf";"Görüntü ve düzenler"
"displ_names_conf";"İsimler"
"displ_comsurn_conf";"Yaygın soy isimleri"
"displ_layout_conf";"Görüntü düzeni"
"displ_hide_conf";"Sakla & Göster"
"useropt_conf";"Üye seçenekleri"
"contact_conf";"İlişki ayarları"
"meta_conf";"META TAG ayarlama seçenekleri"
"configure_head";"Genmod ayarları"
"gedconf_head";"GEDCOM ayarları"
"default_user";"Genel yönetici üyeyi yarat."
"about_user";"İlk önce genel yönetici üyeyi yaratmanız gerekiyor. Bu üye yaplım dosyalarını güncelleştirme, özel verileri izleme ve diğer üyeleri yaratma ve işleme haklarına sahip olacaktır."
"can_admin";"Üye yönetmecilik yapabilir"
"can_edit";"Verilecek haklar"
"access";"Erişim"
"add_user";"Yeni üye ekle"
"current_users";"Aktüel üye listesi"
"leave_blank";"Kullandığınız şifreyi değiştirmek istemiyorsanız bu alanı boş bırakın."
"other_theme";"Başka - Lütfen işleyin"
"performing_update";"Güncelleme yapılmaktadır."
"config_file_read";"Yapılandırma dosyası okundu."
"media_drive_letter";"Medya yolunun içinde sürücü harfi bulunmamalıdır. Aksi halde medya belki gösterilemez."
"gm_config_write_error";"Hata!!! Genmod yapılandırma dosyasına yazamadım. Lütfen dosya ve dizin izinlerini denetleyin ve ondan sonra bu adımı tekrar deneyin."
"click_here_to_continue";"Devam etmek için buraya tıklayın"
"mysql";"MySQL"
"db";"Veritabanı"
"admin_gedcoms";"GEDCOM veritabanı ayarlarını değiştirmek için buraya tıklayın."
"current_gedcoms";"Aktüel GEDCOM veritabanları"
"gedcom_adm_head";"GEDCOM ayarlandırması"
"ged_download";"İndir"
"ged_gedcom";"GEDCOM dosyası"
"ged_title";"GEDCOM veritabanın başlığı"
"ged_config";"Yapılandırma dosyası"
"ged_search";"Arama-Günlük dosyaları"
"ged_privacy";"Mahremiyet dosyası"
"show_phpinfo";"PHPInfo sayfasını göster"
"confirm_gedcom_delete";"Bu GEDCOM veritabanını hakikatten SİLMEK mi istiyorsunuz"
"gregorian";"Milâdi"
"julian";"Jüliyen"
"config_french";"Fransızca"
"jewish";"Jahudice"
"config_hebrew";"İbranice"
"jewish_and_gregorian";"Jahudice ve milâdi"
"hebrew_and_gregorian";"İbranice ve milâdi"
"hijri";"Hicri"
"arabic_cal";"Arapça"
"disabled";"Kullanım dışı"
"mouseover";"Fare üzerindeyken (mouse over)"
"mousedown";"Fare tıklandıktan sonra (mouse down)"
"click";"Fare tıklamasında (mouse click)"
"mailto";"Mailto bağlantısı sistemi"
"messaging";"Genmod dahili mesaj sistemi"
"messaging2";"Genmod dahili mesaj sistemi ve E-posta"
"messaging3";"Genmod sunucuda hafıza etmeden E-postaları yolluyor"
"no_messaging";"Hiç bir mesaj sistemi"
"no_logs";"Hiç bir günlük tutma (Disable logging)"
"daily";"Her gün"
"weekly";"Haftada bir"
"monthly";"Ayda bir"
"yearly";"Senede bir"
"config_still_writable";"Yapılandırma dosyanıza hala yazma izini vardır.<br />Yapılandırmayı tamamladıysanız güvenlik nedenleri yüzünden bu dosyanın izinlerini yalnız-okuma (read-only) türüne geri çevirin."
"admin_verification_waiting";"Tasdiklenmeyi bekleyen üyelik istemleri mevcuttur"
"DEFAULT_GEDCOM";"Genel GEDCOM"
"privileges";"Verilen haklar"
"date_registered";"Üye olunan tarih"
"last_login";"Son giriş tarihi"
"server_url_note";"Buraya Genmod yazılımının yerleştiridiği dizinin URL adresi yazılmalıdır. Bu veriyi ancak ne yaptığınızı gerçekten biliyorsanız değiştirin.<br />Genmod sunucunun URL adresini yandaki şekilde belirlemiştir: #GUESS_URL#"
"DBPASS";"MySQL Veritabanı şifresi"
"DBNAME";"Veritabanın ismi"
"ALLOW_CHANGE_GEDCOM";"GEDCOM seçme iznini ver"
"gedcom_path";"GEDCOM yolu ve isimi"
"CHARACTER_SET";"Harflerin kodlanma sistemi"
"LANGUAGE";"Dil"
"ENABLE_MULTI_LANGUAGE";"Üyenin gösterilen dili değiştirmesine izin ver"
"CALENDAR_FORMAT";"Takvim türü"
"DISPLAY_JEWISH_THOUSANDS";"İbranice binliklerini göster"
"DISPLAY_JEWISH_GERESHAYIM";"İbranicre "Gershayim" göster"
"USE_RTL_FUNCTIONS";"Sağdan sola (RTL) işlemini kullan"
"DEFAULT_PEDIGREE_GENERATIONS";"Soy ağacı çizgesinde nesil sayısı"
"MAX_PEDIGREE_GENERATIONS";"Soy ağacı çizgesinde maksimum nesil sayısı"
"MAX_DESCENDANCY_GENERATIONS";"Şahsı izleyen nesiller çizgesinde maksimum nesil sayısı"
"USE_RIN";"GEDCOM - Kişisel numaralarının yerine RIN# kullan"
"PEDIGREE_ROOT_ID";"Soy ağacı ya da şahsı izleyen nesiller çizgesinde kullanılacak ilk şahıs"
"GEDCOM_ID_PREFIX";"GEDCOM - Kişisel numaralarının ön eki"
"SOURCE_ID_PREFIX";"Kaynak numaralarının ön eki"
"REPO_ID_PREFIX";"Havuz numaralarının ön eki"
"PEDIGREE_FULL_DETAILS";"Soy ağacı ya da şahsı izleyen nesiller çizgesinde doğum ve ölüm detaylarını göster"
"PEDIGREE_LAYOUT";"Genel soy ağacı çizgesinin düzeni"
"SHOW_EMPTY_BOXES";"Soy ağacı çizgelerinde boş kutuları göster"
"ZOOM_BOXES";"Çizgelerdeki kutuların büyültüp küçültmesine izin ver"
"LINK_ICONS";"Çizgelerdeki bağlantı kutularının otomatik açılmasına izin ver"
"ABBREVIATE_CHART_LABELS";"Çizgelerdeki hadise başlıklarını kısalt"
"SHOW_PARENTS_AGE";"Ebeveyn yaşlarını çocukların doğum tarihinin yanında göster"
"HIDE_LIVE_PEOPLE";"Mahremiyet kurallarını kullan"
"REQUIRE_AUTHENTICATION";"Ziyaretçi denetlemesini kullan"
"WELCOME_TEXT_AUTH_MODE";"Ziyaretçi denetlemesi yapılacaksa giriş sayfasında kullanılacak karşılama mesajı"
"WELCOME_TEXT_AUTH_MODE_OPT1";"Her ziyaretçinin üye isteminde bulunabileceğini söyleyen önceden tanımlanmış mesaj"
"WELCOME_TEXT_AUTH_MODE_OPT2";"Her üyelik istemine yöneticinin karar vereceğini söyleyen önceden tanımlanmış mesaj"
"WELCOME_TEXT_AUTH_MODE_OPT3";"Ancak akrabaların üye olabileceğini söyleyen önceden tanımlanmış mesaj"
"WELCOME_TEXT_AUTH_MODE_OPT4";"Aşağıdaki ziyaretçi karşılama mesajını seç"
"WELCOME_TEXT_AUTH_MODE_CUST";"Ziyaretçi denetlemesi yapılacaksa kullanılacak özel karşılama mesajı"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD";"Özel karşılama mesajı için standart başlık"
"CHECK_CHILD_DATES";"Çocuklarin yaşlarını denetle"
"MAX_ALIVE_AGE";"Bir şahsın öldüğünü farzetmek için yaş sınırı"
"SHOW_GEDCOM_RECORD";"Ziyaretçiler sade GEDCOM kayıtlarını görebilir"
"ALLOW_EDIT_GEDCOM";"Çevrimiçi düzenlemeye izin ver"
"INDEX_DIRECTORY";"İndeks dosyalarının dizini"
"ALPHA_INDEX_LISTS";"Uzun listeleri ilk harften kes"
"SHOW_ID_NUMBERS";"Şahsi numaraları isimlerle göster"
"SHOW_FAM_ID_NUMBERS";"Aile numaraları ailerlerle göster"
"SHOW_PEDIGREE_PLACES";"Şahsi kutularda gösterilecek yer isimlerinin derinliği"
"MEDIA_EXTERNAL";"Bağlantıları muhafaza et"
"MEDIA_DIRECTORY";"Mültimedya dizini"
"MEDIA_DIRECTORY_LEVELS";"Mültimedya dizin derinliği"
"SHOW_HIGHLIGHT_IMAGES";"Vurgu resimini şahısların kutularında göster"
"USE_THUMBS_MAIN";"Şahsi sayfada tırnak resimleri ana resim yerine kullan"
"ENABLE_CLIPPINGS_CART";"Parça toplama mahfazasını kullan"
"HIDE_GEDCOM_ERRORS";"GEDCOM hatalarını sakla"
"WORD_WRAPPED_NOTES";"Notların kesildiği yerde boşluk ekle"
"COMMON_NAMES_THRESHOLD";""Yaygın soy isim" için minimum miktar"
"COMMON_NAMES_ADD";""Yaygın soy isim" listesine katılacak soy isimler (virgül ile ayrılacak)"
"COMMON_NAMES_REMOVE";""Yaygın soy isim" listesinden silinecek soy isimleri (virgül ile ayrılacak)"
"HOME_SITE_URL";"Ana sitenin URL adresi"
"HOME_SITE_TEXT";"Ana sitenin genel mesajı"
"CONTACT_EMAIL";"Nesep tetkiki için temas edilecek üye"
"CONTACT_METHOD";"İlişki türü"
"WEBMASTER_EMAIL";"Teknik yardım için temas edilecek üye"
"SUPPORT_METHOD";"Destek türü"
"FAVICON";""Sık kullanılanlar" (favorites) simgesi"
"THEME_DIR";"Tema dizini"
"GM_SESSION_SAVE_PATH";"Oturum (session) hafızalama yolu"
"SERVER_URL";"Genmod URL adresi"
"LOGIN_URL";"Giriş URL adresi"
"GM_SESSION_TIME";"Oturum (session) zaman aşımı"
"SHOW_STATS";"İşletim istatistiklerini göster"
"SHOW_COUNTER";"Sayaçları göster"
"USE_REGISTRATION_MODULE";"Ziyaretçilerin üyelik istemine izin ver"
"ALLOW_USER_THEMES";"Üyelere kendi temalarını seçme iznini ver"
"LOGFILE_CREATE";"Sistemin günlüklerini arşivle"
"GM_MEMORY_LIMIT";"Maksimum hafıza sınırı"
"GM_STORE_MESSAGES";"Mesajların online hafıza edilmesine izin ver"
"ALLOW_THEME_DROPDOWN";"Tema değiştirmek için açılırliste göster"
"META_SURNAME_KEYWORDS";""Yaygın soy isimleri" Keywords META alanına ekle"
"review_readme";"Bu Genmod yazılımını yapılandırmaya devam etmeden önce <a href="readme.txt" target="_blank">readme.txt</a> dosyasını okumanızı tavsiye ederiz.<br /><br />"
"return_editconfig";"Bu yapılandırma sayfasına her zaman tarayıcınızda <b>editconfig.php</b> dosyasını açarak ya da <b>İdare / Ayarlar</b> sayfasındaki <b>Genel ayarlar</b> bağlantısını tıklayarak geri dönebilirsiniz.<br />"
