"ABBREVIATE_CHART_LABELS";"Forkorte ledeord i diagram"
"created_cache";"Tabellen <i>Eventcache</i> er opprettet."
"created_cache_fail";"Klarte ikke å opprette tabellen <i>Eventcache</i>."
"created_counters_fail";"Klarte ikke å opprette tabellen <i>Tellere</i>."
"created_fams";"Opprettet tabellen <i>Familier</i>."
"created_fams_fail";"Klarte ikke å opprette tabellen <i>Familier</i>!"
"created_gedcoms_fail";"Klarte ikke å opprette tabellen <i>Slektsdata</i>."
"created_gedconf_fail";"Klarte ikke å opprette tabellen <i>Slektsdata-konfigurasjon</i>."
"created_indis";"Opprettet tabellen <i>Personer</i>."
"created_indis_fail";"Klarte ikke å opprette tabellen <i>Personer</i>!"
"created_individual_child";"Tabellen <i>Child</i> er opprettet."
"created_individual_child_fail";"Klarte ikke å opprette tabellen <i>Barn</i>."
"created_individual_spouse";"Tabellen <i>Spouses</i> er opprettet."
"created_individual_spouse_fail";"Klarte ikke å opprette tabellen <i>Spouses</i>."
"created_language";"Tabellen <i>Language</i> er opprettet."
"created_language_fail";"Klarte ikke å opprette tabellen <i>Language</i>."
"created_language_help_fail";"Klarte ikke å opprette tabellen <i>Language Help</i>."
"created_media_fail";"Klarte ikke å opprette tabellen <i>Media</i>."
"created_media_mapping_fail";"Klarte ikke å opprette tabellen <i>Mediamapper</i>."
"created_other";"Opprettet tabellen <i>Annet</i>."
"created_other_fail";"Klarte ikke å opprette tabellen <i>Annet</i>!"
"created_pages";"Tabellen <i>Pages</i> er opprettet."
"created_pages_fail";"Klarte ikke å opprette tabellen <i>Pages</i>."
"created_placelinks";"Opprettet tabellen  <i>Stedshenvisninger</i>."
"created_placelinks_fail";"Klarte ikke å opprette tabellen <i>Stedhenvisninger</i>."
"created_places";"Opprettet tabellen <i>Steder</i>."
"created_places_fail";"Klarte ikke å opprette tabellen <i>Steder</i>!"
"created_privacy_fail";"Klarte ikke å opprette tabellen <i>Personvern</i>."
"created_scache";"Tabellen <i>Statisticscache</i> er opprettet."
"created_scache_fail";"Klarte ikke å opprette tabellen <i>Statisticscache</i>."
"created_sources";"Opprettet tabellen <i>Kilder</i>."
"created_sources_fail";"Klarte ikke å opprette tabellen <i>Kilder</i>!"
"current_dir";"Nåværende mappe: "
"current_gedcoms";"Aktive slektsfiler (GED)"
"current_users";"Aktiverte brukere"
"custom_event";"Egendef. hendelse"
"customize_gedcom_page";"Endre hovedsiden til denne slektsbasen"
"customize_page";"Endre <i>din egen</i> side"
"cut";"Klipp ut"
"daily";"Daglig"
"data_incorrect";"Data var ugyldig!<br />- Prøv igjen!"
"datachanged";"Brukerdata er endret!"
"datachanged_name";"Du må kanskje logge deg inn på nytt med det nye brukernavnet ditt."
"dataset_exists";"Det er allerede importert en slektsfil i databasen med navnet "
"date";"Dato"
"date_created";"Dato sendt:"
"date_format";"Dato-format"
"date_registered";"Dato registert"
"date_time";"Dato og tid"
"dateconvert";"Dato konverterings-rutine"
"daughter";"Datter"
"daughter-in-law";"Svigerdatter"
"day";"Dag"
"day1";"dag"
"day_before_month";"Dag før måned (DD MM ÅÅÅÅ)"
"day_not_set";"Dag ikke angitt"
"days";"dager"
"days_to_show";"Antall dager som skal vises"
"db";"Database"
"db_setup_bad";"Det er feil i innstillingene til databasen din.  Sjekk de ulike valgene for oppkobling til databasen og gjør nødvendige endringere."
"dead";"Død "
"death";"Død:"
"dec";"desember"
"deceased";"Døde"
"default_form";"Grend/bydel, sted/by, kommune/sogn, fylke/region, land"
"default_form_info";"(Standard)"
"default_news_text";"Informasjon om slekten(e) på dette nettstedet blir vist ved hjelp av <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a><br />Sidene gir deg et innblikk og en oversikt over denne slekten/slektssamlingen.<br />Som en start, kan du velge personlisten på menyen, et av diagrammene eller søke etter et navn eller et sted.<br /><br />Dersom det er noe du ikke forstår på en side, sjekk Hjelp i menyen!<br />Der vil du til enhver tid få informasjon om den siden du er på.<br /><br /><b><i>Takk for at du besøker dette nettstedet.</i></b>"
"default_news_title";"Velkommen til disse slektssidene"
"default_user";"Opprett hovedadministratoren."
"definitions";"Definisjoner"
"del_gedrights";"Slektsbasen er ikke aktiv lengre. Fjern rettighetene til brukeren."
"del_proceed";"Fortsette"
"del_unvera";"Bruker ikke godkjent av administrator."
"del_unveru";"Brukeren bekreftet ikke innen 7 dager."
"delete";"Slett"
"delete_dir_success";"Mappene for media og minityrbilder er nå slettet."
"delete_directory";"Slett mappe"
"delete_fact";"Slett faktaopplysning"
"delete_family";"Slett familie"
"delete_family_confirm";"Dersom du sletter denne familien vil alle koblinger mellom familiemedlemmene også bli fjernet. Personene vil selvsagt <u>ikke</u> bli slettet !<br />Er du sikker på at du vil slette denne familien ?"
"delete_faq_item";"Slett et spørmål med svar"
"delete_file";"Slett fil"
"delete_indi";"Slett person"
"delete_name";"Slett navn"
"delete_person";"Slett denne personen"
"delete_repo";"Slett oppbevaringssted"
"delete_selected_messages";"Slett beskjeder som er merket"
"delete_source";"Slett denne kilden"
"descend_chart";"Etterkommere"
"descendants";"Etterkommere"
"description";"Beskrivelse"
"detected_change";"Genmod har oppdaget en endring i slektsfilen #GEDCOM#. Indeksfiler må bygges opp igjen før du kan fortsette."
"direct-ancestors";"Forfedre i direkte linje"
"directory_not_empty";"Mappen er ikke tom."
"directory_not_exist";"Mappen finnes ikke."
"disabled";"Ikke valgt"
"displ_comsurn_conf";"Mest brukte etternavn"
"displ_conf";"Visning og layout"
"displ_hide_conf";"Skjul & Vis"
"displ_layout_conf";"Layout"
"displ_names_conf";"Navn"
"display_all";"Vis alle"
"disproved";"Motbevist"
"do_massupdate";"Utfør fler-oppdatering med det valgte"
"do_not_change";"Ikke gjør endringer"
"does_not_exist";"eksisterer ikke"
"download";"Høyreklikk (control-click på Mac) på linken under og Velg "Lagre som" for å laste ned (download) filene."
"download_file";"Last ned (download) fil"
"download_gedcom";"Laste ned (download) slektsfil (GEDCOM)"
"download_gedconf";"Last ned (download) GEDCOM konfigurasjon."
"download_here";"Klikk her for å laste ned fil (download)."
"download_note";"NB! Store slektsfiler (GEDCOM) kan ta lang tid å forberede før en nedlastning (download).  Dersom PHP melder at tiden har gått ut før nedlastningen er ferdig, så kan det være at du ikke har mottatt hele filen.  For å sjekke om den nedlastede slektsfilen er korrekt, kan se om filen inneholder linjen <b>0 TRLR</b> på slutten.  Som en tommelfinger-regel vil tiden det tar å laste ned slektsfilen, være like lang som det tok å importere den (avhengig av hastigheten på internett-tilkoblingen din)."
"download_now";"Laste ned (download) nå"
"download_report";"Lagre rapport"
"download_zipped";"Laste ned (download) slektsfilen (GEDCOM-format) komprimert i en ZIP-fil?"
"drop_tables";"Fjerne eksisterende tabeller"
"duplicate_username";"NB!! Det finnes allerede et slikt brukernavn. Gå tilbake og velg et annet brukernavn."
"duplicatedb";"Database- og tabell-prefiks brukes allerede et annet sted. Angi enten et annet database eller table-prefiks."
"duplicateindexdir";"Denne Indeksmappen brukes allerede et annet sted. Vennligst lag og angi et entydig navn."
"dynasty_list";"Stamfedre"
"edit";"Endre"
"edit_exist_global_facts_settings";"Rediger eksisterende innstillinger for generelle fakta"
"edit_exist_person_facts_settings";"Rediger eksisterende innstillinger for fakta knyttet til personer"
"edit_exist_person_privacy_settings";"Rediger eksisterende innstillinger for personer"
"edit_exist_user_privacy_settings";"Rediger eksisterende innstillinger for bruker"
"edit_fact";"Rediger faktaopplysning"
"edit_fam";"Endre familie"
"edit_faq_item";"Rediger et spørmål med svar"
"edit_gender";"Rediger kjønn"
"edit_indi";"Endre person"
"edit_lang_utility";"Endre språk-fil"
"edit_lang_utility_desc";"Her kan du endre innholdet av en språk-fil ved å bruke den engelske teksten som referanse.<br />Innholdet av den originale engelske språk-filen vil bli listet opp sammen med teksten i ditt valgte språk.<br />Ved å klikke på en tekst i språkfilen din, vil et nytt vindu åpnes der du kan gjøre endringer i teksten."
"edit_langdiff";"Språk / oversettelser"
"edit_media";"Rediger media"
"edit_name";"Rediger navn"
"edit_news";"Legg til / endre notat- / nyhetsinnlegg"
"edit_pages";"Rediger sider"
"edit_privacy";"Endre personvernfilen"
"edit_privacy_title";"Endre slektsbasens personvern-innstillinger"
"edit_quickupdate";"Hurtigoppdatering"
"edit_raw";"Endre opplysninger direkte i slektsfilen"
"edit_settings";"Endre innstillinger"
"edit_sex";"Endre kjønn"
"edit_source";"Rediger kilde"
"editaccount";"Gi denne brukeren rettighet til å endre brukerkontoen sin"
"editlang";"Endre"
"editlang_help_export_no_success";"Klarte ikke å eksportere hjelpfilen for språket"
"editlang_help_export_success";"Hjelpefilen for dette språket er eksportert"
"editlang_lang_export_no_success";"Klarte ikke å eksortere språk-filer"
"editlang_lang_export_success";"Har nå eksportert språk-filer"
"editopt_conf";"Valg for å redigere"
"editowndata";"Min konto"
"emailadress";"Epost-adresse"
"empty_cart";"Fjern alt i mappen"
"empty_dataset";"Vil du tømme den nåværende slektsbasen og legge data inn på nytt?"
"empty_lines_detected";"Oppdaget tomme linjer i slektsfilen din.  Under oppryddingen vil disse tomme linjene bli fjernet."
"emptyserverurl";"Server-URL må korrespondere med reel URL. Les mer under."
"enable_disable_lang";"Konfigurere støttede språk"
"english_loaded";"Engelsk språkfiler er nå aktiveret"
"english_not_loaded";"Klarte ikke å hente engelske språkfiler"
"enter_body";"Skriv inn en beskjed / tekst før den sendes."
"enter_comments";"Vennligst angi slektskapet ditt til noen i slektsbasen i feltet Kommentarer."
"enter_db_pass";"På grunn av hensyn til sikkerhet må du skrive inn brukernavnet og passordet ditt for databasen for å endre konfigurasjon-verdiene."
"enter_email";"Du må oppgi en epost-adresse."
"enter_famid";"Angi FamilieID"
"enter_filename";"Du må oppgi et navn for slektsfilen."
"enter_fullname";"Du må oppgi et fullt navn."
"enter_gedcomid";"Du må oppgi en ID."
"enter_password";"Du må oppgi et passord."
"enter_pid";"Angi PersonID"
"enter_report_values";"Oppsett for rapport"
"enter_subject";"Tast inn en tekst i feltet for emne."
"enter_terms";"Skriv inn søkeord"
"enter_text";"Vennligst legg inn en tekst for dette nyhets- eller notatblokk-innlegget."
"enter_title";"Vennligst oppgi en tittel."
"enter_username";"Du må oppgi et brukernavn."
"error";"Beskjed om feil"
"error_already";"finnes fra før i utklippsmappen."
"error_header";"Slektsfilen [#GEDCOM#], finnes ikke på det angitte stedet."
"error_header_write";"Slektsfilen [#GEDCOM#], er ikke skrivbar. Sjekk attributter og tilgangsrettigheter."
"error_title";"FEIL: Kan ikke åpne slektsfilen"
"est";"anslått"
"example_date";"Eksempel på ugyldig dato fra slektsfilen din:"
"example_place";"Eksempel på ugyldig sted fra slektsfilen din:"
"excel_create";"vil bli lagd i filen:"
"excel_list";"Lagre følgende filer i EXCEL (slk-format) (bruk først listen stamfedre):"
"excel_tab";"Arkfanen:"
"exec_time";"Utføringstid:"
"exhusband";"Eks-ektemann"
"explain_options";"Hvis du velger å fjerne tabellene, vil alle data bli hentet fra denne slektsfilen.<br />Hvis du velger å importere og arbeide med flere slektsfiler samtidig, vil Genmod slette alle data som ble importert fra slektsfil(er) med samme navn. Dette valget gjør det mulig å legge flere slekts-datasett i samme tabell og lett skifte mellom dem.<br /><br /><b>NB! Systemet ser forskjell på store og små bokstaver i filnavn.</b>  Det betyr at <b>Test.GED</b> <u>ikke</u> er den samme filen som <b>test.ged</b>."
"export";"Eksporter"
"export_filename";"Navn på filen som inneholder eksport data:"
"export_lang_utility";"Eksport av språk-fil"
"export_lang_utility_desc";"Her kan du velge et språk og eksportere innholdet i hjelpe-tekst for konfigurasjon av Genmod<br />for å lage en dokumentasjon (i HTML-format) for programmet på det valgte språket."
"export_log";"Eksporter logg-oppføringer"
"export_ok";"Hjelpetekstene er eksportert"
"extension";"Fil-type"
"exwife";"Eks-hustru"
"fact_details";"Vis detaljerte fakta"
"fact_show";"Vis fakta"
"fam_spouse";"Familie med partner"
"families";"Familier"
"family";"Familie"
"family_complete";"Oppdatering av familieindeksfilen er ferdig."
"family_downloaded_from";"Denne familien er hentet fra:"
"family_exists";"Denne familien finnes fra før."
"family_group_info";"Familie-opplysninger"
"family_group_report";"Familie"
"family_info";"Familie-opplysninger"
"family_list";"Familier"
"family_not_found";"Fant ikke familie"
"family_private";"Data for denne familien er private. Familiære data vises derfor ikke."
"family_timeline";"Vis familie på en tidslinje"
"family_with";"Familie med"
"familybook_chart";"Familiebok"
"fams_charts";"Valg for denne familien"
"fams_with_surname";"Familier med etternavnet #surname#"
"fan_chart";"Slekts-hjul"
"fan_width";"Hjul-bredde"
"fanchart_IE";"Dette slekts-hjulet kan ikke bli skrevet ut direkte fra din nettleser. Bruk høyre-klikk og velg så Lagre bilde. Så må du åpne bilde i et annet program for så å skrive det ut derfra."
"faq_list";"Spørsmål & svar"
"father";"Far"
"fathers_family_with";"Familien til far til "
"feb";"februar"
"female";"Kvinne"
"femalecousin";"Kustine"
"file_does_not_exist";"FEIL! Finner ikke filen..."
"file_empty";"Angi et filnavn."
"file_exists";"Det finnes allerede en slektsfil med dette navnet. Velg et annet navn, eller slett den gamle filen."
"file_missing";"Det ble ikke mottatt noen fil. Hent filen på nytt."
"file_not_exists";"Oppgitt filnavn finnes ikke!"
"file_not_found";"Fant ikke filen."
"file_not_present";"Filen finnes ikke."
"file_partial";"Filen ble bare delvis lastet opp, forsøk på nytt"
"file_read_error";"F E I L !!! Personvernfilen kunne ikke leses!"
"file_success";"Filen er lastet opp"
"file_to_edit";"Språkfil som skal endres"
"file_too_big";"Opplastet fil overskrider tillatt størrelse"
"filter";"Søk"
"filter_address";"Vis adresser som inneholder:"
"find_fam_list";"Finn Familieliste"
"find_family";"Finn familie"
"find_familyid";"Finn familie"
"find_id";"Finn ID"
"find_individual";"Finn person"
"find_media";"Finn media"
"find_place";"Finn stedsnavn"
"find_repository";"Finn oppbevaringssted"
"find_source";"Finn kilde"
"find_sourceid";"Finn kilde"
"find_specialchar";"Finn spesielle bokstaver"
"first_letter_fname";"På grunn av antall - velg i indeks for fornavn:"
"firstcousin";"Søskenbarn"
"firstname";"Fornavn"
"firstname_alpha_index";"Alfabetisk indeks fornavn"
"firstname_search";"Fornavn"
"flagsfile";"Navn på flagg-bildefil"
"flushing";"Henter ut data"
"folder";"Mappe"
"follow_spouse";"Finn slektslinje via giftemål"
"fontfile_error";"Fant ikke nødvendige filer med skrifttyper på PHP serveren"
"for_all_contact";"For teknisk hjelp og slektsspørsmål, kontakt"
"for_contact";"For hjelp med slektsspørsmål, kontakt"
"for_support";"For teknisk hjelp og informasjon, kontakt"
"form";"Stedsnavn lagret som: "
"foster";"Fosterbarn"
"found_record";"dataposter funnet"
"friday";"fredag"
"friday_1st";"F"
"friend";"Venn"
"from";"fra"
"full_name";"Fullt navn"
"gd_freetype";"Ugyldig konfigurasjon av PHP server: Biblioteket Freetype er nødvendig for TrueType skrifttyper."
"gd_library";"Ugyldig konfigurasjon av PHP server: Biblioteket GD 2.x er nødvendig for bilde-funksjonen."
"ged_change";"Endringslogg-filer"
"ged_config";"Konfigurasjonsfil"
"ged_download";"Last ned (download)"
"ged_gedcom";"GEDCOMfil"
"ged_import";"Importer"
"ged_noshow";"Denne siden er deaktivert av administratoren til nettstedet."
"ged_privacy";"Personvernfil"
"ged_search";"Søke-logg-filer"
"ged_title";"Tittel til Slektsbasen"
"gedadmin";"Administrator av slektsfilen"
"gedcom_adm_head";"Oppsett for slekts- / GEDCOM-fil"
"gedcom_block";"Rammen Slektsbase-info"
"gedcom_conf";"GEDCOM basisvalg"
"gedcom_created_on";"SlektsGED-filen ble lagd <b>#DATE#</b>"
"gedcom_created_on2";"<b>#DATE#</b>"
"gedcom_created_using";"Denne slektsbasen ble lagd ved hjelp av <b>#SOFTWARE# #VERSION#</b>"
"gedcom_deleted";"Slektsfilen [#GED#] er nå slettet."
"gedcom_descr";"Rammen for informasjon virker på samme måte som den enkelte brukers velkomstmelding, ved at besøkende på siden ønskes velkommen, viser tittelen på standard aktive slektsfil og gjeldende dato og tid."
"gedcom_downloadable";"<br />Besøkende på nettstedet ditt kan laste ned (download) denne slektsfilen!<br />Les mer om dette i filen <a href="readme.txt">readme.txt</a> i avsnittet 12. SIKKERHET / PERSONVERN<br />for å finne en løsning på dette."
"gedcom_editing_disabled";"Muligheten til å gjøre endringer i denne slektsbase er blitt deaktivert av system-administratoren."
"gedcom_favorites";"Favoritter i denne slektsbasen"
"gedcom_favorites_block";"Rammen Favoritter i slektsbasen"
"gedcom_favorites_descr";"Rammen for Favoritter gir administrator på nettstedet muligheten til å velge ut noen sentrale personer i slektsfilen som vil være av interesse for de fleste besøkende. På den måten kan de lett finne disse favoritt-personene og er en måte å fremheve disse personene som sentrale i slekthistorien."
"gedcom_file";"Slektsfil:"
"gedcom_form_info";"(GEDCOM-format)"
"gedcom_news";"Nyheter"
"gedcom_news_block";"Rammen Nyheter for slektsbasen"
"gedcom_news_descr";"Nyhetsrammen viser besøkende siste nytt eller artikler lagt inn av en bruker med administrator-rettigheter.<br />Rammen er et fint sted å bekjentgjøre oppdatering av slektsbasen eller et slektstevne."
"gedcom_not_imported";"Denne GEDCOM-filen er ikke blitt importet enda."
"gedcom_path";"Sti og navn til GEDCOM-filen"
"gedcom_stats";"Statistikk for slektsbasen"
"gedcom_stats_block";"Rammen Statistikk for slektsbasen"
"gedcom_stats_descr";"Rammen for statistikk viser besøkende en del basis-informasjon om slektsfilen, slik som når den ble lagd og hvor mange personer, familier og kilder som finnes i slektsbasen.<br /><br />Den har også en liste med de etternavnene som er registrert flest ganger i slektsbasen.  Du kan velge om du vil vise disse etternavnene i rammen eller ikke.<br />Du kan også velge at visse navn ikke skal vises i listen eller legge legge til navn som du mener bør være med (selv om de ikke fyller kravet om å være med i listen).<br />Du kan angi antall ganger et navn må være registrert for å vises i listen i konfigurasjonsfilen for slektsbasen."
"gedcom_stats_show_surnames";"Vise Mest brukte etternavn?"
"gedcom_title";"#gm_lang[ged_title]#"
"gedcomid";"Bruker ID<br />i slektsbasen"
"gedconf_head";"Oppsett for GEDCOM"
"gedrec_deleted";"Oppføringen i slektsfilen er nå slettet."
"gen_ancestry_chart";"Forfedre - #PEDIGREE_GENERATIONS# slektsledd"
"gen_fan_chart";"Slekts-hjul - #PEDIGREE_GENERATIONS# slektsledd"
"gen_ped_chart";"Anetre - #PEDIGREE_GENERATIONS# slektsledd"
"gen_thumb";"Lag miniatyrbilde(r)"
"genealogy_contact";"Slektsspørsmål"
"general_privacy";"Standard innstillinger for personvern"
"generate_thumbnail";"Lag miniatyrbilde(r) automatisk fra "
"generated_by";"Laget av"
"generations";"Slektsledd&nbsp;"
"genmodnews";"Genmod-nyheter"
"given_name";"Fornavn:"
"global_facts";"Personvern-innstillinger for generelle fakta"
"gm_config_write_error";"Feil!!! Kan ikke skrive til konfigurasjonsfilen til Genmod. Sjekk fil- og katalog-rettigheter og prøv igjen."
"gm_registry";"Vis andre nettsteder som bruker Genmod"
"godfather";"Gudfar"
"godmother";"Gudmor"
"godparent";"Gudforeldre"
"grandchild";"Barnebarn"
"granddaughter";"Barnebarn (jente)"
"grandson";"Barnebarn (gutt)"
"gregorian";"Gregoriansk"
"halfbrother";"Halvbror"
"halfsibling";"Halvsøken"
"halfsister";"Halvsøster"
"hashcode";"Kontrollkode:"
"header";"Toppfelt"
"hebrew_and_gregorian";"Hebraisk og Gregoriansk"
"help_ahnentafel.xml";"~#gm_lang[ahnentafel_report]#~<br />Dette er en rapport som viser den valgte personen og tilhørende forfedre vist som et hefte.  Den starter med personen og fortsetter med foreldrene, besteforeldrene osv.<br /><br />"
"help_ancestry.php";"~Siden: #gm_lang[ancestry_chart]#~<br /><br />Denne siden er veldig lik <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, men har flere opplysninger og mulighet for alternativ <a href="?help=chart_style_help">utforming</a>.<br /><br /><b>Nummerering:</b><br />Hver person i alle slektsledd (generasjoner) er tildelt et unikt nummer, beregnet ut fra <a href="#system">systemet lagd av <i>Sosa</i> og <i>Stradonitz</i></a>:<ul><li>Partall for menn</li><li>Oddetall for kvinner (ektemann+1)</li><li> Eksempel:<ol><li>Startpersonen (proband), uavhengig av kjønn</li><li>Far</li><li>Mor (2+1)</li><li>Farfar</li><li>Farmor (4+1)</li><li>Morfar</li><li>Mormor (6+1)</li></ol><br /><li>Hvert slektsledd begynner med et tall som også angir hvor mange aner det er i dette slektsleddet (f.eks. starter generasjonen med oldeforeldre på 8 (farfars far) - og vi har dermed 8 oldeforeldre).</li></ul><br /><a name="system"></a><div class="list_value_wrap">Historikk om systemet:<br />Det var den tyske genealogen Stephan Kekule von Stradonitz (1863-1933) som i 1898 tok i bruk dette systemet. Han fant ut at det tidligere hadde vært brukt av den spanske genealog Hieronymus de Sosa på 1600-tallet. Systemet ble allerede i 1590 brukt av tyskeren Michael Eizinger, og det er så logisk at det sikkert har vært brukt av andre før det ble "gjenoppdaget" av von Stradonitz.</div>"
"help_birthlist.xml";"~#gm_lang[birth_report]#~<br />Dette er en rapport som kan vise alle personer som er født på et bestemt tidspunkt eller sted.<br /><br />"
"help_calendar.php";"~Siden: #gm_lang[anniversary_calendar]#~<br /><br /><ul><li><a href="#calendar_general">Generell informasjon</a><li><a href="#calendar_day">#gm_lang[day]#</a><li><a href="#calendar_month">#gm_lang[month]#</a><li><a href="#calendar_year">#gm_lang[year]#</a><li><a href="#calendar_show">#gm_lang[show]# / #gm_lang[showcal]#</a><li><a href="#calendar_sex">#gm_lang[sex]#</a><li><a href="#calendar_event">Hendelse</a><li><a href="#calendar_button">Type visning</a><li><a href="#calendar_tip">Tips</a></ul><br /><a name="calendar_general"></a>Den Historisk kalenderen viser personer og familier som er knyttet til en hendelse på en bestemt dag og/eller måned eller i en bestemt tidsperiode. Kalenderen har flere avanserte metoder for å vise deg de rette hendelsene.<dl><dt><b>Vis <a href="#calendar_day">dag</a></b></dt><dd>Her vises hendelsene som er knyttet til en bestemt dag, uavhengig av valgt år. Du vil se en <i>liste</i> med navn på personer eller familier, eller en tospaltet liste med personer i den første og familier i den andre.</dd><dt><b>Vis <a href="#calendar_month">måned</a></b></dt><dd>Her får du en <i>kalender</i> med navn på personer og/eller familier fordelt på de enkelte dagene i den valgte måneden. Kalenderen blir vist i henhold til det året som er valgt i feltet for år. Det er kun hendelser <i>fram til den valgte måneden og året</i> som vil bli vist.<br />I kombinasjon med valget "<a href="#calendar_show">#gm_lang[recent_events]#</a>" vil den gi en autentisk visning slik forfedrene dine ville ha sett den.</dd><dt><b>Vis <a href="#calendar_year">år</a></b></dt><dd>Her vises hendelsene som er knyttet til et bestemt år, eller flere år. Du vil se en <i>liste</i> med navn på personer eller familier, eller en tospaltet liste med personer i den første og familier i den andre.</dd></dl>Valgt dag og måned blir vist i en annen farge i menyen til kalenderen.<br /><br />De navnene du finner i listen for dag eller år eller i kalenderen, kan du klikke på. Da vil du kunne se opplysninger om disse personene eller familiene. Klikker du på en dato, vil du hoppe til "Vis dag" visning (eller år) med hendelser knyttet til den datoen du klikket på.<br /><br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_day"> </a>#gm_lang[annivers_date_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_month"> </a>#gm_lang[annivers_month_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_year"> </a>#gm_lang[annivers_year_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_show"> </a>#gm_lang[annivers_show_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_sex"> </a>#gm_lang[annivers_sex_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_event"> </a>#gm_lang[annivers_event_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_button"> </a>#gm_lang[day_month_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_tip"> </a>#gm_lang[annivers_tip_help]#"
"help_clippings.php";"~Siden: Utklippsmappe~<br />Denne siden gir deg mulighet til å hente utdrag ("utklipp") fra denne slektsbasen og samle dem i ny fil som du kan laste ned til PCen din og deretter importere inn i ditt eget slektsprogram.<br />Filen blir lagd i standardformatet for slektsfiler (<a href="?help=def_gedcom_help">GEDCOM</a>).<dl><dt><b>Hvordan klippe ut?</b></dt><dd>Dette er veldig enkelt. Alle steder der du kan se et navn du kan klikke på (enkeltperson, familie eller kilde),<br />kan du gå til en side med fakta om dette navnet. På den nye siden vil du se et valg som sier "Legg i utklippsmappen".<br />Dersom du klikker på denne, så vil du få opp en ny side der du blir gitt flere valg for å legge personen og familien<br />i utklippsmappen.<br /></dd><dt><br /><b>Hvordan laste ned (download)?</b></dt><dd>Når du lagt person(er)/familier i mappen din, kan du laste dem ned ved bare å klikke på linken "Last ned (download) nå".<br />Følg så de neste instruksjonene og linkene.</dd></dl>"
"help_config";"Hjelp om konfigurasjon"
"help_contents";"Emner i Hjelp"
"help_contents_gedcom_info";"GEDCOM / slektsfil"
"help_contents_gedcom_places";"Steder i slektsbasen (Ged)"
"help_descendancy.php";"~Siden: Etterkommere~<br /><br />Denne siden vil vise etterkommere til personen.<br />Du kan velge en hovedperson for denne etterkommer-oversikten, eller så kan du bli overført til denne siden ved å klikke på linken "#gm_lang[descend_chart]#" på en annen side.<br />Ved å klikk på en pil, vil hovedpersonen bli byttet ut med foreldrene til den personen pilen stod ved siden av.  Klikker du på ikonet øverst til høyre i personboksen vil du få fram en ny meny med nære slektninger til denne personen."
"help_edit_merge.php";"~#gm_lang[merge_records]#~<br /><br />Denne siden gir deg mulighet til å flette (føye sammen) 2 GEDCOM-poster i slektsbasen.  Dette er en nyttig funksjon dersom du har importert en annen slektsbase (GEDCOM) inn i din egen og du har fått dobbelt opp av flere personer, familier og/eller kilder.<br /><br />Denne siden innholder 3 steg.<br /><ol><li>Du angir to IDer i slektsbasen.  IDene må være av samme slag (type).  (dvs. at du ikke kan flette en person og en familie, eller en familie og en kilde).  I feltet <b>#gm_lang[merge_to]#</b> angir du IDen til posten (personen) som du ønsker skal bli den den nye posten etter at flettingen er fullført.  I feltet <b>#gm_lang[merge_from]#</b> angir du IDen til posten som skal flettes inn i den første og deretter vil bli slettet.</li><li>Du velger hvilke opplysninger som du vil beholde fra de to postene etter at de flettet sammen til en post.  Du klikke bare på sjekkfeltet ved siden av de(n) du ønsker å beholde.</li><li>Viser deg resultatet av flettingen.</li></ol>For at endringen skal være gyldig og bli vist andre, må du sjekke resultatet og godkjenne den først.<br />"
"help_editconfig.php";"~Oppsett av Genmod~<br /><br />På denne siden har du feltene for de globale innstillingene som du må fylles ut før Genmod-programmet kan kjøres på din nettserver.<br />#gm_lang[review_readme]#<br /><br />Siden disse innstillingene er <b>globale</b>, gjelder de for selve programmet og for alle slektsfiler du bruker i programmet.<br />For hver slektsbase kan du ha forskjellige innstillinger.<br />Her på Konfigurasjon-siden kan du også klikke på linken til Redigere GEDCOMfiler rett over skjemaet eller gå til den samme siden fra menyvalget "Min GedView"."
