"ABBREVIATE_CHART_LABELS";"קצר תגים בתרשימים"
"contact_conf";"נתוני קשר"
"contents";"תוכן"
"continue";"המשך להוסיף"
"continue_import";"המשך לייבא"
"copy";"העתק"
"cousin-in-law";"בן דוד דרך נישואין"
"create_repository";"צור מאגר"
"create_source";"צור מקור חדש"
"create_user";"בנה משתמש"
"created_fams";"טבלת <i>משפחות</i> נוצרה בהצלחה."
"created_fams_fail";"לא ניתן ליצור טבלת <i>משפחות</i>"
"created_indis";"טבלת <i>אנשים</i> נוצרה בהצלחה."
"created_indis_fail";"לא ניתן ליצור טבלת <i>אנשים</i>"
"created_other";"טבלת <i>אחר</i> נוצרה בהצלחה."
"created_other_fail";"לא ניתן ליצור טבלת <i>אחר</i>"
"created_placelinks";"טבלת <i>קישור מקומות</i> נוצרה בהצלחה."
"created_placelinks_fail";"לא ניתן ליצור טבלת <i>קישור מקומות</i>."
"created_places";"טבלת <i>מקומות</i> נוצרה בהצלחה."
"created_places_fail";"לא ניתן ליצור טבלת <i>מקומות</i>"
"created_sources";"טבלת <i>מקורות</i> נוצרה בהצלחה."
"created_sources_fail";"לא ניתן ליצור טבלת <i>מקורות</i>"
"current_dir";"התיקייה הנוכחית: "
"current_gedcoms";"GEDCOM-ים נוכחיים"
"current_users";"רשימת משתמשים"
"custom_event";"מאורע מותאם"
"customize_gedcom_page";"התאם אישית את דף ברוכים הבאים הזה"
"customize_page";"התאם אישית את הפורטל MyGedView"
"cut";"חתוך"
"daily";"יומי"
"data_incorrect";"הנתונים אינם נכונים, נסה שנית"
"datachanged";"נתוני המשתמש שונו"
"datachanged_name";"יתכן שיש צורך להתחבר שנית למערכת עם קוד המשתמש החדש."
"dataset_exists";"קובץ GEDCOM בשם זה הועבר כבר למאגר הנתונים."
"date";"תאריך"
"date_created";"תאריך שליחה:"
"date_format";"מבנה תאריך"
"date_registered";"תאריך הרשמה"
"date_time";"תאריך וזמן"
"dateconvert";"כלי לתרגום תאריך"
"daughter";"בת"
"daughter-in-law";"כלה"
"day";"יום:"
"day1";"יום"
"day_before_month";"יום לפני חודש (DD MM YYYY)"
"day_not_set";"היום לא מוגדר"
"days";"ימים"
"days_to_show";"מספר הימים שיש להציג"
"db";"מסד נתונים"
"db_setup_bad";"התצורה הנוכחית שלך של מסד הנתונים אינה מתאימה. נא בדוק את הפרמטרים של קישוריות מסד הנתונים ועצב מחדש."
"dead";"מת "
"death";"פטירה:"
"dec";"דצמבר"
"deceased";"נפטר"
"default_form";"עיר, מחוז, אזור/מדינה, ארץ"
"default_form_info";"(ברירת המחדל)"
"default_news_text";"נתוני חקר שושלת יוחסין באתר זה ממונעים ע"י <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a>. הדף הזה מספק הקדמה וסקירה כללית לחקר שושלת יוחסין זו.<br /><br />כדי להתחיל לעבוד על הנתונים, בחר אחד התרשימים מתפריט התרשימים, לך לרשימת שמות או חפש שם או מקום.<br /><br />במידה ויהיו לך בעיות להשתמש באתר, לחיצה על צלמית העזרה תיתן לך מידע על ה שימוש בדף שהנך רואה עכשיו.<br /><br />תודה על הביקור שלך באתר זה."
"default_news_title";"ברוכים הבאים לחקר שושלת היוחסין שלך"
"default_user";"בנה מנהלן ברירת מחדל."
"definitions";"הגדרות"
"del_gedrights";"ה-GEDCOM כבר אינו פעיל, הסר קישורי משתמשים."
"del_proceed";"המשך"
"del_unvera";"המשתמש לא אושר ע"י המנהלן."
"del_unveru";"המשתמש לא אישר עצמו תוך 7 ימים."
"delete";"מחק"
"delete_dir_success";"תיקייות המדיה והתמונות המזעריות הוסרו בהצלחה."
"delete_directory";"מחק תיקייה"
"delete_family";"מחק משפחה"
"delete_family_confirm";"מחיקת המשפחה תבטל את הקשר בין כל האנשים אבל משאירה את האנשים במקום. האם אתה בטוח שברצונך למחוק את המשפחה?"
"delete_faq_item";"מחק עצם FAQ"
"delete_file";"מחק קובץ"
"delete_name";"מחק שם"
"delete_person";"מחק המידע על אדם זה"
"delete_repo";"מחק מאגר"
"delete_selected_messages";"בטל את ההודעות הנבחרות"
"delete_source";"מחק המקור"
"descend_chart";"תרשים צאצאים"
"descendants";"צאצאים"
"description";"תאור"
"detected_change";"Genmod גילה שינוי בקובץ <b>#GEDCOM#</b>. יש לבנות מחדש את קובצי האינדקס לפני ההמשך."
"direct-ancestors";"אב-אבות בקו ישיר"
"directory_not_empty";"התיקייה אינה ריקה."
"directory_not_exist";"התיקייה אינה קיימת."
"disabled";"נפסל"
"displ_comsurn_conf";"שמות משפחה שכיחים"
"displ_conf";"תצוגה ומבנה"
"displ_hide_conf";"הסתר והראה"
"displ_layout_conf";"מבנה"
"displ_names_conf";"שמות"
"display_all";"הצג הכל"
"disproved";"הופרך"
"do_not_change";"אין לשנות"
"does_not_exist";"לא קיים"
"download";"קליק ימני (קונטרול-קליק על מק) על הקישורים שמתחת ובחר "Save Target As ..." כדי להוריד הקבצים."
"download_file";"הורד קובץ"
"download_gedcom";"הורד GEDCOM"
"download_gedconf";"הורד את תצורת GEDCOM."
"download_here";"לחץ כאן כדי להוריד את הקובץ."
"download_note";"הערה: יתכן שזמן העיבוד להורדת קובצי GEDCOM גדולים לוקח זמן רב. אם משך הזמן להורדה אינו מספיק, יתכן וההורדה לא תהייה שלמה.<br /><br />תוכל לבדוק ב-GEDCOM שהורד יש שורת <b>0&nbsp;TRLR</b> בסוף הקובץ, כדי לוודא שהוא הורד בצורה נכונה. קובצי ה-GEDCOM הם קובצי טכסט; ניתן להשתמש בתוכנת עריכה מתאימה של טכסטים , אבל <u>אין</u> לשמור את קובץ ה-GEDCOM שהורד אחרי שבדקת אותו.<br /><br />בד"כ ההורדה אורכת משך זמן דומה למשך ייבוא ה-GEDCOM שלך."
"download_now";"הורד עכשיו"
"download_report";"הורד דו&quot;ח"
"download_zipped";"הורד את ה-GEDCOM כקובץ ZIP?"
"drop_tables";"הסר את הטבלאות הקיימות."
"duplicate_username";"קוד משתמש כפול. משתמש עם קוד זה מוגדר כבר. נא בחר קוד משתמש אחר."
"dynasty_list";"סקירה כללית של משפחות"
"edit";"ערוך"
"edit_exist_global_facts_settings";"ערוך הגדרת פרטיות ערכים כלליים קיימת"
"edit_exist_person_facts_settings";"ערוך הגדרת פרטיות ערכים אישיים קיימת"
"edit_exist_person_privacy_settings";"ערוך הגדרת פרטיות אישית קיימת"
"edit_exist_user_privacy_settings";"ערוך הגדרת פרטיות משתמש קיימת"
"edit_fam";"ערוך משפחה"
"edit_faq_item";"ערוך עצם FAQ"
"edit_indi";"ערוך אדם"
"edit_lang_utility";"תוכנת עריכה של קובץ שפה"
"edit_lang_utility_desc";"ניתן להשתמש בתוכנת עזר זו בעריכת תוכן של קובץ שפה ע"י שימוש בקובץ האנגלי.<br /><br />התוכנה מראה את התוכן של קובץ השפה האנגלי המקורי (יש ארבעה קבצים כאלה) ובמקביל את התוכן של קובץ השפה הנבחרת שלך.<br />לחץ על ההודעה מתחת לגירסה האנגלית ואז יפתח חלון חדש, ובו תוכל לעדכן את הטכסט. ניתן לשמור את השינוי או לוותר עליו."
"edit_langdiff";"ערוך תוכן קבצי השפות"
"edit_name";"ערוך שם"
"edit_news";"הוסף/ערוך כניסת יומן/חדשות"
"edit_privacy";"ערוך פרטיות"
"edit_privacy_title";"ערוך הגדרת פרטיות של GEDCOM"
"edit_raw";"ערוך את רשומת ה-GEDCOM הלא מעובדת"
"edit_settings";"ערוך סביבה"
"edit_sex";"ערוך מין"
"edit_source";"ערוך מקור"
"editaccount";"הרשאה למשתמש זה לערוך את נתוני המשתמש שלו"
"editlang";"ערוך"
"editopt_conf";"אפשרויות העריכה"
"editowndata";"המשתמש שלי"
"emailadress";"הדואר האלקטרוני"
"empty_cart";"רוקן עגלה"
"empty_dataset";"האם ברצונך לרוקן את מסד הנתונים ולהחליף אותו בנתונים החדשים הללו?"
"empty_lines_detected";"שורות ריקות התגלו בקובץ ה-GEDCOM שלך. הניקיון ימחוק את השורות הריקות הללו."
"enable_disable_lang";"הגדר את השפות הנתמכות"
"enter_body";".מלא טכסט לפני שאתה שולח את ההודעה"
"enter_comments";"אנא הכנס את הקשר שלך אל הנתונים בשדה ההערה."
"enter_db_pass";"עבור הגנה, עליך להכניס #gm_lang[DBUSER]# ו#gm_lang[DBPASS]# לפני שתשנה את ערכי התצורה."
"enter_email";".יש להכניס כתובת לדואר אלקטרוני"
"enter_famid";"הכנס קוד זיהוי של המשפחה"
"enter_filename";".GEDCOM יש להכניס שם קובץ"
"enter_fullname";".יש למלא שם פרטי ושם משפחה"
"enter_gedcomid";"יש להכניס קוד זיהוי של GEDCOM."
"enter_password";".יש למלא סיסמא"
"enter_pid";"הכנס קוד זיהוי אישי"
"enter_report_values";"הכנס ערכי הדו"ח"
"enter_subject";"הכנס נושא להודעתך"
"enter_terms";"הכנס תנאי חיפוש"
"enter_text";"נא מלא טכסט עבור כניסת חדשות או יומן זו."
"enter_title";"נא הכנס כותרת."
"enter_username";".יש למלא קוד משתמש"
"error_already";"נימצא כבר בעגלת הגזרים שלך."
"error_header";"קובץ ה-GEDCOM, <b>#GEDCOM#</b>, לא נימצא במקום שצוין"
"error_header_write";"לא ניתן לכתוב על קובץ ה-GEDCOM, <b>#GEDCOM#</b>. בדוק תכונות והרשאות גישה."
"error_title";"שגיאה: אי אפשר לפתוח את קובץ ה-GEDCOM"
"est";"מוערך"
"example_date";"דוגמא לתאריך שאינו בר-תוקף ב-GEDCOM שלך:"
"example_place";"דוגמא למקומות שגויים מה-GEDCOM שלך:"
"excel_create";"יבנה בקובץ:"
"excel_list";"<span dir="ltr">:(על הקבצים הבאים (השתמש תחילה ברשימת ראשי בית-אב EXCEL (slk) בפלט במבנה</span>"
"excel_tab";"סימניות EXCEL:"
"exec_time";"זמן העיבוד:"
"explain_options";"אם תבחר להסיר את הטבלאות, <u>כל</u> הנתונים יוחלפו ע"י ה-GEDCOM הזה.<br /><br />אם תבחר לייבא ולעבוד עם מספר ,GEDCOM-ים Genmod ימחק הנתונים שייובאו ע"י GEDCOM עם אותו שם קובץ. דבר זה מאפשר שמירת נתונים ממספר קבצי חקר משפחה באותן הטבלאות ומעבר קל ביניהם.<br /><br /><b>שים לב ששמות הקבצים רגישים לגודל האותיות.</b>  המשמעות ש-<b>Test.GED</b> <u>אינו</u> זהה ל-<b>test.ged</b>."
"export";"יצא"
"export_filename";"שם קובץ הפלט:"
"export_lang_utility";"תוכנת עזר ליצוא קובץ שפות"
"export_lang_utility_desc";"ניתן ליצור תעוד למינהלנים.<br /><br />כלי עזר זה ייצור גירסת HTML של קובץ העזרה של התצורה בשפה הנבחרת. תוכל להשתמש בדפדפן שלך כדי להסתכל על הקובץ הזה הנימצא במבנה להדפסה."
"export_ok";"הודעות עזרה יוצאו"
"extension";"סיומת"
"fact_details";"הראה פרטי העובדה"
"fact_show";"הראה את העובדה"
"fam_spouse";"משפחה עם בן/בת זוג"
"families";"משפחות"
"family";"משפחה"
"family_complete";"עדכון קובץ אינדקס המשפחה הסתיים."
"family_downloaded_from";"המשפחה הורדה מהאתר:"
"family_group_info";"נתוני קבוצת משפחה"
"family_group_report";"דו"ח קבוצת המשפחה"
"family_info";"נתוני משפחה"
"family_list";"רשימת המשפחות"
"family_private";"נתוני המשפחה הזו אישיים. נתוני המשפחה אינם נכללים."
"family_timeline";"הראה משפחה על תרשים קו הזמן"
"family_with";"משפחה עם"
"familybook_chart";"תרשים ספר משפחה"
"fams_charts";"אפשרויות עבור משפחה"
"fams_with_surname";"משפחות עם שם משפחה #surname#"
"fan_chart";"תרשים מניפה"
"fan_width";"רוחב"
"fanchart_IE";"לא ניתן להדפיס את תרשים המניפה הזה מהדפדפן שלך. השתמש בקליק הימני ושמור והדפס אח"כ."
"faq_list";"רשימת שאלות נפוצות (FAQ)"
"father";"אב"
"fathers_family_with";"משפחת אב עם "
"feb";"פברואר"
"female";"נקבה"
"femalecousin";"בת דודה"
"file_does_not_exist";"שגיאה! הקובץ לא קיים..."
"file_exists";"קובץ GEDCOM בשם זה כבר קיים. בחר שם אחר או מחק את הקובץ הישן."
"file_missing";"שום קובץ לא התקבל. הבא שנית."
"file_not_exists";"לא קיים קובץ בשם הזה."
"file_not_found";"הקובץ לא נימצא"
"file_partial";"הקובץ עלה חלקית, נסה שנית."
"file_read_error";"ש ג י א ה!!! לא ניתן לקרוא קובץ פרטיות!"
"file_success";"הקובץ הועלה בהצלחה"
"file_to_edit";"סוג קובץ שפה לעריכה"
"file_too_big";"קובץ ההעלאה גדול מהמותר"
"filter";"פילטר"
"filter_address";"הראה כתובות לות:"
"find_fam_list";"מצא רשימת משפחה"
"find_family";"מצא משפחה"
"find_familyid";"מצא קוד זיהוי של המשפחה"
"find_id";"מצא קוד זיהוי"
"find_individual";"מצא קוד זיהוי"
"find_media";"מצא מדיה"
"find_place";"מצא מקום"
"find_repository";"מצא מאגר"
"find_source";"מצא מקור"
"find_sourceid";"מצא את המקור"
"find_specialchar";"מצא סימנים מיוחדים"
"first_letter_fname";"בחר אות כדי להציג אנשים ששמם הפרטי מתחיל באות זו."
"firstcousin";"בן דוד מדרגה ראשונה"
"firstname";"שם פרטי"
"firstname_alpha_index";"אינדקס אלף בית של שמות פרטיים"
"firstname_search";"פרטי"
"flagsfile";"קובץ הדגל"
"flushing";"מרוקן תוכן"
"folder";"תיקייה"
"follow_spouse";"בדוק קירבת נישואין."
"fontfile_error";"הפונט לא נמצא על שרת ה-PHP"
"for_all_contact";"לעזרה טכנית או שאלות בקשר לשושלת יוחסין נא להתקשר אל"
"for_contact";"לשאלות בקשר לשושלת יוחסין נא להתקשר אל"
"for_support";"לעזרה טכנית נא להתקשר אל"
"form";"המקומות רשומים במבנה: "
"foster";"אומנת"
"found_record";"רשומה נמצאה"
"friday";"ששי"
"friday_1st";"ו"
"friend";"חבר/ה"
"from";"מ-"
"full_name";"שם מלא"
"gd_freetype";"בעית קונפיגורציה של שרת ה-PHP: תיקית Freetype דרושה כדי להשתמש בפונטי TrueType."
"gd_library";"בעית קונפיגורציה של שרת ה-PHP: תיקית GD 2.x דרושה כדי להשתמש בפונקציות התמונה."
"ged_change";"קובצי לוג השינויים"
"ged_config";"קובץ תצורה"
"ged_download";"הורד"
"ged_gedcom";"קובץ GEDCOM"
"ged_import";"ייבא"
"ged_noshow";"הדף הזה נחסם ע"י מנהלן האתר."
"ged_privacy";"קובץ פרטיות"
"ged_search";"קובצי לוג של החיפוש"
"ged_title";"כותרת GEDCOM"
"gedadmin";"מנהלן GEDCOM"
"gedcom_adm_head";"ניהול ה-GEDCOM"
"gedcom_block";"GEDCOM ברוכים הבאים"
"gedcom_conf";"בסיס GEDCOM"
"gedcom_created_on";"ה-GEDCOM הזה נוצר ב-<b>#DATE#</b>."
"gedcom_created_on2";"ב-<b>#DATE#</b>"
"gedcom_created_using";"ה-GEDCOM הזה נוצר ע"י תוכנת <b>#SOFTWARE# #VERSION#</b>"
"gedcom_deleted";"[#GED#] נימחק בהצלחה."
"gedcom_descr";"אזור GEDCOM ברוכים הבאים פועלת בצורה דומה לאזור ברוכים הבאים של המשתמש. הוא מברך את המבקר לאתר ומראה את הכותרת של מאגר הנתונים הפעיל ואת היום והשעה הנוכחיים."
"gedcom_downloadable";"את קובץ ה-GEDCOM הזה ניתן להוריד דרך האינטרנט!<br />ראה את פרק ה-SECURITY של קובץ ה-<a href="readme.txt"><b>readme.txt</b></a> כדי לפתור את הבעייה"
"gedcom_editing_disabled";"אפשרות העריכה של ה-GEDCOM נפסלה ע"י מנהלן המערכת."
"gedcom_favorites";"<span dir="ltr">המועדפים של הקובץ הזה</span>"
"gedcom_favorites_block";"מועדפי GEDCOM"
"gedcom_favorites_descr";"אזור מועדפי GEDCOM מאפשר למנהלן האתר לציין אנשים במאגר הנתונים כך שכולם ימצאו אותם בקלות. זו דרך להדגיש את האנשים החשובים בהיסטורית משפחתך."
"gedcom_file";"קובץ GEDCOM:"
"gedcom_form_info";"(GEDCOM)"
"gedcom_news";"חדשות"
"gedcom_news_block";"חדשות GEDCOM"
"gedcom_news_descr";"אזור החדשות של GEDCOM מראה למבקר חדשות או כתבות שהמנהלן העלה למערכת.<br /><br />אזור החדשות הוא מקום טוב להודיע על עדכון מאגר הנתונים,  על מפגש משפחתי או על לידת ילד."
"gedcom_not_imported";"ה-GEDCOM הזה טרם יובא."
"gedcom_path";"נתיב ושם קובץ ה-GEDCOM"
"gedcom_stats";"סטטיסטיקות GEDCOM"
"gedcom_stats_block";"סטטיסטיקות GEDCOM"
"gedcom_stats_descr";"אזור סטטיסטיקות GEDCOM מראה למבקרים נתונים בסיסיים על מאגר הנתונים, כמו למשל מתי הוא נוצר וכמה אנשים ניכללים בו.<br /><br />הוא כולל רשימה של שמות משפחה שכיחים. ניתן לעצב את האזור לא להראות את רשימת השמות השכיחים וניתן להגדיר את ה-GEDCOM להסיר או להוסיף שמות מהרשימה. ניתן לקבוע את הסף להופעה ברשימה בהגדרת התצורה של קובץ ה-GEDCOM."
"gedcom_stats_show_surnames";"הראה שמות משפחה שכיחים?"
"gedcom_title";"#gm_lang[ged_title]#"
"gedcomid";"קוד זיהוי של המשתמש הזה בקובץ ה-GEDCOM"
"gedconf_head";"תצורת GEDCOM"
"gedrec_deleted";"רשומת ה-GEDCOM נמחקה בהצלחה."
"gen_ancestry_chart";"תרשים שושלת של #PEDIGREE_GENERATIONS# דורות"
"gen_fan_chart";"תרשים מניפה של #PEDIGREE_GENERATIONS# דורות"
"gen_ped_chart";"תרשים אילן יוחסין עבור #PEDIGREE_GENERATIONS# דורות"
"gen_thumb";"צור תמונה מזערית"
"genealogy_contact";"קשר לנתוני חקר המשפחה"
"general_privacy";"ערכי פרטיות כלליים"
"generate_thumbnail";"צור תמונה מזערית אוטומטית מ-"
"generated_by";"נוצר ע"י"
"generations";"דורות"
"given_name";"שם פרטי:"
"global_facts";"ערכי פרטיות של נתונים גלובליים"
"gm_config_write_error";"שגיאה בכתיבת קובץ התצורה של Genmod. בדוק את ההרשאות של הקובץ והתיקיה ונסה שנית."
"gm_registry";"התבונן באתרים אחרים המשתמשים ב-Genmod"
"godfather";"סנדק"
"godmother";"סנדקית"
"godparent";"סנדק/ית"
"grandchild";"נכד/ה"
"granddaughter";"נכדה"
"grandson";"נכד"
"gregorian";"גרגוריאני"
"halfbrother";"אח-למחצה"
"halfsibling";"אח/ות למחצה"
"halfsister";"אחות-למחצה"
"hashcode";"קוד האמות:"
"header";"כותרת"
"hebrew_and_gregorian";"עברי וגרגוריאני"
"help_ahnentafel.xml";"~#gm_lang[ahnentafel_report]#~<br />זהו דו"ח של האדם הנבחר ואבותיו, מודפס במבנה ספרון. הוא מתחיל מהאדם הראשון וממשיך עם הוריו וסבים וסבתות שלו, וכו'.<br /><br />שים לב שדו"ח ה-Ahnentafel קיים בינתיים רק באנגלית.<br /><br />"
"help_ancestry.php";"~דף #gm_lang[ancestry_chart]#~<br /><br />תרשים שושלת דומה מאוד ל<a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, אבל עם יותר פרטים ומספר מצגות <a href="?help=chart_style_help">#gm_lang[chart_style]#</a>.<br /><br />כל אב-אבות מוצג עם מספר יחיד, מחושב לפי שיטת <i>Sosa-Stradonitz</i>:<ul>מספרים <b>זוגיים</b> עבור גברים (ילד*2)<br /> מספרים <b>אי-זוגיים </b>לנשים (בעל+1) חוץ מאשר <b>1</b></ul><br />לדוגמא:<br /><ul>אדם המוצא הוא תמיד <b>1</b>, ללא תלות במין.<br />ל-<b>1</b> - האבא הוא <b>2</b> (<b>1</b> * 2), האמא היא <b>3</b> (<b>2</b> + 1).<br />ל-<b>2</b> - האבא הוא <b>4</b> (<b>2</b> * 2), האמא היא <b>5</b> (<b>4</b> + 1).<br />ל-<b>3</b> - האבא הוא <b>6</b> (<b>3</b> * 2), האמא היא <b>7</b> (<b>6</b> + 1).<br />ל-<b>7</b> - האבא הוא <b>14</b> (<b>7</b> * 2), האמא היא <b>15</b> (<b>14</b> +1).<br />וכו'</ul><br />"
"help_birthlist.xml";"~#gm_lang[birth_report]#~<br />בעזרת דו"ח הזה תוכל לרשום את כל האנשים שנולדו בזמן או במקום מסויים.<br /><br />"
"help_calendar.php";"~#gm_lang[anniversary_calendar]#~<br /><br /><ul><li><a href="#calendar_general"><b>מידע כללי</b></a><li><a href="#calendar_day"><b>#gm_lang[day]#</b></a><li><a href="#calendar_month"><b>#gm_lang[month]#</b></a><li><a href="#calendar_year"><b>#gm_lang[year]#</b></a><li><a href="#calendar_show"><b>#gm_lang[show]# / #gm_lang[showcal]#</b></a><li><a href="#calendar_sex"><b>#gm_lang[sex]#</b></a><li><a href="#calendar_event"><b>אירוע</b></a><li><a href="#calendar_button"><b>כפתורי הצג יום / הצג חודש / הצג שנה  </b></a><li><a href="#calendar_tip"><b>עצה</b></a></ul><br /><a name="calendar_general"></a>#gm_lang[anniversary_calendar]# מראה אנשים ומשפחות הקשורים ליום או חודש מסויימים או לתקופה מסויימת. ישנה מערכת סינון מתקדמת כדי לבחור את המאורעות הנכונים עבור התאריך או התקופה.<dl><dt><b>הראה <a href="#calendar_day">יום</a></b></dt><dd>מראה מאורעות של יום מסויים, ללא תלות בשנה הניבחרת. הפלט הוא רשימה פשוטה של שמות אנשים או משפחות, או רשימה בעלת שני טורים בה אנשים בצד אחד ומשפחות בצד השני.</dd><dt><b>הראה <a href="#calendar_month">חודש</a></b></dt><dd>בלוח יום השנה שמות של אנשים ושמות של משפחות מוצגים בתוך תיבות יום. לוח השנה מוצג כפי שהוא היה בשנה שהקשת בתוך תיבת השנה. כל המאורעות שהתרחשו בעבר עד לשנה הזו מוצגים.<br /><br />אם תבחר גם באופציה "<a href="#calendar_show"><b>#gm_lang[recent_events]#</b></a>", תקבל הצגה ריאליסטית של לוח שנה של אב-אבותך.</dd><dt><b>הצג <a href="#calendar_year">שנה</a></b></dt><dd>תיראה את המאורעות של שנה מסויימת, או של מספר שנים. הפלט הוא רשימה פשוטה של שמות אנשים או משפחות, או רשימה בעלת שני טורים בה אנשים בצד אחד ומשפחות בצד השני.</dd></dl>היום והחודש המוצגים עכשיו הם בצבע מובלט בתפריט לוח יום השנה.<br /><br />ניתן ללחוץ על השמות והתאריכים. לחיצה על שם תביא אותך לדף הפרטים הרלונטי. לחיצה על תאריך תקפיץ אותך לצורת "היום" או "שנה", שתציג את כל המאורעות של היום והחודש בתאריך שניתן ללחוץ עליו.<br /><br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_day"> </a>#gm_lang[annivers_date_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_month"> </a>#gm_lang[annivers_month_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_year"> </a>#gm_lang[annivers_year_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_show"> </a>#gm_lang[annivers_show_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_sex"> </a>#gm_lang[annivers_sex_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_event"> </a>#gm_lang[annivers_event_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_button"> </a>#gm_lang[day_month_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_tip"> </a>#gm_lang[annivers_tip_help]#"
"help_clippings.php";"~עגלת גזירי העץ~<br />#gm_lang[clip_cart]# מאפשרת לקיחת קטעים ("גזירות") מאילן יוחסין זה וקשירתם ביחד בקובץ אחד להורדה ולאחר מכן לייבא לתוכנת עץ המשפחה שלך. הקובץ שיורד הוא במבנה GEDCOM.<br /><ul><li>איך גוזרים?<br />הפעולה קלה. בכל מקום שתראה שם שניתן ללחוץ עליו (אדם, משפחה או מקור) תוכל לעבור לדף מפורט של השם הזה. משם תיראה אפשרות <b>#gm_lang[add_to_cart]#</b>. לחיצה על קישור זה תעביר אותך לדף עם מספר אפשרויות הורדה.</li><br><li>איך מורידים?<br />אחרי שיש לך פריטים בעגלה, תוכל להוריד אותם ע"י לחיצה על הקישור <b>הורד עכשיו</b>. יש לעקוב אחר ההנחיות והקישורים.</li></ul><br />"
"help_contents";"תוכן העזרה"
"help_contents_gedcom_info";"מידע מ-GEDCOM"
"help_contents_gedcom_places";"מקומות ב-GEDCOM"
"help_descendancy.php";"~דף תרשים צאצאים~<br /><br />הדף הזה מראה את הצאצאים של האדם.<br /><br />תוכל לבחור את האדם המוצא עבור תרשים הצאצאים על דף זה, או שתועבר לדף הזה מדף אחר ע"י לחיצה על הקישור <b>#gm_lang[descend_chart]#</b>. לחץ על צלמיות החץ כדי לנווט בעץ בכיוון החץ. לחץ על צלמית התרשימים בתיבה האישית כדי להציג את התרשים כאשר האדם הזה נמצא כאדם המוצא.<br /><br />"
"help_edit_merge.php";"~#gm_lang[merge_records]#~<br /><br />דף זה מאפשר לך למזג שתי רשומות GEDCOM מאותו קובץ GEDCOM.<br /><br />דבר זה שימושי למי שמיזג קובצי GEDCOM ולאחר המיזוג יש לו מספר אנשים, משפחות ומקורות שהם זהים.<br /><br />הדף מורכב משלשה שלבים.<br /><ol><li>הכניס שני קודי זיהוי של נתוני GEDCOM. שני קודי הזיהוי <u>חייבים</u>להיות מאותו סוג. למשל, לא ניתן למזג אדם עם משפחה או משפחה עם מקור.<br />בשדה <b>#gm_lang[merge_to]#</b> הכנס את קוד הזיהוי של הרשומה שתיווצר לאחר המיזוג.<br />בשדה <b>#gm_lang[merge_from]#</b> הכנס את קוד הזיהוי של הרשומה שתמוזג לרשומת #gm_lang[merge_to]#. הרשומה הזו תמחק לאחר המזוג.</li><br /><li>בחר את העובדות משתי הרשומות שברצונך לשמור לאחר מיזוגן לרשומה אחת. סמן בתיבת הסימון המתאימה את העובדות שברצונך לשמור.</li><br /><li>בדוק את תוצאות המיזוג, בדומה לכל השינויים שנעשים בצורה מכוונת.</li></ol>על מישהו עם הרשאות אישור לאשר את השינויים שלך כדי להפוך אותם לקבועים.</li></ul><br />"
"help_editconfig.php";"~עצב Genmod~<br /><br />בדף הזה עליך לעצב את הנתונים הכלליים של  Genmod כאשר אתה מריץ אותו בפעם הראשונה לאחר שהתקנת את Genmod.<br /><br />#gm_lang[review_readme]# משום שהתצורה הזו היא  <b>כללית</b>, היא מוגדרת עבור כל התוכנית ועבור כל מאגרי המידע של חקר שושלת היוחסין שאתה משתמש בהם ב-Genmod.<br /><br />תוכל להגדיר תצורה שונה לנתונים אחרים עבור כל אחד ממאגרי הנתונים, אחרי שתלחץ על הקישור <b>#gm_lang[admin_gedcoms]#</b> בדף הזה.<br /><br />תוכל גם לגשת לפונקציה #gm_lang[gedcom_adm_head]# מדף הניהול הראשי שהקישור שלה נמצא מתחת לצלמית  #gm_lang[mgv]# או בכותרת של רוב הדפים. הקישור הרלוונטי הוא <b>#gm_lang[manage_gedcoms]# על דף האדמיניסטרציה.</b><br /><br />"
